quality_threshold,rr,windows,total_trades,mean_WR,mean_R,total_R,median_PF,worst_DD,worst_streak,positive_windows,consistency,score
0.75,1.15,4,628,0.5329040277903914,0.14422262396694213,70.21249999999998,1.4329884651440845,-12.549999999999995,7,4,1.0,0.010643736086121194
0.7,1.35,4,646,0.4874398662466989,0.1259570483729504,70.25000000000001,1.2958279998019817,-10.937500000000002,7,4,1.0,0.010551375779933017
0.6,1.2,4,781,0.5035376598810499,0.11365538613947679,91.5125,1.265703203291032,-10.224999999999998,8,4,1.0,0.010125201437815305
0.7,1.15,4,678,0.5203164723277404,0.11593011593892165,68.31249999999999,1.2832160039956255,-10.637499999999996,6,4,1.0,0.009961771509252133
0.85,1.3,4,469,0.4974970194579834,0.14134226563307084,60.4875,1.267261797644785,-13.500000000000002,6,4,1.0,0.00974774245745316
0.75,1.4,4,588,0.48672450633657527,0.13929098051134686,61.774999999999984,1.3802906503479377,-13.312499999999991,8,4,1.0,0.009732120909089743
0.6,1.3,4,763,0.4865188124661239,0.11844831444225842,93.1125,1.2819797950283554,-11.412500000000055,8,4,1.0,0.009542663801994594
0.85,1.2,4,477,0.5206519744205211,0.14724878116914195,61.6125,1.3318953927297175,-14.799999999999999,6,4,1.0,0.00931954311197101
0.8,1.15,4,558,0.5237387139144487,0.12456792474339806,60.34999999999999,1.3101245292329464,-12.600000000000001,6,4,1.0,0.009159406231132209
0.7,1.4,4,641,0.4736364423374717,0.11069602154952725,56.78749999999998,1.273435750837807,-11.599999999999982,8,4,1.0,0.008785398535676779
0.65,1.4,4,686,0.47519428761114174,0.1224600645719155,69.1,1.32321474670039,-13.112500000000002,9,4,1.0,0.008677418215901893
0.85,1.35,4,462,0.48792646631823455,0.14084787402003485,56.400000000000006,1.2998587896721152,-15.45,6,4,1.0,0.00856218079149148
0.85,1.25,4,476,0.5060511999901169,0.13859364058607898,58.41250000000001,1.280041255305957,-15.25,6,4,1.0,0.008528839420681783
0.6,1.35,4,749,0.4752014400000035,0.11155210782907364,83.32500000000002,1.2539471266446882,-12.124999999999998,8,4,1.0,0.008499208215548469
0.6,1.15,4,788,0.5070295031292497,0.0989406504941587,78.66249999999998,1.2170924587646301,-10.825,8,4,1.0,0.008367074037560991
0.55,1.2,4,818,0.49951195791536757,0.09829917939725279,75.9375,1.2184044684110802,-12.312500000000028,9,4,1.0,0.007383975917164513
0.55,1.25,4,811,0.4911828789715714,0.1028784571449676,81.425,1.2386706141534807,-13.3625,9,4,1.0,0.007162990923931599
0.85,1.15,4,486,0.5198158385658386,0.12260717393529891,48.337499999999984,1.3216063515412253,-16.599999999999998,6,4,1.0,0.006966316700869257
0.5,1.2,4,861,0.49702027609214067,0.09578569302339765,81.3125,1.2076861748497656,-13.912499999999948,10,4,1.0,0.0064231814265480625
0.55,1.3,4,800,0.48078293807641637,0.09866543648833051,76.36250000000001,1.2251375513472536,-14.412499999999987,9,4,1.0,0.006401650380426964
0.55,1.35,4,784,0.47349738220128873,0.10038173681357934,75.87500000000003,1.235206692474125,-14.812499999999975,9,4,1.0,0.0063482521305030515
0.6,1.4,4,742,0.4618596475646603,0.09673140886214072,68.61249999999998,1.2006935667108998,-14.312500000000032,9,4,1.0,0.0063171532318132585
0.9,1.4,4,390,0.4655650068051982,0.10222061486930833,39.12499999999999,1.1487990843855074,-11.200000000000001,7,3,0.75,0.006284054192785348
0.9,1.35,4,393,0.4760698727131819,0.10668911713851251,46.775000000000006,1.2324381159328013,-11.800000000000004,7,3,0.75,0.006251315457334716
0.8,1.4,4,525,0.4809156995504119,0.13241477134776133,50.599999999999994,1.369880101552757,-14.912499999999998,6,3,0.75,0.006241073276406662
0.9,1.25,4,401,0.4911883561699738,0.10478820416205528,46.212500000000006,1.2616179308632902,-13.0,7,3,0.75,0.005613653794395819
0.9,1.3,4,397,0.48093264178169837,0.09860151986752393,46.75,1.2647591682225234,-12.399999999999991,7,3,0.75,0.005518741783630075
0.5,1.35,4,819,0.46919626500779243,0.09241365712706046,74.98750000000001,1.1969456168582888,-16.212499999999952,10,4,1.0,0.005368985163518415
0.55,1.15,4,826,0.503288695048768,0.08660343087742192,65.31249999999997,1.1931649157326403,-15.262500000000049,9,4,1.0,0.005325345480548603
0.5,1.25,4,852,0.4887609343139909,0.1004808551281186,85.35000000000001,1.2199617963514355,-18.1125,10,4,1.0,0.005257337089764218
0.55,1.4,4,778,0.4615375036939296,0.09049936456894418,64.23749999999998,1.1993064351638463,-16.512500000000024,9,4,1.0,0.005167701046049625
0.85,1.4,4,458,0.4693700695855868,0.11480977423259212,38.412499999999994,1.2880626567974953,-16.487499999999994,7,3,0.75,0.0049239359928202504
0.5,1.3,4,837,0.4775526750153317,0.09174133739795,76.7375,1.1997297251348575,-17.912500000000055,10,4,1.0,0.004850830794339708
0.5,1.4,4,812,0.45922294358047633,0.08711367280615692,67.35,1.1788823422765193,-17.71250000000003,10,4,1.0,0.0046553732962542034
0.5,1.15,4,872,0.4983028658872831,0.07917098398488104,63.16249999999998,1.1729390273809641,-18.262500000000056,10,4,1.0,0.004110109486560976
