entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2025-10-03 13:53:00-04:00,2025-10-03 13:55:00-04:00,4,2,1.0,80-100%,0.0019331889271511598,0.6097454928742396,60-80%,1.3,26.0,target,2,-0.0037318093069528525,1.0,-0.4697780755618673,1.0,0.0,1.0,-1.93039037961604,1.0
2025-10-03 16:04:00-04:00,2025-10-03 16:19:00-04:00,4,2,0.4491471193752276,40-60%,0.0014326074576965235,0.4049847383561343,40-60%,0.2375,4.75,timeout,15,-0.001296805190770369,0.33389212824083186,-0.2158841177357406,0.2523327191337296,0.0,1.0,-0.9052062264533303,0.21036363012634898
2025-10-06 10:43:00-04:00,2025-10-06 10:49:00-04:00,4,2,0.2575361007533312,20-40%,0.0012802294086255042,0.3299721118162454,20-40%,-1.0,-20.0,stop,6,-0.0011515805976392277,0.20309192025666808,-0.21008617874923993,0.21355691498274632,0.06666666666666667,0.4121212121212121,-0.8995111265844158,0.20137435565269837
2025-10-06 15:24:00-04:00,2025-10-06 15:39:00-04:00,4,2,0.6768878748910128,60-80%,0.0007355160454272821,0.07718658732075803,00-20%,-0.3625,-7.25,timeout,15,-0.0009612273061670673,0.03164540711309176,-0.30248987048619436,0.8315398675392224,0.0,1.0,-1.3068746931396489,0.8443662249117369
2025-10-06 15:45:00-04:00,2025-10-06 16:00:00-04:00,4,2,0.6869236120038731,60-80%,0.0007560032907097475,0.08365576758382924,00-20%,1.3,26.0,target,15,-0.0009713739817440075,0.040784267461718274,-0.31231663431165724,0.8972598881226216,0.0,1.0,-1.2848806264217008,0.8096502924311525
2025-10-06 16:05:00-04:00,2025-10-06 16:20:00-04:00,4,2,0.5854481038653757,40-60%,0.0011112190819390004,0.23979007004984737,20-40%,0.3625,7.25,timeout,15,-0.001463029320254465,0.4836061005077236,-0.32599651214674563,0.9887489957137514,0.11229946524064172,0.009722897423432138,-1.3165984494268943,0.8597144218165956
2025-10-06 16:22:00-04:00,2025-10-06 16:37:00-04:00,4,2,0.5287682877914034,40-60%,0.0008353727049001039,0.10906256176024946,00-20%,-0.275,-5.5,timeout,15,-0.0009529564473460789,0.02419604863552302,-0.3180199038757825,0.9354025564317717,0.04838709677419355,0.5733137829912024,-1.1407560263296321,0.5821607631071165
2025-10-07 10:28:00-04:00,2025-10-07 10:33:00-04:00,4,2,0.6435713003279415,60-80%,0.0013407148337473472,0.36003864819165987,20-40%,-1.0,-20.0,stop,5,-0.001520390689893993,0.535270070895518,-0.2480561259527186,0.4674946055678415,0.0,1.0,-1.1340149684511547,0.5715205248484064
2025-10-07 10:36:00-04:00,2025-10-07 10:51:00-04:00,4,2,0.2986348568932009,20-40%,0.0013792739586347426,0.3792924745822262,20-40%,0.6,12.0,timeout,15,-0.0010795427713124236,0.13820922743504488,-0.18403799136857904,0.03935028488327538,0.0,1.0,-0.7826891565334821,0.016979915254483353
2025-10-07 10:52:00-04:00,2025-10-07 11:04:00-04:00,4,2,0.5797765207308708,40-60%,0.0014690188950401454,0.4220382529260634,40-60%,1.3,26.0,target,12,-0.0015020545625250394,0.5187551733718082,-0.23869170608150345,0.404866676615976,0.0,1.0,-1.0224882522589958,0.3954842329356993
2025-10-07 11:05:00-04:00,2025-10-07 11:06:00-04:00,4,2,1.0,80-100%,0.0015835537381775223,0.4737433847910582,40-60%,1.3,26.0,target,1,-0.0030856639492654564,1.0,-0.44613517935470354,1.0,0.0,1.0,-1.948569142223541,1.0
2025-10-07 11:46:00-04:00,2025-10-07 11:48:00-04:00,4,2,0.7131431872085038,60-80%,0.0023578235751898417,0.7375656031094227,60-80%,1.3,26.0,target,2,-0.002696018342381667,1.0,-0.2654088319610194,0.5835470737352533,0.03598971722365039,0.682636129936901,-1.143435145339318,0.5863895451618605
2025-10-07 11:49:00-04:00,2025-10-07 11:54:00-04:00,4,2,1.0,80-100%,0.0023566463907947035,0.7373020927117416,60-80%,-1.0,-20.0,stop,5,-0.004217852583182279,1.0,-0.41996440223782916,1.0,0.0,1.0,-1.7897689698622725,1.0
2025-10-07 13:54:00-04:00,2025-10-07 14:04:00-04:00,4,2,0.28678654349142263,20-40%,0.001643197113331685,0.4981005292167153,40-60%,1.3,26.0,target,10,-0.0013537618360070093,0.3851915733444949,-0.24332242677003244,0.4358362882166458,0.08571428571428572,0.24415584415584415,-0.8238584555824665,0.08196246824870558
2025-10-08 10:47:00-04:00,2025-10-08 11:02:00-04:00,4,2,0.29137280151823225,20-40%,0.0012239422415364258,0.29928632600628036,20-40%,-0.825,-16.5,timeout,15,-0.0010114451269549042,0.0768753592991448,-0.17855315929796703,0.0026684959465060236,0.0,1.0,-0.8263830535705899,0.08594735082727806
2025-10-08 12:48:00-04:00,2025-10-08 13:03:00-04:00,4,2,0.7325368178613979,60-80%,0.0006664117487481121,0.059764158194075406,00-20%,-0.5,-10.0,timeout,15,-0.0010386455429300706,0.1013741028665979,-0.36798654330630987,1.0,0.019417475728155338,0.8287731685789937,-1.5585642733358442,1.0
2025-10-08 14:50:00-04:00,2025-10-08 15:05:00-04:00,4,2,0.5277447938876452,40-60%,0.000824868393118391,0.10498693427611498,00-20%,-0.65,-13.0,timeout,15,-0.0009593265872042309,0.029933476438691847,-0.24749855579093277,0.4637656543932643,0.0,1.0,-1.1630056324227973,0.6172800447186246
2025-10-09 09:55:00-04:00,2025-10-09 09:58:00-04:00,4,2,0.8434684289313975,80-100%,0.0019339071184660984,0.6099650848723073,60-80%,-1.0,-20.0,stop,3,-0.0026021301269006022,1.0,-0.3266048295796567,0.9928173375323025,0.05945945945945946,0.47567567567567565,-1.3455300422930927,0.9053807025176118
2025-10-09 10:28:00-04:00,2025-10-09 10:32:00-04:00,4,2,0.7678562789462084,60-80%,0.0011558173474823252,0.262829662487099,20-40%,1.3,26.0,target,4,-0.0014983476912656067,0.5154164858860979,-0.28704541771456243,0.7282495298371074,0.0,1.0,-1.296353350751659,0.8277591000616288
2025-10-09 10:35:00-04:00,2025-10-09 10:45:00-04:00,4,2,0.9982430343656061,80-100%,0.0013297110826597203,0.354671819758888,20-40%,1.3,26.0,target,10,-0.002028567224296057,0.9929721374624247,-0.34107348013032446,1.0,0.0,1.0,-1.5255699157131697,1.0
