model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
baseline,9.999999999999998,1.25,15,0.0,4,524,0.5157657657657657,0.507358233920734,0.16868990384615384,0.1438000124523562,1.3826101121119085,1.32735672461701,62.625,-20.25,7
xgboost,19.999999999999996,1.3,10,0.6,4,69,0.5080645161290323,0.49039589442815246,0.16854838709677422,0.12791055718475075,1.3433333333333335,1.2783333333333333,11.5,-5.7,5
xgboost,15.000000000000002,1.3,12,0.6,4,70,0.5079365079365079,0.5392623716153128,0.1682539682539683,0.24030345471521947,1.3866666666666667,1.708245614035088,15.100000000000005,-4.500000000000001,3
xgboost,12.5,1.3,12,0.54,4,111,0.5075757575757576,0.49184643040575243,0.16742424242424248,0.13124678993323063,1.3406250000000002,1.2831696428571429,6.3000000000000025,-10.200000000000001,6
xgboost,9.999999999999998,1.25,15,0.5,4,188,0.5181352459016393,0.521340350223547,0.16580430327868853,0.17301578800298062,1.3791368515205724,1.4614701351619956,30.25,-8.5,6
baseline,9.999999999999998,1.25,10,0.0,4,530,0.5147382583170255,0.5061191291585128,0.16544306506849316,0.14271806031202433,1.3863963615930324,1.3426297077586993,63.4875,-18.0875,6
xgboost,15.000000000000002,1.3,12,0.58,4,88,0.5066445182724253,0.5113350796490331,0.1652823920265781,0.17607068319277625,1.38125,1.4427678571428573,13.200000000000003,-7.4,4
xgboost,17.500000000000004,1.3,15,0.56,4,111,0.5064102564102564,0.501270892228339,0.16474358974358982,0.15292305212517984,1.3342105263157897,1.319605263157895,13.200000000000006,-6.9,5
xgboost,12.5,1.35,15,0.5,4,147,0.4955673758865249,0.49778368794326244,0.16458333333333341,0.16979166666666673,1.3933928571428573,1.461696428571429,15.150000000000007,-15.15,6
baseline,9.999999999999998,1.2,12,0.0,4,531,0.5325954011741683,0.5304020207292379,0.16049489359099806,0.15291997946495445,1.3726028490828148,1.3647644535624355,74.0875,-14.412500000000014,6
baseline,9.999999999999998,1.2,15,0.0,4,529,0.5212818003913895,0.5217105940847718,0.1593688845401174,0.1520952775801231,1.36112173944539,1.3515417474585116,71.925,-13.800000000000015,6
xgboost,9.999999999999998,1.25,12,0.56,4,117,0.5148809523809523,0.515625,0.15848214285714285,0.16015625,1.3621794871794872,1.39243842780027,22.5,-7.25,6
xgboost,12.5,1.25,12,0.58,4,104,0.5147058823529411,0.5102556987962094,0.15808823529411764,0.14807532229147102,1.328125,1.369140625,6.25,-13.25,7
