model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,17.500000000000004,1.35,15,0.54,4,112,0.527046783625731,0.5385233918128655,0.23855994152046786,0.26552997076023394,1.5044117647058828,1.5959558823529414,26.650000000000002,-3.65,3
xgboost,19.999999999999996,1.3,12,0.6,4,80,0.5358974358974359,0.5358058608058608,0.2325641025641026,0.23235347985347987,1.5011904761904762,1.5089285714285716,16.6,-6.1,4
xgboost,12.5,1.3,12,0.56,4,97,0.5357142857142857,0.5173500434656622,0.2321428571428572,0.18990509997102295,1.5166666666666666,1.44625,11.100000000000005,-8.300000000000002,5
xgboost,17.500000000000004,1.3,12,0.6,4,71,0.5357142857142857,0.5144088669950739,0.23214285714285718,0.18314039408867,1.5166666666666666,1.4354166666666668,11.800000000000004,-7.2,5
xgboost,15.000000000000002,1.35,10,0.52,4,140,0.5232142857142856,0.4935075953458306,0.22955357142857144,0.15974284906270203,1.5152623211446743,1.620852314418491,22.150000000000002,-6.949999999999999,6
xgboost,9.999999999999998,1.35,15,0.52,4,112,0.5216666666666667,0.5259060984060984,0.2259166666666667,0.23587933125433136,1.52,1.6740625000000002,29.000000000000014,-6.6,6
xgboost,9.999999999999998,1.2,15,0.56,4,143,0.5566123188405797,0.5083786231884058,0.2245471014492753,0.1184329710144927,1.5069124423963136,1.329772010671841,28.59999999999999,-6.0,6
xgboost,9.999999999999998,1.25,15,0.56,4,116,0.5415120593692022,0.5544861884147598,0.218402133580705,0.24759392393320964,1.5455316742081449,2.0401269482151836,23.5,-7.0,5
xgboost,9.999999999999998,1.3,15,0.5,4,161,0.5294202066590126,0.5547558699198953,0.21766647531572908,0.2759385008157593,1.519246031746031,1.9168199855699855,39.10000000000001,-9.5,6
xgboost,12.5,1.3,12,0.52,4,133,0.5285947712418301,0.5088200773267053,0.21576797385620922,0.1702861778514223,1.4577205882352944,1.3729151721664274,11.900000000000004,-10.100000000000001,4
xgboost,12.5,1.25,15,0.52,4,180,0.5400641025641025,0.5275589330024814,0.21514423076923078,0.18700759925558313,1.4678030303030303,1.4385005717552888,22.5,-8.75,4
xgboost,17.500000000000004,1.35,10,0.5,4,187,0.5159574468085106,0.48469937117753464,0.21250000000000008,0.13904352226720654,1.4420454545454544,1.3116477272727272,36.250000000000014,-5.949999999999999,5
xgboost,9.999999999999998,1.2,15,0.54,4,162,0.5508333333333333,0.5117612044817927,0.21183333333333332,0.12587464985994395,1.4727272727272729,1.3316017316017317,31.599999999999998,-6.0,6
xgboost,17.500000000000004,1.35,10,0.56,4,97,0.515625,0.5127532114624506,0.21171875000000007,0.20497004693675894,1.4400000000000002,1.4400000000000002,25.200000000000006,-3.3,3
xgboost,15.000000000000002,1.35,15,0.52,4,144,0.5152777777777777,0.482484090127279,0.2109027777777778,0.13383761179910564,1.4544642857142858,1.385357142857143,22.85,-7.85,6
xgboost,17.500000000000004,1.35,10,0.54,4,124,0.5147058823529411,0.5151654411764706,0.2095588235294118,0.21063878676470593,1.4343750000000002,1.4371875,28.750000000000004,-4.600000000000001,4
