hypothesis,direction,barrier,horizon,windows,total_trades,mean_WR,median_R,mean_PF,median_PF,total_R,worst_DD
S2_LONG_CONTINUATION_30,long,0.50R,15,4,1233,0.6596059817836248,0.01683679236751673,1.0542074138780144,1.0547808072786475,25.199999999999996,-20.6375
S2_LONG_CONTINUATION_30,long,0.50R,10,4,1251,0.6398122799930908,0.016815648576295937,1.0579461404363144,1.0560878873696784,26.775,-20.0
S1_LONG_CONTINUATION_15,long,0.50R,10,4,1178,0.6404690065864059,0.016285587975243147,1.048019404107136,1.0557775881830087,15.387500000000001,-12.725000000000001
S1_LONG_CONTINUATION_15,long,0.75R,15,4,1039,0.5687262712527041,0.016192257823488043,1.0543288738595928,1.0421382734884437,18.625,-17.5
S2_LONG_CONTINUATION_30,long,0.67R,10,4,1125,0.5680178590769397,0.016176098719081277,1.0407980070433556,1.0504438451044238,21.200000000000006,-19.057500000000005
S2_SHORT_CONTINUATION_30,short,0.67R,5,4,1493,0.583771688454351,0.015442436680101158,1.063575400753598,1.0439498593255379,22.450000000000006,-18.82999999999993
S1_LONG_CONTINUATION_15,long,0.67R,10,4,1091,0.5830756958961382,0.014906762295081963,1.049146033120862,1.043076227167129,15.212499999999995,-20.220000000000006
S1_LONG_CONTINUATION_15,long,0.67R,15,4,1076,0.5923876531792329,0.014333558171858387,1.0463291282925125,1.040025818278648,13.339999999999998,-24.0375
S1_LONG_CONTINUATION_15,long,0.75R,10,4,1058,0.5649384753901561,0.013556672669067626,1.0650764731246527,1.0354655998764386,22.525,-14.662499999999998
S2_SHORT_CONTINUATION_30,short,0.50R,5,4,1615,0.643675506449938,0.01352141285835935,1.0577408552545307,1.0499084013284163,5.674999999999997,-29.962500000000002
S1_SHORT_CONTINUATION_15,short,0.75R,10,4,1500,0.5526816797180847,0.013459536820192554,1.0246617840610166,1.0366301431973626,10.212499999999997,-21.1
S2_LONG_CONTINUATION_30,long,0.75R,5,4,1201,0.5214257755569413,0.01289841168318943,1.0401253643069608,1.0447983429531824,18.4875,-14.700000000000001
S2_LONG_CONTINUATION,long,0.50R,5,4,1515,0.5998235463484496,0.01147701833685051,1.0267634271945563,1.0379356131401984,24.375,-12.025
S1_SHORT_CONTINUATION_15,short,0.50R,10,4,1642,0.6356854791349704,0.010972767617620392,0.9959471168732057,1.0376376450747222,-18.587500000000006,-41.925
S1_SHORT_CONTINUATION_15,short,0.50R,15,4,1634,0.6507280186889061,0.010246968950799682,0.9931195170773677,1.0332078469478916,-19.200000000000003,-42.6625
S2_LONG_CONTINUATION,long,0.50R,10,4,1464,0.6457197501355434,0.009443931093657182,1.0545330928890224,1.0297189977814718,33.975,-12.2375
S2_SHORT_CONTINUATION,short,1.00R,10,4,1375,0.5083849054711371,0.007559798890872007,1.0685111622941084,1.0174043375704362,35.025,-27.949999999999996
S1_LONG_CONTINUATION_15,long,1.00R,5,4,1072,0.506276928498835,0.00673950501253133,1.026493742654807,0.9986120348041911,7.712499999999997,-19.4375
S1_SHORT_CONTINUATION_15,short,0.75R,15,4,1490,0.5640832121837627,0.005865118911540467,1.0094844709637003,1.015068409212176,4.325000000000003,-19.6125
S2_LONG_CONTINUATION,long,1.00R,5,4,1321,0.498165721695772,0.005316439843032483,1.018406108145217,1.0140545234570446,11.850000000000001,-16.6125
S2_LONG_CONTINUATION,long,0.50R,15,4,1451,0.6571697408407127,0.0044070686846748985,1.0369819931921003,1.014495573340256,29.274999999999995,-12.5
S1_SHORT_CONTINUATION_15,short,0.67R,10,4,1540,0.5706291554842589,0.003365960224989959,0.9846510341775366,1.0096355406180906,-12.5425,-27.180000000000007
S1_LONG_CONTINUATION_15,long,0.50R,5,4,1224,0.6094245235394415,0.0033427364231693596,1.0292191543831062,1.0073384544778707,5.374999999999998,-13.937499999999996
S2_LONG_CONTINUATION_30,long,0.50R,5,4,1332,0.5901070696178468,0.003320805647840529,1.019749872812688,1.0131163542122446,13.599999999999998,-17.900000000000002
S1_SHORT_CONTINUATION_15,short,0.67R,15,4,1530,0.5811786355502242,0.0027582354935132983,0.9804699244246387,1.0073166932455266,-14.929999999999998,-27.542499999999908
S2_LONG_CONTINUATION_30,long,1.00R,5,4,1133,0.48702343974505924,0.0026042899408284066,1.0063782336135372,1.0088806611197152,8.149999999999997,-14.675
S2_LONG_CONTINUATION,long,1.00R,15,4,1188,0.5119344192221746,7.233607448984278e-05,1.0253797849833661,1.0007732359234347,12.737500000000002,-19.6875
S1_SHORT_CONTINUATION_15,short,0.67R,5,4,1600,0.5427594421950992,-0.0009323144858039796,0.9704690319426507,0.9967042264029164,-21.3375,-29.5549999999999
S1_SHORT_CONTINUATION_15,short,0.50R,5,4,1688,0.6019764814445908,-0.0009786693191865584,0.9724754012146591,0.9993933956750676,-34.15,-45.112500000000004
S2_LONG_CONTINUATION_30,long,0.67R,5,4,1231,0.5375645791908477,-0.0017105735105338636,1.016088428439435,0.9947612897530282,19.890000000000008,-14.21
S1_SHORT_CONTINUATION_15,short,1.00R,10,4,1403,0.4923066201212106,-0.003409012915704746,1.0126909349272177,0.998041462064142,8.3625,-26.4625
S1_SHORT_CONTINUATION_15,short,0.75R,5,4,1568,0.5311897548529679,-0.004272797316896298,0.996916406960604,0.986363143544378,-2.3625000000000007,-22.225000000000005
S2_LONG_CONTINUATION,long,0.75R,5,4,1395,0.5341641260718314,-0.004597571378393291,1.0157854741170533,0.9872854364343128,5.6250000000000036,-21.437500000000004
S1_SHORT_CONTINUATION,short,1.00R,5,4,1456,0.4932805621778202,-0.00512151273609426,0.9919592376003544,0.994204456385674,-10.699999999999992,-32.312499999999986
