trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,avg_holding_bars,window,hypothesis,direction,barrier,horizon
221,0.5339366515837104,0.06374434389140271,14.087499999999999,1.1584868513570528,-8.0,7,4.570135746606335,1,S1_LONG_CONTINUATION_15,long,1.00R,10
220,0.5227272727272727,0.06335227272727272,13.937499999999998,1.1488850313793566,-8.250000000000002,7,5.340909090909091,1,S1_LONG_CONTINUATION_15,long,1.00R,15
712,0.6699438202247191,0.027141853932584267,19.325,1.0921554601812113,-12.025,5,2.181179775280899,1,S2_LONG_CONTINUATION,long,0.50R,5
695,0.6776978417266187,0.02737410071942446,19.025,1.0887101474616776,-12.2375,5,2.464748201438849,1,S2_LONG_CONTINUATION,long,0.50R,10
695,0.6762589928057554,0.026384892086330932,18.3375,1.0848172987974098,-12.5,5,2.5841726618705034,1,S2_LONG_CONTINUATION,long,0.50R,15
669,0.5919282511210763,0.0018572496263079272,1.2425000000000033,1.0051502590673576,-20.652500000000007,6,2.5739910313901344,1,S2_LONG_CONTINUATION,long,0.67R,5
646,0.586687306501548,-0.011667956656346751,-7.537500000000001,0.970442625361502,-22.620000000000008,6,3.01702786377709,1,S2_LONG_CONTINUATION,long,0.67R,10
645,0.5844961240310077,-0.012503875968992245,-8.064999999999998,0.9688143457876166,-21.65750000000001,7,3.2,1,S2_LONG_CONTINUATION,long,0.67R,15
657,0.563165905631659,-0.007134703196347023,-4.687499999999994,0.9814264487369985,-21.437500000000004,6,2.7031963470319633,1,S2_LONG_CONTINUATION,long,0.75R,5
630,0.5587301587301587,-0.018650793650793654,-11.750000000000002,0.9557272042200454,-24.7,6,3.2111111111111112,1,S2_LONG_CONTINUATION,long,0.75R,10
626,0.5559105431309904,-0.014796325878594248,-9.2625,0.9654319835790258,-24.35,7,3.3945686900958467,1,S2_LONG_CONTINUATION,long,0.75R,15
609,0.5205254515599343,0.007101806239737273,4.324999999999999,1.0172559972071216,-16.6125,7,3.0788177339901477,1,S2_LONG_CONTINUATION,long,1.00R,5
572,0.4965034965034965,-0.00939685314685315,-5.375000000000002,0.9800806040672627,-21.5125,7,3.8374125874125875,1,S2_LONG_CONTINUATION,long,1.00R,10
564,0.4946808510638298,-0.004609929078014187,-2.6000000000000014,0.990510515990693,-19.6875,7,4.154255319148936,1,S2_LONG_CONTINUATION,long,1.00R,15
615,0.6536585365853659,0.024451219512195123,15.037500000000001,1.0851681415929204,-17.900000000000002,6,2.3983739837398375,1,S2_LONG_CONTINUATION_30,long,0.50R,5
587,0.6695059625212947,0.025702725724020443,15.0875,1.0841525482813916,-20.0,6,2.8091993185689947,1,S2_LONG_CONTINUATION_30,long,0.50R,10
582,0.6769759450171822,0.024463058419243983,14.237499999999997,1.0787472345132745,-20.6375,6,2.957044673539519,1,S2_LONG_CONTINUATION_30,long,0.50R,15
562,0.6067615658362989,0.03979537366548043,22.365000000000002,1.12493540953844,-14.21,8,2.832740213523132,1,S2_LONG_CONTINUATION_30,long,0.67R,5
522,0.6015325670498084,0.026896551724137935,14.040000000000003,1.073865579376562,-19.057500000000005,8,3.4636015325670497,1,S2_LONG_CONTINUATION_30,long,0.67R,10
512,0.619140625,0.03780761718749999,19.357499999999995,1.1028013807753585,-16.115000000000002,8,3.630859375,1,S2_LONG_CONTINUATION_30,long,0.67R,15
548,0.5711678832116789,0.028010948905109488,15.35,1.0823277017967285,-14.700000000000001,8,2.968978102189781,1,S2_LONG_CONTINUATION_30,long,0.75R,5
506,0.5810276679841897,0.033498023715415014,16.949999999999996,1.087772671370315,-16.35,8,3.685770750988142,1,S2_LONG_CONTINUATION_30,long,0.75R,10
497,0.5915492957746479,0.038958752515090546,19.3625,1.099409575150815,-15.5375,8,3.915492957746479,1,S2_LONG_CONTINUATION_30,long,0.75R,15
512,0.51953125,0.023632812499999996,12.099999999999998,1.0620393514067807,-14.675,8,3.3359375,1,S2_LONG_CONTINUATION_30,long,1.00R,5
463,0.5140388768898488,0.024757019438444928,11.462500000000002,1.0565316564946674,-16.9875,9,4.365010799136069,1,S2_LONG_CONTINUATION_30,long,1.00R,10
449,0.5256124721603563,0.041230512249443206,18.5125,1.0906531186876416,-14.65,9,4.712694877505568,1,S2_LONG_CONTINUATION_30,long,1.00R,15
450,0.6088888888888889,-0.043777777777777784,-19.700000000000003,0.8710205417791962,-27.5,6,1.9955555555555555,1,S1_SHORT_CONTINUATION,short,0.50R,5
448,0.6205357142857143,-0.039090401785714275,-17.512499999999996,0.886319376825706,-27.087500000000002,6,2.40625,1,S1_SHORT_CONTINUATION,short,0.50R,10
446,0.6233183856502242,-0.04616031390134529,-20.5875,0.8700694225307669,-28.7875,6,2.6278026905829597,1,S1_SHORT_CONTINUATION,short,0.50R,15
428,0.5630841121495327,-0.0211857476635514,-9.067499999999999,0.9435442446883027,-25.250000000000007,6,2.2733644859813085,1,S1_SHORT_CONTINUATION,short,0.67R,5
424,0.5731132075471698,-0.018832547169811323,-7.985,0.9516280478570349,-24.697500000000005,6,2.813679245283019,1,S1_SHORT_CONTINUATION,short,0.67R,10
422,0.5687203791469194,-0.030035545023696677,-12.674999999999997,0.9257958287596048,-26.397500000000004,6,3.1113744075829386,1,S1_SHORT_CONTINUATION,short,0.67R,15
419,0.5584725536992841,0.008114558472553697,3.3999999999999986,1.0215873015873014,-21.087500000000002,7,2.389021479713604,1,S1_SHORT_CONTINUATION,short,0.75R,5
415,0.563855421686747,0.010813253012048187,4.487499999999998,1.027417137620284,-20.8375,7,3.0096385542168673,1,S1_SHORT_CONTINUATION,short,0.75R,10
413,0.5617433414043583,0.00021186440677965757,0.08749999999999858,1.0005147815855273,-22.5375,6,3.351089588377724,1,S1_SHORT_CONTINUATION,short,0.75R,15
399,0.5288220551378446,0.04812030075187971,19.200000000000003,1.1207357333752554,-16.075000000000003,7,2.699248120300752,1,S1_SHORT_CONTINUATION,short,1.00R,5
390,0.5102564102564102,0.029519230769230773,11.512500000000001,1.0677305486100896,-20.674999999999997,8,3.6,1,S1_SHORT_CONTINUATION,short,1.00R,10
388,0.5103092783505154,0.028704896907216497,11.137500000000001,1.0626538218128119,-23.012500000000003,10,4.131443298969073,1,S1_SHORT_CONTINUATION,short,1.00R,15
520,0.6384615384615384,-0.008365384615384618,-4.350000000000001,0.9737080689029919,-23.3875,5,1.9653846153846153,1,S1_SHORT_CONTINUATION_15,short,0.50R,5
516,0.6531007751937985,0.003657945736434107,1.8874999999999993,1.0113945064895864,-22.65,5,2.2771317829457365,1,S1_SHORT_CONTINUATION_15,short,0.50R,10
515,0.6640776699029126,0.0034951456310679625,1.8000000000000007,1.0106951871657754,-23.1625,5,2.436893203883495,1,S1_SHORT_CONTINUATION_15,short,0.50R,15
497,0.5895372233400402,0.01766096579476862,8.777500000000003,1.0498261548286383,-19.519999999999907,6,2.2132796780684103,1,S1_SHORT_CONTINUATION_15,short,0.67R,5
492,0.5955284552845529,0.02226117886178862,10.9525,1.0600589485228595,-19.137499999999903,6,2.6747967479674797,1,S1_SHORT_CONTINUATION_15,short,0.67R,10
491,0.6069246435845214,0.020168024439918532,9.9025,1.0531000737314833,-18.974999999999902,6,2.9246435845213847,1,S1_SHORT_CONTINUATION_15,short,0.67R,15
487,0.5811088295687885,0.0445841889117043,21.712499999999995,1.1242400400543595,-17.674999999999997,6,2.3018480492813143,1,S1_SHORT_CONTINUATION_15,short,0.75R,5
481,0.577962577962578,0.03916320166320166,18.8375,1.102259618646943,-16.8375,6,2.8503118503118503,1,S1_SHORT_CONTINUATION_15,short,0.75R,10
480,0.5916666666666667,0.03666666666666667,17.6,1.0928147659854976,-16.674999999999997,6,3.1645833333333333,1,S1_SHORT_CONTINUATION_15,short,0.75R,15
460,0.5434782608695652,0.0763858695652174,35.1375,1.1933952528379772,-20.937499999999996,5,2.582608695652174,1,S1_SHORT_CONTINUATION_15,short,1.00R,5
454,0.5198237885462555,0.060490088105726876,27.462500000000002,1.1407160699417154,-21.575,8,3.3259911894273126,1,S1_SHORT_CONTINUATION_15,short,1.00R,10
452,0.5398230088495575,0.07563606194690266,34.1875,1.1713873919037474,-20.150000000000002,8,3.7411504424778763,1,S1_SHORT_CONTINUATION_15,short,1.00R,15
729,0.6488340192043895,0.005075445816186556,3.6999999999999993,1.0163130338936346,-28.375000000000004,4,1.8847736625514404,1,S2_SHORT_CONTINUATION,short,0.50R,5
717,0.6624825662482566,0.0073396094839609525,5.262500000000003,1.0227370922445451,-32.55,5,2.115760111576011,1,S2_SHORT_CONTINUATION,short,0.50R,10
714,0.6680672268907563,0.00891106442577031,6.362500000000001,1.0274867696295498,-32.125,5,2.165266106442577,1,S2_SHORT_CONTINUATION,short,0.50R,15
678,0.5722713864306784,-0.007345132743362827,-4.979999999999997,0.9802341734471127,-27.33999999999987,6,2.213864306784661,1,S2_SHORT_CONTINUATION,short,0.67R,5
656,0.5823170731707317,-0.008422256097560973,-5.524999999999999,0.9786370227162882,-35.324999999999854,6,2.580792682926829,1,S2_SHORT_CONTINUATION,short,0.67R,10
653,0.5880551301684533,-0.00926493108728943,-6.049999999999997,0.9768498588989335,-36.21499999999985,6,2.693721286370597,1,S2_SHORT_CONTINUATION,short,0.67R,15
664,0.5406626506024096,-0.014401355421686747,-9.5625,0.9635053907069937,-32.787499999999994,7,2.3237951807228914,1,S2_SHORT_CONTINUATION,short,0.75R,5
642,0.5498442367601246,-0.018730529595015585,-12.025000000000006,0.9557456987763362,-36.75,6,2.7383177570093458,1,S2_SHORT_CONTINUATION,short,0.75R,10
638,0.5517241379310345,-0.026234326018808773,-16.737499999999997,0.9398661696681189,-40.8625,6,2.871473354231975,1,S2_SHORT_CONTINUATION,short,0.75R,15
621,0.4943639291465378,0.008615136876006443,5.350000000000001,1.0200308887536855,-19.875,8,2.6618357487922704,1,S2_SHORT_CONTINUATION,short,1.00R,5
592,0.49324324324324326,0.0028082770270270296,1.6625000000000014,1.0059625212947187,-27.949999999999996,9,3.277027027027027,1,S2_SHORT_CONTINUATION,short,1.00R,10
587,0.4957410562180579,-0.002363713798977852,-1.3874999999999993,0.9951596023024595,-26.587500000000002,7,3.5059625212947187,1,S2_SHORT_CONTINUATION,short,1.00R,15
751,0.62982689747004,-0.02463382157123835,-18.5,0.9259703881552621,-29.962500000000002,5,1.8721704394141145,1,S2_SHORT_CONTINUATION_30,short,0.50R,5
737,0.6390773405698779,-0.023982360922659436,-17.675000000000004,0.9298054011119937,-29.249999999999996,5,2.101763907734057,1,S2_SHORT_CONTINUATION_30,short,0.50R,10
731,0.6443228454172366,-0.02267441860465116,-16.575,0.9342457601904196,-29.1625,5,2.1354309165526675,1,S2_SHORT_CONTINUATION_30,short,0.50R,15
703,0.5817923186344239,0.0035064011379800876,2.4650000000000016,1.0094322475725834,-18.82999999999993,8,2.126600284495021,1,S2_SHORT_CONTINUATION_30,short,0.67R,5
689,0.5863570391872278,-0.003984034833091428,-2.744999999999994,0.9898092718919673,-19.945000000000007,8,2.4281567489114657,1,S2_SHORT_CONTINUATION_30,short,0.67R,10
682,0.5909090909090909,-0.004446480938416418,-3.032499999999997,0.9888279990789778,-21.770000000000003,8,2.497067448680352,1,S2_SHORT_CONTINUATION_30,short,0.67R,15
679,0.5640648011782032,0.016384388807069213,11.124999999999996,1.0424375357619684,-15.749999999999995,8,2.2547864506627393,1,S2_SHORT_CONTINUATION_30,short,0.75R,5
660,0.5696969696969697,0.01174242424242424,7.749999999999998,1.0288788485723601,-17.9625,8,2.596969696969697,1,S2_SHORT_CONTINUATION_30,short,0.75R,10
653,0.5727411944869831,0.010011485451761101,6.5375,1.0240980509606967,-19.1,8,2.6952526799387444,1,S2_SHORT_CONTINUATION_30,short,0.75R,15
626,0.5159744408945687,0.052056709265175714,32.5875,1.1251740529120853,-12.4875,6,2.6070287539936103,1,S2_SHORT_CONTINUATION_30,short,1.00R,5
593,0.5109612141652614,0.03370573355817875,19.987499999999997,1.073931940077677,-12.912500000000001,7,3.136593591905565,1,S2_SHORT_CONTINUATION_30,short,1.00R,10
583,0.516295025728988,0.03698542024013723,21.562500000000004,1.0788823852204135,-13.600000000000001,7,3.30188679245283,1,S2_SHORT_CONTINUATION_30,short,1.00R,15
360,0.575,-0.0032986111111111085,-1.1874999999999991,0.986869384934347,-9.6375,4,3.4722222222222223,2,S1_LONG_CONTINUATION,long,0.50R,5
347,0.6253602305475504,-0.004719020172910661,-1.6374999999999993,0.9845737164390014,-16.262499999999996,4,4.789625360230548,2,S1_LONG_CONTINUATION,long,0.50R,10
345,0.6463768115942029,-0.0038405797101449253,-1.3249999999999993,0.9881099270891756,-16.375,4,5.315942028985507,2,S1_LONG_CONTINUATION,long,0.50R,15
337,0.5133531157270029,-0.020348664688427293,-6.857499999999998,0.9268728339109569,-17.3225,5,3.949554896142433,2,S1_LONG_CONTINUATION,long,0.67R,5
318,0.550314465408805,-0.03380503144654085,-10.749999999999991,0.9072476272648835,-25.707500000000003,8,5.767295597484277,2,S1_LONG_CONTINUATION,long,0.67R,10
315,0.5619047619047619,-0.039499999999999987,-12.442499999999995,0.898923639317628,-28.300000000000004,7,6.701587301587302,2,S1_LONG_CONTINUATION,long,0.67R,15
329,0.49848024316109424,-0.025797872340425534,-8.4875,0.9094425180048014,-18.0375,5,4.109422492401216,2,S1_LONG_CONTINUATION,long,0.75R,5
307,0.5309446254071661,-0.03648208469055375,-11.200000000000001,0.904058250348003,-26.862499999999997,8,6.159609120521172,2,S1_LONG_CONTINUATION,long,0.75R,10
304,0.5361842105263158,-0.04206414473684211,-12.787500000000001,0.8969373362885351,-29.099999999999998,7,7.213815789473684,2,S1_LONG_CONTINUATION,long,0.75R,15
315,0.48253968253968255,-0.032420634920634926,-10.212500000000002,0.8898327939590076,-14.537499999999998,5,4.431746031746032,2,S1_LONG_CONTINUATION,long,1.00R,5
279,0.5053763440860215,-0.0050179211469534,-1.3999999999999986,0.9870370370370369,-18.775,8,7.014336917562724,2,S1_LONG_CONTINUATION,long,1.00R,10
273,0.4945054945054945,-0.032783882783882785,-8.950000000000001,0.9259565667011378,-23.025,6,8.457875457875458,2,S1_LONG_CONTINUATION,long,1.00R,15
355,0.5746478873239437,-0.02447183098591549,-8.6875,0.908068783068783,-13.937499999999996,6,3.4309859154929576,2,S1_LONG_CONTINUATION_15,long,0.50R,5
330,0.6303030303030303,-0.0022727272727272713,-0.7499999999999996,0.9924242424242424,-12.725000000000001,9,4.781818181818182,2,S1_LONG_CONTINUATION_15,long,0.50R,10
326,0.6380368098159509,-0.013420245398773002,-4.374999999999998,0.9589779653070792,-13.875,5,5.346625766871166,2,S1_LONG_CONTINUATION_15,long,0.50R,15
329,0.5197568389057751,-0.04488601823708207,-14.7675,0.8500190427827852,-22.1525,6,3.8662613981762917,2,S1_LONG_CONTINUATION_15,long,0.67R,5
298,0.5503355704697986,-0.032139261744966445,-9.5775,0.9096355702323385,-20.220000000000006,9,5.75503355704698,2,S1_LONG_CONTINUATION_15,long,0.67R,10
290,0.5551724137931034,-0.044698275862068954,-12.962499999999997,0.8865674907022534,-24.0375,5,6.679310344827586,2,S1_LONG_CONTINUATION_15,long,0.67R,15
321,0.5109034267912772,-0.024104361370716518,-7.7375000000000025,0.9180566587238549,-15.225000000000001,7,3.9937694704049846,2,S1_LONG_CONTINUATION_15,long,0.75R,5
288,0.5416666666666666,-0.008637152777777777,-2.4875,0.9757907542579074,-14.662499999999998,9,6.027777777777778,2,S1_LONG_CONTINUATION_15,long,0.75R,10
279,0.5412186379928315,-0.024865591397849458,-6.937499999999998,0.9378081577767816,-17.5,5,7.111111111111111,2,S1_LONG_CONTINUATION_15,long,0.75R,15
309,0.5016181229773463,-0.0343042071197411,-10.600000000000001,0.8852348084991203,-19.4375,7,4.26537216828479,2,S1_LONG_CONTINUATION_15,long,1.00R,5
260,0.5076923076923077,0.009230769230769225,2.3999999999999986,1.0243284338570702,-13.225000000000001,9,6.796153846153846,2,S1_LONG_CONTINUATION_15,long,1.00R,10
250,0.5,-0.009349999999999999,-2.3375,0.9781235376696302,-14.55,5,8.312,2,S1_LONG_CONTINUATION_15,long,1.00R,15
197,0.5532994923857868,-0.004187817258883248,-0.825,0.9837157660991855,-6.4,7,3.0609137055837565,2,S2_LONG_CONTINUATION,long,0.50R,5
194,0.6134020618556701,-0.013079896907216497,-2.5375000000000005,0.9567625133120341,-7.375,4,4.407216494845361,2,S2_LONG_CONTINUATION,long,0.50R,10
189,0.6349206349206349,-0.021957671957671964,-4.150000000000001,0.9332260659694287,-7.85,4,5.121693121693122,2,S2_LONG_CONTINUATION,long,0.50R,15
185,0.4918918918918919,-0.01574324324324323,-2.912499999999998,0.9463380930446799,-7.9775,7,3.454054054054054,2,S2_LONG_CONTINUATION,long,0.67R,5
180,0.5111111111111111,-0.052402777777777784,-9.432500000000001,0.8558823529411766,-11.552500000000002,6,5.166666666666667,2,S2_LONG_CONTINUATION,long,0.67R,10
175,0.5485714285714286,-0.06262857142857142,-10.959999999999999,0.8424721523535754,-13.809999999999999,6,6.222857142857142,2,S2_LONG_CONTINUATION,long,0.67R,15
182,0.4835164835164835,-0.002060439560439558,-0.37499999999999956,0.9931444241316271,-7.3375,7,3.543956043956044,2,S2_LONG_CONTINUATION,long,0.75R,5
176,0.5,-0.040909090909090916,-7.200000000000001,0.8899292948595452,-10.5125,6,5.284090909090909,2,S2_LONG_CONTINUATION,long,0.75R,10
171,0.5321637426900585,-0.04700292397660819,-8.037500000000001,0.8846015793251975,-11.325000000000001,6,6.421052631578948,2,S2_LONG_CONTINUATION,long,0.75R,15
177,0.4406779661016949,0.0035310734463276936,0.6250000000000018,1.0108530497069674,-9.524999999999999,7,3.768361581920904,2,S2_LONG_CONTINUATION,long,1.00R,5
168,0.4583333333333333,-0.01168154761904761,-1.9624999999999986,0.9705440900562853,-9.775,7,5.863095238095238,2,S2_LONG_CONTINUATION,long,1.00R,10
163,0.5153374233128835,0.004754601226993872,0.7750000000000012,1.0110359558561766,-9.975,6,7.226993865030675,2,S2_LONG_CONTINUATION,long,1.00R,15
172,0.5872093023255814,0.012427325581395345,2.1374999999999993,1.0486486486486488,-6.6875,5,3.063953488372093,2,S2_LONG_CONTINUATION_30,long,0.50R,5
170,0.6294117647058823,0.003382352941176464,0.5749999999999988,1.01161322898258,-7.0125,5,4.317647058823529,2,S2_LONG_CONTINUATION_30,long,0.50R,10
166,0.6445783132530121,0.004593373493975897,0.7624999999999988,1.0148490749756571,-7.85,7,4.969879518072289,2,S2_LONG_CONTINUATION_30,long,0.50R,15
164,0.5,-0.006493902439024388,-1.0649999999999997,0.9779617175375067,-7.497500000000002,9,3.4390243902439024,2,S2_LONG_CONTINUATION_30,long,0.67R,5
160,0.54375,-0.003812499999999987,-0.6099999999999979,0.9884387585880124,-7.942500000000001,5,5.175,2,S2_LONG_CONTINUATION_30,long,0.67R,10
156,0.5576923076923077,-0.015464743589743576,-2.412499999999998,0.9585302965191236,-8.8275,8,6.205128205128205,2,S2_LONG_CONTINUATION_30,long,0.67R,15
159,0.4968553459119497,0.02311320754716982,3.6750000000000016,1.0792452830188681,-7.137499999999999,9,3.59748427672956,2,S2_LONG_CONTINUATION_30,long,0.75R,5
154,0.538961038961039,0.032061688311688305,4.937499999999999,1.0997726698661279,-8.374999999999998,5,5.461038961038961,2,S2_LONG_CONTINUATION_30,long,0.75R,10
150,0.5666666666666667,0.030833333333333345,4.625000000000002,1.0839573405945087,-8.724999999999998,8,6.6,2,S2_LONG_CONTINUATION_30,long,0.75R,15
150,0.44666666666666666,0.0022500000000000085,0.33750000000000124,1.0069767441860467,-7.675,9,3.9466666666666668,2,S2_LONG_CONTINUATION_30,long,1.00R,5
145,0.47586206896551725,0.01827586206896551,2.649999999999999,1.0493023255813954,-7.125,5,6.172413793103448,2,S2_LONG_CONTINUATION_30,long,1.00R,10
142,0.5,0.028521126760563384,4.050000000000001,1.0682824025289777,-7.487499999999998,8,7.5,2,S2_LONG_CONTINUATION_30,long,1.00R,15
357,0.6162464985994398,0.029306722689075627,10.462499999999999,1.1158798283261804,-8.8125,5,3.0644257703081235,2,S1_SHORT_CONTINUATION,short,0.50R,5
341,0.6539589442815249,0.029912023460410556,10.2,1.1022684546935706,-15.475,6,4.043988269794721,2,S1_SHORT_CONTINUATION,short,0.50R,10
341,0.6686217008797654,0.020564516129032255,7.012499999999999,1.0662494095418047,-18.612499999999997,5,4.378299120234604,2,S1_SHORT_CONTINUATION,short,0.50R,15
341,0.5366568914956011,0.015843108504398833,5.4025000000000025,1.0548825396825396,-9.797500000000008,10,3.536656891495601,2,S1_SHORT_CONTINUATION,short,0.67R,5
320,0.575,0.027203125000000005,8.705000000000002,1.0801934592353752,-11.8275,6,4.853125,2,S1_SHORT_CONTINUATION,short,0.67R,10
317,0.5930599369085173,0.014723974763406953,4.667500000000004,1.0396432742329333,-14.567500000000004,6,5.507886435331231,2,S1_SHORT_CONTINUATION,short,0.67R,15
335,0.5194029850746269,0.003283582089552248,1.1000000000000032,1.0108709079678813,-15.412500000000007,10,3.7134328358208957,2,S1_SHORT_CONTINUATION,short,0.75R,5
306,0.5522875816993464,0.030841503267973844,9.437499999999996,1.0872227356746764,-14.037499999999996,6,5.287581699346405,2,S1_SHORT_CONTINUATION,short,0.75R,10
303,0.5544554455445545,-0.004084158415841587,-1.2375000000000007,0.989911342097218,-20.787499999999998,6,6.0627062706270625,2,S1_SHORT_CONTINUATION,short,0.75R,15
319,0.5109717868338558,0.043965517241379315,14.025000000000002,1.1443272446616928,-9.024999999999999,10,4.006269592476489,2,S1_SHORT_CONTINUATION,short,1.00R,5
279,0.5232974910394266,0.06447132616487455,17.9875,1.1697134096001884,-17.237499999999997,6,5.989247311827957,2,S1_SHORT_CONTINUATION,short,1.00R,10
274,0.5291970802919708,0.05123175182481751,14.037499999999998,1.1187731359069275,-19.337500000000002,6,7.072992700729927,2,S1_SHORT_CONTINUATION,short,1.00R,15
307,0.6123778501628665,0.03713355048859934,11.399999999999999,1.152789411961803,-6.875000000000001,5,3.1237785016286646,2,S1_SHORT_CONTINUATION_15,short,0.50R,5
286,0.6538461538461539,0.04243881118881118,12.137499999999998,1.1511519302615194,-9.9625,5,4.143356643356643,2,S1_SHORT_CONTINUATION_15,short,0.50R,10
285,0.6842105263157895,0.044385964912280695,12.649999999999999,1.151112438405256,-9.125,5,4.491228070175438,2,S1_SHORT_CONTINUATION_15,short,0.50R,15
287,0.5331010452961672,0.007813588850174216,2.2424999999999997,1.0268522676246075,-9.620000000000003,5,3.5993031358885017,2,S1_SHORT_CONTINUATION_15,short,0.67R,5
262,0.5648854961832062,0.01254770992366413,3.2875000000000023,1.0362059471365639,-9.447500000000002,6,5.00763358778626,2,S1_SHORT_CONTINUATION_15,short,0.67R,10
261,0.5938697318007663,0.011005747126436783,2.8725000000000005,1.029450211457132,-10.520000000000003,5,5.593869731800766,2,S1_SHORT_CONTINUATION_15,short,0.67R,15
280,0.5285714285714286,0.010267857142857146,2.875000000000001,1.035114503816794,-9.0,5,3.757142857142857,2,S1_SHORT_CONTINUATION_15,short,0.75R,5
252,0.5515873015873016,0.037301587301587294,9.399999999999999,1.1059304127341876,-8.025,6,5.313492063492063,2,S1_SHORT_CONTINUATION_15,short,0.75R,10
251,0.5737051792828686,0.02186254980079681,5.487499999999999,1.0560449380824717,-10.962499999999999,5,6.0,2,S1_SHORT_CONTINUATION_15,short,0.75R,15
268,0.48507462686567165,0.004057835820895528,1.0875000000000015,1.0126545454545455,-9.575,6,4.082089552238806,2,S1_SHORT_CONTINUATION_15,short,1.00R,5
235,0.4978723404255319,0.027712765957446806,6.512499999999999,1.0696524064171122,-11.8125,6,6.131914893617021,2,S1_SHORT_CONTINUATION_15,short,1.00R,10
230,0.5,0.005543478260869559,1.2749999999999986,1.0123233055454874,-10.637500000000001,5,7.1347826086956525,2,S1_SHORT_CONTINUATION_15,short,1.00R,15
366,0.6721311475409836,0.06396857923497268,23.4125,1.2407145611103971,-8.8125,6,2.122950819672131,2,S2_SHORT_CONTINUATION,short,0.50R,5
