dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.6,4,0.0,95,19,0.2,0.5789473684210527,,,-0.0031578947368421373,
DEVELOPMENT,0.6,4,0.1,95,14,0.14736842105263157,0.6428571428571429,,,0.14071428571428565,
DEVELOPMENT,0.6,4,0.2,95,13,0.1368421052631579,0.6923076923076923,,,0.2215384615384615,
DEVELOPMENT,0.6,4,0.3,95,10,0.10526315789473684,0.7,,,0.23399999999999993,
DEVELOPMENT,0.6,4,0.4,95,7,0.07368421052631578,0.5714285714285714,,,-0.4357142857142858,
DEVELOPMENT,0.6,5,-0.5,95,62,0.6526315789473685,0.3064516129032258,,,-0.37177419354838714,
DEVELOPMENT,0.6,5,-0.4,95,49,0.5157894736842106,0.32653061224489793,,,-0.3510204081632653,
DEVELOPMENT,0.6,5,-0.3,95,40,0.42105263157894735,0.375,,,-0.3225,
DEVELOPMENT,0.6,5,-0.2,95,37,0.3894736842105263,0.40540540540540543,,,-0.2118918918918919,
DEVELOPMENT,0.6,5,-0.1,95,29,0.30526315789473685,0.4482758620689655,,,-0.19275862068965516,
DEVELOPMENT,0.6,5,0.0,95,24,0.25263157894736843,0.5,,,-0.09416666666666668,
DEVELOPMENT,0.6,5,0.1,95,18,0.18947368421052632,0.5,,,-0.07388888888888892,
DEVELOPMENT,0.6,5,0.2,95,16,0.16842105263157894,0.5625,,,-0.003750000000000031,
DEVELOPMENT,0.6,5,0.3,95,13,0.1368421052631579,0.6153846153846154,,,0.14999999999999994,
DEVELOPMENT,0.6,5,0.4,95,11,0.11578947368421053,0.5454545454545454,,,-0.12090909090909091,
DEVELOPMENT,0.6,6,-0.5,95,63,0.6631578947368421,0.30158730158730157,,,-0.3777777777777778,
DEVELOPMENT,0.6,6,-0.4,95,53,0.5578947368421052,0.32075471698113206,,,-0.34018867924528295,
DEVELOPMENT,0.6,6,-0.3,95,42,0.4421052631578947,0.38095238095238093,,,-0.305952380952381,
DEVELOPMENT,0.6,6,-0.2,95,39,0.4105263157894737,0.38461538461538464,,,-0.2643589743589744,
DEVELOPMENT,0.6,6,-0.1,95,33,0.3473684210526316,0.45454545454545453,,,-0.20545454545454545,
DEVELOPMENT,0.6,6,0.0,95,27,0.28421052631578947,0.48148148148148145,,,-0.11518518518518517,
DEVELOPMENT,0.6,6,0.1,95,21,0.22105263157894736,0.5238095238095238,,,-0.04571428571428576,
DEVELOPMENT,0.6,6,0.2,95,18,0.18947368421052632,0.5555555555555556,,,-0.010000000000000028,
DEVELOPMENT,0.6,6,0.3,95,13,0.1368421052631579,0.6153846153846154,,,0.14999999999999994,
DEVELOPMENT,0.6,6,0.4,95,11,0.11578947368421053,0.5454545454545454,,,-0.12090909090909091,
DEVELOPMENT,0.6,8,-0.5,95,65,0.6842105263157895,0.2923076923076923,,,-0.39399999999999996,
DEVELOPMENT,0.6,8,-0.4,95,58,0.6105263157894737,0.3103448275862069,,,-0.3643103448275862,
DEVELOPMENT,0.6,8,-0.3,95,47,0.49473684210526314,0.3829787234042553,,,-0.27829787234042563,
DEVELOPMENT,0.6,8,-0.2,95,42,0.4421052631578947,0.42857142857142855,,,-0.174047619047619,
DEVELOPMENT,0.6,8,-0.1,95,36,0.37894736842105264,0.5,,,-0.10500000000000004,
