mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,3.0,0.0,15,0.15789473684210525,0.6,80,0.1375,0.46249999999999997,-0.024666666666666646,-0.8390000000000001,0.8143333333333335,20,0.2,0.5,80,0.2125,0.2875,0.06349999999999999,-0.8364999999999998,0.8999999999999998
0.6,3.0,0.1,9,0.09473684210526316,0.5555555555555556,86,0.1744186046511628,0.3811369509043928,0.11666666666666664,-0.7969767441860466,0.9136434108527132,16,0.16,0.5,84,0.2261904761904762,0.27380952380952384,0.04562500000000003,-0.7902380952380952,0.8358630952380952
0.6,3.0,0.2,6,0.06315789473684211,0.6666666666666666,89,0.1797752808988764,0.48689138576779023,0.295,-0.7782022471910112,1.0732022471910112,14,0.14,0.5714285714285714,86,0.22093023255813954,0.35049833887043186,0.16,-0.7894186046511628,0.9494186046511628
0.6,3.0,0.3,3,0.031578947368421054,0.6666666666666666,92,0.1956521739130435,0.47101449275362317,-0.7866666666666666,-0.7079347826086956,-0.07873188405797105,8,0.08,0.625,92,0.2391304347826087,0.3858695652173913,0.59375,-0.7652173913043477,1.3589673913043478
0.6,3.0,0.4,2,0.021052631578947368,0.5,93,0.20430107526881722,0.29569892473118276,-1.225,-0.6993548387096773,-0.5256451612903228,8,0.08,0.625,92,0.2391304347826087,0.3858695652173913,0.59375,-0.7652173913043477,1.3589673913043478
0.6,4.0,-0.5,56,0.5894736842105263,0.32142857142857145,39,0.05128205128205128,0.2701465201465202,-0.32250000000000006,-1.2674358974358977,0.9449358974358977,62,0.62,0.3548387096774194,38,0.13157894736842105,0.22325976230899833,-0.32370967741935486,-1.1994736842105262,0.8757640067911714
0.6,4.0,-0.4,44,0.4631578947368421,0.3409090909090909,51,0.09803921568627451,0.2428698752228164,-0.2988636363636364,-1.0654901960784315,0.7666265597147952,51,0.51,0.4117647058823529,49,0.12244897959183673,0.28931572629051616,-0.18607843137254898,-1.1461224489795918,0.9600440176070428
0.6,4.0,-0.3,35,0.3684210526315789,0.37142857142857144,60,0.11666666666666667,0.25476190476190474,-0.29971428571428577,-0.95,0.6502857142857141,47,0.47,0.40425531914893614,53,0.1509433962264151,0.253311922922521,-0.18085106382978727,-1.0783018867924528,0.8974508229626654
0.6,4.0,-0.2,33,0.3473684210526316,0.3939393939393939,62,0.11290322580645161,0.2810361681329423,-0.22303030303030305,-0.9698387096774195,0.7468084066471165,39,0.39,0.4358974358974359,61,0.16393442622950818,0.27196300966792775,-0.0015384615384615456,-1.0752459016393443,1.0737074401008828
0.6,4.0,-0.1,25,0.2631578947368421,0.48,70,0.11428571428571428,0.3657142857142857,-0.13880000000000003,-0.9145714285714287,0.7757714285714287,33,0.33,0.48484848484848486,67,0.16417910447761194,0.3206693803708729,0.0809090909090909,-1.0197014925373133,1.1006105834464042
0.6,4.0,0.0,19,0.2,0.5789473684210527,76,0.11842105263157894,0.46052631578947373,-0.0031578947368421373,-0.8872368421052631,0.884078947368421,26,0.26,0.5,74,0.1891891891891892,0.3108108108108108,0.1588461538461539,-0.942972972972973,1.1018191268191269
0.6,4.0,0.1,14,0.14736842105263157,0.6428571428571429,81,0.13580246913580246,0.5070546737213404,0.14071428571428565,-0.8575308641975308,0.9982451499118165,22,0.22,0.45454545454545453,78,0.21794871794871795,0.23659673659673658,0.13590909090909092,-0.8799999999999998,1.0159090909090907
0.6,4.0,0.2,13,0.1368421052631579,0.6923076923076923,82,0.13414634146341464,0.5581613508442776,0.2215384615384615,-0.858170731707317,1.0797091932457785,18,0.18,0.5555555555555556,82,0.2073170731707317,0.3482384823848239,0.26944444444444443,-0.8597560975609756,1.12920054200542
0.6,4.0,0.3,10,0.10526315789473684,0.7,85,0.15294117647058825,0.5470588235294117,0.23399999999999993,-0.8215294117647057,1.0555294117647056,12,0.12,0.6666666666666666,88,0.2159090909090909,0.4507575757575757,0.7816666666666667,-0.8526136363636364,1.634280303030303
