filter,window,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
TIME_13:00-14:30,3,8,3,5,0.375,-0.4119,-0.6244,-3.2952,0.24801460520310367,-3.8308,3
TIME_13:00-14:30,5,18,9,9,0.5,0.18837777777777784,0.10560000000000001,3.390800000000001,1.5949189416801182,-1.6088,2
TIME_13:00-14:30,6,21,11,10,0.5238095238095238,0.13560000000000005,0.2256,2.8476000000000012,1.3730154571653133,-4.353999999999999,4
TIME_13:00-14:30,7,1,1,0,1.0,0.2756,0.2756,0.2756,inf,0.0,0
TIME_13:00-14:30,8,2,2,0,1.0,1.7056,1.7056,3.4112,inf,0.0,0
TIME_13:00-14:30,9,12,4,8,0.3333333333333333,-0.09689999999999999,-0.4894,-1.1627999999999998,0.8104707263006913,-3.9307999999999996,4
TIME_13:00-14:30,10,10,6,4,0.6,0.3476,0.17559999999999998,3.476,3.0720076299475445,-0.8687999999999999,2
TIME_13:00-14:30,11,5,1,4,0.2,-0.7864,-1.0444,-3.932,0.05878973573343547,-3.1332,3
TIME_13:00-14:30,12,6,4,2,0.6666666666666666,0.5256,0.9156,3.1536,2.5097663730371504,-1.0444,1
TIME_13:00-14:30,14,16,8,8,0.5,-0.029399999999999996,-0.38939999999999997,-0.47039999999999993,0.9436997319034853,-2.8676,2
TIME_13:00-14:30,16,4,2,2,0.5,0.3306,0.3306,1.3224,1.6330907698199923,-2.0888,2
TIME_13:00-14:30,17,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_13:00-14:30,18,2,1,1,0.5,0.015599999999999947,0.015599999999999947,0.031199999999999894,1.0298736116430485,-1.0444,1
TIME_13:00-14:30,19,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_13:00-14:30,20,27,10,17,0.37037037037037035,-0.03847407407407408,-0.7243999999999999,-1.0388000000000002,0.9338967088349837,-6.848400000000001,6
TIME_14:30-15:30,1,2,2,0,1.0,0.2356,0.2356,0.4712,inf,0.0,0
TIME_14:30-15:30,3,4,0,4,0.0,-0.6843999999999999,-0.7294,-2.7375999999999996,0.0,-2.5031999999999996,4
TIME_14:30-15:30,5,11,5,6,0.45454545454545453,0.29741818181818186,-0.0544,3.2716000000000003,2.406292984869326,-1.0732,3
TIME_14:30-15:30,6,9,3,6,0.3333333333333333,-0.13328888888888887,-1.0444,-1.1995999999999998,0.7777036542880439,-2.2632,3
TIME_14:30-15:30,9,6,1,5,0.16666666666666666,-0.6043999999999999,-0.9344,-3.6264,0.13077660594439117,-3.1275999999999997,4
TIME_14:30-15:30,10,3,1,2,0.3333333333333333,0.4356,-0.0944,1.3068,4.276830491474423,-0.3044,1
TIME_14:30-15:30,11,2,0,2,0.0,-0.6244,-0.6244,-1.2488,0.0,-1.0444,2
TIME_14:30-15:30,12,4,3,1,0.75,0.43310000000000004,0.5356000000000001,1.7324000000000002,2.6587514362313294,-1.0444,1
TIME_14:30-15:30,14,2,1,1,0.5,0.3306,0.3306,0.6612,1.6330907698199923,-1.0444,1
TIME_14:30-15:30,16,1,0,1,0.0,-0.8144,-0.8144,-0.8144,0.0,0.0,1
TIME_14:30-15:30,17,1,1,0,1.0,1.7056,1.7056,1.7056,inf,0.0,0
TIME_14:30-15:30,18,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_14:30-15:30,20,13,10,3,0.7692307692307693,0.8740615384615384,1.7056,11.3628,6.252773668639054,-1.0443999999999996,1
TIME_15:30-16:00,1,2,1,1,0.5,0.8506,0.8506,1.7012,387.6363636363725,-0.0043999999999999595,1
TIME_15:30-16:00,3,4,3,1,0.75,1.0181,1.7056,4.0724,4.899272309459977,-1.0443999999999996,1
TIME_15:30-16:00,5,3,1,2,0.3333333333333333,-0.6577333333333333,-1.0444,-1.9731999999999998,0.05534278054385293,-1.0444,1
TIME_15:30-16:00,6,6,4,2,0.6666666666666666,0.24059999999999995,0.1206,1.4435999999999998,1.8448033707865168,-1.0444,2
TIME_15:30-16:00,9,4,0,4,0.0,-0.6244,-0.6894,-2.4976,0.0,-1.4531999999999998,4
TIME_15:30-16:00,10,6,3,3,0.5,0.06726666666666666,-0.45940000000000003,0.40359999999999996,1.1288139920847695,-1.0444,2
TIME_15:30-16:00,12,2,1,1,0.5,-0.14939999999999998,-0.14939999999999998,-0.29879999999999995,0.7139027192646497,0.0,1
TIME_15:30-16:00,14,3,2,1,0.6666666666666666,0.5789333333333334,1.0756,1.7368000000000001,2.6629643814630413,-1.0444,1
TIME_15:30-16:00,15,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_15:30-16:00,20,8,4,4,0.5,0.02560000000000001,-0.4944,0.2048000000000001,1.049023362696285,-2.0888,2
TIME_15:30-16:00,22,3,0,3,0.0,-1.0444,-1.0444,-3.1332,0.0,-2.0888,3
EXCLUDE_10_00_10_30,1,39,23,16,0.5897435897435898,0.31329230769230776,0.3556,12.218400000000003,2.2793600268051604,-2.777599999999998,3
EXCLUDE_10_00_10_30,2,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
EXCLUDE_10_00_10_30,3,38,13,25,0.34210526315789475,-0.22703157894736842,-0.4494,-8.6272,0.5840308582449374,-8.399999999999999,5
EXCLUDE_10_00_10_30,4,1,1,0,1.0,0.0456,0.0456,0.0456,inf,0.0,0
EXCLUDE_10_00_10_30,5,43,18,25,0.4186046511627907,0.03746046511627907,-0.1144,1.6108,1.1053499018966644,-6.1724,6
EXCLUDE_10_00_10_30,6,69,39,30,0.5652173913043478,0.18415072463768115,0.1256,12.706399999999999,1.5570050850429602,-5.4496,7
EXCLUDE_10_00_10_30,7,3,1,2,0.3333333333333333,-0.14106666666666665,-0.2744,-0.42319999999999997,0.3943903835145965,-0.6988,2
EXCLUDE_10_00_10_30,8,6,4,2,0.6666666666666666,0.5189333333333334,0.38060000000000005,3.1136,3.9406875708349074,-0.7944,1
EXCLUDE_10_00_10_30,9,36,9,27,0.25,-0.33412222222222215,-0.7744,-12.028399999999998,0.4407684296659972,-14.317599999999997,9
EXCLUDE_10_00_10_30,10,40,22,18,0.55,0.33085000000000003,0.17559999999999998,13.234000000000002,2.1065957589136395,-2.7176,4
EXCLUDE_10_00_10_30,11,30,7,23,0.23333333333333334,-0.4297333333333332,-0.9494,-12.891999999999996,0.3124706685438799,-12.508799999999995,5
EXCLUDE_10_00_10_30,12,40,21,19,0.525,0.14535,0.0756,5.814,1.324015247776366,-3.945199999999998,3
EXCLUDE_10_00_10_30,13,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
EXCLUDE_10_00_10_30,14,43,24,19,0.5581395348837209,0.289786046511628,0.2656,12.460800000000003,1.6612749156212188,-3.1331999999999987,3
EXCLUDE_10_00_10_30,15,4,1,3,0.25,-0.3569,-1.0444,-1.4276,0.5443635899399974,-1.0444,2
EXCLUDE_10_00_10_30,16,8,5,3,0.625,0.2956,0.0756,2.3648,1.8145494626618903,-2.9031999999999996,3
EXCLUDE_10_00_10_30,17,5,3,2,0.6,0.6516000000000001,1.7056,3.2580000000000005,2.7527437056165267,-1.0444,1
EXCLUDE_10_00_10_30,18,20,7,13,0.35,-0.2354,-0.9394,-4.708,0.6149568175870191,-9.446,8
EXCLUDE_10_00_10_30,19,2,1,1,0.5,0.3306,0.3306,0.6612,1.6330907698199923,0.0,1
EXCLUDE_10_00_10_30,20,71,30,41,0.4225352112676056,0.035318309859154975,-0.7243999999999999,2.507600000000003,1.0640831680739267,-5.5616,5
EXCLUDE_10_00_10_30,21,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
