mae_threshold,horizon,feature,winner_mean,loser_mean,winner_minus_loser,winner_n,loser_n
0.95,8,h8_close_R,0.36703703703703705,-1.110153846153846,1.477190883190883,27,130
0.75,10,h10_close_R,0.45893617021276595,-1.0122972972972972,1.4712334675100631,47,148
0.8,10,h10_close_R,0.44575,-1.019109589041096,1.464859589041096,40,146
0.7,10,h10_close_R,0.4617021276595745,-0.9974999999999999,1.4592021276595744,47,148
1.0,10,h10_close_improvement_R,1.2404761904761905,-0.2069047619047619,1.4473809523809524,21,126
0.95,10,h10_close_improvement_R,1.2144444444444444,-0.218,1.4324444444444444,27,130
0.85,12,h12_max_close_R,1.0319444444444443,-0.38453237410071944,1.4164768185451637,36,139
0.6,10,h10_close_R,0.44063829787234043,-0.9748648648648647,1.4155031627372052,47,148
0.85,8,h8_close_R,0.39972222222222226,-1.0149640287769788,1.414686250999201,36,139
0.9,10,h10_close_improvement_R,1.1906451612903224,-0.21762962962962965,1.408274790919952,31,135
1.0,8,h8_close_R,0.27285714285714285,-1.1280952380952385,1.4009523809523814,21,126
0.85,10,h10_close_improvement_R,1.1347222222222222,-0.2579136690647482,1.3926358912869703,36,139
1.0,12,h12_best_recovery_R,1.8523809523809522,0.4658730158730158,1.3865079365079365,21,126
0.9,12,h12_best_recovery_R,1.8025806451612907,0.44718518518518524,1.3553954599761053,31,135
0.8,10,h10_close_improvement_R,1.1127500000000001,-0.24013698630136987,1.35288698630137,40,146
0.75,10,h10_close_improvement_R,1.063191489361702,-0.27945945945945944,1.3426509488211615,47,148
0.9,8,h8_close_improvement_R,1.1770967741935485,-0.15733333333333335,1.3344301075268818,31,135
0.9,10,h10_max_close_R,0.885483870967742,-0.44096296296296295,1.326446833930705,31,135
0.95,10,h10_max_close_R,0.8059259259259258,-0.52,1.325925925925926,27,130
0.7,10,h10_close_improvement_R,1.033404255319149,-0.2921621621621621,1.325566417481311,47,148
0.95,12,h12_best_recovery_R,1.7937037037037038,0.4686153846153846,1.3250883190883191,27,130
0.6,10,h10_close_improvement_R,0.9808510638297872,-0.3335135135135135,1.3143645773433006,47,148
1.0,10,h10_max_close_R,0.7404761904761903,-0.5619841269841271,1.3024603174603175,21,126
0.8,12,h12_max_close_R,1.018,-0.27986301369863015,1.2978630136986302,40,146
0.95,8,h8_close_improvement_R,1.1596296296296296,-0.1306923076923077,1.2903219373219372,27,130
0.85,12,h12_best_recovery_R,1.72,0.441726618705036,1.278273381294964,36,139
1.0,8,h8_close_improvement_R,1.1695238095238096,-0.10722222222222223,1.276746031746032,21,126
0.85,8,h8_close_improvement_R,1.087777777777778,-0.188705035971223,1.276482813749001,36,139
0.75,12,h12_max_close_R,1.0040425531914894,-0.23189189189189188,1.2359344450833814,47,148
0.8,8,h8_close_R,0.29550000000000004,-0.9400000000000001,1.2355,40,146
0.75,8,h8_close_R,0.2976595744680851,-0.9327702702702704,1.2304298447383555,47,148
0.85,10,h10_max_close_R,0.8355555555555556,-0.39158273381294967,1.2271382893685052,36,139
0.7,12,h12_max_close_R,0.9959574468085105,-0.22216216216216214,1.2181196089706727,47,148
0.9,6,h6_close_R,0.22290322580645158,-0.9935555555555553,1.216458781362007,31,135
0.7,8,h8_close_R,0.2814893617021277,-0.9333783783783783,1.2148677400805061,47,148
1.0,6,h6_close_R,0.13476190476190478,-1.069761904761905,1.2045238095238098,21,126
0.8,12,h12_best_recovery_R,1.685,0.4991095890410959,1.1858904109589041,40,146
0.9,8,h8_max_close_R,0.6990322580645162,-0.48,1.1790322580645163,31,135
1.0,10,h10_best_recovery_R,1.637142857142857,0.45888888888888885,1.178253968253968,21,126
0.9,10,h10_best_recovery_R,1.6003225806451613,0.4386666666666667,1.1616559139784945,31,135
0.95,6,h6_close_R,0.12592592592592594,-1.035,1.160925925925926,27,130
0.95,8,h8_max_close_R,0.5959259259259261,-0.555076923076923,1.151002849002849,27,130
0.6,12,h12_max_close_R,0.9451063829787234,-0.19560810810810814,1.1407144910868317,47,148
0.95,10,h10_best_recovery_R,1.5985185185185187,0.4594615384615384,1.1390569800569803,27,130
0.8,8,h8_close_improvement_R,0.9625,-0.16102739726027396,1.123527397260274,40,146
0.8,10,h10_max_close_R,0.8195,-0.29684931506849316,1.116349315068493,40,146
0.85,6,h6_close_R,0.16777777777777778,-0.9446762589928057,1.1124540367705835,36,139
0.75,12,h12_best_recovery_R,1.6082978723404255,0.500945945945946,1.1073519263944795,47,148
0.6,8,h8_close_R,0.23106382978723403,-0.8736486486486486,1.1047124784358826,47,148
0.75,8,h8_close_improvement_R,0.9019148936170215,-0.19993243243243244,1.101847326049454,47,148
1.0,8,h8_max_close_R,0.4947619047619047,-0.6004761904761906,1.0952380952380953,21,126
0.95,5,h5_close_R,0.0737037037037037,-1.0203846153846152,1.0940883190883188,27,130
0.85,10,h10_best_recovery_R,1.5236111111111112,0.43467625899280576,1.0889348521183055,36,139
1.0,5,h5_close_R,0.015714285714285715,-1.0723015873015873,1.088015873015873,21,126
0.7,12,h12_best_recovery_R,1.5676595744680852,0.4831756756756757,1.0844838987924095,47,148
0.7,8,h8_close_improvement_R,0.8531914893617023,-0.22804054054054054,1.0812320299022429,47,148
1.0,6,h6_close_improvement_R,1.0314285714285714,-0.04888888888888888,1.0803174603174603,21,126
0.75,10,h10_max_close_R,0.818936170212766,-0.25662162162162167,1.0755577918343877,47,148
0.8,6,h6_close_R,0.23099999999999996,-0.8443150684931507,1.0753150684931507,40,146
0.85,8,h8_max_close_R,0.6233333333333335,-0.43697841726618714,1.0603117505995208,36,139
0.9,6,h6_close_improvement_R,0.9377419354838709,-0.11392592592592593,1.0516678614097967,31,135
0.7,10,h10_max_close_R,0.7974468085106384,-0.246554054054054,1.0440008625646924,47,148
0.6,12,h12_best_recovery_R,1.48531914893617,0.4457432432432432,1.0395759056929266,47,148
0.9,5,h5_close_R,0.07451612903225804,-0.9614814814814816,1.0359976105137396,31,135
0.75,6,h6_close_R,0.23,-0.8044594594594595,1.0344594594594596,47,148
0.9,8,h8_best_recovery_R,1.4138709677419354,0.39962962962962956,1.0142413381123059,31,135
0.8,10,h10_best_recovery_R,1.4865,0.4821232876712328,1.0043767123287672,40,146
0.6,8,h8_close_improvement_R,0.7712765957446809,-0.23229729729729726,1.0035738930419782,47,148
0.6,10,h10_max_close_R,0.7710638297872341,-0.220472972972973,0.9915368027602071,47,148
0.7,6,h6_close_R,0.18787234042553194,-0.7877027027027028,0.9755750431282347,47,148
0.85,6,h6_close_improvement_R,0.8558333333333333,-0.11841726618705037,0.9742505995203837,36,139
0.95,6,h6_close_improvement_R,0.9185185185185184,-0.05553846153846155,0.9740569800569799,27,130
1.0,8,h8_best_recovery_R,1.3914285714285715,0.4203968253968254,0.9710317460317461,21,126
0.95,8,h8_best_recovery_R,1.3885185185185185,0.42438461538461536,0.9641339031339031,27,130
1.0,5,h5_close_improvement_R,0.9123809523809522,-0.05142857142857144,0.9638095238095237,21,126
0.8,6,h6_close_improvement_R,0.898,-0.06534246575342466,0.9633424657534246,40,146
0.9,6,h6_max_close_R,0.43709677419354837,-0.5232592592592593,0.9603560334528076,31,135
0.6,6,h6_close_R,0.17765957446808514,-0.7816216216216216,0.9592811960897067,47,148
0.85,5,h5_close_R,0.04749999999999999,-0.910359712230216,0.9578597122302159,36,139
0.95,6,h6_max_close_R,0.3596296296296297,-0.5953846153846154,0.9550142450142451,27,130
0.75,10,h10_best_recovery_R,1.4231914893617021,0.47621621621621624,0.9469752731454859,47,148
1.0,6,h6_max_close_R,0.2838095238095239,-0.6461904761904762,0.9300000000000002,21,126
0.85,8,h8_best_recovery_R,1.3113888888888892,0.3892805755395683,0.9221083133493209,36,139
0.7,10,h10_best_recovery_R,1.369148936170213,0.4587837837837838,0.9103651523864291,47,148
0.95,5,h5_close_improvement_R,0.8662962962962962,-0.04092307692307692,0.9072193732193732,27,130
0.75,6,h6_close_improvement_R,0.8342553191489364,-0.07162162162162163,0.905876940770558,47,148
0.8,8,h8_max_close_R,0.5695,-0.3315753424657534,0.9010753424657534,40,146
0.8,5,h5_close_R,0.10625,-0.793013698630137,0.899263698630137,40,146
0.6,10,h10_best_recovery_R,1.3112765957446808,0.42087837837837844,0.8903982173663023,47,148
0.75,8,h8_max_close_R,0.593404255319149,-0.2955405405405406,0.8889447958596896,47,148
0.75,5,h5_close_R,0.10872340425531914,-0.7647972972972975,0.8735207015526166,47,148
0.9,5,h5_close_improvement_R,0.7893548387096773,-0.08185185185185187,0.8712066905615291,31,135
0.7,8,h8_max_close_R,0.5814893617021277,-0.2807432432432433,0.862232604945371,47,148
0.6,6,h6_close_improvement_R,0.7178723404255318,-0.14027027027027028,0.8581426106958021,47,148
0.95,5,h5_max_close_R,0.21296296296296294,-0.6379230769230768,0.8508860398860397,27,130
0.85,6,h6_max_close_R,0.3747222222222223,-0.4736690647482015,0.8483912869704238,36,139
0.7,6,h6_close_improvement_R,0.7595744680851063,-0.08236486486486487,0.8419393329499711,47,148
0.7,5,h5_close_R,0.08297872340425531,-0.7454054054054053,0.8283841288096606,47,148
0.85,5,h5_close_improvement_R,0.7355555555555555,-0.08410071942446044,0.8196562749800159,36,139
0.9,5,h5_max_close_R,0.24258064516129027,-0.5634074074074075,0.8059880525686978,31,135
1.0,6,h6_best_recovery_R,1.1804761904761905,0.3746825396825397,0.8057936507936507,21,126
0.95,4,h4_close_R,-0.2111111111111111,-1.0123076923076924,0.8011965811965812,27,130
1.0,5,h5_max_close_R,0.11190476190476191,-0.6883333333333334,0.8002380952380953,21,126
0.9,6,h6_best_recovery_R,1.1519354838709677,0.3563703703703704,0.7955651135005972,31,135
0.8,6,h6_max_close_R,0.41550000000000004,-0.3747260273972603,0.7902260273972603,40,146
0.8,8,h8_best_recovery_R,1.2365,0.44739726027397253,0.7891027397260274,40,146
0.8,5,h5_close_improvement_R,0.7732500000000001,-0.014041095890410958,0.787291095890411,40,146
0.9,4,h4_close_R,-0.16387096774193552,-0.9398518518518518,0.7759808841099163,31,135
0.6,8,h8_max_close_R,0.5331914893617021,-0.24087837837837836,0.7740698677400805,47,148
0.95,6,h6_best_recovery_R,1.1522222222222223,0.38407692307692304,0.7681452991452993,27,130
0.75,6,h6_max_close_R,0.43425531914893617,-0.3294594594594595,0.7637147786083957,47,148
0.75,8,h8_best_recovery_R,1.1976595744680851,0.43729729729729727,0.7603622771707879,47,148
0.75,5,h5_close_improvement_R,0.7129787234042552,-0.03195945945945947,0.7449381828637146,47,148
0.6,5,h5_close_R,0.027234042553191496,-0.7174324324324325,0.744666474985624,47,148
1.0,4,h4_close_R,-0.33238095238095244,-1.0668253968253971,0.7344444444444447,21,126
0.7,8,h8_best_recovery_R,1.1531914893617021,0.42459459459459464,0.7285968947671075,47,148
0.85,5,h5_max_close_R,0.2088888888888889,-0.5167625899280576,0.7256514788169465,36,139
0.7,6,h6_max_close_R,0.39872340425531905,-0.31635135135135134,0.7150747556066703,47,148
0.85,6,h6_best_recovery_R,1.0627777777777778,0.35258992805755396,0.7101878497202239,36,139
0.85,4,h4_close_R,-0.16722222222222224,-0.8717985611510792,0.704576338928857,36,139
0.7,5,h5_close_improvement_R,0.6546808510638297,-0.04006756756756757,0.6947484186313972,47,148
0.8,6,h6_best_recovery_R,1.0825,0.4042465753424658,0.6782534246575342,40,146
1.0,5,h5_best_recovery_R,1.0085714285714287,0.3325396825396825,0.6760317460317462,21,126
0.9,4,h4_max_close_R,0.07516129032258066,-0.5994814814814815,0.6746427718040622,31,135
0.6,8,h8_best_recovery_R,1.073404255319149,0.400472972972973,0.6729312823461759,47,148
0.95,5,h5_best_recovery_R,1.0055555555555555,0.34153846153846157,0.664017094017094,27,130
0.95,4,h4_max_close_R,-0.010370370370370372,-0.6736923076923077,0.6633219373219373,27,130
0.6,6,h6_max_close_R,0.3702127659574468,-0.2889189189189189,0.6591316848763658,47,148
0.8,5,h5_max_close_R,0.24450000000000002,-0.413972602739726,0.6584726027397261,40,146
0.75,5,h5_max_close_R,0.28617021276595744,-0.3682432432432433,0.6544134560092008,47,148
0.9,3,h3_close_R,-0.30322580645161284,-0.9503703703703704,0.6471445639187576,31,135
0.6,5,h5_close_improvement_R,0.5674468085106382,-0.0760810810810811,0.6435278895917194,47,148
0.9,5,h5_best_recovery_R,0.9574193548387097,0.31622222222222224,0.6411971326164874,31,135
0.75,6,h6_best_recovery_R,1.0385106382978722,0.4033783783783784,0.6351322599194937,47,148
0.75,4,h4_close_R,-0.09021276595744683,-0.7237837837837838,0.633571017826337,47,148
0.7,5,h5_max_close_R,0.2721276595744681,-0.34790540540540543,0.6200330649798735,47,148
0.95,4,h4_close_improvement_R,0.5814814814814815,-0.03284615384615383,0.6143276353276353,27,130
0.9,4,h4_close_improvement_R,0.5509677419354839,-0.06022222222222221,0.6111899641577061,31,135
0.85,4,h4_max_close_R,0.061944444444444455,-0.5483453237410072,0.6102897681854517,36,139
1.0,4,h4_close_improvement_R,0.5642857142857143,-0.04595238095238096,0.6102380952380952,21,126
0.8,4,h4_close_R,-0.16375,-0.7667123287671233,0.6029623287671233,40,146
0.7,4,h4_close_R,-0.10659574468085106,-0.7093918918918919,0.6027961472110408,47,148
0.95,3,h3_close_R,-0.4144444444444445,-1.012,0.5975555555555555,27,130
0.85,3,h3_close_R,-0.28472222222222215,-0.8812949640287769,0.5965727418065547,36,139
1.0,4,h4_max_close_R,-0.12714285714285714,-0.7209523809523811,0.593809523809524,21,126
1.0,3,h3_close_R,-0.509047619047619,-1.098015873015873,0.5889682539682539,21,126
0.85,5,h5_best_recovery_R,0.8969444444444447,0.3094964028776978,0.5874480415667469,36,139
0.7,6,h6_best_recovery_R,0.9704255319148936,0.3889864864864865,0.5814390454284071,47,148
0.6,4,h4_close_R,-0.14148936170212767,-0.7155405405405406,0.574051178838413,47,148
0.85,4,h4_close_improvement_R,0.5208333333333333,-0.045539568345323744,0.566372901678657,36,139
0.6,6,h6_best_recovery_R,0.9104255319148936,0.3524324324324324,0.5579930994824612,47,148
0.9,3,h3_max_close_R,-0.09096774193548386,-0.6467407407407407,0.5557729988052569,31,135
0.8,5,h5_best_recovery_R,0.9114999999999999,0.36500000000000005,0.5464999999999998,40,146
0.6,5,h5_max_close_R,0.21382978723404253,-0.31682432432432434,0.5306541115583668,47,148
0.95,3,h3_max_close_R,-0.18592592592592588,-0.7155384615384615,0.5296125356125356,27,130
0.75,5,h5_best_recovery_R,0.8904255319148935,0.3645945945945946,0.525830937320299,47,148
0.95,2,h2_close_R,-0.48148148148148145,-1.0034615384615384,0.521980056980057,27,130
0.8,3,h3_close_R,-0.27675,-0.7873972602739726,0.5106472602739727,40,146
0.75,3,h3_close_R,-0.23617021276595748,-0.7467567567567568,0.5105865439907993,47,148
0.9,4,h4_best_recovery_R,0.7899999999999999,0.28014814814814815,0.5098518518518518,31,135
0.75,4,h4_close_improvement_R,0.5140425531914893,0.009054054054054054,0.5049884991374353,47,148
0.8,4,h4_max_close_R,0.03799999999999999,-0.45986301369863014,0.4978630136986301,40,146
0.75,4,h4_max_close_R,0.08446808510638298,-0.4125000000000001,0.4969680851063831,47,148
0.85,3,h3_max_close_R,-0.10222222222222221,-0.5963309352517986,0.4941087130295764,36,139
0.8,4,h4_close_improvement_R,0.5032500000000001,0.01226027397260274,0.4909897260273973,40,146
0.7,5,h5_best_recovery_R,0.8438297872340422,0.35743243243243245,0.4863973548016098,47,148
0.9,3,h3_close_improvement_R,0.4116129032258065,-0.07074074074074073,0.48235364396654723,31,135
0.7,4,h4_max_close_R,0.08319148936170212,-0.3942567567567568,0.47744824611845893,47,148
0.95,4,h4_best_recovery_R,0.7822222222222223,0.3057692307692308,0.47645299145299147,27,130
0.6,4,h4_close_improvement_R,0.3987234042553191,-0.0741891891891892,0.4729125934445083,47,148
0.85,4,h4_best_recovery_R,0.75,0.27791366906474824,0.47208633093525176,36,139
1.0,3,h3_max_close_R,-0.30238095238095236,-0.7721428571428572,0.4697619047619049,21,126
1.0,4,h4_best_recovery_R,0.7695238095238095,0.2999206349206349,0.4696031746031746,21,126
0.7,4,h4_close_improvement_R,0.4651063829787233,-0.004054054054054058,0.4691604370327774,47,148
1.0,3,h3_close_improvement_R,0.38761904761904764,-0.07714285714285712,0.46476190476190476,21,126
0.85,3,h3_close_improvement_R,0.40333333333333343,-0.05503597122302159,0.45836930455635505,36,139
0.7,3,h3_close_R,-0.2497872340425532,-0.7074324324324324,0.45764519838987916,47,148
0.95,2,h2_max_close_R,-0.33074074074074067,-0.7838461538461537,0.4531054131054131,27,130
1.0,2,h2_close_R,-0.6219047619047618,-1.0715873015873016,0.4496825396825398,21,126
0.9,2,h2_close_R,-0.46032258064516135,-0.9048148148148148,0.4444922341696535,31,135
0.75,3,h3_max_close_R,-0.03,-0.4722297297297297,0.44222972972972974,47,148
0.8,3,h3_max_close_R,-0.07875000000000001,-0.5184246575342466,0.4396746575342466,40,146
0.6,5,h5_best_recovery_R,0.7540425531914893,0.324527027027027,0.42951552616446226,47,148
0.6,4,h4_max_close_R,0.058297872340425536,-0.35581081081081084,0.4141086831512364,47,148
0.9,2,h2_max_close_R,-0.28225806451612895,-0.6936296296296295,0.41137156511350054,31,135
0.7,3,h3_max_close_R,-0.03574468085106383,-0.4464864864864865,0.4107418056354226,47,148
0.95,3,h3_close_improvement_R,0.3781481481481482,-0.03253846153846154,0.4106866096866097,27,130
0.6,3,h3_close_R,-0.2878723404255319,-0.6961486486486487,0.4082763082231168,47,148
1.0,2,h2_max_close_R,-0.42523809523809514,-0.8266666666666667,0.4014285714285715,21,126
0.8,3,h3_close_improvement_R,0.39025,-0.008424657534246574,0.3986746575342466,40,146
0.85,2,h2_close_R,-0.4552777777777778,-0.8472661870503598,0.39198840927258205,36,139
0.9,3,h3_best_recovery_R,0.6238709677419355,0.23288888888888892,0.3909820788530466,31,135
0.8,4,h4_best_recovery_R,0.7050000000000001,0.3191095890410959,0.3858904109589042,40,146
0.75,3,h3_close_improvement_R,0.36808510638297876,-0.013918918918918928,0.3820040253018977,47,148
0.85,2,h2_max_close_R,-0.2744444444444445,-0.6479856115107914,0.3735411670663469,36,139
0.75,4,h4_best_recovery_R,0.6887234042553191,0.3203378378378378,0.36838556641748127,47,148
0.75,2,h2_close_R,-0.36723404255319153,-0.7242567567567568,0.3570227142035653,47,148
0.85,3,h3_best_recovery_R,0.5858333333333334,0.22992805755395684,0.3559052757793766,36,139
0.8,2,h2_close_R,-0.404,-0.7556849315068495,0.35168493150684943,40,146
1.0,3,h3_best_recovery_R,0.5942857142857143,0.24873015873015872,0.3455555555555556,21,126
0.7,4,h4_best_recovery_R,0.6548936170212766,0.31108108108108107,0.3438125359401955,47,148
0.95,3,h3_best_recovery_R,0.6066666666666666,0.2639230769230769,0.34274358974358965,27,130
0.6,3,h3_max_close_R,-0.07234042553191489,-0.4117567567567567,0.3394163312248418,47,148
0.95,2,h2_close_improvement_R,0.31111111111111106,-0.024000000000000014,0.3351111111111111,27,130
0.8,2,h2_max_close_R,-0.23575,-0.5702054794520548,0.3344554794520548,40,146
0.7,2,h2_close_R,-0.3706382978723405,-0.7041891891891892,0.3335508913168487,47,148
0.75,2,h2_max_close_R,-0.2002127659574468,-0.5304054054054054,0.33019263944795857,47,148
0.8,3,h3_best_recovery_R,0.58825,0.26054794520547947,0.3277020547945206,40,146
1.0,2,h2_close_improvement_R,0.27476190476190476,-0.050714285714285705,0.3254761904761905,21,126
0.7,3,h3_close_improvement_R,0.32191489361702125,-0.002094594594594595,0.32400948821161585,47,148
0.7,2,h2_max_close_R,-0.19361702127659577,-0.5093918918918918,0.3157748706152961,47,148
0.75,3,h3_best_recovery_R,0.5742553191489361,0.26060810810810814,0.313647211040828,47,148
0.6,4,h4_best_recovery_R,0.5985106382978724,0.28554054054054057,0.31297009775733187,47,148
0.6,3,h3_close_improvement_R,0.2523404255319149,-0.05479729729729729,0.30713772282921215,47,148
0.9,2,h2_close_improvement_R,0.25451612903225806,-0.025185185185185196,0.27970131421744326,31,135
0.75,1,h1_close_R,-0.44574468085106383,-0.7238513513513514,0.27810667050028753,47,148
1.0,2,h2_best_recovery_R,0.4714285714285714,0.1942063492063492,0.27722222222222226,21,126
0.7,3,h3_best_recovery_R,0.5359574468085105,0.25885135135135134,0.2771060954571592,47,148
0.9,1,h1_max_close_R,-0.4851612903225807,-0.7564444444444445,0.27128315412186377,31,135
0.95,2,h2_best_recovery_R,0.4618518518518519,0.19561538461538458,0.2662364672364673,27,130
0.95,1,h1_max_close_R,-0.5781481481481481,-0.8375384615384615,0.2593903133903134,27,130
0.95,1,h1_close_R,-0.6988888888888889,-0.9554615384615385,0.2565726495726496,27,130
0.9,1,h1_close_R,-0.6116129032258064,-0.8680740740740741,0.2564611708482677,31,135
0.7,1,h1_close_R,-0.4502127659574468,-0.7063513513513513,0.2561385853939045,47,148
0.85,2,h2_close_improvement_R,0.23277777777777775,-0.021007194244604316,0.25378497202238204,36,139
0.9,2,h2_best_recovery_R,0.4325806451612904,0.18599999999999997,0.24658064516129044,31,135
0.85,1,h1_max_close_R,-0.46388888888888896,-0.7097841726618704,0.24589528377298148,36,139
0.8,2,h2_close_improvement_R,0.263,0.023287671232876714,0.23971232876712328,40,146
0.6,3,h3_best_recovery_R,0.4678723404255319,0.2295945945945946,0.23827774583093728,47,148
0.85,2,h2_best_recovery_R,0.41361111111111115,0.178273381294964,0.23533772981614715,36,139
0.6,2,h2_close_R,-0.4472340425531915,-0.6825675675675676,0.23533352501437615,47,148
0.75,1,h1_max_close_R,-0.3717021276595745,-0.6065540540540539,0.23485192639447944,47,148
0.85,1,h1_close_R,-0.5966666666666667,-0.8280575539568344,0.23139088729016777,36,139
0.7,1,h1_max_close_R,-0.35680851063829794,-0.5872297297297298,0.23042121909143182,47,148
0.75,2,h2_close_improvement_R,0.23702127659574465,0.008581081081081085,0.22844019551466357,47,148
0.8,2,h2_best_recovery_R,0.43125,0.20876712328767122,0.2224828767123288,40,146
0.6,2,h2_max_close_R,-0.2514893617021277,-0.46527027027027035,0.21378090856814264,47,148
1.0,1,h1_close_R,-0.7995238095238095,-1.0072222222222222,0.20769841269841272,21,126
0.8,1,h1_max_close_R,-0.44125,-0.6452739726027398,0.2040239726027398,40,146
0.8,1,h1_close_R,-0.553,-0.755068493150685,0.20206849315068498,40,146
0.75,2,h2_best_recovery_R,0.4040425531914894,0.20243243243243245,0.20161012075905696,47,148
0.7,2,h2_close_improvement_R,0.20106382978723403,0.0011486486486486497,0.1999151811385854,47,148
1.0,1,h1_max_close_R,-0.6923809523809524,-0.8834920634920636,0.19111111111111112,21,126
0.7,2,h2_best_recovery_R,0.37808510638297876,0.19594594594594597,0.1821391604370328,47,148
0.6,1,h1_close_R,-0.48680851063829783,-0.6567567567567567,0.16994824611845888,47,148
0.6,1,h1_max_close_R,-0.37085106382978733,-0.536554054054054,0.16570299022426666,47,148
0.75,1,h1_close_improvement_R,0.15851063829787232,0.008986486486486483,0.14952415181138584,47,148
0.6,2,h2_close_improvement_R,0.09297872340425531,-0.04121621621621621,0.13419493962047152,47,148
0.7,1,h1_close_improvement_R,0.12148936170212764,-0.0010135135135135177,0.12250287521564115,47,148
0.6,2,h2_best_recovery_R,0.28872340425531917,0.1760810810810811,0.11264232317423808,47,148
0.85,1,h1_best_recovery_R,0.22416666666666668,0.1164748201438849,0.10769184652278178,36,139
0.9,1,h1_best_recovery_R,0.22967741935483868,0.1231851851851852,0.10649223416965348,31,135
0.75,1,h1_best_recovery_R,0.23255319148936168,0.12628378378378377,0.10626940770557791,47,148
0.7,1,h1_best_recovery_R,0.21489361702127663,0.11810810810810811,0.09678550891316852,47,148
0.85,1,h1_close_improvement_R,0.09138888888888891,-0.0017985611510791368,0.09318745003996805,36,139
0.8,1,h1_best_recovery_R,0.22575000000000003,0.1336986301369863,0.09205136986301374,40,146
0.9,1,h1_close_improvement_R,0.1032258064516129,0.011555555555555557,0.09167025089605735,31,135
0.8,1,h1_close_improvement_R,0.11400000000000002,0.023904109589041093,0.09009589041095892,40,146
1.0,1,h1_close_improvement_R,0.09714285714285714,0.013650793650793663,0.08349206349206348,21,126
0.95,1,h1_best_recovery_R,0.21444444444444444,0.14192307692307693,0.07252136752136751,27,130
0.95,1,h1_close_improvement_R,0.09370370370370372,0.024000000000000007,0.06970370370370371,27,130
0.6,1,h1_close_improvement_R,0.05340425531914894,-0.0154054054054054,0.06880966072455434,47,148
1.0,1,h1_best_recovery_R,0.2042857142857143,0.13738095238095238,0.06690476190476191,21,126
0.6,1,h1_best_recovery_R,0.16936170212765955,0.10479729729729731,0.06456440483036224,47,148
0.6,1,h1_max_MAE_R,0.9208510638297874,0.9311486486486487,-0.010297584818861227,47,148
0.8,1,h1_additional_MAE_R,0.10499999999999998,0.1184931506849315,-0.013493150684931524,40,146
0.6,1,h1_additional_MAE_R,0.11574468085106382,0.13695945945945945,-0.02121477860839563,47,148
0.85,1,h1_additional_MAE_R,0.10250000000000001,0.12820143884892088,-0.02570143884892087,36,139
0.85,2,h2_additional_MAE_R,0.17166666666666666,0.2026618705035971,-0.03099520383693044,36,139
0.6,2,h2_max_MAE_R,0.9976595744680853,1.0295270270270271,-0.031867452558941856,47,148
1.0,1,h1_additional_MAE_R,0.10142857142857142,0.1353174603174603,-0.033888888888888885,21,126
0.9,1,h1_additional_MAE_R,0.0896774193548387,0.12518518518518518,-0.03550776583034648,31,135
0.8,1,h1_max_MAE_R,1.0394999999999999,1.080068493150685,-0.040568493150685114,40,146
