sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct
DEVELOPMENT,0.7,8,95,95,-67.49,-62.9,4.589999999999996,-0.7104210526315788,-0.6621052631578948,0.04831578947368409,0.21052631578947367,0.0,-0.21052631578947367,0.18559189091347894,0.0,-69.04999999999997,-62.14000000000003,6.90999999999994,0,10,0.0
HOLDOUT,0.7,8,100,100,-65.64999999999999,-68.36000000000001,-2.710000000000022,-0.6564999999999999,-0.6836000000000001,-0.027100000000000235,0.27,0.0,-0.27,0.3409296255396045,0.0,-64.88999999999997,-67.88000000000002,-2.9900000000000517,0,10,0.0
DEVELOPMENT,0.75,2,95,18,-67.49,-59.53,7.959999999999994,-0.7104210526315788,-0.6266315789473684,0.08378947368421041,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.1713530066815145,-69.04999999999997,-61.36999999999999,7.679999999999978,1,10,0.1
HOLDOUT,0.75,2,100,34,-65.64999999999999,-79.52999999999999,-13.879999999999995,-0.6564999999999999,-0.7952999999999999,-0.13880000000000003,0.27,0.16,-0.11000000000000001,0.3409296255396045,0.18246299342105265,-64.88999999999997,-78.76999999999995,-13.879999999999981,2,10,0.2
DEVELOPMENT,0.75,3,95,38,-67.49,-57.489999999999995,10.0,-0.7104210526315788,-0.605157894736842,0.10526315789473684,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.13457775101610717,-69.04999999999997,-56.73,12.319999999999972,0,10,0.0
HOLDOUT,0.75,3,100,50,-65.64999999999999,-75.14999999999998,-9.499999999999986,-0.6564999999999999,-0.7514999999999997,-0.09499999999999986,0.27,0.12,-0.15000000000000002,0.3409296255396045,0.1377925653969711,-64.88999999999997,-74.38999999999999,-9.500000000000014,2,10,0.2
DEVELOPMENT,0.75,4,95,49,-67.49,-54.489999999999995,13.0,-0.7104210526315788,-0.573578947368421,0.13684210526315788,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.12746196957566053,-69.04999999999997,-53.730000000000004,15.319999999999965,0,10,0.0
HOLDOUT,0.75,4,100,70,-65.64999999999999,-76.95,-11.300000000000011,-0.6564999999999999,-0.7695000000000001,-0.11300000000000021,0.27,0.08,-0.19,0.3409296255396045,0.07833273445921667,-64.88999999999997,-76.21000000000002,-11.32000000000005,1,10,0.1
DEVELOPMENT,0.75,5,95,61,-67.49,-59.67999999999999,7.810000000000002,-0.7104210526315788,-0.6282105263157894,0.0822105263157894,0.21052631578947367,0.06315789473684211,-0.14736842105263157,0.18559189091347894,0.058971933144118575,-69.04999999999997,-58.919999999999995,10.129999999999974,0,10,0.0
HOLDOUT,0.75,5,100,80,-65.64999999999999,-72.9,-7.250000000000014,-0.6564999999999999,-0.7290000000000001,-0.07250000000000023,0.27,0.06,-0.21000000000000002,0.3409296255396045,0.07522516808321705,-64.88999999999997,-72.16000000000001,-7.270000000000039,1,10,0.1
DEVELOPMENT,0.75,6,95,69,-67.49,-59.78999999999999,7.700000000000003,-0.7104210526315788,-0.6293684210526315,0.08105263157894738,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.053656220322887,-69.04999999999997,-59.03000000000001,10.01999999999996,0,10,0.0
HOLDOUT,0.75,6,100,91,-65.64999999999999,-69.35000000000001,-3.700000000000017,-0.6564999999999999,-0.6935000000000001,-0.037000000000000255,0.27,0.03,-0.24000000000000002,0.3409296255396045,0.04594854863117347,-64.88999999999997,-68.61000000000001,-3.7200000000000415,1,10,0.1
DEVELOPMENT,0.75,8,95,95,-67.49,-66.21,1.2800000000000011,-0.7104210526315788,-0.6969473684210525,0.013473684210526304,0.21052631578947367,0.0,-0.21052631578947367,0.18559189091347894,0.0,-69.04999999999997,-65.45000000000002,3.5999999999999517,0,10,0.0
HOLDOUT,0.75,8,100,100,-65.64999999999999,-70.65000000000002,-5.000000000000028,-0.6564999999999999,-0.7065000000000002,-0.05000000000000038,0.27,0.0,-0.27,0.3409296255396045,0.0,-64.88999999999997,-69.91000000000004,-5.020000000000067,0,10,0.0
DEVELOPMENT,0.8,2,95,15,-67.49,-58.52,8.969999999999992,-0.7104210526315788,-0.616,0.09442105263157885,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.175077530307302,-69.04999999999997,-60.36,8.68999999999997,1,10,0.1
HOLDOUT,0.8,2,100,28,-65.64999999999999,-78.49999999999999,-12.849999999999994,-0.6564999999999999,-0.7849999999999998,-0.12849999999999995,0.27,0.18,-0.09000000000000002,0.3409296255396045,0.19602621876280213,-64.88999999999997,-77.73999999999995,-12.84999999999998,2,10,0.2
DEVELOPMENT,0.8,3,95,28,-67.49,-59.24999999999999,8.240000000000002,-0.7104210526315788,-0.6236842105263157,0.08673684210526311,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.13224956063268897,-69.04999999999997,-58.489999999999995,10.559999999999974,1,10,0.1
HOLDOUT,0.8,3,100,44,-65.64999999999999,-69.71999999999998,-4.069999999999993,-0.6564999999999999,-0.6971999999999998,-0.04069999999999996,0.27,0.16,-0.11000000000000001,0.3409296255396045,0.18958502847843778,-64.88999999999997,-68.95999999999998,-4.070000000000007,2,10,0.2
DEVELOPMENT,0.8,4,95,40,-67.49,-54.38,13.109999999999992,-0.7104210526315788,-0.5724210526315789,0.1379999999999999,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.1303374380297457,-69.04999999999997,-53.61999999999998,15.429999999999986,1,10,0.1
HOLDOUT,0.8,4,100,60,-65.64999999999999,-71.41,-5.760000000000005,-0.6564999999999999,-0.7141,-0.057600000000000096,0.27,0.12,-0.15000000000000002,0.3409296255396045,0.15380969309159856,-64.88999999999997,-70.64999999999999,-5.760000000000019,1,10,0.1
