original_index,window,rule,mae_threshold,recovery_level,deadline,benchmark_R,strategy_R,mae_bar,recovery_bar,exit_type
125,14,RULE_A,0.7,0.2,6,-0.86,0.29,3.0,9.0,RECOVERY_EXIT
126,14,RULE_A,0.7,0.2,6,-0.92,-1.17,2.0,,DEADLINE_EXIT
127,14,RULE_A,0.7,0.2,6,1.08,0.23,8.0,10.0,RECOVERY_EXIT
128,14,RULE_A,0.7,0.2,6,-0.26,-1.29,2.0,,DEADLINE_EXIT
129,14,RULE_A,0.7,0.2,6,0.34,-1.59,7.0,,DEADLINE_EXIT
130,14,RULE_A,0.7,0.2,6,1.49,-0.18,2.0,,DEADLINE_EXIT
131,14,RULE_A,0.7,0.2,6,1.72,0.23,3.0,7.0,RECOVERY_EXIT
132,14,RULE_A,0.7,0.2,6,-0.28,-1.13,3.0,,DEADLINE_EXIT
133,14,RULE_A,0.7,0.2,6,-1.67,-1.31,4.0,,DEADLINE_EXIT
134,14,RULE_A,0.7,0.2,6,-0.63,-0.96,4.0,,DEADLINE_EXIT
135,15,RULE_A,0.7,0.2,6,-0.66,-0.84,4.0,,DEADLINE_EXIT
136,15,RULE_A,0.7,0.2,6,-1.7,0.26,7.0,12.0,RECOVERY_EXIT
137,15,RULE_A,0.7,0.2,6,-1.17,-0.58,5.0,,DEADLINE_EXIT
138,16,RULE_A,0.7,0.2,6,1.92,0.76,7.0,12.0,RECOVERY_EXIT
139,16,RULE_A,0.7,0.2,6,-0.77,0.48,4.0,9.0,RECOVERY_EXIT
140,18,RULE_A,0.7,0.2,6,-2.22,-1.35,6.0,,DEADLINE_EXIT
141,18,RULE_A,0.7,0.2,6,0.02,-0.57,2.0,,DEADLINE_EXIT
142,18,RULE_A,0.7,0.2,6,-1.71,-0.52,6.0,,DEADLINE_EXIT
143,18,RULE_A,0.7,0.2,6,-0.72,-0.18,7.0,,DEADLINE_EXIT
144,18,RULE_A,0.7,0.2,6,-0.79,-0.65,6.0,,DEADLINE_EXIT
145,18,RULE_A,0.7,0.2,6,-0.57,0.41,2.0,5.0,RECOVERY_EXIT
146,18,RULE_A,0.7,0.2,6,0.36,0.22,1.0,4.0,RECOVERY_EXIT
147,18,RULE_A,0.7,0.2,6,-0.21,0.02,2.0,,DEADLINE_EXIT
148,18,RULE_A,0.7,0.2,6,-0.85,-0.87,4.0,,DEADLINE_EXIT
149,19,RULE_A,0.7,0.2,6,-3.62,-1.55,3.0,,DEADLINE_EXIT
150,19,RULE_A,0.7,0.2,6,3.2,0.66,1.0,2.0,RECOVERY_EXIT
151,20,RULE_A,0.7,0.2,6,-2.01,-1.12,4.0,,DEADLINE_EXIT
152,20,RULE_A,0.7,0.2,6,2.81,-1.21,3.0,,DEADLINE_EXIT
153,20,RULE_A,0.7,0.2,6,-1.63,-1.62,5.0,,DEADLINE_EXIT
154,20,RULE_A,0.7,0.2,6,-0.83,-1.49,2.0,,DEADLINE_EXIT
155,20,RULE_A,0.7,0.2,6,-0.47,-0.51,4.0,,DEADLINE_EXIT
156,20,RULE_A,0.7,0.2,6,2.48,0.4,4.0,6.0,RECOVERY_EXIT
157,20,RULE_A,0.7,0.2,6,-1.99,-0.01,7.0,,DEADLINE_EXIT
158,20,RULE_A,0.7,0.2,6,1.6,0.24,2.0,7.0,RECOVERY_EXIT
159,20,RULE_A,0.7,0.2,6,-1.01,-0.77,2.0,,DEADLINE_EXIT
160,20,RULE_A,0.7,0.2,6,-0.53,-0.25,1.0,,DEADLINE_EXIT
161,20,RULE_A,0.7,0.2,6,-1.65,0.28,3.0,9.0,RECOVERY_EXIT
162,20,RULE_A,0.7,0.2,6,1.38,0.0,6.0,,DEADLINE_EXIT
163,20,RULE_A,0.7,0.2,6,-2.13,-1.16,1.0,,DEADLINE_EXIT
164,20,RULE_A,0.7,0.2,6,0.85,0.43,2.0,8.0,RECOVERY_EXIT
165,20,RULE_A,0.7,0.2,6,-1.62,-0.27,3.0,,DEADLINE_EXIT
166,20,RULE_A,0.7,0.2,6,0.82,-0.77,6.0,,DEADLINE_EXIT
167,20,RULE_A,0.7,0.2,6,0.66,0.2,4.0,7.0,RECOVERY_EXIT
168,20,RULE_A,0.7,0.2,6,-4.76,0.06,2.0,,DEADLINE_EXIT
169,20,RULE_A,0.7,0.2,6,-0.64,-1.86,5.0,,DEADLINE_EXIT
170,20,RULE_A,0.7,0.2,6,-0.33,-1.61,1.0,,DEADLINE_EXIT
171,20,RULE_A,0.7,0.2,6,-0.46,0.39,1.0,7.0,RECOVERY_EXIT
172,20,RULE_A,0.7,0.2,6,-1.05,1.64,2.0,6.0,RECOVERY_EXIT
173,20,RULE_A,0.7,0.2,6,-2.57,-0.42,4.0,,DEADLINE_EXIT
174,20,RULE_A,0.7,0.2,6,0.34,-0.53,1.0,,DEADLINE_EXIT
175,20,RULE_A,0.7,0.2,6,-1.25,0.43,2.0,4.0,RECOVERY_EXIT
176,20,RULE_A,0.7,0.2,6,-2.55,-1.84,6.0,,DEADLINE_EXIT
177,20,RULE_A,0.7,0.2,6,-3.23,-2.6,5.0,,DEADLINE_EXIT
178,20,RULE_A,0.7,0.2,6,-0.42,-0.67,2.0,,DEADLINE_EXIT
179,20,RULE_A,0.7,0.2,6,0.87,0.41,4.0,5.0,RECOVERY_EXIT
180,20,RULE_A,0.7,0.2,6,-1.73,-1.37,4.0,,DEADLINE_EXIT
