mae_threshold,horizon,recovery_level,observations,reached_trades,not_reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
0.7,10,-0.1,195,89,106,0.4564102564102564,0.47191011235955055,,,-0.051123595505617986,
0.7,10,0.0,195,76,119,0.38974358974358975,0.5131578947368421,,,0.009210526315789468,
0.7,10,0.1,195,68,127,0.3487179487179487,0.5294117647058824,,,0.06882352941176473,
0.7,10,0.2,195,63,132,0.3230769230769231,0.5396825396825397,,,0.10301587301587302,
0.7,10,0.3,195,50,145,0.2564102564102564,0.62,,,0.3654,
0.7,10,0.4,195,45,150,0.23076923076923078,0.6222222222222222,,,0.3866666666666667,
0.7,12,-0.5,195,144,51,0.7384615384615385,0.3263888888888889,,,-0.3177083333333333,
0.7,12,-0.4,195,130,65,0.6666666666666666,0.36153846153846153,,,-0.24776923076923077,
0.7,12,-0.3,195,118,77,0.6051282051282051,0.3898305084745763,,,-0.21830508474576266,
0.7,12,-0.2,195,105,90,0.5384615384615384,0.4380952380952381,,,-0.10771428571428573,
0.7,12,-0.1,195,94,101,0.48205128205128206,0.46808510638297873,,,-0.06563829787234042,
0.7,12,0.0,195,82,113,0.4205128205128205,0.5121951219512195,,,0.03329268292682926,
0.7,12,0.1,195,76,119,0.38974358974358975,0.5394736842105263,,,0.11868421052631577,
0.7,12,0.2,195,69,126,0.35384615384615387,0.5652173913043478,,,0.1746376811594203,
0.7,12,0.3,195,55,140,0.28205128205128205,0.6363636363636364,,,0.4289090909090909,
0.7,12,0.4,195,49,146,0.2512820512820513,0.6326530612244898,,,0.41938775510204074,
0.75,1,-0.5,195,78,117,0.4,0.38461538461538464,,,-0.16705128205128209,
0.75,1,-0.4,195,58,137,0.29743589743589743,0.41379310344827586,,,-0.11224137931034482,
0.75,1,-0.3,195,37,158,0.18974358974358974,0.35135135135135137,,,-0.2827027027027027,
0.75,1,-0.2,195,28,167,0.14358974358974358,0.39285714285714285,,,-0.1496428571428571,
0.75,1,-0.1,195,18,177,0.09230769230769231,0.5555555555555556,,,0.2983333333333334,
0.75,1,0.0,195,13,182,0.06666666666666667,0.6153846153846154,,,0.3523076923076923,
0.75,1,0.1,195,9,186,0.046153846153846156,0.6666666666666666,,,0.5444444444444445,
0.75,1,0.2,195,7,188,0.035897435897435895,0.5714285714285714,,,0.15,
0.75,1,0.3,195,3,192,0.015384615384615385,1.0,,,1.4766666666666666,
0.75,1,0.4,195,2,193,0.010256410256410256,1.0,,,2.035,
0.75,2,-0.5,195,96,99,0.49230769230769234,0.3541666666666667,,,-0.23812500000000003,
