mae_threshold_R,decision_bar,triggered_trades,later_mae_recovery_below_threshold,recovery_below_threshold_pct,eventual_target_or_win,eventual_target_or_win_pct,eventual_stop_or_loss,eventual_stop_or_loss_pct
0.7,4,127,0,0.0,16,0.12598425196850394,111,0.8740157480314961
0.75,4,119,0,0.0,15,0.12605042016806722,104,0.8739495798319328
0.8,4,100,0,0.0,9,0.09,91,0.91
0.85,4,83,0,0.0,6,0.07228915662650602,77,0.927710843373494
0.9,4,75,0,0.0,5,0.06666666666666667,70,0.9333333333333333
0.95,4,64,0,0.0,4,0.0625,60,0.9375
1.0,4,54,0,0.0,0,0.0,54,1.0
0.25,5,193,0,0.0,27,0.13989637305699482,166,0.8601036269430051
0.5,5,175,0,0.0,25,0.14285714285714285,150,0.8571428571428571
0.6,5,165,0,0.0,24,0.14545454545454545,141,0.8545454545454545
0.7,5,153,0,0.0,22,0.1437908496732026,131,0.8562091503267973
0.75,5,141,0,0.0,22,0.15602836879432624,119,0.8439716312056738
0.8,5,121,0,0.0,14,0.11570247933884298,107,0.8842975206611571
0.85,5,105,0,0.0,12,0.11428571428571428,93,0.8857142857142857
0.9,5,93,0,0.0,8,0.08602150537634409,85,0.9139784946236559
0.95,5,82,0,0.0,6,0.07317073170731707,76,0.926829268292683
1.0,5,69,0,0.0,0,0.0,69,1.0
0.25,6,194,0,0.0,27,0.13917525773195877,167,0.8608247422680413
0.5,6,186,0,0.0,26,0.13978494623655913,160,0.8602150537634409
0.6,6,178,0,0.0,24,0.1348314606741573,154,0.8651685393258427
0.7,6,168,0,0.0,22,0.13095238095238096,146,0.8690476190476191
0.75,6,160,0,0.0,22,0.1375,138,0.8625
0.8,6,140,0,0.0,14,0.1,126,0.9
0.85,6,123,0,0.0,13,0.10569105691056911,110,0.8943089430894309
0.9,6,110,0,0.0,9,0.08181818181818182,101,0.9181818181818182
0.95,6,98,0,0.0,6,0.061224489795918366,92,0.9387755102040817
1.0,6,83,0,0.0,0,0.0,83,1.0
0.25,7,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.5,7,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.6,7,190,0,0.0,26,0.1368421052631579,164,0.8631578947368421
0.7,7,187,0,0.0,25,0.13368983957219252,162,0.8663101604278075
0.75,7,182,0,0.0,25,0.13736263736263737,157,0.8626373626373627
0.8,7,158,0,0.0,16,0.10126582278481013,142,0.8987341772151899
0.85,7,135,0,0.0,15,0.1111111111111111,120,0.8888888888888888
0.9,7,121,0,0.0,10,0.08264462809917356,111,0.9173553719008265
0.95,7,107,0,0.0,7,0.06542056074766354,100,0.9345794392523364
1.0,7,96,0,0.0,1,0.010416666666666666,95,0.9895833333333334
0.25,8,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.5,8,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.6,8,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.7,8,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.75,8,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.8,8,174,0,0.0,18,0.10344827586206896,156,0.896551724137931
0.85,8,149,0,0.0,15,0.10067114093959731,134,0.8993288590604027
0.9,8,138,0,0.0,10,0.07246376811594203,128,0.927536231884058
0.95,8,120,0,0.0,7,0.058333333333333334,113,0.9416666666666667
1.0,8,102,0,0.0,1,0.00980392156862745,101,0.9901960784313726
0.25,10,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.5,10,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.6,10,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.7,10,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.75,10,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.8,10,178,0,0.0,19,0.10674157303370786,159,0.8932584269662921
0.85,10,158,0,0.0,16,0.10126582278481013,142,0.8987341772151899
0.9,10,147,0,0.0,11,0.07482993197278912,136,0.9251700680272109
0.95,10,134,0,0.0,7,0.05223880597014925,127,0.9477611940298507
1.0,10,119,0,0.0,1,0.008403361344537815,118,0.9915966386554622
0.25,12,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.5,12,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.6,12,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.7,12,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.75,12,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.8,12,182,0,0.0,20,0.10989010989010989,162,0.8901098901098901
0.85,12,164,0,0.0,16,0.0975609756097561,148,0.9024390243902439
0.9,12,153,0,0.0,11,0.0718954248366013,142,0.9281045751633987
0.95,12,140,0,0.0,7,0.05,133,0.95
1.0,12,126,0,0.0,1,0.007936507936507936,125,0.9920634920634921
0.25,14,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.5,14,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.6,14,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.7,14,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.75,14,195,0,0.0,27,0.13846153846153847,168,0.8615384615384616
0.8,14,184,0,0.0,20,0.10869565217391304,164,0.8913043478260869
0.85,14,167,0,0.0,16,0.09580838323353294,151,0.9041916167664671
0.9,14,157,0,0.0,11,0.07006369426751592,146,0.9299363057324841
0.95,14,145,0,0.0,7,0.04827586206896552,138,0.9517241379310345
1.0,14,132,0,0.0,1,0.007575757575757576,131,0.9924242424242424
