entry_timestamp,exit_timestamp,session_id,quality,hmm_state,vol_percentile,stop_points,target_points,rr,horizon,mae_threshold_R,recovery_threshold_R,recovery_deadline_bars,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end
2021-07-14 11:40:00-04:00,2021-07-14 11:58:00-04:00,2021-07-14,1.0,2,0.582915256286267,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-15 11:58:00-04:00,2021-07-15 12:10:00-04:00,2021-07-15,0.9192286008125674,2,0.4975822050290135,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,12,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-15 13:19:00-04:00,2021-07-15 13:31:00-04:00,2021-07-15,0.8376383910280798,2,0.4777260638297872,20.0,35.0,1.75,20,0.7,0.2,6,5.0,3.89,0.1945,recovery,12,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-15 13:54:00-04:00,2021-07-15 14:09:00-04:00,2021-07-15,0.9513036306193335,2,0.4162284413281754,20.0,35.0,1.75,20,0.7,0.2,6,-15.75,-16.86,-0.843,recovery_deadline,15,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-16 10:04:00-04:00,2021-07-16 10:12:00-04:00,2021-07-16,0.7515495833014693,2,0.592274137653127,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,8,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-16 10:21:00-04:00,2021-07-16 10:41:00-04:00,2021-07-16,0.8354525729658866,2,0.5791021921341071,20.0,35.0,1.75,20,0.7,0.2,6,-12.25,-13.36,-0.6679999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-16 11:14:00-04:00,2021-07-16 11:24:00-04:00,2021-07-16,1.0,2,0.5812530222437138,20.0,35.0,1.75,20,0.7,0.2,6,-5.0,-6.109999999999999,-0.3055,recovery_deadline,10,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-19 12:01:00-04:00,2021-07-19 12:21:00-04:00,2021-07-19,0.9090016352954495,2,0.4850902643455835,20.0,35.0,1.75,20,0.7,0.2,6,19.5,18.39,0.9195,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-22 12:09:00-04:00,2021-07-22 12:20:00-04:00,2021-07-22,0.8512118079249429,2,0.4152613233397808,20.0,35.0,1.75,20,0.7,0.2,6,5.75,4.640000000000001,0.23200000000000004,recovery,11,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-22 12:21:00-04:00,2021-07-22 12:32:00-04:00,2021-07-22,1.0,2,0.43332930367504835,20.0,35.0,1.75,20,0.7,0.2,6,-28.75,-29.86,-1.4929999999999999,recovery_deadline,11,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-27 09:49:00-04:00,2021-07-27 09:57:00-04:00,2021-07-27,0.8461538461538461,2,0.5051227030947776,20.0,35.0,1.75,20,0.7,0.2,6,3.75,2.64,0.132,recovery_deadline,8,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-27 09:58:00-04:00,2021-07-27 10:05:00-04:00,2021-07-27,1.0,2,0.5810515393294649,20.0,35.0,1.75,20,0.7,0.2,6,24.5,23.39,1.1695,recovery,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-27 13:13:00-04:00,2021-07-27 13:17:00-04:00,2021-07-27,1.0,2,0.5320357833655706,20.0,35.0,1.75,20,0.7,0.2,6,10.0,8.89,0.4445,recovery,4,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-28 11:47:00-04:00,2021-07-28 12:03:00-04:00,2021-07-28,0.9610967036387639,2,0.5197654738878144,20.0,35.0,1.75,20,0.7,0.2,6,-12.75,-13.86,-0.693,recovery_deadline,16,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-30 10:33:00-04:00,2021-07-30 10:42:00-04:00,2021-07-30,1.0,2,0.4843951482914249,20.0,35.0,1.75,20,0.7,0.2,6,-26.0,-27.11,-1.3555,recovery_deadline,9,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-08-02 12:07:00-04:00,2021-08-02 12:19:00-04:00,2021-08-02,1.0,2,0.4521377337201805,20.0,35.0,1.75,20,0.7,0.2,6,-21.0,-22.11,-1.1055,recovery_deadline,12,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-08-06 10:05:00-04:00,2021-08-06 10:12:00-04:00,2021-08-06,0.8422690245593996,2,0.5313422923469362,20.0,35.0,1.75,20,0.7,0.2,6,-25.0,-26.11,-1.3054999999999999,recovery_deadline,7,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-06 11:04:00-04:00,2021-08-06 11:24:00-04:00,2021-08-06,1.0,2,0.4572669138697002,20.0,35.0,1.75,20,0.7,0.2,6,-23.25,-24.36,-1.218,recovery_deadline,20,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-10 10:27:00-04:00,2021-08-10 10:30:00-04:00,2021-08-10,0.7995108712679161,2,0.4296351826602334,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,3,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-10 10:31:00-04:00,2021-08-10 10:40:00-04:00,2021-08-10,1.0,2,0.5666567718369667,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,9,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-11 10:59:00-04:00,2021-08-11 11:11:00-04:00,2021-08-11,0.8105781535575235,2,0.4642955971362015,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,12,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-11 11:13:00-04:00,2021-08-11 11:33:00-04:00,2021-08-11,0.8108695652173913,2,0.4848080822310661,20.0,35.0,1.75,20,0.7,0.2,6,-11.25,-12.36,-0.618,timeout,20,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-17 11:15:00-04:00,2021-08-17 11:35:00-04:00,2021-08-17,0.8041933191186923,2,0.4128357743375076,20.0,35.0,1.75,20,0.7,0.2,6,12.75,11.64,0.5820000000000001,timeout,20,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-17 11:42:00-04:00,2021-08-17 11:52:00-04:00,2021-08-17,0.9294888966753692,2,0.5096424276880814,20.0,35.0,1.75,20,0.7,0.2,6,8.0,6.890000000000001,0.34450000000000003,recovery,10,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2021-08-17 11:54:00-04:00,2021-08-17 12:14:00-04:00,2021-08-17,0.9550561307159443,2,0.5602016532751047,20.0,35.0,1.75,20,0.7,0.2,6,3.75,2.64,0.132,timeout,20,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
