mae_threshold,recovery_level,recovery_horizon,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,triggered_trades,recovery_exits,losses_rescued,winners_damaged,delta_R,mean_delta_R,benchmark_R,benchmark_win_rate,benchmark_profit_factor,benchmark_max_drawdown_R,development_window_positive_pct
0.6,0.0,3,95,24,71,0.25263157894736843,-0.6876842105263157,-65.32999999999998,0.11751992435499123,-64.62999999999997,0.1,-13.79,0.38,95,15,6,8,2.16,0.02273684210526316,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.0,4,95,26,69,0.2736842105263158,-0.6794736842105263,-64.55,0.11429747530186607,-64.22999999999999,0.1,-13.79,0.38,95,19,8,9,2.9400000000000004,0.030947368421052637,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.0,5,95,30,65,0.3157894736842105,-0.6432631578947369,-61.11,0.13121978959340347,-60.78999999999999,0.2,-13.76,0.38,95,24,11,10,6.380000000000001,0.06715789473684211,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.0,6,95,32,63,0.3368421052631579,-0.629578947368421,-59.809999999999995,0.13631768953068593,-59.50999999999999,0.2,-13.4,0.38,95,27,13,10,7.680000000000001,0.0808421052631579,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.0,8,95,33,62,0.3473684210526316,-0.6386315789473683,-60.669999999999995,0.09824613555291321,-60.37,0.2,-14.68,0.38,95,31,14,13,6.820000000000001,0.07178947368421054,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.0,10,95,33,62,0.3473684210526316,-0.6389473684210526,-60.699999999999996,0.09780023781212843,-60.4,0.2,-14.68,0.38,95,33,14,14,6.790000000000002,0.07147368421052633,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.0,12,95,35,60,0.3684210526315789,-0.6203157894736842,-58.92999999999999,0.11290079783230468,-58.919999999999995,0.2,-14.68,0.38,95,35,16,14,8.56,0.09010526315789474,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.1,2,95,21,74,0.22105263157894736,-0.7183157894736844,-68.24000000000001,0.14870259481037926,-69.79999999999998,0.1,-13.870000000000001,0.09,95,3,1,2,-0.75,-0.007894736842105263,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.1,3,95,24,71,0.25263157894736843,-0.6983157894736841,-66.33999999999999,0.1550121003693797,-68.06999999999998,0.1,-13.59,0.38,95,9,4,3,1.1500000000000001,0.012105263157894739,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.1,4,95,25,70,0.2631578947368421,-0.6857894736842104,-65.14999999999999,0.1381135070776558,-65.61999999999998,0.1,-13.59,0.38,95,14,5,6,2.3400000000000007,0.024631578947368428,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.1,5,95,29,66,0.30526315789473685,-0.6322105263157894,-60.06,0.1691796929035828,-60.529999999999994,0.2,-13.59,0.38,95,18,9,6,7.4300000000000015,0.0782105263157895,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.1,6,95,30,65,0.3157894736842105,-0.6298947368421053,-59.84,0.16981132075471694,-60.31,0.2,-13.23,0.38,95,21,10,7,7.650000000000001,0.0805263157894737,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.1,8,95,32,63,0.3368421052631579,-0.6347368421052632,-60.300000000000004,0.1399229781771502,-60.77000000000001,0.2,-14.11,0.38,95,26,11,10,7.190000000000001,0.0756842105263158,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.1,10,95,32,63,0.3368421052631579,-0.6341052631578947,-60.24,0.1407787762088147,-60.71000000000001,0.2,-14.11,0.38,95,29,11,11,7.250000000000002,0.07631578947368423,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.1,12,95,34,61,0.35789473684210527,-0.6154736842105264,-58.470000000000006,0.1557897776494369,-59.230000000000004,0.2,-14.11,0.38,95,31,13,11,9.020000000000003,0.09494736842105267,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.2,2,95,21,74,0.22105263157894736,-0.7183157894736844,-68.24000000000001,0.14870259481037926,-69.79999999999998,0.1,-13.870000000000001,0.09,95,3,1,2,-0.75,-0.007894736842105263,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.2,3,95,22,73,0.23157894736842105,-0.7105263157894736,-67.49999999999999,0.15709290709290707,-69.22999999999998,0.1,-13.59,0.38,95,6,2,2,-0.010000000000000009,-0.00010526315789473693,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.2,4,95,24,71,0.25263157894736843,-0.6944210526315788,-65.96999999999998,0.13764705882352946,-66.43999999999997,0.1,-13.59,0.38,95,13,4,6,1.5200000000000005,0.016000000000000004,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.2,5,95,27,68,0.28421052631578947,-0.646421052631579,-61.410000000000004,0.16517128874388254,-61.87999999999999,0.2,-13.59,0.38,95,16,7,6,6.08,0.064,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.2,6,95,28,67,0.29473684210526313,-0.6398947368421053,-60.790000000000006,0.16953551912568304,-61.25999999999999,0.2,-13.59,0.38,95,18,8,6,6.7,0.07052631578947369,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.2,8,95,32,63,0.3368421052631579,-0.604421052631579,-57.42,0.18100128369704752,-57.89,0.2,-14.049999999999999,0.38,95,24,11,7,10.07,0.106,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.2,10,95,32,63,0.3368421052631579,-0.6195789473684211,-58.86000000000001,0.16046213093709885,-59.330000000000005,0.2,-14.049999999999999,0.38,95,27,11,9,8.629999999999999,0.09084210526315789,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.2,12,95,34,61,0.35789473684210527,-0.6009473684210527,-57.09,0.17571469823852154,-57.849999999999994,0.2,-14.049999999999999,0.38,95,30,13,9,10.400000000000002,0.10947368421052633,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.2
0.6,0.3,2,95,21,74,0.22105263157894736,-0.6771578947368421,-64.33,0.1974800399201597,-65.88999999999997,0.1,-12.88,0.09,95,1,1,0,3.16,0.03326315789473684,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
