trade_index,window,boundary_R,execution_model,crossing_bar,triggered,original_R,strategy_R,delta_R
147,18,0.95,BAR_CLOSE_BOUNDARY,12.0,True,-0.21,-0.81,-0.6000000000000001
148,18,0.95,BAR_CLOSE_BOUNDARY,9.0,True,-0.85,-0.94,-0.08999999999999997
149,19,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-3.62,-0.96,2.66
150,19,0.95,BAR_CLOSE_BOUNDARY,1.0,True,3.2,-0.35,-3.5500000000000003
151,20,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-2.01,-0.98,1.0299999999999998
152,20,0.95,BAR_CLOSE_BOUNDARY,6.0,True,2.81,-0.76,-3.5700000000000003
153,20,0.95,BAR_CLOSE_BOUNDARY,7.0,True,-1.63,-0.72,0.9099999999999999
154,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-0.83,-1.24,-0.41000000000000003
155,20,0.95,BAR_CLOSE_BOUNDARY,8.0,True,-0.47,-0.58,-0.10999999999999999
156,20,0.95,BAR_CLOSE_BOUNDARY,,False,2.48,2.48,0.0
157,20,0.95,BAR_CLOSE_BOUNDARY,7.0,True,-1.99,-0.88,1.1099999999999999
158,20,0.95,BAR_CLOSE_BOUNDARY,2.0,True,1.6,-0.92,-2.52
159,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-1.01,-1.14,-0.1299999999999999
160,20,0.95,BAR_CLOSE_BOUNDARY,,False,-0.53,-0.53,0.0
161,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-1.65,-0.79,0.8599999999999999
162,20,0.95,BAR_CLOSE_BOUNDARY,6.0,True,1.38,-0.91,-2.29
163,20,0.95,BAR_CLOSE_BOUNDARY,1.0,True,-2.13,-0.83,1.2999999999999998
164,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,0.85,-1.16,-2.01
165,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-1.62,-0.87,0.7500000000000001
166,20,0.95,BAR_CLOSE_BOUNDARY,9.0,True,0.82,-0.99,-1.81
167,20,0.95,BAR_CLOSE_BOUNDARY,5.0,True,0.66,-0.77,-1.4300000000000002
168,20,0.95,BAR_CLOSE_BOUNDARY,17.0,True,-4.76,-8.74,-3.9800000000000004
169,20,0.95,BAR_CLOSE_BOUNDARY,9.0,True,-0.64,-1.41,-0.7699999999999999
170,20,0.95,BAR_CLOSE_BOUNDARY,1.0,True,-0.33,-0.63,-0.3
171,20,0.95,BAR_CLOSE_BOUNDARY,15.0,True,-0.46,-1.05,-0.5900000000000001
172,20,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-1.05,-0.52,0.53
173,20,0.95,BAR_CLOSE_BOUNDARY,10.0,True,-2.57,-0.42,2.15
174,20,0.95,BAR_CLOSE_BOUNDARY,2.0,True,0.34,-0.73,-1.07
175,20,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-1.25,-0.94,0.31000000000000005
176,20,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-2.55,-0.8,1.7499999999999998
177,20,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-3.23,-0.89,2.34
178,20,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-0.42,-0.99,-0.5700000000000001
179,20,0.95,BAR_CLOSE_BOUNDARY,,False,0.87,0.87,0.0
180,20,0.95,BAR_CLOSE_BOUNDARY,8.0,True,-1.73,-1.04,0.69
181,20,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-2.14,-0.96,1.1800000000000002
182,20,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-1.83,-0.89,0.9400000000000001
183,20,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-1.25,-0.94,0.31000000000000005
184,21,0.95,BAR_CLOSE_BOUNDARY,1.0,True,3.94,-0.21,-4.15
185,22,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-2.77,-1.31,1.46
186,22,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-1.24,-0.96,0.28
187,22,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-1.29,-0.65,0.64
188,22,0.95,BAR_CLOSE_BOUNDARY,6.0,True,0.39,-1.37,-1.7600000000000002
189,22,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-0.96,-0.43,0.53
190,22,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-0.85,-0.91,-0.06000000000000005
191,22,0.95,BAR_CLOSE_BOUNDARY,14.0,True,-2.0,-1.09,0.9099999999999999
192,22,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.49,-0.67,0.82
193,22,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-1.14,-0.94,0.19999999999999996
194,22,0.95,BAR_CLOSE_BOUNDARY,7.0,True,-0.05,-0.88,-0.83
