entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,trade_index,entry_price,path_length,max_MAE_R,max_MFE_R,final_close_R,time_to_max_MFE,time_to_max_MAE,outcome,exit_reason_path,net_R_path,window_path,mae_1R,mfe_1R,close_1R,mae_2R,mfe_2R,close_2R,mae_3R,mfe_3R,close_3R,mae_4R,mfe_4R,close_4R,mae_5R,mfe_5R,close_5R,mae_6R,mfe_6R,close_6R,mae_7R,mfe_7R,close_7R,mae_8R,mfe_8R,close_8R,mae_9R,mfe_9R,close_9R,mae_10R,mfe_10R,close_10R,mae_11R,mfe_11R,close_11R,mae_12R,mfe_12R,close_12R,mae_13R,mfe_13R,close_13R,mae_14R,mfe_14R,close_14R,mae_15R,mfe_15R,close_15R,mae_16R,mfe_16R,close_16R,mae_17R,mfe_17R,close_17R,mae_18R,mfe_18R,close_18R,mae_19R,mfe_19R,close_19R,mae_20R,mfe_20R,close_20R
2021-05-18 16:39:00-04:00,2021-05-18 16:59:00-04:00,2021-05-17,0.7518491139723474,0.5913479601120772,25.0,1.75,20,-4.5,-5.609999999999999,-0.2244,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,10,13183.25,21,0.43,0.02,-0.18,1,6,LOSS,timeout,-0.2244,1,0.14,0.02,-0.05,0.27,0.02,-0.27,0.31,0.02,-0.23,0.36,0.02,-0.25,0.42,0.02,-0.39,0.43,0.02,-0.31,0.43,0.02,-0.34,0.43,0.02,-0.12,0.43,0.02,-0.15,0.43,0.02,-0.17,0.43,0.02,-0.21,0.43,0.02,-0.2,0.43,0.02,-0.12,0.43,0.02,-0.19,0.43,0.02,-0.18,0.43,0.02,-0.26,0.43,0.02,-0.24,0.43,0.02,-0.14,0.43,0.02,-0.23,0.43,0.02,-0.18
2021-05-21 12:10:00-04:00,2021-05-21 12:30:00-04:00,2021-05-20,0.9902775836802492,0.5517633159664854,25.0,1.75,20,-21.0,-22.11,-0.8844,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,11,13410.75,21,0.89,0.22,-0.84,2,20,LOSS,timeout,-0.8844,1,0.08,0.19,0.13,0.19,0.22,-0.15,0.27,0.22,-0.13,0.27,0.22,-0.06,0.32,0.22,-0.1,0.32,0.22,-0.1,0.32,0.22,-0.09,0.32,0.22,0.16,0.32,0.22,-0.12,0.32,0.22,-0.25,0.43,0.22,-0.43,0.46,0.22,-0.3,0.49,0.22,-0.35,0.49,0.22,-0.17,0.49,0.22,-0.36,0.49,0.22,-0.14,0.49,0.22,-0.16,0.56,0.22,-0.51,0.73,0.22,-0.58,0.89,0.22,-0.84
2021-05-21 15:51:00-04:00,2021-05-21 16:11:00-04:00,2021-05-20,0.76625,0.4075294564976303,25.0,1.75,20,1.0,-0.1099999999999998,-0.0043999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,12,13410.25,21,0.63,0.59,0.04,5,3,LOSS,timeout,-0.0043999999999999,1,0.52,0.0,-0.39,0.62,0.0,-0.61,0.63,0.39,0.18,0.63,0.39,0.28,0.63,0.59,0.52,0.63,0.59,0.28,0.63,0.59,0.47,0.63,0.59,0.05,0.63,0.59,-0.36,0.63,0.59,-0.05,0.63,0.59,-0.09,0.63,0.59,-0.02,0.63,0.59,-0.14,0.63,0.59,0.16,0.63,0.59,0.12,0.63,0.59,-0.07,0.63,0.59,-0.2,0.63,0.59,-0.15,0.63,0.59,-0.1,0.63,0.59,0.04
2021-05-25 11:18:00-04:00,2021-05-25 11:38:00-04:00,2021-05-24,0.8256225004154417,0.5725039494113227,25.0,1.75,20,22.0,20.89,0.8356,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13,13638.5,21,0.68,1.28,0.88,15,7,WIN,timeout,0.8356,1,0.13,0.22,-0.04,0.26,0.22,-0.17,0.61,0.22,-0.44,0.61,0.22,-0.29,0.61,0.22,-0.23,0.61,0.22,-0.42,0.68,0.22,-0.25,0.68,0.31,0.23,0.68,0.44,0.3,0.68,0.57,0.48,0.68,0.57,0.19,0.68,0.57,0.17,0.68,0.78,0.77,0.68,0.78,0.71,0.68,1.28,1.24,0.68,1.28,1.02,0.68,1.28,0.69,0.68,1.28,0.84,0.68,1.28,0.84,0.68,1.28,0.88
2021-05-26 10:02:00-04:00,2021-05-26 10:21:00-04:00,2021-05-25,0.8686741538892716,0.5436245863868657,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,19,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,14,13660.0,21,1.17,0.11,-1.14,13,20,LOSS,stop,-1.0444,1,0.38,0.08,-0.33,0.38,0.08,-0.07,0.41,0.08,-0.09,0.41,0.08,-0.26,0.5,0.08,-0.35,0.5,0.08,-0.33,0.57,0.08,-0.55,0.74,0.08,-0.36,0.74,0.08,-0.22,0.74,0.09,-0.21,0.74,0.09,-0.16,0.74,0.09,-0.12,0.74,0.11,-0.21,0.74,0.11,-0.57,0.78,0.11,-0.74,0.84,0.11,-0.72,0.84,0.11,-0.71,0.85,0.11,-0.82,1.08,0.11,-1.03,1.17,0.11,-1.14
2021-06-01 09:54:00-04:00,2021-06-01 10:14:00-04:00,2021-05-31,0.7704389032504194,0.4707743562120053,25.0,1.75,20,43.75,42.64,1.7056,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15,13716.0,21,0.63,2.44,2.33,20,6,WIN,target,1.7056,1,0.02,0.42,0.29,0.02,0.42,0.14,0.14,0.42,-0.08,0.23,0.42,-0.1,0.37,0.42,-0.29,0.63,0.42,-0.57,0.63,0.42,-0.1,0.63,0.42,0.17,0.63,0.47,0.26,0.63,0.62,0.61,0.63,0.91,0.5,0.63,0.91,0.39,0.63,0.91,0.15,0.63,0.91,0.27,0.63,0.91,0.26,0.63,0.91,0.51,0.63,0.91,0.73,0.63,1.42,1.33,0.63,1.64,1.56,0.63,2.44,2.33
2021-06-08 10:56:00-04:00,2021-06-08 11:16:00-04:00,2021-06-07,0.7711276290374045,0.5563079680787981,25.0,1.75,20,14.75,13.64,0.5456,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,16,13806.0,21,0.72,0.66,0.59,20,13,WIN,timeout,0.5456,1,0.02,0.18,0.1,0.02,0.35,0.11,0.1,0.35,-0.09,0.35,0.35,-0.34,0.63,0.35,-0.62,0.7,0.35,-0.26,0.7,0.35,0.14,0.7,0.59,0.38,0.7,0.59,0.29,0.7,0.59,0.21,0.7,0.59,-0.21,0.7,0.59,-0.29,0.72,0.59,-0.57,0.72,0.59,-0.47,0.72,0.59,-0.41,0.72,0.59,-0.34,0.72,0.59,-0.09,0.72,0.59,0.55,0.72,0.59,0.15,0.72,0.66,0.59
2021-06-10 10:38:00-04:00,2021-06-10 10:46:00-04:00,2021-06-09,0.7698588641440891,0.4744634911438128,25.0,1.75,20,43.75,42.64,1.7056,target,8,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,17,13918.5,21,-0.02,3.7,2.09,17,1,WIN,target,1.7056,1,-0.02,0.44,0.36,-0.02,0.44,0.2,-0.02,0.44,0.3,-0.02,0.6,0.42,-0.02,0.73,0.61,-0.02,0.73,0.67,-0.02,1.64,1.57,-0.02,2.01,2.0,-0.02,2.02,1.79,-0.02,2.21,1.91,-0.02,2.62,2.35,-0.02,3.02,2.56,-0.02,3.02,2.66,-0.02,3.02,2.59,-0.02,3.02,2.45,-0.02,3.44,3.42,-0.02,3.7,3.16,-0.02,3.7,2.54,-0.02,3.7,2.21,-0.02,3.7,2.09
2021-06-11 10:45:00-04:00,2021-06-11 11:05:00-04:00,2021-06-10,0.9311900056933436,0.4140522091807404,25.0,1.75,20,1.25,0.1400000000000001,0.0056,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,18,13947.75,21,0.59,0.64,0.05,19,9,WIN,timeout,0.0056,1,0.05,0.21,0.03,0.05,0.38,0.03,0.11,0.38,-0.1,0.2,0.38,0.03,0.2,0.38,0.13,0.2,0.38,0.03,0.36,0.38,-0.28,0.57,0.38,-0.55,0.59,0.38,-0.49,0.59,0.38,-0.44,0.59,0.38,-0.34,0.59,0.38,-0.23,0.59,0.38,-0.16,0.59,0.38,-0.26,0.59,0.38,0.0,0.59,0.38,-0.05,0.59,0.38,0.13,0.59,0.5,0.47,0.59,0.64,0.4,0.59,0.64,0.05
2021-06-15 10:23:00-04:00,2021-06-15 10:43:00-04:00,2021-06-14,1.0,0.5509032722400518,25.0,1.75,20,17.75,16.64,0.6656,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,19,14069.25,21,0.33,0.76,0.71,20,2,WIN,timeout,0.6656,1,0.23,0.19,-0.16,0.33,0.31,0.28,0.33,0.48,0.14,0.33,0.48,0.08,0.33,0.48,0.3,0.33,0.55,0.38,0.33,0.55,0.14,0.33,0.55,0.18,0.33,0.55,0.37,0.33,0.55,-0.04,0.33,0.55,-0.05,0.33,0.55,0.16,0.33,0.55,0.25,0.33,0.55,0.35,0.33,0.55,0.32,0.33,0.55,-0.1,0.33,0.55,-0.03,0.33,0.55,0.17,0.33,0.64,0.31,0.33,0.76,0.71
2021-06-16 12:21:00-04:00,2021-06-16 12:41:00-04:00,2021-06-15,1.0,0.4063570811021234,25.0,1.75,20,-10.5,-11.61,-0.4644,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20,13991.75,21,0.63,0.64,-0.42,5,14,LOSS,timeout,-0.4644,1,0.14,0.02,-0.13,0.16,0.02,-0.14,0.16,0.29,0.29,0.16,0.63,0.49,0.16,0.64,0.41,0.16,0.64,0.36,0.16,0.64,0.18,0.16,0.64,-0.05,0.22,0.64,-0.17,0.49,0.64,-0.48,0.52,0.64,-0.48,0.57,0.64,-0.47,0.57,0.64,-0.46,0.63,0.64,-0.54,0.63,0.64,-0.41,0.63,0.64,-0.4,0.63,0.64,-0.41,0.63,0.64,-0.37,0.63,0.64,-0.47,0.63,0.64,-0.42
2021-06-17 12:07:00-04:00,2021-06-17 12:20:00-04:00,2021-06-16,0.9389952153110048,0.4930178029051372,25.0,1.75,20,43.75,42.64,1.7056,target,13,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,21,14138.25,21,0.15,2.67,2.4,17,7,WIN,target,1.7056,1,0.08,0.13,-0.02,0.08,0.41,0.15,0.08,0.45,0.39,0.08,0.5,0.3,0.08,0.5,0.13,0.11,0.5,-0.04,0.15,0.5,-0.03,0.15,0.5,0.34,0.15,0.5,0.42,0.15,0.89,0.89,0.15,1.3,1.27,0.15,1.48,1.33,0.15,1.96,1.92,0.15,2.23,1.59,0.15,2.23,1.66,0.15,2.23,2.18,0.15,2.67,2.42,0.15,2.67,2.19,0.15,2.67,2.42,0.15,2.67,2.4
2021-06-18 14:51:00-04:00,2021-06-18 15:11:00-04:00,2021-06-17,0.8771345250637859,0.4735446023203074,25.0,1.75,20,11.5,10.39,0.4156,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,22,14049.0,21,0.26,1.04,0.46,15,11,WIN,timeout,0.4156,1,0.05,0.23,0.08,0.12,0.32,0.3,0.12,0.38,0.35,0.12,0.47,0.36,0.12,0.47,0.3,0.12,0.5,0.39,0.12,0.55,0.42,0.12,0.65,0.39,0.12,0.82,0.63,0.12,0.82,0.17,0.26,0.82,-0.16,0.26,0.82,0.29,0.26,0.82,0.38,0.26,0.82,0.57,0.26,1.04,0.94,0.26,1.04,0.82,0.26,1.04,0.61,0.26,1.04,0.69,0.26,1.04,0.37,0.26,1.04,0.46
2021-06-24 13:45:00-04:00,2021-06-24 14:05:00-04:00,2021-06-23,0.9227742602417492,0.4011198674627352,25.0,1.75,20,-20.5,-21.61,-0.8644,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,23,14339.75,21,0.95,0.49,-0.82,5,20,LOSS,timeout,-0.8644,1,0.33,0.03,-0.23,0.33,0.03,-0.22,0.33,0.09,0.05,0.33,0.28,0.2,0.33,0.49,0.44,0.33,0.49,0.12,0.33,0.49,-0.17,0.33,0.49,-0.17,0.42,0.49,-0.4,0.46,0.49,-0.44,0.51,0.49,-0.36,0.51,0.49,-0.46,0.63,0.49,-0.62,0.65,0.49,-0.57,0.74,0.49,-0.69,0.76,0.49,-0.71,0.85,0.49,-0.85,0.87,0.49,-0.62,0.87,0.49,-0.78,0.95,0.49,-0.82
2021-07-01 10:17:00-04:00,2021-07-01 10:37:00-04:00,2021-06-30,0.9453079968836298,0.4278310149873935,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,24,14524.5,21,1.08,0.67,-0.96,3,20,LOSS,stop,-1.0444,1,0.14,0.18,0.07,0.14,0.36,0.32,0.14,0.67,0.51,0.14,0.67,0.26,0.14,0.67,0.03,0.14,0.67,-0.1,0.16,0.67,-0.01,0.22,0.67,-0.11,0.22,0.67,-0.14,0.22,0.67,0.08,0.26,0.67,-0.13,0.37,0.67,-0.33,0.49,0.67,-0.36,0.49,0.67,-0.21,0.49,0.67,-0.22,0.49,0.67,-0.43,0.63,0.67,-0.51,0.76,0.67,-0.74,0.95,0.67,-0.91,1.08,0.67,-0.96
2021-07-01 11:11:00-04:00,2021-07-01 11:31:00-04:00,2021-06-30,1.0,0.4306555796468388,25.0,1.75,20,-7.25,-8.36,-0.3344,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25,14489.0,21,0.64,0.73,-0.29,13,6,LOSS,timeout,-0.3344,1,0.27,0.15,-0.25,0.3,0.15,-0.12,0.44,0.15,-0.34,0.61,0.15,-0.58,0.61,0.15,-0.51,0.64,0.15,-0.16,0.64,0.15,0.01,0.64,0.16,-0.05,0.64,0.16,-0.11,0.64,0.28,0.04,0.64,0.38,0.29,0.64,0.59,0.55,0.64,0.73,0.31,0.64,0.73,0.06,0.64,0.73,0.29,0.64,0.73,0.08,0.64,0.73,-0.01,0.64,0.73,-0.11,0.64,0.73,-0.08,0.64,0.73,-0.29
2021-07-06 12:02:00-04:00,2021-07-06 12:15:00-04:00,2021-07-05,0.8168827296287858,0.544027448974511,25.0,1.75,20,43.75,42.64,1.7056,target,13,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,26,14699.5,21,0.32,2.97,1.86,18,4,WIN,target,1.7056,1,0.14,0.08,0.04,0.14,0.13,0.1,0.19,0.13,-0.15,0.32,0.13,-0.15,0.32,0.57,0.5,0.32,1.04,0.97,0.32,1.61,1.57,0.32,1.61,1.33,0.32,1.61,1.28,0.32,1.61,1.48,0.32,1.69,1.44,0.32,1.69,1.56,0.32,1.85,1.49,0.32,1.85,1.78,0.32,2.13,2.01,0.32,2.27,2.26,0.32,2.85,2.71,0.32,2.97,2.94,0.32,2.97,2.28,0.32,2.97,1.86
2021-07-08 14:32:00-04:00,2021-07-08 14:52:00-04:00,2021-07-07,0.8874261971043897,0.4113000692561527,25.0,1.75,20,2.5,1.39,0.0556,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,27,14697.75,21,0.84,0.46,0.1,18,11,WIN,timeout,0.0556,1,0.36,0.0,-0.32,0.68,0.0,-0.65,0.68,0.0,-0.56,0.75,0.0,-0.69,0.75,0.0,-0.52,0.75,0.0,-0.42,0.75,0.0,-0.43,0.75,0.0,-0.47,0.75,0.0,-0.59,0.75,0.0,-0.71,0.84,0.0,-0.66,0.84,0.0,-0.6,0.84,0.0,-0.57,0.84,0.0,-0.34,0.84,0.0,-0.32,0.84,0.17,0.15,0.84,0.33,0.33,0.84,0.46,0.4,0.84,0.46,0.17,0.84,0.46,0.1
2021-07-13 13:23:00-04:00,2021-07-13 13:41:00-04:00,2021-07-12,0.8145973154362416,0.4546462730684097,25.0,1.75,20,43.75,42.64,1.7056,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,28,14911.5,21,0.32,2.19,1.24,19,1,WIN,target,1.7056,1,0.32,0.04,-0.26,0.32,0.27,0.07,0.32,0.27,0.1,0.32,1.0,0.96,0.32,1.11,0.63,0.32,1.11,0.24,0.32,1.11,0.65,0.32,1.11,0.78,0.32,1.11,0.59,0.32,1.11,0.42,0.32,1.11,0.64,0.32,1.2,1.15,0.32,1.38,1.21,0.32,1.38,1.21,0.32,1.58,1.48,0.32,1.64,1.45,0.32,1.64,0.92,0.32,1.99,1.86,0.32,2.19,1.86,0.32,2.19,1.24
2021-07-14 11:40:00-04:00,2021-07-14 12:00:00-04:00,2021-07-13,1.0,0.5896776646644245,25.0,1.75,20,21.75,20.64,0.8256,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,29,14901.5,21,0.37,1.58,0.87,19,5,WIN,timeout,0.8256,1,0.15,0.22,0.21,0.15,0.47,0.4,0.15,0.47,0.34,0.33,0.47,-0.17,0.37,0.47,-0.25,0.37,0.47,-0.02,0.37,0.58,0.49,0.37,0.6,0.23,0.37,0.6,0.23,0.37,0.6,0.38,0.37,0.65,0.29,0.37,0.79,0.62,0.37,0.79,0.71,0.37,1.16,1.15,0.37,1.16,0.99,0.37,1.16,0.92,0.37,1.32,1.18,0.37,1.5,1.42,0.37,1.58,1.47,0.37,1.58,0.87
2021-07-15 11:58:00-04:00,2021-07-15 12:18:00-04:00,2021-07-14,0.9064676377381372,0.505773609331927,25.0,1.75,20,15.75,14.64,0.5856,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,30,14770.0,21,0.28,1.5,0.63,14,1,WIN,timeout,0.5856,1,0.28,0.08,-0.23,0.28,0.1,0.06,0.28,0.53,0.38,0.28,0.53,0.31,0.28,0.9,0.33,0.28,0.9,0.57,0.28,0.9,0.21,0.28,0.9,0.35,0.28,0.9,0.35,0.28,1.11,1.1,0.28,1.34,1.28,0.28,1.43,0.86,0.28,1.43,1.1,0.28,1.5,1.18,0.28,1.5,0.81,0.28,1.5,0.9,0.28,1.5,1.22,0.28,1.5,0.93,0.28,1.5,0.76,0.28,1.5,0.63
