mae_threshold,recovery_level,deadline,development_trades,development_wins,development_losses,development_win_rate,development_mean_R,development_total_R,development_profit_factor,development_max_drawdown_R,development_benchmark_total_R,development_benchmark_mean_R,development_benchmark_win_rate,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD,development_mae_triggered,development_recovery_exits,development_deadline_exits,development_recovery_exit_pct,_score
0.6,0.0,5,95,22,73,0.23157894736842105,-0.5762105263157896,-54.74000000000001,0.06999660210669384,-54.319999999999986,-67.49,-0.7104210526315788,0.21052631578947367,12.749999999999986,0.13421052631578922,0.02105263157894738,14.729999999999983,95,24,71,0.25263157894736843,14.29010526315788
0.8,0.3,8,95,26,69,0.2736842105263158,-0.5757894736842105,-54.7,0.18089248277927522,-55.08999999999997,-67.49,-0.7104210526315788,0.21052631578947367,12.789999999999992,0.13463157894736832,0.06315789473684214,13.96,89,19,70,0.21348314606741572,14.253315789473676
0.7,0.0,3,95,15,80,0.15789473684210525,-0.5769473684210528,-54.81000000000001,0.04843750000000001,-54.050000000000004,-67.49,-0.7104210526315788,0.21052631578947367,12.679999999999986,0.13347368421052608,-0.05263157894736842,14.999999999999964,95,17,78,0.17894736842105263,14.246736842105244
0.7,0.4,5,95,19,76,0.2,-0.5766315789473685,-54.78000000000001,0.129093799682035,-54.64000000000001,-67.49,-0.7104210526315788,0.21052631578947367,12.709999999999987,0.13378947368421035,-0.010526315789473661,14.409999999999961,95,11,84,0.11578947368421053,14.217894736842087
0.8,0.2,8,95,29,66,0.30526315789473685,-0.576421052631579,-54.76,0.17393271986724992,-55.379999999999974,-67.49,-0.7104210526315788,0.21052631578947367,12.729999999999997,0.1339999999999999,0.09473684210526317,13.669999999999995,89,25,64,0.2808988764044944,14.163999999999996
0.8,0.4,5,95,23,72,0.24210526315789474,-0.5791578947368422,-55.02000000000001,0.15444905486399263,-55.28999999999999,-67.49,-0.7104210526315788,0.21052631578947367,12.469999999999985,0.13126315789473664,0.03157894736842107,13.759999999999977,89,9,80,0.10112359550561797,13.91163157894735
0.7,-0.2,3,95,10,85,0.10526315789473684,-0.5805263157894738,-55.150000000000006,0.04003481288076588,-54.39000000000001,-67.49,-0.7104210526315788,0.21052631578947367,12.33999999999999,0.12989473684210506,-0.10526315789473684,14.659999999999961,95,27,68,0.28421052631578947,13.870947368421037
0.7,0.3,5,95,19,76,0.2,-0.5810526315789474,-55.2,0.12241653418124007,-55.14,-67.49,-0.7104210526315788,0.21052631578947367,12.289999999999992,0.12936842105263147,-0.010526315789473661,13.909999999999968,95,13,82,0.1368421052631579,13.745684210526305
0.6,0.4,8,95,21,74,0.22105263157894736,-0.5829473684210525,-55.379999999999995,0.15476190476190474,-55.16999999999999,-67.49,-0.7104210526315788,0.21052631578947367,12.11,0.1274736842105263,0.01052631578947369,13.879999999999981,95,16,79,0.16842105263157894,13.56173684210526
0.6,-0.5,3,95,5,90,0.05263157894736842,-0.5837894736842106,-55.46000000000001,0.014570007107320542,-54.67,-67.49,-0.7104210526315788,0.21052631578947367,12.029999999999987,0.1266315789473682,-0.15789473684210525,14.379999999999967,95,53,42,0.5578947368421052,13.531315789473668
0.8,0.3,5,95,23,72,0.24210526315789474,-0.5829473684210528,-55.38000000000001,0.14891655140617793,-55.72999999999999,-67.49,-0.7104210526315788,0.21052631578947367,12.109999999999985,0.12747368421052607,0.03157894736842107,13.319999999999979,89,12,77,0.1348314606741573,13.505736842105247
0.6,-0.3,5,95,9,86,0.09473684210526316,-0.5843157894736842,-55.510000000000005,0.02460024600246002,-54.5,-67.49,-0.7104210526315788,0.21052631578947367,11.97999999999999,0.1261052631578946,-0.11578947368421051,14.549999999999969,95,39,56,0.4105263157894737,13.498052631578934
0.6,-0.2,5,95,11,84,0.11578947368421053,-0.5854736842105264,-55.620000000000005,0.027112121742172472,-54.60999999999999,-67.49,-0.7104210526315788,0.21052631578947367,11.86999999999999,0.12494736842105247,-0.09473684210526315,14.439999999999976,95,37,58,0.3894736842105263,13.376473684210515
0.8,0.1,8,95,29,66,0.30526315789473685,-0.584421052631579,-55.52,0.16246794388293856,-55.95999999999997,-67.49,-0.7104210526315788,0.21052631578947367,11.969999999999992,0.1259999999999999,0.09473684210526317,13.089999999999996,89,25,64,0.2808988764044944,13.341999999999992
0.6,0.3,8,95,22,73,0.23157894736842105,-0.585578947368421,-55.629999999999995,0.14743295019157088,-55.36999999999998,-67.49,-0.7104210526315788,0.21052631578947367,11.86,0.12484210526315787,0.02105263157894738,13.679999999999986,95,19,76,0.2,13.290421052631578
0.75,0.4,5,95,20,75,0.21052631578947367,-0.5857894736842106,-55.65000000000001,0.1326371571072319,-55.510000000000005,-67.49,-0.7104210526315788,0.21052631578947367,11.839999999999982,0.1246315789473682,0.0,13.539999999999964,95,11,84,0.11578947368421053,13.256315789473664
0.6,0.2,8,95,26,69,0.2736842105263158,-0.5863157894736841,-55.699999999999996,0.13936959208899874,-55.43999999999998,-67.49,-0.7104210526315788,0.21052631578947367,11.79,0.12410526315789472,0.06315789473684214,13.609999999999985,95,24,71,0.25263157894736843,13.213052631578945
0.6,-0.1,8,95,22,73,0.23157894736842105,-0.5868421052631578,-55.74999999999999,0.07881692002643755,-55.14999999999998,-67.49,-0.7104210526315788,0.21052631578947367,11.740000000000002,0.12357894736842101,0.02105263157894738,13.899999999999991,95,36,59,0.37894736842105264,13.191789473684212
0.8,0.0,8,95,31,64,0.3263157894736842,-0.5868421052631579,-55.75,0.12631249020529697,-55.849999999999966,-67.49,-0.7104210526315788,0.21052631578947367,11.739999999999995,0.1235789473684209,0.11578947368421055,13.200000000000003,89,28,61,0.3146067415730337,13.121789473684206
