mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.7,0.25,2,95,2,95,21,74,0.22105263157894736,-0.6988421052631579,-66.39,1.0999999999999943,0.17178143712574848,-67.94999999999997,0.1,-12.88,0.09
0.7,0.25,3,95,7,95,23,72,0.24210526315789474,-0.7051578947368421,-66.99,0.5,0.15873414542257944,-66.75999999999996,0.1,-12.88,0.25
0.7,0.25,4,95,14,95,25,70,0.2631578947368421,-0.699157894736842,-66.41999999999999,1.0700000000000074,0.12662721893491125,-66.22999999999999,0.1,-13.51,0.25
0.7,0.25,5,95,15,95,26,69,0.2736842105263158,-0.6882105263157893,-65.37999999999998,2.1100000000000136,0.13127823545043846,-65.18999999999997,0.1,-13.51,0.25
0.7,0.25,6,95,17,95,26,69,0.2736842105263158,-0.7004210526315788,-66.53999999999999,0.9500000000000028,0.11586500132872705,-66.34999999999998,0.1,-13.51,0.25
0.7,0.25,8,95,23,95,29,66,0.30526315789473685,-0.6815789473684211,-64.75,2.739999999999995,0.10541586073500968,-64.56,0.1,-14.68,0.25
0.7,0.25,10,95,26,95,31,64,0.3263157894736842,-0.6745263157894736,-64.08,3.4099999999999966,0.10602678571428573,-64.14,0.1,-14.23,0.25
0.7,0.25,12,95,28,95,32,63,0.3368421052631579,-0.6713684210526316,-63.78,3.7099999999999937,0.10584606757325109,-63.84,0.1,-14.23,0.25
0.7,0.5,2,95,0,95,20,75,0.21052631578947367,-0.7104210526315788,-67.49,0.0,0.18559189091347894,-69.04999999999997,0.1,-14.0,0.09
0.7,0.5,3,95,3,95,23,72,0.24210526315789474,-0.6605263157894737,-62.75000000000001,4.739999999999988,0.21198040939344465,-64.30999999999997,0.1,-12.88,0.09
0.7,0.5,4,95,6,95,24,71,0.25263157894736843,-0.6189473684210527,-58.800000000000004,8.68999999999999,0.23347673054360582,-60.889999999999986,0.2,-12.88,0.1499999999999998
0.7,0.5,5,95,11,95,25,70,0.2631578947368421,-0.6385263157894737,-60.660000000000004,6.829999999999991,0.2010010537407798,-62.749999999999986,0.2,-13.01,0.5
