original_index,window,mae_threshold,recovery_level,deadline,benchmark_R,strategy_R,mae_bar,recovery_bar,exit_type
132,14,0.65,0.3,5,-0.28,-1.23,3,,DEADLINE_EXIT
133,14,0.65,0.3,5,-1.67,-0.61,4,,DEADLINE_EXIT
134,14,0.65,0.3,5,-0.63,-0.98,3,,DEADLINE_EXIT
135,15,0.65,0.3,5,-0.66,-0.56,2,,DEADLINE_EXIT
136,15,0.65,0.3,5,-1.7,0.26,7,,DEADLINE_EXIT
137,15,0.65,0.3,5,-1.17,-0.82,4,,DEADLINE_EXIT
138,16,0.65,0.3,5,1.92,0.76,7,12.0,RECOVERY_EXIT
139,16,0.65,0.3,5,-0.77,0.48,4,9.0,RECOVERY_EXIT
140,18,0.65,0.3,5,-2.22,-1.0,5,,DEADLINE_EXIT
141,18,0.65,0.3,5,0.02,-1.86,2,,DEADLINE_EXIT
142,18,0.65,0.3,5,-1.71,-0.17,6,,DEADLINE_EXIT
143,18,0.65,0.3,5,-0.72,-0.64,6,,DEADLINE_EXIT
144,18,0.65,0.3,5,-0.79,-0.49,6,,DEADLINE_EXIT
145,18,0.65,0.3,5,-0.57,0.41,2,5.0,RECOVERY_EXIT
146,18,0.65,0.3,5,0.36,0.2,1,,DEADLINE_EXIT
147,18,0.65,0.3,5,-0.21,0.0,2,,DEADLINE_EXIT
148,18,0.65,0.3,5,-0.85,-0.62,3,,DEADLINE_EXIT
149,19,0.65,0.3,5,-3.62,-1.28,2,,DEADLINE_EXIT
150,19,0.65,0.3,5,3.2,0.66,1,2.0,RECOVERY_EXIT
151,20,0.65,0.3,5,-2.01,-0.67,4,,DEADLINE_EXIT
152,20,0.65,0.3,5,2.81,-0.65,3,,DEADLINE_EXIT
153,20,0.65,0.3,5,-1.63,-1.44,5,,DEADLINE_EXIT
154,20,0.65,0.3,5,-0.83,-1.49,2,,DEADLINE_EXIT
155,20,0.65,0.3,5,-0.47,-0.58,3,,DEADLINE_EXIT
156,20,0.65,0.3,5,2.48,0.4,4,6.0,RECOVERY_EXIT
157,20,0.65,0.3,5,-1.99,-0.04,6,,DEADLINE_EXIT
158,20,0.65,0.3,5,1.6,0.24,2,,DEADLINE_EXIT
159,20,0.65,0.3,5,-1.01,-0.75,2,,DEADLINE_EXIT
160,20,0.65,0.3,5,-0.53,-0.27,1,,DEADLINE_EXIT
161,20,0.65,0.3,5,-1.65,-0.76,3,,DEADLINE_EXIT
162,20,0.65,0.3,5,1.38,0.05,6,,DEADLINE_EXIT
163,20,0.65,0.3,5,-2.13,-1.01,1,,DEADLINE_EXIT
164,20,0.65,0.3,5,0.85,-0.5,2,,DEADLINE_EXIT
165,20,0.65,0.3,5,-1.62,-0.45,3,,DEADLINE_EXIT
166,20,0.65,0.3,5,0.82,-0.77,6,,DEADLINE_EXIT
167,20,0.65,0.3,5,0.66,0.3,4,8.0,RECOVERY_EXIT
168,20,0.65,0.3,5,-4.76,-0.07,2,,DEADLINE_EXIT
169,20,0.65,0.3,5,-0.64,-1.63,5,,DEADLINE_EXIT
170,20,0.65,0.3,5,-0.33,0.08,1,,DEADLINE_EXIT
171,20,0.65,0.3,5,-0.46,0.17,1,,DEADLINE_EXIT
172,20,0.65,0.3,5,-1.05,1.64,2,6.0,RECOVERY_EXIT
173,20,0.65,0.3,5,-2.57,-0.28,3,,DEADLINE_EXIT
174,20,0.65,0.3,5,0.34,-0.69,1,,DEADLINE_EXIT
175,20,0.65,0.3,5,-1.25,0.43,2,4.0,RECOVERY_EXIT
176,20,0.65,0.3,5,-2.55,-1.8,6,,DEADLINE_EXIT
177,20,0.65,0.3,5,-3.23,-2.79,5,,DEADLINE_EXIT
178,20,0.65,0.3,5,-0.42,-0.65,2,,DEADLINE_EXIT
179,20,0.65,0.3,5,0.87,0.41,4,5.0,RECOVERY_EXIT
180,20,0.65,0.3,5,-1.73,-1.04,3,,DEADLINE_EXIT
181,20,0.65,0.3,5,-2.14,-0.96,1,,DEADLINE_EXIT
182,20,0.65,0.3,5,-1.83,-1.33,4,,DEADLINE_EXIT
183,20,0.65,0.3,5,-1.25,-1.12,5,,DEADLINE_EXIT
184,21,0.65,0.3,5,3.94,0.94,1,5.0,RECOVERY_EXIT
185,22,0.65,0.3,5,-2.77,-1.3,3,,DEADLINE_EXIT
186,22,0.65,0.3,5,-1.24,-0.38,3,,DEADLINE_EXIT
187,22,0.65,0.3,5,-1.29,-0.93,1,,DEADLINE_EXIT
188,22,0.65,0.3,5,0.39,-0.19,5,,DEADLINE_EXIT
189,22,0.65,0.3,5,-0.96,-1.38,1,,DEADLINE_EXIT
190,22,0.65,0.3,5,-0.85,-1.19,4,,DEADLINE_EXIT
191,22,0.65,0.3,5,-2.0,-0.09,7,,DEADLINE_EXIT
192,22,0.65,0.3,5,-1.49,-1.09,4,,DEADLINE_EXIT
193,22,0.65,0.3,5,-1.14,-1.74,2,,DEADLINE_EXIT
194,22,0.65,0.3,5,-0.05,-0.57,4,,DEADLINE_EXIT
