mae_threshold,recovery_level,deadline,development_trades,development_mae_triggered,development_recovered,development_failed,development_no_mae,development_recovery_rate,development_recovered_win_rate,development_failed_win_rate,development_win_rate_separation,development_recovered_mean_R,development_failed_mean_R,development_mean_R_separation,development_recovered_total_R,development_failed_total_R,development_recovered_PF,development_failed_PF,_selection_score
0.7,0.0,12,95,95,38,57,0,0.4,0.5263157894736842,0.0,0.5263157894736842,-0.033157894736842136,-1.1619298245614034,1.1287719298245613,-1.2600000000000011,-66.22999999999999,0.924278846153846,0.0,1.090701754385965
0.8,0.1,12,95,89,29,60,6,0.3258426966292135,0.5172413793103449,0.016666666666666666,0.5005747126436781,0.009310344827586208,-1.1611666666666667,1.1704770114942529,0.27,-69.67,1.0209302325581393,0.0014332807797047447,1.0858132183908045
0.9,-0.2,3,95,74,9,65,21,0.12162162162162163,0.5555555555555556,0.07692307692307693,0.47863247863247865,0.1011111111111111,-1.1070769230769233,1.2081880341880344,0.9099999999999999,-71.96000000000001,1.2339331619537275,0.038738979428266096,1.082726495726496
0.75,0.3,5,95,95,14,81,0,0.14736842105263157,0.6428571428571429,0.13580246913580246,0.5070546737213404,0.25857142857142856,-0.877901234567901,1.1364726631393296,3.6199999999999997,-71.10999999999999,1.5208633093525177,0.06335616438356165,1.0752910052910052
0.8,0.3,5,95,89,12,77,6,0.1348314606741573,0.5833333333333334,0.11688311688311688,0.4664502164502165,0.27249999999999996,-0.9437662337662336,1.2162662337662336,3.2699999999999996,-72.66999999999999,1.470503597122302,0.040279978869519284,1.0745833333333332
0.7,0.2,3,95,95,8,87,0,0.08421052631578947,0.625,0.1724137931034483,0.4525862068965517,0.41875,-0.8142528735632184,1.2330028735632184,3.35,-70.84,2.0339506172839505,0.11038553309054376,1.069087643678161
0.75,0.2,3,95,95,8,87,0,0.08421052631578947,0.625,0.1724137931034483,0.4525862068965517,0.41875,-0.8142528735632184,1.2330028735632184,3.35,-70.84,2.0339506172839505,0.11038553309054376,1.069087643678161
0.9,-0.3,5,95,74,16,58,21,0.21621621621621623,0.5,0.034482758620689655,0.46551724137931033,-0.018750000000000044,-1.2198275862068966,1.2010775862068965,-0.3000000000000007,-70.75,0.9614890885750963,0.002959413754227734,1.0660560344827585
0.7,0.4,8,95,95,18,77,0,0.18947368421052632,0.6111111111111112,0.11688311688311688,0.4942279942279943,0.21111111111111114,-0.9258441558441557,1.1369552669552667,3.8000000000000007,-71.28999999999999,1.4834605597964374,0.049593387548326893,1.0627056277056277
0.8,0.4,8,95,89,16,73,6,0.1797752808988764,0.5625,0.0958904109589041,0.4666095890410959,0.19562500000000005,-0.9935616438356163,1.1891866438356162,3.130000000000001,-72.52999999999999,1.4287671232876713,0.037680774844102434,1.061202910958904
0.8,0.0,12,95,89,32,57,6,0.3595505617977528,0.5,0.0,0.5,-0.06468749999999998,-1.1812280701754385,1.1165405701754385,-2.0699999999999994,-67.33,0.8650586701434159,0.0,1.0582702850877193
0.7,0.1,10,95,95,31,64,0,0.3263157894736842,0.5483870967741935,0.046875,0.5015120967741935,0.037741935483870954,-1.0728125,1.110554435483871,1.1699999999999995,-68.66,1.0869242199108469,0.010805359458291313,1.056789314516129
0.9,0.3,10,95,74,10,64,21,0.13513513513513514,0.5,0.078125,0.421875,0.133,-1.1309375,1.2639375,1.33,-72.38,1.24953095684803,0.01416507763552166,1.05384375
0.9,0.3,12,95,74,10,64,21,0.13513513513513514,0.5,0.078125,0.421875,0.133,-1.1309375,1.2639375,1.33,-72.38,1.24953095684803,0.01416507763552166,1.05384375
0.6,0.1,12,95,95,31,64,0,0.3263157894736842,0.5483870967741935,0.046875,0.5015120967741935,0.032903225806451615,-1.0704687499999999,1.1033719758064515,1.02,-68.50999999999999,1.0749448934606904,0.010828761189719897,1.0531980846774194
0.9,-0.3,8,95,74,23,51,21,0.3108108108108108,0.43478260869565216,0.0,0.43478260869565216,-0.10782608695652174,-1.3445098039215688,1.236683716965047,-2.48,-68.57000000000001,0.7563850687622791,0.0,1.0531244671781756
0.75,0.3,8,95,95,22,73,0,0.23157894736842105,0.5909090909090909,0.0958904109589041,0.49501867995018684,0.1454545454545454,-0.9683561643835616,1.113810709838107,3.199999999999999,-70.69,1.3050524308865585,0.02334899143409782,1.0519240348692402
0.85,-0.3,10,95,79,29,50,16,0.3670886075949367,0.4482758620689655,0.0,0.4482758620689655,-0.1310344827586207,-1.3373999999999997,1.206365517241379,-3.8000000000000003,-66.86999999999999,0.7040498442367602,0.0,1.051458620689655
0.7,0.2,12,95,95,32,63,0,0.3368421052631579,0.53125,0.047619047619047616,0.4836309523809524,0.03937499999999999,-1.0912698412698412,1.130644841269841,1.2599999999999998,-68.75,1.0912382331643737,0.004488850275123082,1.0489533730158729
0.75,0.2,12,95,95,32,63,0,0.3368421052631579,0.53125,0.047619047619047616,0.4836309523809524,0.03937499999999999,-1.0912698412698412,1.130644841269841,1.2599999999999998,-68.75,1.0912382331643737,0.004488850275123082,1.0489533730158729
0.7,0.3,12,95,95,25,70,0,0.2631578947368421,0.56,0.08571428571428572,0.4742857142857143,0.128,-1.0098571428571428,1.137857142857143,3.2,-70.69,1.2898550724637678,0.015870806069887233,1.0432142857142859
0.75,0.3,12,95,95,25,70,0,0.2631578947368421,0.56,0.08571428571428572,0.4742857142857143,0.128,-1.0098571428571428,1.137857142857143,3.2,-70.69,1.2898550724637678,0.015870806069887233,1.0432142857142859
0.8,0.2,12,95,89,28,61,6,0.3146067415730337,0.5,0.03278688524590164,0.4672131147540984,0.005714285714285715,-1.1403278688524587,1.1460421545667445,0.16000000000000003,-69.55999999999999,1.0124031007751937,0.003009889637379964,1.0402341920374707
0.75,0.1,10,95,95,32,63,0,0.3368421052631579,0.53125,0.047619047619047616,0.4836309523809524,0.02562500000000001,-1.084285714285714,1.109910714285714,0.8200000000000003,-68.30999999999999,1.059377262853005,0.010860121633362295,1.0385863095238095
0.8,-0.1,5,95,89,27,62,6,0.30337078651685395,0.5185185185185185,0.03225806451612903,0.4862604540023895,-0.010740740740740775,-1.1146774193548388,1.103936678614098,-0.2900000000000009,-69.11,0.9771112865035515,0.012714285714285714,1.0382287933094385
0.6,0.0,10,95,95,33,62,0,0.3473684210526316,0.5454545454545454,0.03225806451612903,0.5131964809384164,-0.026060606060606128,-1.074677419354839,1.0486168132942328,-0.8600000000000022,-66.63000000000001,0.9448364336112892,0.00966111771700357,1.0375048875855328
0.85,-0.3,12,95,79,30,49,16,0.379746835443038,0.43333333333333335,0.0,0.43333333333333335,-0.148,-1.3516326530612244,1.2036326530612245,-4.4399999999999995,-66.22999999999999,0.6706231454005934,0.0,1.0351496598639456
0.9,0.0,3,95,74,5,69,21,0.06756756756756757,0.6,0.10144927536231885,0.49855072463768113,0.02999999999999996,-1.0318840579710142,1.0618840579710143,0.1499999999999998,-71.19999999999999,1.0474683544303798,0.05807646514089167,1.0294927536231882
0.8,0.1,10,95,89,28,61,6,0.3146067415730337,0.5,0.03278688524590164,0.4672131147540984,-0.009999999999999997,-1.1331147540983606,1.1231147540983606,-0.2799999999999999,-69.11999999999999,0.9782945736434108,0.00931632506808084,1.0287704918032787
0.7,0.1,3,95,95,12,83,0,0.12631578947368421,0.5833333333333334,0.1566265060240964,0.426706827309237,0.3374999999999999,-0.8619277108433734,1.1994277108433733,4.049999999999999,-71.53999999999999,1.8419958419958418,0.08352549321035103,1.0264206827309237
0.75,0.1,3,95,95,12,83,0,0.12631578947368421,0.5833333333333334,0.1566265060240964,0.426706827309237,0.3374999999999999,-0.8619277108433734,1.1994277108433733,4.049999999999999,-71.53999999999999,1.8419958419958418,0.08352549321035103,1.0264206827309237
0.8,0.3,12,95,89,21,68,6,0.23595505617977527,0.5238095238095238,0.07352941176470588,0.45028011204481794,0.09999999999999998,-1.051470588235294,1.151470588235294,2.0999999999999996,-71.49999999999999,1.207305034550839,0.014336917562724016,1.026015406162465
0.6,0.2,3,95,95,6,89,0,0.06315789473684211,0.6666666666666666,0.1797752808988764,0.48689138576779023,0.295,-0.7782022471910112,1.0732022471910112,1.77,-69.25999999999999,1.6344086021505377,0.13511488511488512,1.0234925093632958
