window,architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,months,profitable_months,losing_months,mean_monthly_R,median_monthly_R,worst_month_R,best_month_R
8,B_SELECTIVE,6,0.6666666666666666,0.7090833333333334,4.2545,6.880442294402211,-0.518,1,6,4,2,0.7090833333333334,1.2445,-0.518,1.2445,1.0,3,2,1,1.4181666666666668,1.9709999999999999,-0.20549999999999996,2.489
8,AB_SELECTIVE,7,0.5714285714285714,0.5784285714285716,4.049000000000001,6.554183813443074,-0.518,2,7,4,3,0.5784285714285716,1.1945000000000001,-0.518,1.1945000000000001,1.0,3,2,1,1.3496666666666668,1.8655000000000002,-0.20549999999999996,2.3890000000000002
9,A_SELECTIVE,84,0.35714285714285715,-0.27454761904761893,-23.06199999999999,0.5612210922858856,-26.415499999999973,12,41,15,26,-0.5624878048780485,-0.9359999999999998,-3.0274999999999994,2.6670000000000007,2.048780487804878,4,0,4,-5.7654999999999985,-5.163749999999997,-11.040499999999998,-1.693999999999999
9,B_SELECTIVE,68,0.36764705882352944,-0.24024264705882348,-16.336499999999997,0.6120655877848092,-18.118000000000002,7,37,11,26,-0.44152702702702695,-0.868,-2.1109999999999998,3.9225,1.837837837837838,4,0,4,-4.084124999999999,-3.317499999999999,-8.157499999999999,-1.5439999999999996
9,AB_SELECTIVE,72,0.375,-0.21713194444444442,-15.633499999999998,0.6390325559916875,-20.262,6,39,13,26,-0.40085897435897416,-0.7594999999999998,-2.1109999999999998,3.9225,1.8461538461538463,4,0,4,-3.9083749999999995,-3.524749999999999,-7.3184999999999985,-1.265499999999999
10,A_SELECTIVE,129,0.4496124031007752,-0.059375968992247986,-7.659499999999991,0.8769864531723023,-12.538500000000008,6,53,19,34,-0.1445188679245281,-0.47350000000000003,-2.1109999999999998,3.8420000000000005,2.4339622641509435,4,1,3,-1.9148749999999972,-2.9244999999999983,-6.623999999999996,4.813500000000004
10,B_SELECTIVE,102,0.45098039215686275,-0.023882352941176452,-2.435999999999998,0.9520901554709857,-10.060499999999998,6,48,21,27,-0.050749999999999885,-0.3227499999999998,-2.1109999999999998,3.2835,2.125,3,1,2,-0.8119999999999988,-2.7009999999999987,-4.492499999999999,4.757500000000001
10,AB_SELECTIVE,102,0.45098039215686275,-0.023882352941176452,-2.435999999999998,0.9520901554709857,-10.060499999999998,6,48,21,27,-0.050749999999999885,-0.3227499999999998,-2.1109999999999998,3.2835,2.125,3,1,2,-0.8119999999999988,-2.7009999999999987,-4.492499999999999,4.757500000000001
11,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
11,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
