rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,2,0.75,,10,41,0.5365853658536586,0.3343804878048781,13.709600000000002,2.1938416524434845,-2.427600000000001
MAE,2,0.75,,11,35,0.2857142857142857,-0.3786857142857143,-13.254,0.3682554814108675,-14.070799999999993
MAE,2,0.75,,12,43,0.4186046511627907,-0.06835348837209299,-2.9391999999999983,0.8679011235955056,-6.3668
MAE,2,0.75,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,2,0.75,,14,44,0.5681818181818182,0.3624181818181819,15.946400000000004,1.9345272978738368,-2.7432
MAE,2,0.75,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,2,0.75,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,2,0.75,,17,5,0.6,0.6516000000000001,3.2580000000000005,2.7527437056165267,-1.0444
MAE,2,0.75,,18,20,0.35,-0.15390000000000004,-3.0780000000000007,0.709545917789605,-7.816000000000001
MAE,2,0.75,,19,2,0.5,-0.21439999999999998,-0.42879999999999996,0.5894293374186136,0.0
MAE,2,0.75,,20,71,0.4084507042253521,0.03898028169014087,2.7676000000000016,1.0741689624492152,-7.2216
MAE,2,0.75,,21,1,0.0,-0.2844,-0.2844,0.0,0.0
MAE,2,0.75,,22,17,0.29411764705882354,-0.1585176470588235,-2.6948,0.7443942785597754,-5.722799999999999
MAE,2,1.0,,1,43,0.5813953488372093,0.2560651162790698,11.010800000000001,1.9460100350539558,-2.777599999999998
MAE,2,1.0,,2,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,2,1.0,,3,38,0.34210526315789475,-0.22413684210526313,-8.517199999999999,0.5871449345613186,-8.29
MAE,2,1.0,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,2,1.0,,5,43,0.4418604651162791,0.06676279069767443,2.870800000000001,1.201663435331142,-4.922399999999999
MAE,2,1.0,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,2,1.0,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,2,1.0,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,2,1.0,,9,40,0.3,-0.25539999999999996,-10.216,0.5392636155358722,-13.276399999999995
MAE,2,1.0,,10,41,0.5365853658536586,0.31194146341463425,12.789600000000004,2.031119997420104,-2.7176
MAE,2,1.0,,11,35,0.2857142857142857,-0.3715428571428571,-13.004,0.3726965750120598,-13.820799999999995
MAE,2,1.0,,12,43,0.4883720930232558,0.06304186046511631,2.710800000000001,1.1287986772335936,-4.360799999999999
MAE,2,1.0,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,2,1.0,,14,44,0.5681818181818182,0.32969090909090915,14.506400000000003,1.783977172009771,-3.131999999999998
MAE,2,1.0,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,2,1.0,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,2,1.0,,17,5,0.6,0.6516000000000001,3.2580000000000005,2.7527437056165267,-1.0444
MAE,2,1.0,,18,20,0.35,-0.20990000000000003,-4.198,0.6417232785989827,-8.936
MAE,2,1.0,,19,2,0.5,0.3306,0.6612,1.6330907698199923,0.0
MAE,2,1.0,,20,71,0.4225352112676056,0.04151549295774652,2.947600000000003,1.0761842731013374,-5.4016
MAE,2,1.0,,21,1,0.0,-0.2844,-0.2844,0.0,0.0
MAE,2,1.0,,22,17,0.29411764705882354,-0.19557647058823524,-3.3247999999999993,0.702420163253616,-6.352799999999999
MAE,3,0.25,,1,43,0.4186046511627907,0.003972093023255831,0.17080000000000073,1.0162821734985703,-3.571599999999999
MAE,3,0.25,,2,1,0.0,-0.23439999999999997,-0.23439999999999997,0.0,0.0
MAE,3,0.25,,3,38,0.21052631578947367,-0.21992631578947366,-8.357199999999999,0.4556279312141741,-7.542799999999997
MAE,3,0.25,,4,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,3,0.25,,5,43,0.32558139534883723,0.04653023255813955,2.000800000000001,1.2042132767208298,-2.5671999999999993
MAE,3,0.25,,6,69,0.37681159420289856,0.07444057971014496,5.136400000000003,1.2895508252908814,-5.637999999999998
MAE,3,0.25,,7,3,0.3333333333333333,-0.20773333333333333,-0.6232,0.3066310636404095,-0.8988
MAE,3,0.25,,8,6,0.6666666666666666,0.6189333333333332,3.7135999999999996,9.094158674803838,-0.1943999999999999
MAE,3,0.25,,9,40,0.225,-0.22615,-9.046,0.3844751095506382,-11.6064
MAE,3,0.25,,10,41,0.4878048780487805,0.12462439024390244,5.1096,1.4747639931613765,-2.2404
MAE,3,0.25,,11,35,0.14285714285714285,-0.27782857142857137,-9.723999999999998,0.3010350776308224,-10.110800000000001
MAE,3,0.25,,12,43,0.3953488372093023,-0.09765581395348835,-4.199199999999999,0.7288109322931468,-5.113199999999999
MAE,3,0.25,,13,1,0.0,-0.38439999999999996,-0.38439999999999996,0.0,0.0
MAE,3,0.25,,14,44,0.5681818181818182,0.2499181818181819,10.996400000000003,2.155861083081063,-2.031999999999999
MAE,3,0.25,,15,5,0.4,0.025600000000000046,0.12800000000000022,1.0751526538280884,-1.0444
MAE,3,0.25,,16,8,0.75,0.5706,4.5648,7.350584307178632,-0.7032000000000007
MAE,3,0.25,,17,5,0.8,0.9356000000000002,4.678000000000001,56.426540284360215,-0.08439999999999959
MAE,3,0.25,,18,20,0.35,-0.06739999999999999,-1.3479999999999999,0.7086791147994469,-3.6359999999999997
MAE,3,0.25,,19,2,0.5,0.0006000000000000449,0.0012000000000000899,1.001194743130227,0.0
MAE,3,0.25,,20,71,0.4507042253521127,0.09123380281690142,6.477600000000002,1.2771568912697466,-5.5935999999999995
MAE,3,0.25,,21,1,0.0,-0.0744,-0.0744,0.0,0.0
MAE,3,0.25,,22,17,0.23529411764705882,-0.27263529411764703,-4.634799999999999,0.35061368603934323,-4.985999999999999
MAE,3,0.5,,1,43,0.4418604651162791,0.09257674418604653,3.980800000000001,1.2763369800633086,-3.3984
MAE,3,0.5,,2,1,0.0,-0.23439999999999997,-0.23439999999999997,0.0,0.0
MAE,3,0.5,,3,38,0.3157894736842105,-0.19045263157894737,-7.2372000000000005,0.6179768163678977,-7.280000000000001
MAE,3,0.5,,4,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,3,0.5,,5,43,0.4418604651162791,0.13676279069767447,5.880800000000002,1.5147038229939784,-3.491600000000001
MAE,3,0.5,,6,69,0.5362318840579711,0.20777391304347825,14.3364,1.721844034479981,-4.339600000000001
MAE,3,0.5,,7,3,0.3333333333333333,-0.2044,-0.6132,0.3100810081008101,-0.8888
MAE,3,0.5,,8,6,0.6666666666666666,0.6189333333333332,3.7135999999999996,9.094158674803838,-0.1943999999999999
MAE,3,0.5,,9,40,0.25,-0.25539999999999996,-10.216,0.49803459119496857,-13.276399999999999
MAE,3,0.5,,10,41,0.5121951219512195,0.2829170731707317,11.5996,2.087326584176978,-1.9487999999999994
MAE,3,0.5,,11,35,0.2571428571428571,-0.2824,-9.883999999999999,0.41976236321795907,-10.7008
MAE,3,0.5,,12,43,0.37209302325581395,-0.13695813953488373,-5.8892,0.7203449389328928,-6.2844
MAE,3,0.5,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,3,0.5,,14,44,0.5454545454545454,0.3712818181818182,16.3364,2.1762960829493085,-2.8208
MAE,3,0.5,,15,5,0.4,0.14560000000000003,0.7280000000000002,1.2713178294573644,-1.0444
MAE,3,0.5,,16,8,0.625,0.33935000000000004,2.7148000000000003,2.0632931223562587,-2.5531999999999995
