sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
HOLDOUT,0.7,2,,,-0.66,-0.87,,,,,,,,,,,,,,,,121,14.0,True,1.0
HOLDOUT,0.7,2,,,0.36,0.36,,,,,,,,,,,,,,,,122,14.0,False,
HOLDOUT,0.7,2,,,-0.7,-0.7,,,,,,,,,,,,,,,,123,14.0,False,
HOLDOUT,0.7,2,,,-1.59,-0.53,,,,,,,,,,,,,,,,124,14.0,True,2.0
HOLDOUT,0.7,2,,,-0.86,-0.86,,,,,,,,,,,,,,,,125,14.0,False,
HOLDOUT,0.7,2,,,-0.92,-0.73,,,,,,,,,,,,,,,,126,14.0,True,2.0
HOLDOUT,0.7,2,,,1.08,1.08,,,,,,,,,,,,,,,,127,14.0,False,
HOLDOUT,0.7,2,,,-0.26,-0.75,,,,,,,,,,,,,,,,128,14.0,True,2.0
HOLDOUT,0.7,2,,,0.34,0.34,,,,,,,,,,,,,,,,129,14.0,False,
HOLDOUT,0.7,2,,,1.49,-0.86,,,,,,,,,,,,,,,,130,14.0,True,2.0
HOLDOUT,0.7,2,,,1.72,1.72,,,,,,,,,,,,,,,,131,14.0,False,
HOLDOUT,0.7,2,,,-0.28,-0.28,,,,,,,,,,,,,,,,132,14.0,False,
HOLDOUT,0.7,2,,,-1.67,-1.67,,,,,,,,,,,,,,,,133,14.0,False,
HOLDOUT,0.7,2,,,-0.63,-0.63,,,,,,,,,,,,,,,,134,14.0,False,
HOLDOUT,0.7,2,,,-0.66,-0.66,,,,,,,,,,,,,,,,135,15.0,False,
HOLDOUT,0.7,2,,,-1.7,-1.7,,,,,,,,,,,,,,,,136,15.0,False,
HOLDOUT,0.7,2,,,-1.17,-1.17,,,,,,,,,,,,,,,,137,15.0,False,
HOLDOUT,0.7,2,,,1.92,1.92,,,,,,,,,,,,,,,,138,16.0,False,
HOLDOUT,0.7,2,,,-0.77,-0.77,,,,,,,,,,,,,,,,139,16.0,False,
HOLDOUT,0.7,2,,,-2.22,-2.22,,,,,,,,,,,,,,,,140,18.0,False,
HOLDOUT,0.7,2,,,0.02,-0.36,,,,,,,,,,,,,,,,141,18.0,True,2.0
HOLDOUT,0.7,2,,,-1.71,-1.71,,,,,,,,,,,,,,,,142,18.0,False,
HOLDOUT,0.7,2,,,-0.72,-0.72,,,,,,,,,,,,,,,,143,18.0,False,
HOLDOUT,0.7,2,,,-0.79,-0.79,,,,,,,,,,,,,,,,144,18.0,False,
HOLDOUT,0.7,2,,,-0.57,-0.63,,,,,,,,,,,,,,,,145,18.0,True,2.0
HOLDOUT,0.7,2,,,0.36,-0.94,,,,,,,,,,,,,,,,146,18.0,True,1.0
HOLDOUT,0.7,2,,,-0.21,-0.52,,,,,,,,,,,,,,,,147,18.0,True,2.0
HOLDOUT,0.7,2,,,-0.85,-0.85,,,,,,,,,,,,,,,,148,18.0,False,
HOLDOUT,0.7,2,,,-3.62,-3.62,,,,,,,,,,,,,,,,149,19.0,False,
HOLDOUT,0.7,2,,,3.2,-0.35,,,,,,,,,,,,,,,,150,19.0,True,1.0
HOLDOUT,0.7,2,,,-2.01,-2.01,,,,,,,,,,,,,,,,151,20.0,False,
HOLDOUT,0.7,2,,,2.81,2.81,,,,,,,,,,,,,,,,152,20.0,False,
HOLDOUT,0.7,2,,,-1.63,-1.63,,,,,,,,,,,,,,,,153,20.0,False,
HOLDOUT,0.7,2,,,-0.83,-0.76,,,,,,,,,,,,,,,,154,20.0,True,2.0
HOLDOUT,0.7,2,,,-0.47,-0.47,,,,,,,,,,,,,,,,155,20.0,False,
HOLDOUT,0.7,2,,,2.48,2.48,,,,,,,,,,,,,,,,156,20.0,False,
HOLDOUT,0.7,2,,,-1.99,-1.99,,,,,,,,,,,,,,,,157,20.0,False,
HOLDOUT,0.7,2,,,1.6,-0.92,,,,,,,,,,,,,,,,158,20.0,True,2.0
HOLDOUT,0.7,2,,,-1.01,-0.7,,,,,,,,,,,,,,,,159,20.0,True,2.0
HOLDOUT,0.7,2,,,-0.53,-0.77,,,,,,,,,,,,,,,,160,20.0,True,1.0
HOLDOUT,0.7,2,,,-1.65,-1.65,,,,,,,,,,,,,,,,161,20.0,False,
HOLDOUT,0.7,2,,,1.38,1.38,,,,,,,,,,,,,,,,162,20.0,False,
HOLDOUT,0.7,2,,,-2.13,-0.83,,,,,,,,,,,,,,,,163,20.0,True,1.0
HOLDOUT,0.7,2,,,0.85,-0.63,,,,,,,,,,,,,,,,164,20.0,True,2.0
HOLDOUT,0.7,2,,,-1.62,-1.62,,,,,,,,,,,,,,,,165,20.0,False,
HOLDOUT,0.7,2,,,0.82,0.82,,,,,,,,,,,,,,,,166,20.0,False,
HOLDOUT,0.7,2,,,0.66,0.66,,,,,,,,,,,,,,,,167,20.0,False,
HOLDOUT,0.7,2,,,-4.76,-0.73,,,,,,,,,,,,,,,,168,20.0,True,2.0
HOLDOUT,0.7,2,,,-0.64,-0.64,,,,,,,,,,,,,,,,169,20.0,False,
HOLDOUT,0.7,2,,,-0.33,-0.63,,,,,,,,,,,,,,,,170,20.0,True,1.0
HOLDOUT,0.7,2,,,-0.46,-0.4,,,,,,,,,,,,,,,,171,20.0,True,1.0
HOLDOUT,0.7,2,,,-1.05,-0.66,,,,,,,,,,,,,,,,172,20.0,True,2.0
HOLDOUT,0.7,2,,,-2.57,-2.57,,,,,,,,,,,,,,,,173,20.0,False,
HOLDOUT,0.7,2,,,0.34,-0.73,,,,,,,,,,,,,,,,174,20.0,True,1.0
HOLDOUT,0.7,2,,,-1.25,-0.94,,,,,,,,,,,,,,,,175,20.0,True,2.0
HOLDOUT,0.7,2,,,-2.55,-2.55,,,,,,,,,,,,,,,,176,20.0,False,
HOLDOUT,0.7,2,,,-3.23,-3.23,,,,,,,,,,,,,,,,177,20.0,False,
HOLDOUT,0.7,2,,,-0.42,-0.99,,,,,,,,,,,,,,,,178,20.0,True,2.0
HOLDOUT,0.7,2,,,0.87,0.87,,,,,,,,,,,,,,,,179,20.0,False,
HOLDOUT,0.7,2,,,-1.73,-1.73,,,,,,,,,,,,,,,,180,20.0,False,
HOLDOUT,0.7,2,,,-2.14,-2.14,,,,,,,,,,,,,,,,181,20.0,False,
HOLDOUT,0.7,2,,,-1.83,-1.83,,,,,,,,,,,,,,,,182,20.0,False,
HOLDOUT,0.7,2,,,-1.25,-1.25,,,,,,,,,,,,,,,,183,20.0,False,
HOLDOUT,0.7,2,,,3.94,-0.21,,,,,,,,,,,,,,,,184,21.0,True,1.0
HOLDOUT,0.7,2,,,-2.77,-2.77,,,,,,,,,,,,,,,,185,22.0,False,
HOLDOUT,0.7,2,,,-1.24,-1.24,,,,,,,,,,,,,,,,186,22.0,False,
HOLDOUT,0.7,2,,,-1.29,-0.84,,,,,,,,,,,,,,,,187,22.0,True,1.0
HOLDOUT,0.7,2,,,0.39,0.39,,,,,,,,,,,,,,,,188,22.0,False,
HOLDOUT,0.7,2,,,-0.96,-0.58,,,,,,,,,,,,,,,,189,22.0,True,1.0
HOLDOUT,0.7,2,,,-0.85,-0.85,,,,,,,,,,,,,,,,190,22.0,False,
HOLDOUT,0.7,2,,,-2.0,-2.0,,,,,,,,,,,,,,,,191,22.0,False,
HOLDOUT,0.7,2,,,-1.49,-1.49,,,,,,,,,,,,,,,,192,22.0,False,
HOLDOUT,0.7,2,,,-1.14,-0.94,,,,,,,,,,,,,,,,193,22.0,True,2.0
HOLDOUT,0.7,2,,,-0.05,-0.05,,,,,,,,,,,,,,,,194,22.0,False,
DEVELOPMENT,0.7,3,,,-1.04,-0.76,,,,,,,,,,,,,,,,0,1.0,True,2.0
DEVELOPMENT,0.7,3,,,2.03,-0.69,,,,,,,,,,,,,,,,1,1.0,True,3.0
DEVELOPMENT,0.7,3,,,0.21,0.21,,,,,,,,,,,,,,,,2,1.0,False,
DEVELOPMENT,0.7,3,,,0.1,0.1,,,,,,,,,,,,,,,,3,1.0,False,
DEVELOPMENT,0.7,3,,,0.26,0.26,,,,,,,,,,,,,,,,4,1.0,False,
DEVELOPMENT,0.7,3,,,-0.5,-0.5,,,,,,,,,,,,,,,,5,1.0,False,
DEVELOPMENT,0.7,3,,,-0.73,-0.72,,,,,,,,,,,,,,,,6,1.0,True,3.0
DEVELOPMENT,0.7,3,,,-0.71,-0.71,,,,,,,,,,,,,,,,7,1.0,False,
DEVELOPMENT,0.7,3,,,-1.7,-0.29,,,,,,,,,,,,,,,,8,2.0,True,2.0
DEVELOPMENT,0.7,3,,,-1.35,-0.77,,,,,,,,,,,,,,,,9,3.0,True,3.0
DEVELOPMENT,0.7,3,,,-1.25,-1.25,,,,,,,,,,,,,,,,10,3.0,False,
DEVELOPMENT,0.7,3,,,-0.79,-0.75,,,,,,,,,,,,,,,,11,3.0,True,3.0
