mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
0.75,0.0,2,95,95,5,0.05263157894736842,-67.49,-56.85,10.639999999999993,0.21052631578947367,0.06315789473684211,-0.14736842105263157,0.18559189091347894,0.11379579111457522
0.7,0.0,3,95,95,12,0.12631578947368421,-67.49,-56.980000000000004,10.509999999999991,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.1462391369493557
1.0,0.5,1,95,40,0,0.0,-67.49,-57.25,10.239999999999995,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.1710107153200116
1.0,0.75,1,95,40,0,0.0,-67.49,-57.25,10.239999999999995,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.1710107153200116
1.0,1.0,1,95,40,0,0.0,-67.49,-57.25,10.239999999999995,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.1710107153200116
0.8,1.0,3,95,80,0,0.0,-67.49,-57.73,9.759999999999998,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.11348280098280096
0.75,1.0,3,95,95,0,0.0,-67.49,-57.75,9.739999999999995,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.0879658875552748
0.7,0.0,1,95,95,2,0.021052631578947368,-67.49,-57.75,9.739999999999995,0.21052631578947367,0.042105263157894736,-0.16842105263157894,0.18559189091347894,0.07511210762331838
0.7,0.25,1,95,95,2,0.021052631578947368,-67.49,-57.75,9.739999999999995,0.21052631578947367,0.042105263157894736,-0.16842105263157894,0.18559189091347894,0.07511210762331838
0.75,0.25,3,95,95,5,0.05263157894736842,-67.49,-58.02,9.469999999999992,0.21052631578947367,0.12631578947368421,-0.08421052631578946,0.18559189091347894,0.11352177234530171
1.0,0.5,2,95,40,1,0.025,-67.49,-58.040000000000006,9.449999999999989,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.19355286925107684
1.0,0.75,2,95,40,1,0.025,-67.49,-58.040000000000006,9.449999999999989,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.19355286925107684
0.8,0.25,3,95,80,6,0.075,-67.49,-58.050000000000004,9.43999999999999,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.14519216610219404
0.7,0.75,5,95,95,4,0.042105263157894736,-67.49,-58.43,9.059999999999995,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.1243818372546081
1.0,0.0,1,95,40,2,0.05,-67.49,-58.48,9.009999999999998,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.18517486414936604
1.0,0.25,1,95,40,2,0.05,-67.49,-58.48,9.009999999999998,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.18517486414936604
0.75,0.5,1,95,95,0,0.0,-67.49,-58.51,8.979999999999997,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05047062641999352
0.75,0.75,1,95,95,0,0.0,-67.49,-58.51,8.979999999999997,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05047062641999352
0.75,1.0,1,95,95,0,0.0,-67.49,-58.51,8.979999999999997,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05047062641999352
0.8,0.75,6,95,80,4,0.05,-67.49,-58.660000000000004,8.829999999999991,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14114202049780375
0.75,0.5,2,95,95,0,0.0,-67.49,-58.71,8.779999999999994,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.053064516129032256
0.75,0.75,2,95,95,0,0.0,-67.49,-58.71,8.779999999999994,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.053064516129032256
0.75,1.0,2,95,95,0,0.0,-67.49,-58.71,8.779999999999994,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.053064516129032256
