rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
CLOSE_BELOW,10.0,0.25,,175,195,0.06666666666666667,0.04324102564102563,8.431999999999999,2.1533621491492045,-2.088799999999999,0.4,-1.0444,4.0268,2
CLOSE_BELOW,12.0,-0.75,,87,195,0.13846153846153847,-0.2258215384615385,-44.0352,0.39757361511647643,-46.177600000000034,0.2,-9.0836,1.7056,6
CLOSE_BELOW,12.0,-0.5,,114,195,0.1282051282051282,-0.11234051282051281,-21.906399999999998,0.5686561756690768,-23.99319999999998,0.25,-5.9504,2.5148,3
CLOSE_BELOW,12.0,-0.25,,134,195,0.12307692307692308,-0.026196923076923076,-5.1084,0.8469292357848307,-9.058,0.35,-3.9627999999999997,3.5591999999999997,2
CLOSE_BELOW,12.0,0.0,,149,195,0.11794871794871795,0.03250051282051282,6.3376,1.295856441282468,-4.090799999999998,0.4,-2.0888,5.648,2
CLOSE_BELOW,12.0,0.25,,163,195,0.10256410256410256,0.07050871794871795,13.7492,2.1728597263452416,-3.0463999999999984,0.4,-2.0888,5.648,2
MFE_BELOW,6.0,0.25,,98,195,0.08717948717948718,-0.29988102564102564,-58.4768,0.256417690292719,-60.348000000000084,0.2,-16.3312,0.8268,7
MFE_BELOW,6.0,0.5,,146,195,0.05128205128205128,-0.11187487179487178,-21.815599999999996,0.4332373816624924,-21.81559999999999,0.15,-9.636,0.9436,3
MFE_BELOW,6.0,0.75,,166,195,0.046153846153846156,-0.02291076923076923,-4.4676,0.7701615392530097,-6.886000000000001,0.25,-4.0308,3.2868,3
MFE_BELOW,6.0,1.0,,180,195,0.015384615384615385,-0.03531282051282051,-6.885999999999999,0.4263005298763622,-6.8859999999999975,0.1,-1.942,1.7056,1
MFE_BELOW,8.0,0.25,,89,195,0.10256410256410256,-0.30926358974358975,-60.3064,0.2840134681413871,-62.17760000000009,0.2,-16.3944,0.8268,7
MFE_BELOW,8.0,0.5,,140,195,0.06153846153846154,-0.1214974358974359,-23.692,0.4375011871070675,-25.39759999999999,0.25,-11.7248,1.7056,4
MFE_BELOW,8.0,0.75,,163,195,0.05641025641025641,-0.019286153846153842,-3.7607999999999993,0.8163887044486976,-7.930400000000001,0.35,-5.0752,3.2868,3
MFE_BELOW,8.0,1.0,,175,195,0.03076923076923077,-0.02173333333333333,-4.2379999999999995,0.6992534559595789,-5.458399999999999,0.2,-2.9863999999999997,1.9868,2
MFE_BELOW,10.0,0.25,,84,195,0.11794871794871795,-0.30629948717948713,-59.72839999999999,0.30803594185168204,-61.81520000000009,0.15,-17.4388,1.0424,7
