volatility,selected,A_trades,A_WR,A_mean_R,A_PF,B_trades,B_WR,B_mean_R,B_PF,window
20-40,OFF,3,1.0,0.9986666666666668,inf,2,1.0,1.2445,inf,7
40-60,A,31,0.6451612903225806,0.2513548387096774,1.8506085912341028,27,0.6296296296296297,0.3505185185185185,2.3067311011391096,7
60-80,OFF,231,0.42424242424242425,-0.09116017316017307,0.8363556532990365,180,0.4388888888888889,-0.062236111111111075,0.8877566867557398,7
80-100,OFF,945,0.4444444444444444,-0.05727248677248668,0.8996523593214053,782,0.43350383631713557,-0.05724232736572887,0.9005888473227599,7
0-20,OFF,0,,,,0,,,,8
20-40,OFF,4,1.0,1.047625,inf,4,1.0,1.2445,inf,8
40-60,A,39,0.5641025641025641,0.1688589743589744,1.5172806535228973,30,0.5333333333333333,0.14741666666666664,1.4166470394271988,8
60-80,OFF,231,0.4155844155844156,-0.11572727272727262,0.7930562006502552,189,0.4126984126984127,-0.12851587301587297,0.7763614015219525,8
80-100,OFF,929,0.4456404736275565,-0.052903121636167866,0.906880201598196,744,0.44086021505376344,-0.037825268817204286,0.9332278278283027,8
0-20,A,78,0.46153846153846156,0.013089743589743637,1.0476969074091382,61,0.4262295081967213,-0.050377049180327836,0.8393622582331416,9
20-40,OFF,231,0.4458874458874459,-0.07205844155844152,0.8274478705042685,183,0.46994535519125685,-0.01779508196721308,0.9557892164515979,9
40-60,B,269,0.5055762081784386,0.09821747211895918,1.2269675662441526,231,0.5281385281385281,0.1525627705627706,1.3639311420221611,9
60-80,B,340,0.4970588235294118,0.06494117647058831,1.1325803633350444,282,0.5212765957446809,0.13528014184397166,1.2917872918140623,9
80-100,B,155,0.4645161290322581,-0.016709677419354734,0.9702449335968015,129,0.46511627906976744,0.013879844961240336,1.0247761772316553,9
0-20,OFF,70,0.42857142857142855,-0.06853571428571423,0.8168543615193741,55,0.38181818181818183,-0.16413636363636364,0.602741534467205,10
20-40,B,235,0.4595744680851064,-0.05103191489361694,0.8781850409097143,193,0.48704663212435234,0.009202072538860141,1.0231266562058483,10
40-60,B,259,0.4864864864864865,0.04450000000000008,1.0967257346430954,218,0.5137614678899083,0.10740137614678902,1.2423557055316332,10
60-80,B,354,0.4887005649717514,0.04351129943502832,1.0868347023108191,297,0.5050505050505051,0.10005555555555558,1.2068011635675315,10
80-100,OFF,165,0.46060606060606063,-0.025121212121212023,0.9556100538676549,137,0.45255474452554745,-0.014989051094890482,0.973874045801527,10
0-20,OFF,138,0.41304347826086957,-0.10803623188405789,0.7097044277425133,101,0.45544554455445546,-0.0760445544554455,0.7762581021047263,11
20-40,OFF,367,0.42779291553133514,-0.10972343324250675,0.7421454527990777,299,0.451505016722408,-0.059429765886287594,0.8520311934015883,11
40-60,OFF,552,0.4528985507246377,-0.03489311594202891,0.9255896789048421,473,0.4587737843551797,-0.01728646934460884,0.9624514369162097,11
60-80,OFF,509,0.4106090373280943,-0.14400687622789773,0.746115945793826,427,0.405152224824356,-0.14098009367681494,0.7505728266769424,11
80-100,OFF,11,0.2727272727272727,-0.5782272727272727,0.22729757638340528,10,0.3,-0.5254999999999999,0.2676978818283166,11
0-20,OFF,104,0.36538461538461536,-0.16211057692307687,0.6358678631980219,84,0.36904761904761907,-0.12350595238095236,0.725025842190357,12
20-40,OFF,233,0.43776824034334766,-0.0946630901287553,0.7842262559858348,184,0.42391304347826086,-0.08695380434782606,0.8062615792596541,12
40-60,B,279,0.4910394265232975,0.06860394265232982,1.1609716919247135,220,0.5045454545454545,0.10154545454545459,1.238835968654116,12
60-80,OFF,344,0.4563953488372093,-0.03482412790697664,0.9335223788661151,301,0.46179401993355484,-0.006828903654485022,0.9868713513789714,12
80-100,B,166,0.4759036144578313,0.03034337349397596,1.0563873791679033,135,0.5111111111111111,0.13162962962962968,1.260937878576516,12
0-20,OFF,0,,,,0,,,,13
20-40,OFF,2,1.0,0.9570000000000001,inf,2,1.0,0.982,inf,13
40-60,OFF,10,0.5,0.3707500000000001,2.6368653421633557,8,0.75,0.582,5.72210953346856,13
60-80,OFF,112,0.44642857142857145,-0.09679464285714283,0.8180765551845075,88,0.45454545454545453,-0.03589772727272722,0.9296068098002297,13
80-100,OFF,795,0.4528301886792453,-0.03505974842767287,0.9365784563575131,666,0.44594594594594594,-0.02770345345345343,0.9502268729835014,13
0-20,B,97,0.4639175257731959,0.010737113402061923,1.0335983999225775,75,0.48,0.037833333333333365,1.1083966841120068,14
20-40,OFF,232,0.4482758620689655,-0.057170258620689564,0.8731572731228451,189,0.42328042328042326,-0.12897883597883594,0.740944425847109,14
40-60,OFF,288,0.4270833333333333,-0.07017013888888883,0.853592451053194,244,0.4385245901639344,-0.02655532786885243,0.9429199408012967,14
60-80,OFF,298,0.46308724832214765,-0.027354026845637498,0.9452754187506293,256,0.453125,-0.04881054687499997,0.9038770721950848,14
80-100,OFF,209,0.430622009569378,-0.08038038277511952,0.8600822873895408,178,0.449438202247191,-0.01708707865168536,0.9689330602697611,14
0-20,OFF,0,,,,0,,,,15
20-40,OFF,12,0.25,-0.56175,0.17912810521188507,11,0.09090909090909091,-0.689590909090909,0.08110236220472442,15
