mae_threshold,recovery_level,deadline,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,benchmark_max_drawdown_R,delta_R,delta_mean_R,delta_win_rate,delta_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct,_score
0.7,0.2,6,95,23,72,0.24210526315789474,-0.6021052631578947,-57.199999999999996,0.1129032258064516,-57.01,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.29,0.10831578947368414,0.03157894736842107,12.03999999999997,95,19,76,0.2,15.466315789473674
0.65,-0.1,4,95,17,78,0.17894736842105263,-0.6021052631578947,-57.199999999999996,0.060909538663602034,-57.02999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.29,0.10831578947368414,-0.03157894736842104,12.019999999999989,95,26,69,0.2736842105263158,15.461315789473678
0.75,0.2,5,95,21,74,0.22105263157894736,-0.6044210526315791,-57.42000000000001,0.10504987531172066,-57.36000000000001,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.069999999999986,0.10599999999999976,0.01052631578947369,11.689999999999962,95,17,78,0.17894736842105263,15.112499999999972
0.8,0.0,5,95,27,68,0.28421052631578947,-0.6051578947368421,-57.49,0.10284019975031211,-57.49999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.999999999999993,0.10526315789473673,0.0736842105263158,11.54999999999999,89,24,65,0.2696629213483146,14.992763157894725
0.7,0.1,6,95,23,72,0.24210526315789474,-0.6070526315789473,-57.66999999999999,0.10561414392059552,-57.48,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.820000000000007,0.10336842105263155,0.03157894736842107,11.569999999999972,95,22,73,0.23157894736842105,14.779868421052631
0.65,0.0,4,95,18,77,0.18947368421052632,-0.6070526315789473,-57.669999999999995,0.061513425549227015,-57.49999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.82,0.10336842105263155,-0.02105263157894735,11.549999999999997,95,20,75,0.21052631578947367,14.77486842105263
0.8,0.0,6,95,27,68,0.28421052631578947,-0.608,-57.76,0.10240870240870241,-57.62,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.729999999999997,0.10242105263157886,0.0736842105263158,11.429999999999971,89,24,65,0.2696629213483146,14.635921052631566
0.8,-0.1,6,95,24,71,0.25263157894736843,-0.6084210526315789,-57.8,0.09884627377611475,-57.66,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.689999999999998,0.10199999999999998,0.04210526315789476,11.389999999999972,89,28,61,0.3146067415730337,14.57749999999999
0.75,-0.1,5,95,20,75,0.21052631578947367,-0.6089473684210527,-57.85,0.069486890783336,-57.44999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.639999999999993,0.10147368421052616,0.0,11.59999999999998,95,31,64,0.3263157894736842,14.56947368421051
0.8,0.2,6,95,23,72,0.24210526315789474,-0.6084210526315789,-57.8,0.13148009015777612,-58.18,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.689999999999998,0.10199999999999998,0.03157894736842107,10.869999999999969,89,19,70,0.21348314606741572,14.44749999999999
0.75,0.2,6,95,23,72,0.24210526315789474,-0.6099999999999999,-57.94999999999999,0.1166158536585366,-57.73999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.540000000000006,0.10042105263157897,0.03157894736842107,11.309999999999981,95,20,75,0.21052631578947367,14.37592105263158
0.8,-0.1,5,95,24,71,0.25263157894736843,-0.6097894736842105,-57.93,0.09864633577096624,-57.93999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.559999999999995,0.1006315789473683,0.04210526315789476,11.109999999999985,89,27,62,0.30337078651685395,14.350131578947357
0.75,0.0,5,95,24,71,0.25263157894736843,-0.612421052631579,-58.18,0.07327174259318253,-57.77999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.309999999999995,0.09799999999999986,0.04210526315789476,11.269999999999982,95,26,69,0.2736842105263158,14.087499999999988
0.75,-0.1,6,95,21,74,0.22105263157894736,-0.614,-58.33,0.0730970920069919,-57.77999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.159999999999997,0.09642105263157885,0.01052631578947369,11.269999999999982,95,34,61,0.35789473684210527,13.90592105263157
0.75,0.0,6,95,26,69,0.2736842105263158,-0.6144210526315789,-58.36999999999999,0.07933753943217667,-57.81999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.120000000000005,0.09599999999999997,0.06315789473684214,11.22999999999999,95,28,67,0.29473684210526313,13.847500000000002
0.8,0.1,6,95,23,72,0.24210526315789474,-0.6138947368421053,-58.32,0.12366641622839972,-58.52,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.169999999999995,0.09652631578947357,0.03157894736842107,10.529999999999966,89,19,70,0.21348314606741572,13.733026315789457
0.75,0.1,6,95,23,72,0.24210526315789474,-0.6149473684210525,-58.41999999999999,0.10945121951219514,-58.20999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,9.070000000000007,0.09547368421052638,0.03157894736842107,10.839999999999982,95,23,72,0.24210526315789474,13.689473684210531
0.85,0.3,4,95,18,77,0.18947368421052632,-0.6193684210526316,-58.839999999999996,0.1560527825588067,-61.02999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,8.649999999999999,0.09105263157894727,-0.02105263157894735,8.019999999999996,79,7,72,0.08860759493670886,12.476052631578943
0.85,0.2,4,95,18,77,0.18947368421052632,-0.627578947368421,-59.62,0.14486517498565693,-61.80999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,7.869999999999997,0.08284210526315783,-0.02105263157894735,7.240000000000002,79,9,70,0.11392405063291139,11.336842105263154
0.85,0.1,4,95,18,77,0.18947368421052632,-0.6284210526315789,-59.699999999999996,0.14371772805507751,-61.88999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,7.789999999999999,0.08199999999999996,-0.02105263157894735,7.159999999999997,79,9,70,0.11392405063291139,11.219999999999997
0.85,0.0,4,95,18,77,0.18947368421052632,-0.6306315789473684,-59.91,0.1407056798623064,-62.09999999999997,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,7.579999999999998,0.07978947368421041,-0.02105263157894735,6.949999999999996,79,11,68,0.13924050632911392,10.913289473684205
0.85,-0.1,4,95,17,78,0.17894736842105263,-0.6319999999999999,-60.03999999999999,0.14007447722715552,-62.229999999999976,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,7.450000000000003,0.07842105263157895,-0.03157894736842104,6.819999999999993,79,12,67,0.1518987341772152,10.72342105263158
0.85,0.0,5,95,19,76,0.2,-0.6731578947368422,-63.95,0.13475849005547288,-65.88999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.539999999999992,0.037263157894736665,-0.010526315789473661,3.1599999999999824,79,12,67,0.1518987341772152,5.075263157894721
0.85,0.3,5,95,16,79,0.16842105263157894,-0.6731578947368422,-63.95,0.1411496105291432,-65.89,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.539999999999992,0.037263157894736665,-0.04210526315789473,3.159999999999968,79,7,72,0.08860759493670886,5.075263157894717
0.85,-0.1,5,95,17,78,0.17894736842105263,-0.6762105263157894,-64.24,0.13212645231018647,-66.17999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.25,0.03421052631578947,-0.03157894736842104,2.8699999999999903,79,14,65,0.17721518987341772,4.651710526315787
0.85,0.2,5,95,17,78,0.17894736842105263,-0.6769473684210526,-64.31,0.13631479989255982,-66.24999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.1799999999999926,0.03347368421052621,-0.03157894736842104,2.799999999999983,79,9,70,0.11392405063291139,4.549473684210513
0.85,0.3,6,95,17,78,0.17894736842105263,-0.6774736842105263,-64.36,0.14140875133404485,-66.14999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.1299999999999955,0.0329473684210525,-0.03157894736842104,2.8999999999999773,79,7,72,0.08860759493670886,4.513947368421039
0.85,0.1,5,95,17,78,0.17894736842105263,-0.6777894736842105,-64.39,0.1352403975288746,-66.32999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,3.0999999999999943,0.032631578947368345,-0.03157894736842104,2.7199999999999847,79,10,69,0.12658227848101267,4.432631578947357
