sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
DEVELOPMENT,0.7,4,1,8,4,-0.3800000000000001,-3.5999999999999996,-3.2199999999999998,0.5,0.25
DEVELOPMENT,0.7,4,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.7,4,3,14,8,-6.59,-8.51,-1.92,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.7,4,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.7,4,5,7,5,-14.000000000000002,-4.57,9.430000000000001,0.0,0.0
DEVELOPMENT,0.7,4,6,17,8,-11.78,-9.54,2.24,0.23529411764705882,0.11764705882352941
DEVELOPMENT,0.7,4,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.7,4,9,19,10,-11.989999999999998,-12.18,-0.19000000000000128,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.7,4,10,12,8,-7.510000000000001,-5.720000000000001,1.79,0.3333333333333333,0.16666666666666666
DEVELOPMENT,0.7,4,11,15,9,-12.880000000000003,-8.15,4.730000000000002,0.13333333333333333,0.13333333333333333
HOLDOUT,0.7,4,12,19,14,-17.270000000000003,-15.84,1.4300000000000033,0.2631578947368421,0.05263157894736842
HOLDOUT,0.7,4,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.7,4,14,20,16,-6.62,-9.63,-3.0100000000000007,0.3,0.15
HOLDOUT,0.7,4,15,3,1,-3.53,-3.67,-0.14000000000000012,0.0,0.0
HOLDOUT,0.7,4,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.7,4,18,9,5,-6.6899999999999995,-8.59,-1.9000000000000004,0.2222222222222222,0.0
HOLDOUT,0.7,4,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
