_source_index,original_R,strategy_R,triggered,recovery_triggered,mae_trigger_bar,recovery_exit_bar,recovery_exit_R,exit_type,loss_rescued,winner_damaged,entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,trade_index,entry_price
107,1.46,-0.09,True,True,2,5.0,-0.09,RECOVERY_EXIT,False,True,2024-04-17 12:23:00-04:00,2024-04-17 12:43:00-04:00,2024-04-16,0.7964290011874449,0.5919742134940013,25.0,1.75,20,36.5,35.39,1.4156,timeout,20,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,347,17674.5
108,-2.49,-2.49,True,False,1,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-04-17 12:46:00-04:00,2024-04-17 12:49:00-04:00,2024-04-16,1.0,0.5923255282896239,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,348,17620.75
109,1.37,0.13,True,True,2,3.0,0.13,RECOVERY_EXIT,False,True,2024-04-19 12:07:00-04:00,2024-04-19 12:27:00-04:00,2024-04-18,0.9849371139952336,0.5179741432310422,25.0,1.75,20,34.25,33.14,1.3256,timeout,20,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,352,17260.5
110,-1.29,0.23,True,True,4,5.0,0.23,RECOVERY_EXIT,True,False,2024-04-25 09:31:00-04:00,2024-04-25 09:42:00-04:00,2024-04-24,0.7717479701747733,0.4902334486816912,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,11,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,358,17324.5
111,-4.12,-4.12,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-04-26 09:31:00-04:00,2024-04-26 09:33:00-04:00,2024-04-25,0.8395850269885285,0.4686758945352983,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,359,17682.0
112,-1.57,0.05,True,True,3,11.0,0.05,RECOVERY_EXIT,True,False,2024-04-29 09:43:00-04:00,2024-04-29 09:47:00-04:00,2024-04-28,0.9645947757035798,0.5998875792654008,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,360,17835.0
113,-1.76,-1.76,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-05-01 11:18:00-04:00,2024-05-01 11:22:00-04:00,2024-04-30,1.0,0.4026462786980274,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00,362,17418.0
114,1.46,1.46,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-07-11 11:03:00-04:00,2024-07-11 11:07:00-04:00,2024-07-10,0.7879223915264038,0.5444017987317535,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,13,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00,363,20594.0
115,-0.77,-0.77,True,False,1,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-08-20 13:00:00-04:00,2024-08-20 13:06:00-04:00,2024-08-19,0.9957188243793724,0.5186007358532865,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,6,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,365,19751.5
116,0.17,0.17,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-08-27 11:33:00-04:00,2024-08-27 11:53:00-04:00,2024-08-26,1.0,0.5623826876667648,25.0,1.75,20,4.25,3.14,0.1256,timeout,20,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,367,19586.75
117,-0.69,-0.69,True,False,3,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-09-18 11:47:00-04:00,2024-09-18 11:55:00-04:00,2024-09-17,1.0,0.4886039447714415,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,8,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,374,19589.25
118,-0.71,-0.71,True,False,6,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-09-19 14:16:00-04:00,2024-09-19 14:28:00-04:00,2024-09-18,0.9595531322317736,0.4378327054696669,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,12,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,375,20129.0
119,-1.83,0.25,True,True,1,3.0,0.25,RECOVERY_EXIT,True,False,2024-09-23 09:32:00-04:00,2024-09-23 09:45:00-04:00,2024-09-22,0.8116666243643076,0.4817025728490358,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,13,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,378,20041.75
120,-0.21,-0.21,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-09-27 09:36:00-04:00,2024-09-27 09:38:00-04:00,2024-09-26,0.8906587824648646,0.5374718120716864,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,381,20320.5
121,-0.66,0.14,True,True,1,12.0,0.14,RECOVERY_EXIT,True,False,2024-10-02 12:59:00-04:00,2024-10-02 13:01:00-04:00,2024-10-01,1.0,0.4769375491777696,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,384,19980.25
122,0.36,0.0,True,True,5,5.0,0.0,RECOVERY_EXIT,False,True,2024-10-03 12:52:00-04:00,2024-10-03 13:01:00-04:00,2024-10-02,1.0,0.5721896690418522,25.0,1.75,20,43.75,42.64,1.7056,target,9,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,386,19926.75
123,-0.7,-0.05,True,True,4,9.0,-0.05,RECOVERY_EXIT,True,False,2024-10-08 13:08:00-04:00,2024-10-08 13:14:00-04:00,2024-10-07,0.7824535247307162,0.4870478392551793,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,6,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,388,20180.5
124,-1.59,-1.59,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-10-11 09:39:00-04:00,2024-10-11 09:43:00-04:00,2024-10-10,0.8001542702877217,0.4310983731224532,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,390,20318.75
125,-0.86,0.15,True,True,3,7.0,0.15,RECOVERY_EXIT,True,False,2024-10-15 15:05:00-04:00,2024-10-15 15:23:00-04:00,2024-10-14,0.9983181934732543,0.4095458721443925,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,18,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,392,20288.25
126,-0.92,-0.92,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-10-17 12:33:00-04:00,2024-10-17 12:38:00-04:00,2024-10-16,0.8917050685526369,0.4276916449441956,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,5,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,394,20448.75
127,1.08,0.23,True,True,8,10.0,0.23,RECOVERY_EXIT,False,True,2024-10-23 13:40:00-04:00,2024-10-23 14:00:00-04:00,2024-10-22,0.8387925957574164,0.5578726191365813,25.0,1.75,20,27.0,25.89,1.0356,timeout,20,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,398,20151.75
128,-0.26,-0.26,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-10-24 09:31:00-04:00,2024-10-24 09:33:00-04:00,2024-10-23,0.995418895765774,0.5711830358124058,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,399,20315.25
129,0.34,-0.02,True,True,7,19.0,-0.02,RECOVERY_EXIT,False,True,2024-10-24 11:47:00-04:00,2024-10-24 11:56:00-04:00,2024-10-23,1.0,0.5400565297088676,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,9,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,400,20291.0
130,1.49,-0.02,True,True,2,9.0,-0.02,RECOVERY_EXIT,False,True,2024-10-25 13:21:00-04:00,2024-10-25 13:24:00-04:00,2024-10-24,1.0,0.4500573649067436,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,401,20560.0
131,1.72,-0.09,True,True,3,4.0,-0.09,RECOVERY_EXIT,False,True,2024-10-28 09:30:00-04:00,2024-10-28 09:50:00-04:00,2024-10-27,1.0,0.5930871990540285,25.0,1.75,20,43.75,42.64,1.7056,target,20,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,403,20584.5
132,-0.28,-0.28,True,False,3,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-10-30 13:39:00-04:00,2024-10-30 13:43:00-04:00,2024-10-29,0.9777659327239042,0.4097304948327626,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,404,20569.25
133,-1.67,-1.67,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-11-01 15:50:00-04:00,2024-11-01 15:54:00-04:00,2024-10-31,0.8222048032091418,0.5429797222747273,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,405,20131.5
134,-0.63,-0.63,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-11-05 13:37:00-05:00,2024-11-05 13:42:00-05:00,2024-11-04,0.9982342680425262,0.4154406108373518,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,5,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00,407,20292.0
135,-0.66,-0.66,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2024-12-20 16:30:00-05:00,2024-12-20 16:40:00-05:00,2024-12-19,0.8401326411841669,0.5657735993085931,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,10,15,2024-11-06 09:30:00-05:00,2025-02-06 09:30:00-05:00,408,21520.5
136,-1.7,-0.04,True,True,7,11.0,-0.04,RECOVERY_EXIT,True,False,2025-01-07 15:33:00-05:00,2025-01-07 15:40:00-05:00,2025-01-06,0.8584252972912452,0.5924603296467068,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,15,2024-11-06 09:30:00-05:00,2025-02-06 09:30:00-05:00,409,21319.25
137,-1.17,-1.17,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-01-27 12:57:00-05:00,2025-01-27 13:02:00-05:00,2025-01-26,0.8842362222720928,0.4877270872725837,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,5,15,2024-11-06 09:30:00-05:00,2025-02-06 09:30:00-05:00,412,21147.0
138,1.92,0.08,True,True,7,9.0,0.08,RECOVERY_EXIT,False,True,2025-02-21 14:07:00-05:00,2025-02-21 14:14:00-05:00,2025-02-20,0.8098510669337888,0.5592404574118639,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,16,2025-02-06 09:30:00-05:00,2025-05-06 09:30:00-04:00,416,21757.5
139,-0.77,0.0,True,True,4,8.0,0.0,RECOVERY_EXIT,True,False,2025-03-26 14:58:00-04:00,2025-03-26 15:18:00-04:00,2025-03-25,0.8149097764048943,0.5611024258286638,25.0,1.75,20,-19.25,-20.36,-0.8144,timeout,20,16,2025-02-06 09:30:00-05:00,2025-05-06 09:30:00-04:00,418,20059.75
140,-2.22,-2.22,True,False,6,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-09-03 12:51:00-04:00,2025-09-03 13:01:00-04:00,2025-09-02,0.7574894341862695,0.5421512331419268,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,10,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,431,23396.5
141,0.02,0.02,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-09-05 09:37:00-04:00,2025-09-05 09:40:00-04:00,2025-09-04,0.8028085966685061,0.5916045145534948,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,432,23827.75
142,-1.71,-1.71,True,False,6,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-09-09 10:39:00-04:00,2025-09-09 10:52:00-04:00,2025-09-08,0.8763939469106183,0.5792840956592524,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,13,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,433,23743.0
143,-0.72,-0.72,True,False,7,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-09-23 09:59:00-04:00,2025-09-23 10:19:00-04:00,2025-09-22,0.7872518381262426,0.4337227465733835,25.0,1.75,20,-18.0,-19.11,-0.7644,timeout,20,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,435,24940.25
144,-0.79,-0.79,True,False,6,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-10-21 16:09:00-04:00,2025-10-21 16:29:00-04:00,2025-10-20,0.7625693157170519,0.5345125734274966,25.0,1.75,20,-19.75,-20.86,-0.8344,timeout,20,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,439,25238.0
145,-0.57,-0.06,True,True,2,4.0,-0.06,RECOVERY_EXIT,True,False,2025-10-30 11:42:00-04:00,2025-10-30 11:45:00-04:00,2025-10-29,0.8443368898729058,0.4352980001320045,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,440,25983.25
146,0.36,0.03,True,True,1,3.0,0.03,RECOVERY_EXIT,False,True,2025-10-31 13:16:00-04:00,2025-10-31 13:17:00-04:00,2025-10-30,0.951650010539018,0.5823333993355774,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,1,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,442,25901.5
147,-0.21,-0.05,True,True,2,3.0,-0.05,RECOVERY_EXIT,True,False,2025-11-04 14:43:00-05:00,2025-11-04 15:01:00-05:00,2025-11-03,0.7649715180225451,0.5887400171605834,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,18,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,444,25586.0
148,-0.85,-0.85,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-11-05 16:15:00-05:00,2025-11-05 16:24:00-05:00,2025-11-04,0.8308783415166394,0.5666116647966031,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,9,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00,445,25709.75
149,-3.62,-3.62,True,False,3,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2025-12-04 14:22:00-05:00,2025-12-04 14:25:00-05:00,2025-12-03,0.7722607110561125,0.5586808071492875,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,19,2025-11-06 09:30:00-05:00,2026-02-06 09:30:00-05:00,446,25500.0
150,3.2,0.66,True,True,1,2.0,0.66,RECOVERY_EXIT,False,True,2026-01-08 09:36:00-05:00,2026-01-08 09:42:00-05:00,2026-01-07,0.7546441314718091,0.5918143293151528,25.0,1.75,20,43.75,42.64,1.7056,target,6,19,2025-11-06 09:30:00-05:00,2026-02-06 09:30:00-05:00,447,25705.25
151,-2.01,-2.01,True,False,4,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-02-11 13:12:00-05:00,2026-02-11 13:16:00-05:00,2026-02-10,1.0,0.5085718053540815,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,449,25215.0
152,2.81,-0.1,True,True,3,12.0,-0.1,RECOVERY_EXIT,False,True,2026-02-12 15:31:00-05:00,2026-02-12 15:38:00-05:00,2026-02-11,1.0,0.5876522044925052,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,450,24796.25
153,-1.63,-1.63,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-02-16 11:38:00-05:00,2026-02-16 11:45:00-05:00,2026-02-15,0.8138084670836507,0.4817090861136753,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,453,24683.0
154,-0.83,-0.83,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-02-17 15:38:00-05:00,2026-02-17 15:41:00-05:00,2026-02-16,1.0,0.4284144357993757,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,455,24738.25
155,-0.47,-0.06,True,True,4,11.0,-0.06,RECOVERY_EXIT,True,False,2026-02-18 13:51:00-05:00,2026-02-18 14:11:00-05:00,2026-02-17,1.0,0.4833267396369071,25.0,1.75,20,-11.75,-12.86,-0.5144,timeout,20,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,456,25012.75
156,2.48,0.17,True,True,4,5.0,0.17,RECOVERY_EXIT,False,True,2026-02-18 14:37:00-05:00,2026-02-18 14:57:00-05:00,2026-02-17,1.0,0.4977493516198514,25.0,1.75,20,43.75,42.64,1.7056,target,20,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,458,24928.25
157,-1.99,0.01,True,True,7,8.0,0.01,RECOVERY_EXIT,True,False,2026-02-23 12:36:00-05:00,2026-02-23 12:43:00-05:00,2026-02-22,1.0,0.4217284276231922,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,460,24701.25
158,1.6,-0.1,True,True,2,4.0,-0.1,RECOVERY_EXIT,False,True,2026-02-27 13:05:00-05:00,2026-02-27 13:25:00-05:00,2026-02-26,0.9375766338559064,0.4316980966196316,25.0,1.75,20,40.0,38.89,1.5556,timeout,20,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,464,24919.5
159,-1.01,-1.01,True,False,2,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-02-27 13:26:00-05:00,2026-02-27 13:29:00-05:00,2026-02-26,0.8591063143433781,0.5788342344718449,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,465,24882.75
160,-0.53,-0.05,True,True,1,4.0,-0.05,RECOVERY_EXIT,True,False,2026-03-02 13:47:00-05:00,2026-03-02 14:07:00-05:00,2026-03-01,1.0,0.4756780517824959,25.0,1.75,20,-13.25,-14.36,-0.5744,timeout,20,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,466,24986.75
161,-1.65,0.28,True,True,3,9.0,0.28,RECOVERY_EXIT,True,False,2026-03-12 15:02:00-04:00,2026-03-12 15:05:00-04:00,2026-03-11,0.8446213623856165,0.573295529473823,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,468,24584.25
162,1.38,0.05,True,True,6,11.0,0.05,RECOVERY_EXIT,False,True,2026-03-16 12:01:00-04:00,2026-03-16 12:08:00-04:00,2026-03-15,0.8187978190213634,0.5903248494439316,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,471,24675.0
163,-2.13,-2.13,True,False,1,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-03-16 13:50:00-04:00,2026-03-16 13:52:00-04:00,2026-03-15,1.0,0.4397336146643809,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,2,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,472,24656.75
164,0.85,0.43,True,True,2,8.0,0.43,RECOVERY_EXIT,False,True,2026-03-17 11:13:00-04:00,2026-03-17 11:16:00-04:00,2026-03-16,0.9043760691482644,0.4710536726889094,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,473,24805.0
165,-1.62,0.1,True,True,3,11.0,0.1,RECOVERY_EXIT,True,False,2026-03-20 13:36:00-04:00,2026-03-20 13:40:00-04:00,2026-03-19,1.0,0.5456547540551233,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,477,24175.0
166,0.82,0.03,True,True,6,7.0,0.03,RECOVERY_EXIT,False,True,2026-03-26 13:24:00-04:00,2026-03-26 13:33:00-04:00,2026-03-25,0.956211115148597,0.4424106554134248,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,9,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,481,23941.75
167,0.66,0.19,True,True,4,6.0,0.19,RECOVERY_EXIT,False,True,2026-03-26 15:25:00-04:00,2026-03-26 15:45:00-04:00,2026-03-25,1.0,0.4252890236933491,25.0,1.75,20,16.5,15.39,0.6156,timeout,20,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,483,23822.25
168,-4.76,-0.07,True,True,2,7.0,-0.07,RECOVERY_EXIT,True,False,2026-03-26 15:54:00-04:00,2026-03-26 16:11:00-04:00,2026-03-25,0.9272071232917818,0.5358345421776781,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,17,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,484,23781.25
169,-0.64,-0.64,True,False,5,,,BENCHMARK_AFTER_NO_RECOVERY,False,False,2026-03-27 12:37:00-04:00,2026-03-27 12:46:00-04:00,2026-03-26,1.0,0.4980702448459272,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,9,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,485,23459.0
170,-0.33,-0.08,True,True,1,4.0,-0.08,RECOVERY_EXIT,True,False,2026-03-27 15:46:00-04:00,2026-03-27 15:53:00-04:00,2026-03-26,0.8379642713187814,0.5809749879115566,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,486,23283.0
171,-0.46,0.17,True,True,1,4.0,0.17,RECOVERY_EXIT,True,False,2026-04-01 14:25:00-04:00,2026-04-01 14:40:00-04:00,2026-03-31,0.9100415149552532,0.5724647237241197,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,15,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,493,24157.75
172,-1.05,0.04,True,True,2,4.0,0.04,RECOVERY_EXIT,True,False,2026-04-06 13:06:00-04:00,2026-04-06 13:09:00-04:00,2026-04-05,0.9195951958331344,0.410923557079432,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,3,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00,495,24265.5
