mae_boundary_R,time_bucket,start_bar,end_bar,trades,finished_positive,finished_negative,failure_pct,survival_pct,mean_final_R,total_final_R,recovery_0R_pct,recovery_0_25R_pct,recovery_0_50R_pct,recovery_0_75R_pct,recovery_1R_pct,mean_crossing_bar
0.85,BAR_7_10,7,10,35,6,29,0.8285714285714286,0.17142857142857143,-0.6468571428571428,-22.639999999999997,0.45714285714285713,0.22857142857142856,0.14285714285714285,0.08571428571428572,0.08571428571428572,8.028571428571428
0.85,BAR_11_20,11,20,17,1,16,0.9411764705882353,0.058823529411764705,-0.8852941176470589,-15.05,0.17647058823529413,0.0,0.0,0.0,0.0,15.0
0.9,BAR_1_2,1,2,32,9,23,0.71875,0.28125,-0.658125,-21.06,0.625,0.5,0.375,0.34375,0.25,1.75
0.9,BAR_3_4,3,4,43,6,37,0.8604651162790697,0.13953488372093023,-1.1025581395348838,-47.410000000000004,0.46511627906976744,0.23255813953488372,0.13953488372093023,0.09302325581395349,0.09302325581395349,3.5348837209302326
0.9,BAR_5_6,5,6,35,10,25,0.7142857142857143,0.2857142857142857,-0.7477142857142858,-26.17,0.37142857142857144,0.2857142857142857,0.22857142857142856,0.2,0.17142857142857143,5.485714285714286
0.9,BAR_7_10,7,10,37,5,32,0.8648648648648649,0.13513513513513514,-0.7862162162162162,-29.09,0.3783783783783784,0.1891891891891892,0.10810810810810811,0.08108108108108109,0.08108108108108109,8.08108108108108
0.9,BAR_11_20,11,20,19,1,18,0.9473684210526315,0.05263157894736842,-0.9721052631578949,-18.470000000000002,0.10526315789473684,0.0,0.0,0.0,0.0,14.894736842105264
0.95,BAR_1_2,1,2,26,7,19,0.7307692307692307,0.2692307692307692,-0.6757692307692308,-17.57,0.5769230769230769,0.4230769230769231,0.3076923076923077,0.2692307692307692,0.19230769230769232,1.6923076923076923
0.95,BAR_3_4,3,4,38,7,31,0.8157894736842105,0.18421052631578946,-1.0239473684210527,-38.910000000000004,0.42105263157894735,0.2631578947368421,0.18421052631578946,0.15789473684210525,0.13157894736842105,3.5
0.95,BAR_5_6,5,6,34,7,27,0.7941176470588235,0.20588235294117646,-0.9155882352941176,-31.13,0.35294117647058826,0.20588235294117646,0.14705882352941177,0.11764705882352941,0.11764705882352941,5.470588235294118
0.95,BAR_7_10,7,10,36,5,31,0.8611111111111112,0.1388888888888889,-0.8955555555555554,-32.239999999999995,0.3611111111111111,0.19444444444444445,0.1111111111111111,0.08333333333333333,0.05555555555555555,8.25
0.95,BAR_11_20,11,20,23,1,22,0.9565217391304348,0.043478260869565216,-1.075217391304348,-24.730000000000004,0.13043478260869565,0.0,0.0,0.0,0.0,14.782608695652174
1.0,BAR_1_2,1,2,17,4,13,0.7647058823529411,0.23529411764705882,-1.0823529411764705,-18.4,0.5294117647058824,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.11764705882352941,1.7647058823529411
1.0,BAR_3_4,3,4,37,6,31,0.8378378378378378,0.16216216216216217,-1.0983783783783783,-40.63999999999999,0.40540540540540543,0.24324324324324326,0.16216216216216217,0.13513513513513514,0.10810810810810811,3.5405405405405403
