mae_threshold,recovery_threshold,deadline,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,delta_total_R_vs_frozen,delta_mean_R_vs_frozen,delta_win_rate_vs_frozen,delta_max_DD_vs_frozen,positive_OOS,PF_above_1
0.9,0.1,8,217,24.475200000000005,0.11278894009216592,0.5345622119815668,1.2486538766321111,-9.0796,-9.870000000000001,-0.04548387096774195,-0.004608294930875556,-1.3151999999999937,True,True
0.9,0.15,4,217,17.02520000000001,0.07845714285714289,0.4792626728110599,1.1650515555865781,-11.329199999999993,-17.319999999999997,-0.07981566820276498,-0.05990783410138251,-3.5647999999999875,True,True
0.9,0.15,5,217,22.805200000000003,0.1050930875576037,0.5207373271889401,1.2294959887612862,-9.5748,-11.540000000000003,-0.05317972350230417,-0.018433179723502335,-1.8103999999999942,True,True
0.9,0.15,6,217,25.225200000000008,0.11624516129032261,0.5207373271889401,1.2551071593271903,-8.214000000000006,-9.119999999999997,-0.04202764976958526,-0.018433179723502335,-0.4496000000000002,True,True
0.9,0.15,7,217,21.525199999999998,0.09919447004608294,0.5207373271889401,1.2098365386115144,-9.989599999999992,-12.820000000000007,-0.059078341013824934,-0.018433179723502335,-2.2251999999999867,True,True
0.9,0.15,8,217,25.975200000000005,0.11970138248847928,0.5345622119815668,1.263893009098778,-9.0796,-8.370000000000001,-0.03857142857142859,-0.004608294930875556,-1.3151999999999937,True,True
0.9,0.2,4,217,17.035200000000007,0.07850322580645164,0.4792626728110599,1.1651485010295606,-11.329199999999993,-17.31,-0.07976958525345623,-0.05990783410138251,-3.5647999999999875,True,True
0.9,0.2,5,217,22.935200000000002,0.10569216589861752,0.5207373271889401,1.2308042201532041,-9.5748,-11.410000000000004,-0.05258064516129035,-0.018433179723502335,-1.8103999999999942,True,True
0.9,0.2,6,217,23.665200000000006,0.10905622119815671,0.5161290322580645,1.235496184725368,-8.214000000000002,-10.68,-0.04921658986175116,-0.02304147465437789,-0.44959999999999667,True,True
0.9,0.2,7,217,20.5352,0.09463225806451613,0.5161290322580645,1.198176427898646,-9.989599999999992,-13.810000000000006,-0.06364055299539174,-0.02304147465437789,-2.2251999999999867,True,True
0.9,0.2,8,217,23.975200000000005,0.11048479262672813,0.5299539170506913,1.238604788178438,-9.0796,-10.370000000000001,-0.047788018433179744,-0.009216589861751112,-1.3151999999999937,True,True
0.9,0.25,4,217,15.905200000000008,0.07329585253456225,0.47465437788018433,1.1529187353620973,-11.479199999999992,-18.439999999999998,-0.08497695852534562,-0.06451612903225806,-3.714799999999986,True,True
0.9,0.25,5,217,21.705200000000005,0.10002396313364058,0.5161290322580645,1.2160564120532589,-9.594799999999998,-12.64,-0.05824884792626729,-0.02304147465437789,-1.830399999999992,True,True
0.9,0.25,6,217,21.475200000000008,0.09896405529953921,0.511520737327189,1.2099015939666198,-9.769199999999994,-12.869999999999997,-0.05930875576036866,-0.027649769585253448,-2.004799999999989,True,True
0.9,0.25,7,217,18.4652,0.08509308755760368,0.5069124423963134,1.175223570138014,-11.629599999999993,-15.880000000000006,-0.07317972350230419,-0.032258064516129004,-3.8651999999999873,True,True
0.9,0.25,8,217,21.685200000000005,0.09993179723502306,0.5207373271889401,1.2116438677035513,-10.819599999999998,-12.66,-0.05834101382488481,-0.018433179723502335,-3.055199999999992,True,True
0.9,0.3,4,217,15.075200000000008,0.06947096774193552,0.4700460829493088,1.144135048206917,-11.479199999999999,-19.269999999999996,-0.08880184331797235,-0.06912442396313362,-3.714799999999993,True,True
0.9,0.3,5,217,21.10520000000001,0.09725898617511526,0.511520737327189,1.20935455328199,-9.594799999999998,-13.239999999999995,-0.06101382488479261,-0.027649769585253448,-1.830399999999992,True,True
0.9,0.3,6,217,19.905200000000008,0.09172903225806456,0.5023041474654378,1.1925611487963723,-9.76919999999999,-14.439999999999998,-0.06654377880184331,-0.03686635944700456,-2.0047999999999853,True,True
0.9,0.3,7,217,16.3352,0.07527741935483871,0.4930875576036866,1.1534242252335851,-11.87959999999999,-18.010000000000005,-0.08299539170506916,-0.04608294930875578,-4.115199999999984,True,True
0.9,0.3,8,217,19.865200000000005,0.09154470046082952,0.5069124423963134,1.1915441786197773,-10.849600000000002,-14.48,-0.06672811059907835,-0.032258064516129004,-3.085199999999997,True,True
