feature,recovery_n,failure_n,recovery_mean,failure_mean,recovery_median,failure_median,mean_difference,median_difference,abs_standardized_difference
mae_path_std_8,27,168,0.21976762115446907,0.33095349414453273,0.21057743740215173,0.29114326946491365,-0.11118587299006366,-0.08056583206276191,0.6445800677618634
close_5,27,168,-0.25111111111111106,-0.5835119047619047,-0.38,-0.55,0.33240079365079367,0.17000000000000004,0.6391147717447888
close_5R,27,168,-0.25111111111111106,-0.5835119047619047,-0.38,-0.55,0.33240079365079367,0.17000000000000004,0.6391147717447888
mfe_9R,27,168,0.8351851851851853,0.3843452380952381,0.6,0.26,0.4508399470899472,0.33999999999999997,0.6183573447167432
mfe_speed_1_8,27,168,0.09694444444444443,0.04671875,0.05625,0.031875,0.05022569444444443,0.024375,0.6024790064167048
mfe_8,27,168,0.7755555555555554,0.37375,0.45,0.255,0.4018055555555554,0.195,0.6024790064167048
mfe_8R,27,168,0.7755555555555554,0.37375,0.45,0.255,0.4018055555555554,0.195,0.6024790064167048
mae_change_2_8,27,168,0.4070370370370371,0.6697619047619048,0.35,0.6100000000000001,-0.2627248677248677,-0.2600000000000001,0.5908394649613443
mfe_speed_5_8,27,168,0.09888888888888889,0.022142857142857148,0.0,0.0,0.07674603174603174,0.0,0.5896321355382127
mfe_change_5_8,27,168,0.29666666666666663,0.06642857142857143,0.0,0.0,0.2302380952380952,0.0,0.5896321355382126
mfe_change_1_8,27,168,0.48962962962962964,0.1695238095238095,0.27,0.0,0.3201058201058201,0.27,0.545737266585442
mfe_7R,27,168,0.69,0.35446428571428573,0.38,0.235,0.3355357142857142,0.14500000000000002,0.5435277512851756
mfe_7,27,168,0.69,0.35446428571428573,0.38,0.235,0.3355357142857142,0.14500000000000002,0.5435277512851756
mae_change_3_8,27,168,0.28888888888888886,0.5226190476190476,0.18999999999999995,0.48,-0.2337301587301588,-0.29000000000000004,0.5393769670062061
mae_speed_3_8,27,168,0.05777777777777778,0.10452380952380953,0.03799999999999999,0.096,-0.04674603174603175,-0.05800000000000001,0.5393769670062061
mae_change_5_8,27,168,0.09777777777777777,0.25702380952380954,0.0,0.175,-0.15924603174603177,-0.175,0.5366549296284057
mae_speed_5_8,27,168,0.03259259259259259,0.08567460317460317,0.0,0.05833333333333333,-0.05308201058201058,-0.05833333333333333,0.5366549296284054
mfe_path_std_8,27,168,0.18724396826213321,0.06930213315806565,0.09721111047611791,0.0,0.11794183510406757,0.09721111047611791,0.5321225066121374
close_4R,27,168,-0.2785185185185185,-0.5352380952380952,-0.4,-0.53,0.2567195767195767,0.13,0.5291919231038741
close_4,27,168,-0.2785185185185185,-0.5352380952380952,-0.4,-0.53,0.2567195767195767,0.13,0.5291919231038741
mfe_speed_3_8,27,168,0.072,0.02160714285714286,0.012,0.0,0.050392857142857135,0.012,0.5253192941856852
mfe_change_3_8,27,168,0.36000000000000004,0.10803571428571428,0.06,0.0,0.25196428571428575,0.06,0.5253192941856852
mae_5,27,168,0.8003703703703705,0.9752976190476191,0.82,0.905,-0.17492724867724863,-0.08500000000000008,0.5110726851290813
mae_5R,27,168,0.8003703703703705,0.9752976190476191,0.82,0.905,-0.17492724867724863,-0.08500000000000008,0.5110726851290813
mfe_change_2_8,27,168,0.37666666666666665,0.12958333333333333,0.06999999999999984,0.0,0.24708333333333332,0.06999999999999984,0.5059653682399404
mfe_6R,27,168,0.602962962962963,0.33321428571428574,0.37,0.225,0.2697486772486773,0.145,0.4787028525927682
mfe_6,27,168,0.602962962962963,0.33321428571428574,0.37,0.225,0.2697486772486773,0.145,0.4787028525927682
close_3R,27,168,-0.17333333333333328,-0.4008333333333334,-0.32,-0.41000000000000003,0.2275000000000001,0.09000000000000002,0.46399839890679967
close_3,27,168,-0.17333333333333328,-0.4008333333333334,-0.32,-0.41000000000000003,0.2275000000000001,0.09000000000000002,0.46399839890679967
mae_4R,27,168,0.7096296296296296,0.8567261904761905,0.76,0.8200000000000001,-0.14709656084656086,-0.06000000000000005,0.4496306312464861
mae_4,27,168,0.7096296296296296,0.8567261904761905,0.76,0.8200000000000001,-0.14709656084656086,-0.06000000000000005,0.4496306312464861
close_1,27,168,-0.0007407407407407372,-0.15285714285714286,-0.07,-0.17,0.15211640211640212,0.1,0.40482860074170124
close_1R,27,168,-0.0007407407407407372,-0.15285714285714286,-0.07,-0.17,0.15211640211640212,0.1,0.40482860074170124
mfe_2,27,168,0.39888888888888885,0.2441666666666667,0.19,0.16,0.15472222222222215,0.03,0.403334690657274
mfe_2R,27,168,0.39888888888888885,0.2441666666666667,0.19,0.16,0.15472222222222215,0.03,0.403334690657274
mfe_5R,27,168,0.4788888888888889,0.3073214285714286,0.28,0.22,0.17156746031746034,0.060000000000000026,0.39671295946808205
mfe_5,27,168,0.4788888888888889,0.3073214285714286,0.28,0.22,0.17156746031746034,0.060000000000000026,0.39671295946808205
close_2,27,168,-0.12296296296296295,-0.29964285714285716,-0.21,-0.36,0.17667989417989421,0.15,0.39161333050167746
close_2R,27,168,-0.12296296296296295,-0.29964285714285716,-0.21,-0.36,0.17667989417989421,0.15,0.39161333050167746
mfe_4,27,168,0.4485185185185185,0.28708333333333336,0.28,0.215,0.16143518518518513,0.06500000000000003,0.3873516209487712
mfe_4R,27,168,0.4485185185185185,0.28708333333333336,0.28,0.215,0.16143518518518513,0.06500000000000003,0.3873516209487712
mfe_3R,27,168,0.41555555555555557,0.26571428571428574,0.24,0.18,0.14984126984126983,0.06,0.37813838881442846
mfe_3,27,168,0.41555555555555557,0.26571428571428574,0.24,0.18,0.14984126984126983,0.06,0.37813838881442846
mae_3R,27,168,0.6092592592592593,0.7097023809523809,0.68,0.705,-0.10044312169312164,-0.02499999999999991,0.314651841799874
mae_3,27,168,0.6092592592592593,0.7097023809523809,0.68,0.705,-0.10044312169312164,-0.02499999999999991,0.314651841799874
mfe_1R,27,168,0.2859259259259259,0.20422619047619048,0.13,0.13,0.08169973544973544,0.0,0.28966428398993954
mfe_1,27,168,0.2859259259259259,0.20422619047619048,0.13,0.13,0.08169973544973544,0.0,0.28966428398993954
entry_price,27,168,17760.824074074073,19120.684523809523,17260.5,17616.25,-1359.86044973545,-355.75,0.28084306483815635
window_path,27,168,10.74074074074074,12.297619047619047,12.0,12.0,-1.556878306878307,0.0,0.2557125531165601
window,27,168,10.74074074074074,12.297619047619047,12.0,12.0,-1.556878306878307,0.0,0.2557125531165601
mae_2R,27,168,0.4911111111111111,0.5625595238095238,0.48,0.535,-0.07144841269841268,-0.05500000000000005,0.2481864995026899
mae_2,27,168,0.4911111111111111,0.5625595238095238,0.48,0.535,-0.07144841269841268,-0.05500000000000005,0.2481864995026899
quality,27,168,0.9285254831708878,0.9090036089470074,0.9782229965156796,0.936691803080399,0.01952187422388041,0.041531193435280556,0.2228070350210396
trade_index,27,168,279.51851851851853,312.7857142857143,328.0,322.5,-33.267195767195744,5.5,0.21839016514188397
vol_percentile,27,168,0.5121684134596814,0.5028299726399256,0.5360449442187971,0.5023132956150512,0.009338440819755878,0.03373164860374589,0.14834450244716169
mae_1R,27,168,0.355925925925926,0.37660714285714286,0.3,0.34,-0.020681216931216884,-0.040000000000000036,0.08665761982265054
mae_1,27,168,0.355925925925926,0.37660714285714286,0.3,0.34,-0.020681216931216884,-0.040000000000000036,0.08665761982265054
close_path_std_8,27,168,0.4121050008762688,0.3994216727968556,0.3102073039574849,0.3367673770756663,0.012683328079413192,-0.02656007311818137,0.04867124804538071
stop_points,27,168,25.0,25.0,25.0,25.0,0.0,0.0,
rr,27,168,1.75,1.75,1.75,1.75,0.0,0.0,
horizon,27,168,20.0,20.0,20.0,20.0,0.0,0.0,
path_length,27,168,21.0,21.0,21.0,21.0,0.0,0.0,
