mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.7,0.5,2,195,3,0.015384615384615385,1.0,1.8133333333333335,5.44,192,0.22916666666666666,-0.7217708333333334,-138.58,0.7708333333333334,2.5351041666666667
0.7,0.5,3,195,6,0.03076923076923077,0.6666666666666666,0.5016666666666667,3.0100000000000002,189,0.2275132275132275,-0.7203703703703702,-136.14999999999998,0.43915343915343913,1.2220370370370368
0.7,0.5,4,195,10,0.05128205128205128,0.5,0.17300000000000004,1.7300000000000004,185,0.22702702702702704,-0.729027027027027,-134.87,0.27297297297297296,0.9020270270270271
0.7,0.5,5,195,16,0.08205128205128205,0.625,0.45562499999999995,7.289999999999999,179,0.20670391061452514,-0.7845251396648045,-140.43,0.41829608938547486,1.2401501396648045
0.7,0.5,6,195,16,0.08205128205128205,0.625,0.45562499999999995,7.289999999999999,179,0.20670391061452514,-0.7845251396648045,-140.43,0.41829608938547486,1.2401501396648045
0.7,0.5,7,195,17,0.08717948717948718,0.5882352941176471,0.40176470588235297,6.83,178,0.20786516853932585,-0.7863483146067416,-139.97,0.3803701255783212,1.1881130204890946
0.7,0.5,8,195,17,0.08717948717948718,0.5882352941176471,0.40176470588235297,6.83,178,0.20786516853932585,-0.7863483146067416,-139.97,0.3803701255783212,1.1881130204890946
0.7,0.75,1,195,0,0.0,,,0.0,195,0.24102564102564103,-0.6827692307692307,-133.14,,
0.7,0.75,2,195,2,0.010256410256410256,1.0,2.035,4.07,193,0.23316062176165803,-0.7109326424870466,-137.20999999999998,0.766839378238342,2.7459326424870465
0.7,0.75,3,195,5,0.02564102564102564,0.6,0.328,1.6400000000000001,190,0.23157894736842105,-0.7093684210526314,-134.77999999999997,0.3684210526315789,1.0373684210526315
0.7,0.75,4,195,8,0.041025641025641026,0.625,0.7375,5.9,187,0.22459893048128343,-0.7435294117647057,-139.03999999999996,0.40040106951871657,1.4810294117647058
0.7,0.75,5,195,11,0.05641025641025641,0.7272727272727273,0.9490909090909091,10.44,184,0.21195652173913043,-0.7803260869565218,-143.58,0.5153162055335969,1.7294169960474308
0.7,0.75,6,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.7,0.75,7,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.7,0.75,8,195,12,0.06153846153846154,0.6666666666666666,0.7658333333333333,9.19,183,0.21311475409836064,-0.7777595628415299,-142.32999999999998,0.45355191256830596,1.543592896174863
0.7,1.0,1,195,0,0.0,,,0.0,195,0.24102564102564103,-0.6827692307692307,-133.14,,
0.7,1.0,2,195,1,0.005128205128205128,1.0,3.2,3.2,194,0.23711340206185566,-0.7027835051546392,-136.34,0.7628865979381443,3.9027835051546393
