mae_boundary_R,decision_bar,development_trades,triggered_trades,development_WR,development_mean_R,development_R,development_PF,development_DD,benchmark_R,development_delta_R,development_delta_WR,development_delta_DD
0.95,6,95,36,0.14736842105263157,-0.6337894736842106,-60.21,0.14157399486740807,-61.86000000000002,-67.49,7.279999999999994,-0.06315789473684211,7.189999999999948
0.8,6,95,56,0.09473684210526316,-0.6351578947368419,-60.33999999999998,0.08130328867235082,-59.53999999999992,-67.49,7.150000000000013,-0.11578947368421051,9.510000000000048
0.95,5,95,30,0.15789473684210525,-0.6366315789473684,-60.480000000000004,0.14527981910684004,-62.13000000000002,-67.49,7.009999999999991,-0.05263157894736842,6.919999999999952
0.85,3,95,21,0.17894736842105263,-0.6366315789473684,-60.480000000000004,0.15589672016748082,-62.23,-67.49,7.009999999999991,-0.03157894736842104,6.819999999999972
0.75,2,95,18,0.17894736842105263,-0.6369473684210526,-60.51,0.16904696511947273,-62.359999999999985,-67.49,6.979999999999997,-0.03157894736842104,6.6899999999999835
0.75,3,95,38,0.14736842105263157,-0.6373684210526316,-60.550000000000004,0.12865160454741686,-59.79999999999998,-67.49,6.939999999999991,-0.06315789473684211,9.249999999999986
1.0,4,95,19,0.17894736842105263,-0.6404210526315789,-60.839999999999996,0.16828434723171568,-62.399999999999984,-67.49,6.649999999999999,-0.03157894736842104,6.649999999999984
1.0,10,95,50,0.1368421052631579,-0.644,-61.18,0.1488592097941013,-62.77999999999998,-67.49,6.309999999999995,-0.07368421052631577,6.269999999999989
0.8,3,95,28,0.15789473684210525,-0.6497894736842106,-61.730000000000004,0.12761447145279822,-60.92999999999996,-67.49,5.759999999999991,-0.05263157894736842,8.120000000000012
0.9,4,95,26,0.16842105263157894,-0.6501052631578947,-61.76,0.1518813512771216,-63.45999999999995,-67.49,5.729999999999997,-0.04210526315789473,5.590000000000018
0.95,10,95,57,0.12631578947368421,-0.6525263157894737,-61.99000000000001,0.13227883538633817,-63.64000000000005,-67.49,5.499999999999986,-0.08421052631578946,5.409999999999918
0.9,6,95,40,0.1368421052631579,-0.6526315789473683,-61.99999999999999,0.11756333617990321,-63.699999999999946,-67.49,5.490000000000002,-0.07368421052631577,5.350000000000023
1.0,8,95,40,0.15789473684210525,-0.6529473684210526,-62.03,0.15271137822701814,-63.629999999999974,-67.49,5.459999999999994,-0.05263157894736842,5.419999999999995
0.85,6,95,43,0.11578947368421053,-0.653578947368421,-62.089999999999996,0.10738930419781488,-63.27000000000002,-67.49,5.399999999999999,-0.09473684210526315,5.779999999999951
0.95,4,95,22,0.16842105263157894,-0.6558947368421053,-62.31,0.15074281041297533,-63.96000000000001,-67.49,5.179999999999993,-0.04210526315789473,5.089999999999961
0.95,8,95,48,0.14736842105263157,-0.6576842105263159,-62.480000000000004,0.13713575473000966,-64.13000000000005,-67.49,5.009999999999991,-0.06315789473684211,4.919999999999916
0.85,2,95,11,0.18947368421052632,-0.6590526315789474,-62.61000000000001,0.16553378648540587,-64.35999999999999,-67.49,4.879999999999988,-0.02105263157894735,4.6899999999999835
0.9,8,95,56,0.1368421052631579,-0.6603157894736843,-62.730000000000004,0.11635441611494575,-64.42999999999992,-67.49,4.759999999999991,-0.07368421052631577,4.620000000000047
0.75,5,95,61,0.06315789473684211,-0.6646315789473685,-63.14,0.055921052631578955,-62.38999999999999,-67.49,4.349999999999994,-0.14736842105263157,6.659999999999975
0.9,10,95,62,0.11578947368421053,-0.6670526315789475,-63.370000000000005,0.1093464511595221,-65.06999999999992,-67.49,4.11999999999999,-0.09473684210526315,3.9800000000000466
0.75,6,95,69,0.05263157894736842,-0.6710526315789473,-63.75,0.05049151027703309,-62.99999999999999,-67.49,3.739999999999995,-0.15789473684210525,6.049999999999976
0.9,3,95,17,0.17894736842105263,-0.6747368421052633,-64.10000000000001,0.1483990965856251,-65.79999999999995,-67.49,3.3899999999999864,-0.03157894736842104,3.250000000000014
0.85,10,95,67,0.08421052631578947,-0.6778947368421052,-64.39999999999999,0.09090909090909094,-65.58000000000004,-67.49,3.0900000000000034,-0.12631578947368421,3.469999999999928
0.85,8,95,61,0.09473684210526316,-0.6790526315789472,-64.50999999999999,0.09383340356791686,-65.69000000000003,-67.49,2.980000000000004,-0.11578947368421051,3.3599999999999426
0.95,3,95,13,0.17894736842105263,-0.6813684210526316,-64.73,0.14716732542819502,-66.38,-67.49,2.759999999999991,-0.03157894736842104,2.6699999999999733
0.7,8,95,95,0.0,-0.7000000000000003,-66.50000000000003,0.0,-65.80000000000011,-67.49,0.9899999999999665,-0.21052631578947367,3.249999999999858
0.7,10,95,95,0.0,-0.7000000000000003,-66.50000000000003,0.0,-65.80000000000011,-67.49,0.9899999999999665,-0.21052631578947367,3.249999999999858
