stop_points,rr,horizon,windows_with_trades,positive_windows,positive_window_pct,total_trades,wins,losses,overall_WR,total_R,mean_window_R,median_window_R,mean_trade_R,median_PF,best_window_R,worst_window_R,mean_max_DD_R,worst_max_DD_R
15.0,1.75,20,22,10,0.45454545454545453,626,249,377,0.3977635782747604,-13.640666666666693,-0.6200303030303043,-1.074,-0.02179020234291804,0.7989255472720949,15.492666666666667,-24.278000000000016,-6.383757575757577,-25.139333333333344
20.0,1.0,10,22,10,0.45454545454545453,669,333,336,0.4977578475336323,-21.166999999999966,-0.9621363636363621,-0.33524999999999766,-0.0316397608370702,0.9529005367486615,7.770500000000002,-13.727999999999998,-4.361431818181817,-14.366000000000003
20.0,1.0,15,22,11,0.5,646,320,326,0.4953560371517028,-21.75299999999997,-0.988772727272726,0.12875000000000233,-0.03367337461300305,1.003462824306006,7.913500000000003,-16.552999999999997,-4.480659090909091,-16.442000000000007
20.0,1.0,20,22,12,0.5454545454545454,638,318,320,0.49843260188087773,-25.733999999999956,-1.1697272727272707,0.5397500000000011,-0.040335423197492094,1.0264837521340855,5.682000000000002,-15.447499999999996,-4.777295454545454,-15.336500000000003
20.0,1.3,10,22,10,0.45454545454545453,638,294,344,0.4608150470219436,-17.22149999999999,-0.782795454545454,-0.37149999999999905,-0.02699294670846393,0.9862662899273191,6.2225,-12.8545,-4.377954545454545,-13.844
20.0,1.3,15,22,11,0.5,607,275,332,0.45304777594728174,-17.125999999999983,-0.7784545454545447,-0.05924999999999861,-0.028214168039538686,0.9765862265475196,6.943000000000001,-15.591999999999999,-4.797863636363636,-15.970000000000002
20.0,1.3,20,22,9,0.4090909090909091,597,268,329,0.4489112227805695,-18.758499999999984,-0.8526590909090902,-0.6882499999999989,-0.03142127303182577,0.9698102941390836,8.068,-15.511499999999998,-4.930318181818181,-15.8895
20.0,1.5,10,22,10,0.45454545454545453,619,276,343,0.4458804523424879,-21.891999999999964,-0.9950909090909075,-0.31974999999999476,-0.03536672051696278,0.9889696579492189,7.604000000000001,-15.2905,-4.9496590909090905,-15.674
20.0,1.5,15,22,10,0.45454545454545453,588,249,339,0.42346938775510207,-30.746499999999944,-1.3975681818181793,-0.6742499999999999,-0.05228996598639446,0.923908295312327,7.2225,-16.980999999999998,-5.2546136363636355,-17.547
20.0,1.5,20,22,10,0.45454545454545453,578,241,337,0.41695501730103807,-31.878999999999948,-1.449045454545452,-0.7274999999999998,-0.05515397923875424,0.8889836566130145,8.934500000000003,-19.487999999999996,-5.391545454545454,-20.0715
20.0,1.75,10,22,10,0.45454545454545453,606,261,345,0.4306930693069307,-24.19549999999997,-1.0997954545454531,-1.0554999999999999,-0.03992656765676563,0.9412562285681161,8.165000000000003,-15.627999999999998,-5.002886363636363,-16.826500000000003
20.0,1.75,15,22,9,0.4090909090909091,573,231,342,0.4031413612565445,-32.51399999999995,-1.4779090909090888,-1.0554999999999999,-0.05674345549738212,0.8533056892651942,8.397000000000002,-15.737999999999998,-5.449704545454545,-16.759500000000003
20.0,1.75,20,22,9,0.4090909090909091,558,223,335,0.3996415770609319,-26.09399999999995,-1.1860909090909069,-1.0547499999999999,-0.046763440860214965,0.8956326250954472,11.369000000000003,-19.00199999999999,-5.533249999999999,-19.835499999999996
25.0,1.0,10,22,12,0.5454545454545454,633,309,324,0.4881516587677725,-7.415199999999985,-0.3370545454545448,0.5074000000000001,-0.011714375987361747,1.0478884197763643,5.0,-12.503599999999997,-3.3957090909090897,-12.913999999999994
25.0,1.0,15,22,10,0.45454545454545453,597,299,298,0.5008375209380235,-3.266799999999984,-0.14849090909090837,-0.20319999999999994,-0.00547202680066999,0.9449964595057545,5.698800000000001,-10.693599999999998,-3.4623818181818176,-11.233999999999991
25.0,1.0,20,22,12,0.5454545454545454,587,295,292,0.5025553662691652,-7.64279999999999,-0.34739999999999954,0.08020000000000001,-0.013020102214650749,1.0317250370773892,6.894399999999999,-11.1548,-3.8405999999999993,-12.189599999999992
