mae_threshold,recovery_level,deadline,full_trades,full_total_R,full_mean_R,full_win_rate,full_profit_factor,full_max_drawdown_R,oos_trades,oos_total_R,oos_mean_R,oos_win_rate,oos_profit_factor,oos_max_drawdown_R,delta_OOS_R_vs_frozen,positive_OOS,positive_mean_R,PF_above_1,relative_to_frozen,distance
0.7,0.2,8,195,-120.73159999999999,-0.6191364102564102,0.2358974358974359,0.17338602559573207,-120.73159999999983,100,-63.982,-0.6398199999999999,0.25,0.16992734820965236,-63.98200000000012,0.5063999999999993,False,False,False,0.9921474249632493,0.1
0.7,0.1,6,195,-124.51239999999999,-0.6385251282051281,0.2153846153846154,0.1655403141277046,-124.51239999999979,100,-63.4008,-0.634008,0.25,0.17242135491450206,-63.40080000000011,1.087600000000002,False,False,False,0.9831349514021126,0.1
0.75,0.2,7,195,-126.90359999999997,-0.6507876923076922,0.21025641025641026,0.15542641437105348,-126.9035999999998,100,-66.26079999999997,-0.6626079999999998,0.23,0.1580456118771824,-66.2608000000001,-1.7723999999999762,False,False,False,1.0274840126286273,0.10000000000000005
0.75,0.2,5,195,-123.7764,-0.6347507692307692,0.19487179487179487,0.1930650338872997,-124.87439999999981,100,-63.726,-0.6372599999999999,0.21,0.21119082631492958,-63.7260000000001,0.7623999999999995,False,False,False,0.9881777187835332,0.10000000000000005
0.65,0.3,6,195,-129.16759999999996,-0.6623979487179485,0.1794871794871795,0.17477447547979866,-129.16759999999982,100,-69.58599999999998,-0.6958599999999998,0.18,0.170813433618364,-69.5860000000001,-5.097599999999986,False,False,False,1.0790467743035954,0.1499999999999999
0.65,0.2,4,195,-130.09719999999996,-0.667165128205128,0.1641025641025641,0.1804239963915201,-131.19519999999977,100,-68.40799999999997,-0.6840799999999997,0.17,0.19487037045755212,-68.40800000000009,-3.919599999999974,False,False,False,1.0607799232109958,0.14999999999999994
0.65,0.2,8,195,-120.73159999999999,-0.6191364102564102,0.2358974358974359,0.17338602559573207,-120.73159999999983,100,-63.982,-0.6398199999999999,0.25,0.16992734820965236,-63.98200000000012,0.5063999999999993,False,False,False,0.9921474249632493,0.14999999999999994
0.65,0.1,6,195,-124.51239999999999,-0.6385251282051281,0.2153846153846154,0.1655403141277046,-124.51239999999979,100,-63.4008,-0.634008,0.25,0.17242135491450206,-63.40080000000011,1.087600000000002,False,False,False,0.9831349514021126,0.14999999999999994
0.7,0.3,5,195,-130.21279999999996,-0.6677579487179485,0.1641025641025641,0.17969574869658786,-131.3107999999998,100,-68.82359999999997,-0.6882359999999997,0.17,0.18997895609025817,-68.8236000000001,-4.335199999999972,False,False,False,1.0672244930871284,0.14999999999999997
0.7,0.3,7,195,-128.58879999999996,-0.6594297435897434,0.18461538461538463,0.17295387948000904,-128.5887999999998,100,-68.15159999999997,-0.6815159999999998,0.19,0.1776718100689702,-68.1516000000001,-3.663199999999975,False,False,False,1.0568040143653739,0.14999999999999997
0.6,0.2,7,195,-125.36919999999998,-0.6429189743589743,0.2153846153846154,0.15979819479777932,-125.36919999999981,100,-64.7264,-0.647264,0.24,0.1664812296534389,-64.7264000000001,-0.23799999999999955,False,False,False,1.0036905862139547,0.14999999999999997
0.6,0.2,5,195,-122.24199999999999,-0.6268820512820512,0.2,0.19760493191831258,-123.33999999999982,100,-62.1916,-0.621916,0.22,0.22010152589813312,-62.1916000000001,2.2967999999999975,False,False,False,0.9643842923688601,0.14999999999999997
0.75,0.3,6,195,-129.16759999999996,-0.6623979487179485,0.1794871794871795,0.17477447547979866,-129.16759999999982,100,-69.58599999999998,-0.6958599999999998,0.18,0.170813433618364,-69.5860000000001,-5.097599999999986,False,False,False,1.0790467743035954,0.15000000000000002
0.7,0.1,7,195,-123.7216,-0.6344697435897436,0.2358974358974359,0.14895209374888227,-123.72159999999982,100,-64.99759999999999,-0.6499759999999999,0.26,0.1398519961463947,-64.9976000000001,-0.5091999999999928,False,False,False,1.0078959936980914,0.15000000000000002
0.7,0.1,5,195,-122.15879999999999,-0.6264553846153845,0.21025641025641026,0.18700418481328074,-123.25679999999983,100,-62.0284,-0.620284,0.24,0.20122491449293287,-62.02840000000009,2.460000000000001,False,False,False,0.9618536046792912,0.15000000000000002
0.75,0.2,4,195,-130.09719999999996,-0.667165128205128,0.1641025641025641,0.1804239963915201,-131.19519999999977,100,-68.40799999999997,-0.6840799999999997,0.17,0.19487037045755212,-68.40800000000009,-3.919599999999974,False,False,False,1.0607799232109958,0.15000000000000005
0.75,0.2,8,195,-120.73159999999999,-0.6191364102564102,0.2358974358974359,0.17338602559573207,-120.73159999999983,100,-63.982,-0.6398199999999999,0.25,0.16992734820965236,-63.98200000000012,0.5063999999999993,False,False,False,0.9921474249632493,0.15000000000000005
0.75,0.1,6,195,-124.51239999999999,-0.6385251282051281,0.2153846153846154,0.1655403141277046,-124.51239999999979,100,-63.4008,-0.634008,0.25,0.17242135491450206,-63.40080000000011,1.087600000000002,False,False,False,0.9831349514021126,0.15000000000000005
0.65,0.3,5,195,-130.21279999999996,-0.6677579487179485,0.1641025641025641,0.17969574869658786,-131.3107999999998,100,-68.82359999999997,-0.6882359999999997,0.17,0.18997895609025817,-68.8236000000001,-4.335199999999972,False,False,False,1.0672244930871284,0.1999999999999999
0.65,0.3,7,195,-128.58879999999996,-0.6594297435897434,0.18461538461538463,0.17295387948000904,-128.5887999999998,100,-68.15159999999997,-0.6815159999999998,0.19,0.1776718100689702,-68.1516000000001,-3.663199999999975,False,False,False,1.0568040143653739,0.1999999999999999
0.6,0.3,6,195,-127.63319999999997,-0.6545292307692306,0.18461538461538463,0.17910002341143155,-127.63319999999982,100,-68.05159999999998,-0.6805159999999998,0.19,0.17887842618646568,-68.05160000000011,-3.5631999999999806,False,False,False,1.0552533478889223,0.19999999999999996
0.65,0.1,7,195,-123.7216,-0.6344697435897436,0.2358974358974359,0.14895209374888227,-123.72159999999982,100,-64.99759999999999,-0.6499759999999999,0.26,0.1398519961463947,-64.9976000000001,-0.5091999999999928,False,False,False,1.0078959936980914,0.19999999999999996
0.65,0.1,5,195,-122.15879999999999,-0.6264553846153845,0.21025641025641026,0.18700418481328074,-123.25679999999983,100,-62.0284,-0.620284,0.24,0.20122491449293287,-62.02840000000009,2.460000000000001,False,False,False,0.9618536046792912,0.19999999999999996
0.7,0.3,4,195,-133.7804,-0.6860533333333333,0.14871794871794872,0.1735338888394667,-134.87839999999977,100,-70.96679999999998,-0.7096679999999997,0.15,0.18479564408298302,-70.96680000000008,-6.478399999999979,False,False,False,1.1004583770104388,0.19999999999999998
0.7,0.3,8,195,-125.66679999999997,-0.644445128205128,0.2,0.17626005857505822,-125.66679999999981,100,-68.15839999999997,-0.6815839999999997,0.2,0.16709355753250563,-68.15840000000011,-3.6699999999999733,False,False,False,1.0569094596857724,0.19999999999999998
0.6,0.2,4,195,-128.56279999999998,-0.6592964102564102,0.16923076923076924,0.18472625256194325,-129.6607999999998,100,-66.87359999999998,-0.6687359999999998,0.18,0.2031343838476278,-66.8736000000001,-2.3851999999999833,False,False,False,1.0369864967963227,0.19999999999999998
0.6,0.2,8,195,-119.19719999999998,-0.6112676923076922,0.24102564102564103,0.17801383617265434,-119.19719999999984,100,-62.4476,-0.624476,0.26,0.17870576414205983,-62.44760000000011,2.0407999999999973,False,False,False,0.9683539985485762,0.19999999999999998
0.6,0.1,6,195,-122.978,-0.6306564102564103,0.2205128205128205,0.17001420002051718,-122.9779999999998,100,-61.8664,-0.618664,0.26,0.18128884042474358,-61.86640000000009,2.622,False,False,False,0.9593415249874396,0.19999999999999998
0.75,0.3,5,195,-130.21279999999996,-0.6677579487179485,0.1641025641025641,0.17969574869658786,-131.3107999999998,100,-68.82359999999997,-0.6882359999999997,0.17,0.18997895609025817,-68.8236000000001,-4.335199999999972,False,False,False,1.0672244930871284,0.2
0.7,0.4,6,195,-126.25079999999997,-0.6474399999999998,0.1794871794871795,0.19340931742097064,-127.3487999999998,100,-68.25039999999998,-0.6825039999999999,0.18,0.1867284391950506,-68.2504000000001,-3.7619999999999862,False,False,False,1.0583360728441082,0.2
0.75,0.3,7,195,-128.58879999999996,-0.6594297435897434,0.18461538461538463,0.17295387948000904,-128.5887999999998,100,-68.15159999999997,-0.6815159999999998,0.19,0.1776718100689702,-68.1516000000001,-3.663199999999975,False,False,False,1.0568040143653739,0.2
0.7,0.1,4,195,-128.03839999999997,-0.6566071794871793,0.17435897435897435,0.18263831612707188,-129.1363999999998,100,-67.58359999999998,-0.6758359999999998,0.18,0.1946740259864063,-67.58360000000009,-3.095199999999977,False,False,False,1.047996228779129,0.2
0.7,0.0,6,195,-125.62239999999998,-0.6442174358974359,0.2153846153846154,0.15810129398739528,-125.6223999999998,100,-64.15079999999999,-0.6415079999999999,0.25,0.16263151024670414,-64.1508000000001,0.337600000000009,False,False,False,0.9947649499754994,0.2
0.7,0.1,8,195,-120.11959999999999,-0.6159979487179487,0.2564102564102564,0.15335992895304418,-120.11959999999983,100,-62.7188,-0.627188,0.28,0.15183888958007655,-62.718800000000115,1.769599999999997,False,False,False,0.972559406032713,0.2
0.75,0.1,7,195,-123.7216,-0.6344697435897436,0.2358974358974359,0.14895209374888227,-123.72159999999982,100,-64.99759999999999,-0.6499759999999999,0.26,0.1398519961463947,-64.9976000000001,-0.5091999999999928,False,False,False,1.0078959936980914,0.20000000000000007
0.75,0.1,5,195,-122.15879999999999,-0.6264553846153845,0.21025641025641026,0.18700418481328074,-123.25679999999983,100,-62.0284,-0.620284,0.24,0.20122491449293287,-62.02840000000009,2.460000000000001,False,False,False,0.9618536046792912,0.20000000000000007
0.65,0.3,4,195,-133.7804,-0.6860533333333333,0.14871794871794872,0.1735338888394667,-134.87839999999977,100,-70.96679999999998,-0.7096679999999997,0.15,0.18479564408298302,-70.96680000000008,-6.478399999999979,False,False,False,1.1004583770104388,0.24999999999999992
