mae_threshold,horizon,recovery_level,reached_trades,reached_wins,reached_losses,reached_pct,reached_win_rate,reached_mean_R,reached_total_R,reached_PF,reached_DD,not_reached_trades,not_reached_wins,not_reached_losses,not_reached_pct,not_reached_win_rate,not_reached_mean_R,not_reached_total_R,not_reached_PF,not_reached_DD,win_rate_difference,mean_R_difference
0.6,4,-0.5,118,40,78,0.6051282051282051,0.3389830508474576,-0.323135593220339,-38.13,0.5252147926783712,-40.73,77,7,70,0.39487179487179486,0.09090909090909091,-1.2338961038961038,-95.00999999999999,0.07007927963198592,-95.01,0.2480739599383667,0.9107605106757648
0.6,4,-0.4,95,36,59,0.48717948717948717,0.37894736842105264,-0.23831578947368418,-22.639999999999997,0.6410906785034877,-25.14,100,11,89,0.5128205128205128,0.11,-1.1049999999999998,-110.49999999999999,0.07453936348408711,-110.50000000000001,0.26894736842105266,0.8666842105263156
0.6,4,-0.3,82,32,50,0.4205128205128205,0.3902439024390244,-0.23158536585365852,-18.99,0.66777466759972,-21.49000000000001,113,15,98,0.5794871794871795,0.13274336283185842,-1.0101769911504423,-114.14999999999999,0.08913182253431216,-114.15,0.257500539607166,0.7785916252967838
0.6,4,-0.2,72,30,42,0.36923076923076925,0.4166666666666667,-0.10305555555555555,-7.42,0.8312101910828025,-10.12,123,17,106,0.6307692307692307,0.13821138211382114,-1.022113821138211,-125.71999999999997,0.09240542881894313,-125.71999999999998,0.2784552845528455,0.9190582655826555
0.6,4,-0.1,58,28,30,0.29743589743589743,0.4827586206896552,-0.013793103448275902,-0.8000000000000023,0.9770642201834862,-7.38,137,19,118,0.7025641025641025,0.1386861313868613,-0.9659854014598538,-132.33999999999997,0.10338753387533875,-132.33999999999997,0.3440724893027939,0.9521922980115779
0.6,4,0.0,45,24,21,0.23076923076923078,0.5333333333333333,0.09044444444444442,4.069999999999999,1.1626048741510187,-6.22,150,23,127,0.7692307692307693,0.15333333333333332,-0.9147333333333332,-137.20999999999998,0.12854874563353447,-137.21000000000004,0.38,1.0051777777777775
0.6,4,0.1,36,19,17,0.18461538461538463,0.5277777777777778,0.13777777777777775,4.959999999999999,1.2439744220364,-4.98,159,28,131,0.8153846153846154,0.1761006289308176,-0.8685534591194968,-138.1,0.1483194572926303,-138.10000000000005,0.3516771488469602,1.0063312368972746
0.6,4,0.2,31,19,12,0.15897435897435896,0.6129032258064516,0.24935483870967742,7.73,1.440205011389522,-4.109999999999999,164,28,136,0.841025641025641,0.17073170731707318,-0.8589634146341464,-140.87,0.1458282803783653,-140.87000000000003,0.4421715184893784,1.1083182533438238
0.6,4,0.3,22,15,7,0.11282051282051282,0.6818181818181818,0.5327272727272727,11.72,2.138969873663751,-4.46,173,32,141,0.8871794871794871,0.18497109826589594,-0.8373410404624275,-144.85999999999996,0.15872001858412219,-144.86,0.4968470835522858,1.3700683131897002
0.6,4,0.4,18,11,7,0.09230769230769231,0.6111111111111112,0.3150000000000001,5.670000000000002,1.551020408163265,-5.71,177,36,141,0.9076923076923077,0.2033898305084746,-0.7842372881355932,-138.81,0.19385562460073177,-139.90000000000003,0.40772128060263657,1.0992372881355934
0.6,5,-0.5,123,41,82,0.6307692307692307,0.3333333333333333,-0.3435772357723577,-42.26,0.5005318520269473,-44.85999999999999,72,6,66,0.36923076923076925,0.08333333333333333,-1.2622222222222221,-90.88,0.07142127311740064,-90.88000000000001,0.25,0.9186449864498645
0.6,5,-0.4,100,38,62,0.5128205128205128,0.38,-0.23600000000000004,-23.600000000000005,0.6338246702870441,-26.1,95,9,86,0.48717948717948717,0.09473684210526316,-1.153052631578947,-109.53999999999998,0.07193086503431333,-109.54000000000002,0.28526315789473683,0.9170526315789471
0.6,5,-0.3,88,35,53,0.4512820512820513,0.3977272727272727,-0.22727272727272727,-20.0,0.6599795987759265,-22.500000000000004,107,12,95,0.5487179487179488,0.11214953271028037,-1.0573831775700933,-113.13999999999999,0.08507197153485364,-113.14,0.2855777400169923,0.830110450297366
0.6,5,-0.2,80,34,46,0.41025641025641024,0.425,-0.14762500000000003,-11.810000000000002,0.7655815799920603,-14.310000000000002,115,13,102,0.5897435897435898,0.11304347826086956,-1.0550434782608695,-121.32999999999998,0.08152914458743377,-121.32999999999998,0.3119565217391304,0.9074184782608695
0.6,5,-0.1,66,31,35,0.3384615384615385,0.4696969696969697,-0.09030303030303033,-5.960000000000002,0.8604215456674471,-10.85,129,16,113,0.6615384615384615,0.12403100775193798,-0.9858914728682171,-127.18,0.09014165116611818,-127.17999999999996,0.34566596194503174,0.8955884425651868
0.6,5,0.0,53,27,26,0.2717948717948718,0.5094339622641509,0.05905660377358489,3.129999999999999,1.1069354287666553,-6.7,142,20,122,0.7282051282051282,0.14084507042253522,-0.9596478873239436,-136.26999999999998,0.11056719535278378,-136.26999999999998,0.3685888918416157,1.0187044910975285
0.6,5,0.1,42,20,22,0.2153846153846154,0.47619047619047616,0.03666666666666665,1.5399999999999994,1.0607974733517571,-5.68,153,27,126,0.7846153846153846,0.17647058823529413,-0.8802614379084968,-134.68,0.14298440979955454,-134.68,0.299719887955182,0.9169281045751634
0.6,5,0.2,36,20,16,0.18461538461538463,0.5555555555555556,0.1297222222222222,4.67,1.2103603603603605,-4.85,159,27,132,0.8153846153846154,0.16981132075471697,-0.8667295597484277,-137.81,0.14019216371350138,-137.81,0.38574423480083864,0.9964517819706499
