feature,threshold,side,trades,win_rate,mean_R,total_R
early_1_close_R,-0.12399999999999949,LOWER_OR_EQUAL,188,0.2712765957446808,-0.3612617021276596,-67.91720000000001
early_1_close_R,-0.12399999999999949,ABOVE,349,0.5530085959885387,0.2612446991404012,91.17440000000002
early_1_close_R,-0.07599999999999937,LOWER_OR_EQUAL,215,0.30697674418604654,-0.3026790697674419,-65.07600000000001
early_1_close_R,-0.07599999999999937,ABOVE,322,0.5527950310559007,0.27432670807453424,88.33320000000002
early_1_close_R,-0.04,LOWER_OR_EQUAL,248,0.3346774193548387,-0.23649677419354834,-58.65119999999999
early_1_close_R,-0.04,ABOVE,289,0.5570934256055363,0.2834200692041523,81.90840000000001
early_1_close_R,-0.01,LOWER_OR_EQUAL,272,0.3382352941176471,-0.2204661764705882,-59.96679999999999
early_1_close_R,-0.01,ABOVE,265,0.5735849056603773,0.31405283018867924,83.224
early_1_close_R,0.02,LOWER_OR_EQUAL,298,0.35906040268456374,-0.18799060402684561,-56.02119999999999
early_1_close_R,0.02,ABOVE,239,0.5732217573221757,0.3317087866108786,79.27839999999999
early_1_close_R,0.06,LOWER_OR_EQUAL,326,0.37423312883435583,-0.15243680981595087,-49.69439999999999
early_1_close_R,0.06,ABOVE,211,0.5781990521327014,0.3457421800947868,72.95160000000001
early_1_close_R,0.09,LOWER_OR_EQUAL,357,0.38375350140056025,-0.12714509803921564,-45.390799999999984
early_1_close_R,0.09,ABOVE,180,0.5944444444444444,0.38137777777777776,68.648
early_1_close_R,0.12,LOWER_OR_EQUAL,378,0.3941798941798942,-0.117442328042328,-44.393199999999986
early_1_close_R,0.12,ABOVE,159,0.5974842767295597,0.42547421383647793,67.65039999999999
early_1_close_R,0.18,LOWER_OR_EQUAL,406,0.4088669950738916,-0.09225714285714283,-37.45639999999999
early_1_close_R,0.18,ABOVE,131,0.5954198473282443,0.4634625954198473,60.7136
early_1_close_R,0.25,LOWER_OR_EQUAL,431,0.41531322505800466,-0.07801948955916467,-33.626399999999975
early_1_close_R,0.25,ABOVE,106,0.6132075471698113,0.5366377358490566,56.8836
early_1_close_R,0.34,LOWER_OR_EQUAL,458,0.4192139737991266,-0.05496768558951963,-25.17519999999999
early_1_close_R,0.34,ABOVE,79,0.6582278481012658,0.6130683544303795,48.43239999999998
early_1_close_R,0.46400000000000147,LOWER_OR_EQUAL,483,0.432712215320911,-0.0146277432712215,-7.065199999999985
early_1_close_R,0.46400000000000147,ABOVE,54,0.6481481481481481,0.561525925925926,30.322400000000002
early_1_close_R,0.6,LOWER_OR_EQUAL,512,0.44140625,0.005267968750000025,2.697200000000013
early_1_close_R,0.6,ABOVE,25,0.72,0.8223999999999999,20.56
early_1_range_R,0.266,LOWER_OR_EQUAL,54,0.5555555555555556,0.14782222222222227,7.982400000000003
early_1_range_R,0.266,ABOVE,483,0.44306418219461696,0.031624844720496925,15.274800000000015
early_1_range_R,0.29,LOWER_OR_EQUAL,86,0.5232558139534884,0.1100186046511628,9.4616
early_1_range_R,0.29,ABOVE,451,0.44124168514412415,0.03058891352549894,13.795600000000022
early_1_range_R,0.31200000000000017,LOWER_OR_EQUAL,108,0.48148148148148145,0.063562962962963,6.864800000000004
early_1_range_R,0.31200000000000017,ABOVE,429,0.44755244755244755,0.038210722610722635,16.39240000000001
early_1_range_R,0.35,LOWER_OR_EQUAL,151,0.46357615894039733,0.0320900662251656,4.8456000000000055
early_1_range_R,0.35,ABOVE,386,0.45077720207253885,0.047698445595854976,18.41160000000002
early_1_range_R,0.36,LOWER_OR_EQUAL,163,0.4601226993865031,0.018360736196319057,2.992800000000006
early_1_range_R,0.36,ABOVE,374,0.45187165775401067,0.0541828877005348,20.264400000000016
early_1_range_R,0.39,LOWER_OR_EQUAL,197,0.4873096446700508,0.05174213197969546,10.193200000000006
early_1_range_R,0.39,ABOVE,340,0.43529411764705883,0.038423529411764745,13.064000000000012
early_1_range_R,0.41,LOWER_OR_EQUAL,217,0.4608294930875576,0.011360368663594491,2.4652000000000047
early_1_range_R,0.41,ABOVE,320,0.45,0.06497500000000003,20.79200000000001
early_1_range_R,0.43,LOWER_OR_EQUAL,247,0.4574898785425101,0.008717408906882598,2.153200000000002
early_1_range_R,0.43,ABOVE,290,0.4517241379310345,0.07277241379310347,21.104000000000006
early_1_range_R,0.46,LOWER_OR_EQUAL,275,0.46545454545454545,0.018909090909090945,5.20000000000001
early_1_range_R,0.46,ABOVE,262,0.44274809160305345,0.0689206106870229,18.0572
early_1_range_R,0.48,LOWER_OR_EQUAL,299,0.46153846153846156,0.011285618729097006,3.374400000000005
early_1_range_R,0.48,ABOVE,238,0.44537815126050423,0.08354117647058827,19.88280000000001
early_1_range_R,0.52,LOWER_OR_EQUAL,326,0.46932515337423314,0.040354601226993886,13.155600000000007
early_1_range_R,0.52,ABOVE,211,0.4312796208530806,0.04787488151658771,10.101600000000007
early_1_range_R,0.56,LOWER_OR_EQUAL,356,0.4606741573033708,0.01652696629213485,5.883600000000007
early_1_range_R,0.56,ABOVE,181,0.4419889502762431,0.09598674033149175,17.373600000000007
early_1_range_R,0.59,LOWER_OR_EQUAL,377,0.46419098143236076,0.039180901856763956,14.771200000000011
early_1_range_R,0.59,ABOVE,160,0.43125,0.053037500000000015,8.486000000000002
early_1_range_R,0.65,LOWER_OR_EQUAL,405,0.4617283950617284,0.03809382716049387,15.428000000000017
early_1_range_R,0.65,ABOVE,132,0.4318181818181818,0.05931212121212125,7.829200000000005
early_1_range_R,0.7160000000000013,LOWER_OR_EQUAL,429,0.4592074592074592,0.026229370629370648,11.252400000000009
