mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.7,0.1,5,95,95,19,76,0.22105263157894736,-0.5915789473684211,-56.2,11.289999999999992,0.11884210526315775,0.01052631578947369,12.909999999999961,0.10094384898416253,-56.14000000000001,0.2
0.6,0.1,6,95,95,21,74,0.23157894736842105,-0.5917894736842105,-56.22,11.269999999999996,0.11863157894736831,0.02105263157894738,13.019999999999968,0.10662641029715557,-56.03,0.2
0.7,-0.1,6,95,95,34,61,0.21052631578947367,-0.5921052631578946,-56.249999999999986,11.240000000000009,0.11831578947368426,0.0,13.34999999999998,0.0696328150843533,-55.69999999999999,0.2
0.75,0.3,8,95,95,22,73,0.25263157894736843,-0.5921052631578948,-56.25000000000001,11.239999999999988,0.11831578947368404,0.04210526315789476,12.93999999999999,0.16641967990515708,-56.10999999999998,0.1
0.8,0.4,6,95,89,11,78,0.22105263157894736,-0.5924210526315788,-56.279999999999994,11.21,0.118,0.01052631578947369,12.339999999999975,0.15609536662168244,-56.709999999999994,0.2
0.7,0.0,4,95,95,22,73,0.21052631578947367,-0.5925263157894736,-56.289999999999985,11.20000000000001,0.11789473684210527,0.0,12.930000000000014,0.06495016611295681,-56.119999999999955,0.1
0.7,0.3,8,95,95,21,74,0.24210526315789474,-0.5926315789473685,-56.300000000000004,11.18999999999999,0.11778947368421033,0.03157894736842107,13.009999999999991,0.15970149253731342,-56.03999999999998,0.1
0.75,-0.1,4,95,95,26,69,0.18947368421052632,-0.593157894736842,-56.34999999999999,11.140000000000008,0.11726315789473685,-0.02105263157894735,12.849999999999987,0.062083888149134486,-56.19999999999998,0.1
0.6,0.1,8,95,95,26,69,0.28421052631578947,-0.5938947368421053,-56.419999999999995,11.07,0.11652631578947359,0.0736842105263158,12.889999999999986,0.1264901687567735,-56.15999999999998,0.2
0.6,-0.3,4,95,95,35,60,0.09473684210526316,-0.5938947368421053,-56.419999999999995,11.07,0.11652631578947359,-0.11578947368421051,13.389999999999965,0.024213075060532687,-55.660000000000004,0.1
0.75,-0.3,4,95,95,36,59,0.10526315789473684,-0.5948421052631578,-56.50999999999999,10.980000000000004,0.115578947368421,-0.10526315789473684,13.299999999999976,0.03910899506886584,-55.74999999999999,0.1
