observations,wins,losses,unresolved,win_rate,loss_rate,tp,sl,rr,horizon,breakeven_win_rate,wr_edge_vs_breakeven,expectancy_r,side,hmm_state,vol_bucket,zscore,wr_ge_50,positive_expectancy,candidate,research_score
861,455,406,0,0.5284552845528455,0.4715447154471545,37.5,17.5,2.142857142857143,5,0.3181818181818182,0.21027346637102734,0.6608594657375145,LONG,0,20-40,2.5,True,True,True,4.59402524479445
840,428,412,0,0.5095238095238095,0.49047619047619045,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.20517598343685295,0.6741496598639454,LONG,1,20-40,2.5,True,True,True,4.583361940482787
3267,1689,1578,0,0.5169880624426079,0.4830119375573921,30.0,15.0,2.0,5,0.3333333333333333,0.18365472910927455,0.5509641873278237,LONG,0,20-40,2.0,True,True,True,4.5341045326785165
3267,1743,1524,0,0.5335169880624426,0.46648301193755737,37.5,20.0,1.875,5,0.34782608695652173,0.1856909011059209,0.5338613406795225,LONG,0,20-40,2.0,True,True,True,4.464762841283765
5154,2604,2550,0,0.5052386495925495,0.4947613504074505,30.0,15.0,2.0,5,0.3333333333333333,0.17190531625921618,0.5157159487776485,LONG,0,40-60,2.0,True,True,True,4.431289763763564
3267,1664,1603,0,0.5093357820630547,0.4906642179369452,35.0,17.5,2.0,10,0.3333333333333333,0.17600244872972143,0.5280073461891643,LONG,0,20-40,2.0,True,True,True,4.312488374964515
5154,2689,2465,0,0.5217306946061312,0.47826930539386886,32.5,17.5,1.8571428571428572,5,0.35,0.17173069460613122,0.49065912744608914,LONG,0,40-60,2.0,True,True,True,4.285156937300539
861,462,399,0,0.5365853658536586,0.4634146341463415,40.0,20.0,2.0,5,0.3333333333333333,0.20325203252032525,0.6097560975609757,LONG,0,20-40,2.5,True,True,True,4.2722835961214605
861,441,420,0,0.5121951219512195,0.4878048780487805,32.5,15.0,2.1666666666666665,5,0.31578947368421056,0.19640564826700896,0.621951219512195,LONG,0,20-40,2.5,True,True,True,4.2551944617369735
3267,1724,1543,0,0.5277012549739822,0.47229874502601776,32.5,17.5,1.8571428571428572,5,0.35,0.17770125497398226,0.507717871354235,LONG,0,20-40,2.0,True,True,True,4.2222275980241335
372,192,180,0,0.5161290322580645,0.4838709677419355,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.21178120617110796,0.695852534562212,LONG,1,20-40,3.0,True,True,True,4.187005760819951
154,90,64,0,0.5844155844155844,0.4155844155844156,5.0,2.5,2.0,10,0.3333333333333333,0.2510822510822511,0.7532467532467532,LONG,2,60-80,3.5,True,True,True,4.119633638259387
840,429,411,0,0.5107142857142857,0.48928571428571427,37.5,17.5,2.142857142857143,5,0.3181818181818182,0.1925324675324675,0.6051020408163263,LONG,1,20-40,2.5,True,True,True,4.118777105630466
3267,1702,1565,0,0.5209672482399755,0.47903275176002447,37.5,20.0,1.875,10,0.34782608695652173,0.1731411612834538,0.4977808386899296,LONG,0,20-40,2.0,True,True,True,4.1124656958119505
861,456,405,0,0.5296167247386759,0.47038327526132406,35.0,17.5,2.0,5,0.3333333333333333,0.19628339140534262,0.5888501742160278,LONG,0,20-40,2.5,True,True,True,4.098068795169414
5154,2740,2414,0,0.5316259216142801,0.4683740783857198,35.0,20.0,1.75,5,0.36363636363636365,0.16798955797791648,0.46197128443927044,LONG,0,40-60,2.0,True,True,True,4.073686806355556
3267,1744,1523,0,0.5338230792776247,0.46617692072237527,35.0,20.0,1.75,5,0.36363636363636365,0.1701867156412611,0.468013468013468,LONG,0,20-40,2.0,True,True,True,3.915226367761402
3267,1690,1577,0,0.51729415365779,0.48270584634221,27.5,15.0,1.8333333333333333,5,0.35294117647058826,0.1643529771872017,0.46566676869707163,LONG,0,20-40,2.0,True,True,True,3.833311375031383
840,436,404,0,0.5190476190476191,0.48095238095238096,40.0,20.0,2.0,5,0.3333333333333333,0.18571428571428578,0.5571428571428572,LONG,1,20-40,2.5,True,True,True,3.823598775111172
861,462,399,0,0.5365853658536586,0.4634146341463415,37.5,20.0,1.875,5,0.34782608695652173,0.18875927889713684,0.5426829268292683,LONG,0,20-40,2.5,True,True,True,3.8023324005480994
154,77,77,0,0.5,0.5,12.5,5.0,2.5,60,0.2857142857142857,0.2142857142857143,0.75,LONG,2,60-80,3.5,True,True,True,3.782568837689435
3267,1669,1598,0,0.5108662381389654,0.4891337618610346,32.5,17.5,1.8571428571428572,10,0.35,0.1608662381389654,0.4596178232541868,LONG,0,20-40,2.0,True,True,True,3.759610519514715
372,192,180,0,0.5161290322580645,0.4838709677419355,37.5,17.5,2.142857142857143,5,0.3181818181818182,0.19794721407624633,0.6221198156682026,LONG,1,20-40,3.0,True,True,True,3.743349521262869
5154,2608,2546,0,0.5060147458284827,0.4939852541715173,27.5,15.0,1.8333333333333333,5,0.35294117647058826,0.15307356935789446,0.4337084465140343,LONG,0,40-60,2.0,True,True,True,3.7295173842302423
861,441,420,0,0.5121951219512195,0.4878048780487805,30.0,15.0,2.0,5,0.3333333333333333,0.1788617886178862,0.5365853658536586,LONG,0,20-40,2.5,True,True,True,3.671148163067193
5154,2692,2462,0,0.5223127667830811,0.4776872332169189,30.0,17.5,1.7142857142857142,5,0.3684210526315789,0.1538917141515022,0.417706081268363,LONG,0,40-60,2.0,True,True,True,3.6501019234281435
840,429,411,0,0.5107142857142857,0.48928571428571427,35.0,17.5,2.0,5,0.3333333333333333,0.17738095238095236,0.532142857142857,LONG,1,20-40,2.5,True,True,True,3.622162328138766
3267,1706,1561,0,0.522191613100704,0.477808386899296,35.0,20.0,1.75,10,0.36363636363636365,0.1585552494643404,0.43602693602693615,LONG,0,20-40,2.0,True,True,True,3.6065996409598586
154,86,68,0,0.5584415584415584,0.44155844155844154,5.0,2.5,2.0,20,0.3333333333333333,0.2251082251082251,0.6753246753246753,LONG,2,60-80,3.5,True,True,True,3.6049984222472204
154,86,68,0,0.5584415584415584,0.44155844155844154,5.0,2.5,2.0,25,0.3333333333333333,0.2251082251082251,0.6753246753246753,LONG,2,60-80,3.5,True,True,True,3.6049984222472204
3267,1724,1543,0,0.5277012549739822,0.47229874502601776,30.0,17.5,1.7142857142857142,5,0.3684210526315789,0.1592802023424033,0.4323319777865232,LONG,0,20-40,2.0,True,True,True,3.5953117097291027
372,197,175,0,0.5295698924731183,0.47043010752688175,40.0,20.0,2.0,5,0.3333333333333333,0.19623655913978494,0.5887096774193548,LONG,1,20-40,3.0,True,True,True,3.589173843106604
861,456,405,0,0.5296167247386759,0.47038327526132406,32.5,17.5,1.8571428571428572,5,0.35,0.17961672473867596,0.5131906421105027,LONG,0,20-40,2.5,True,True,True,3.5715206490445195
5154,2741,2413,0,0.5318199456732635,0.46818005432673654,32.5,20.0,1.625,5,0.38095238095238093,0.15086756472088259,0.3960273573923167,LONG,0,40-60,2.0,True,True,True,3.492846625938703
861,434,427,0,0.5040650406504065,0.4959349593495935,40.0,20.0,2.0,10,0.3333333333333333,0.17073170731707316,0.5121951219512195,LONG,0,20-40,2.5,True,True,True,3.476130982444237
840,437,403,0,0.5202380952380953,0.4797619047619048,37.5,20.0,1.875,5,0.34782608695652173,0.17241200828157355,0.4956845238095238,LONG,1,20-40,2.5,True,True,True,3.4057923345734116
3267,1745,1522,0,0.5341291704928068,0.46587082950719316,32.5,20.0,1.625,5,0.38095238095238093,0.1531767895404259,0.4020890725436179,LONG,0,20-40,2.0,True,True,True,3.364723350218287
861,463,398,0,0.537746806039489,0.462253193960511,35.0,20.0,1.75,5,0.36363636363636365,0.17411044240312534,0.4788037166085948,LONG,0,20-40,2.5,True,True,True,3.3585186678825303
154,84,70,0,0.5454545454545454,0.45454545454545453,5.0,2.5,2.0,30,0.3333333333333333,0.2121212121212121,0.6363636363636362,LONG,2,60-80,3.5,True,True,True,3.355336544727267
580,294,286,0,0.506896551724138,0.49310344827586206,5.0,2.5,2.0,105,0.3333333333333333,0.17356321839080463,0.5206896551724138,LONG,0,80-100,2.5,True,True,True,3.3369154622011235
372,192,180,0,0.5161290322580645,0.4838709677419355,35.0,17.5,2.0,5,0.3333333333333333,0.1827956989247312,0.5483870967741935,LONG,1,20-40,3.0,True,True,True,3.299693281705789
3267,1637,1630,0,0.5010713192531374,0.4989286807468626,22.5,12.5,1.8,5,0.35714285714285715,0.14392846211028026,0.40299969390878476,LONG,0,20-40,2.0,True,True,True,3.264540328011552
5154,2584,2570,0,0.5013581684128832,0.4986418315871168,35.0,20.0,1.75,10,0.36363636363636365,0.13772180477651952,0.3787349631354287,LONG,0,40-60,2.0,True,True,True,3.2417181542800635
154,83,71,0,0.538961038961039,0.461038961038961,5.0,2.5,2.0,40,0.3333333333333333,0.20562770562770566,0.6168831168831169,LONG,2,60-80,3.5,True,True,True,3.232419538588824
154,83,71,0,0.538961038961039,0.461038961038961,5.0,2.5,2.0,50,0.3333333333333333,0.20562770562770566,0.6168831168831169,LONG,2,60-80,3.5,True,True,True,3.232419538588824
154,83,71,0,0.538961038961039,0.461038961038961,5.0,2.5,2.0,60,0.3333333333333333,0.20562770562770566,0.6168831168831169,LONG,2,60-80,3.5,True,True,True,3.232419538588824
3267,1673,1594,0,0.5120906029996939,0.4879093970003061,30.0,17.5,1.7142857142857142,10,0.3684210526315789,0.14366955036811496,0.38996020814202625,LONG,0,20-40,2.0,True,True,True,3.193684340092321
372,197,175,0,0.5295698924731183,0.47043010752688175,37.5,20.0,1.875,5,0.34782608695652173,0.18174380551659652,0.522513440860215,LONG,1,20-40,3.0,True,True,True,3.185596647277836
3267,1695,1572,0,0.5188246097337006,0.48117539026629935,25.0,15.0,1.6666666666666667,5,0.37499999999999994,0.14382460973370065,0.3835322926232017,LONG,0,20-40,2.0,True,True,True,3.161940301327082
840,430,410,0,0.5119047619047619,0.4880952380952381,32.5,17.5,1.8571428571428572,5,0.35,0.16190476190476188,0.46258503401360546,LONG,1,20-40,2.5,True,True,True,3.152408470573667
