target_points,horizon_bars,windows,mean_realized_probability,mean_baseline_probability,mean_probability_lift,median_probability_lift,positive_lift_window_ratio,mean_top_decile_lift,positive_top_decile_lift_ratio,mean_future_mfe,median_future_mfe
25.0,10,21,0.2934925792666568,0.19183201502821545,0.09193112958257285,0.07917094903722324,0.8095238095238095,0.3673371902019114,1.0,22.64195524752817,13.75
25.0,20,21,0.4142505146976443,0.2945552569382059,0.10890908857664564,0.0778124212918786,0.8571428571428571,0.375223754489837,1.0,31.064551426818824,19.0
25.0,30,21,0.48987016583037774,0.36305454183875224,0.11789120807750564,0.09462158490793415,0.8571428571428571,0.31385716312442963,1.0,37.85592759078493,23.25
25.0,60,21,0.6141001610980092,0.5019758366607742,0.10860850083698616,0.09131814534760785,0.8571428571428571,0.26410240698453463,1.0,52.957823528574636,33.25
25.0,120,21,0.7312899419464722,0.6372830647379739,0.07581016271119957,0.08442686641767672,0.7619047619047619,0.17713129776047512,1.0,78.01846056836695,50.125
35.0,5,21,0.10275173028707683,0.05525095007327482,0.03942326490313455,0.021259587008713846,0.5714285714285714,0.2607487657564724,0.9523809523809523,16.347656119584574,10.25
35.0,10,21,0.1817568479039067,0.10596147272676519,0.06538047552700259,0.02010263619600622,0.7619047619047619,0.33540096434656475,0.9523809523809523,22.64195524752817,13.75
35.0,20,21,0.2868111168344455,0.18538145742215514,0.0837960931810849,0.05286455696762299,0.8095238095238095,0.3658898975419195,1.0,31.064551426818824,19.0
35.0,30,21,0.3607868622082581,0.24444774395499602,0.09419111384879233,0.07738538450243915,0.7619047619047619,0.3798670715207036,1.0,37.85592759078493,23.25
35.0,60,21,0.49373868146182937,0.37706228353694715,0.10017308809088753,0.08163937667980775,0.8095238095238095,0.32667437370448243,1.0,52.957823528574636,33.25
35.0,120,21,0.6299057910378472,0.5189752867469567,0.0857306734374378,0.08075499502231509,0.8095238095238095,0.25425593002737923,1.0,78.01846056836695,50.125
50.0,5,21,0.048468495487498486,0.02165221221846438,0.01430580564113198,-0.0009956181373692737,0.38095238095238093,0.15815511251835995,0.9047619047619048,16.347656119584574,10.25
50.0,10,21,0.0970691365432486,0.050332019572482345,0.03127413407014594,0.012543491979145782,0.5714285714285714,0.24562840253631615,0.9523809523809523,22.64195524752817,13.75
50.0,20,21,0.17453828534596472,0.10065401549256095,0.05069808184712906,0.022621878390872485,0.5714285714285714,0.3145551034969505,1.0,31.064551426818824,19.0
50.0,30,21,0.23529319434809828,0.14254065060369703,0.07008786618737621,0.022040208821672846,0.7142857142857143,0.3419488425152545,1.0,37.85592759078493,23.25
50.0,60,21,0.3554893545257385,0.24708805883980026,0.07387157037565702,0.04943764710405596,0.8095238095238095,0.3324255201049574,1.0,52.957823528574636,33.25
50.0,120,21,0.5047193035784311,0.3890634420132716,0.0653626405688238,0.053491750967716745,0.7142857142857143,0.30713566971492295,1.0,78.01846056836695,50.125
75.0,5,21,0.01770887201208062,0.007376716546792218,0.0008291493393745836,-0.0032928465257156996,0.2857142857142857,0.08374094608808562,0.9523809523809523,16.347656119584574,10.25
75.0,10,21,0.04056011844279529,0.01805700071111656,0.006013916865524973,-0.0037157152086452483,0.3333333333333333,0.1460872008586629,0.9047619047619048,22.64195524752817,13.75
75.0,20,21,0.08267304914281384,0.0407711166126396,0.01584773826928511,-0.003363989715763925,0.38095238095238093,0.22196411235395763,0.9523809523809523,31.064551426818824,19.0
75.0,30,21,0.12371044489488399,0.06353499814178509,0.028949415426371312,0.007168738105756042,0.5238095238095238,0.26814726379002024,1.0,37.85592759078493,23.25
75.0,60,21,0.21219345043686566,0.13323984881727394,0.0409938010870445,0.007101393796806105,0.5238095238095238,0.31459477178384243,1.0,52.957823528574636,33.25
