feature_a,feature_a_value,feature_b,feature_b_value,horizon_bars,total_observations,pooled_mean_future_points,pooled_positive_probability,pooled_cost_covered_probability,median_window_mean_points,positive_window_ratio,cost_positive_window_ratio,windows_observed
ou_residual_bucket,<=-2,half_life_bucket,<=5,20,15255,0.015880039331366766,0.5136020976728941,0.5000983284169125,-0.09448001292466765,0.45454545454545453,0.36363636363636365,22
ou_residual_bucket,<=-2,half_life_bucket,<=5,30,15255,-1.246869878728286,0.512487708947886,0.5007538511963291,0.07333994708994707,0.5,0.36363636363636365,22
ou_residual_bucket,<=-2,half_life_bucket,<=5,60,15255,-1.5817109144542774,0.5176007866273353,0.509406751884628,-1.1506392074233154,0.45454545454545453,0.4090909090909091,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,1,14410,0.07153018736988202,0.5172796668979875,0.45503122831367104,0.07499656620359468,0.7272727272727273,0.045454545454545456,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,3,14410,0.4362595419847328,0.5245662734212353,0.48771686328938235,0.4767425394635234,0.7727272727272727,0.18181818181818182,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,5,14410,0.6543372657876475,0.5247744621790423,0.49354614850798056,0.49629250489585186,0.6363636363636364,0.3181818181818182,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,10,14410,0.6661172796668979,0.5340041637751561,0.5104788341429563,0.49464522712191045,0.5909090909090909,0.36363636363636365,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,20,14410,0.3830326162387231,0.528174878556558,0.5140874392782789,0.4421489712183685,0.5454545454545454,0.3181818181818182,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,30,14410,0.4490458015267176,0.529146426092991,0.5165163081193616,0.08648930002108371,0.5,0.4090909090909091,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.5:0.75,60,14410,1.2607911172796669,0.5346287300485774,0.527203331020125,1.9729227302126284,0.6363636363636364,0.5454545454545454,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,1,4406,-0.06905356332274172,0.5049931911030413,0.4770767135724013,0.14341726284493173,0.5454545454545454,0.18181818181818182,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,3,4406,0.07234453018610985,0.5138447571493419,0.49750340444847935,0.9094488646938395,0.5909090909090909,0.45454545454545453,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,5,4406,0.7399568769859283,0.5272355878347708,0.5083976395823877,1.0985815319986174,0.5909090909090909,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,10,4406,0.6142759872900591,0.5188379482523832,0.5072628234226055,0.6255217996289425,0.5,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,20,4406,0.4585224693599637,0.5249659555152065,0.5129369042215162,1.1351559068950374,0.5454545454545454,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,30,4406,-1.6646050839763957,0.5002269632319565,0.49364502950522016,2.245335254854369,0.5,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,0.75:1.0,60,4406,1.5126532001815705,0.5142986836132547,0.5081706763504312,-0.19611540941328176,0.5,0.4090909090909091,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,1,16615,0.24040024074631358,0.5208546494131808,0.4502557929581703,0.2938028669810615,0.7727272727272727,0.045454545454545456,22
