side,hmm_state,zscore_threshold,horizon_bars,observations,mean_close_move,median_close_move,std_close_move,mean_mfe,median_mfe,mean_mae,median_mae,mfe_ge_5,mfe_ge_10,mfe_ge_20,mfe_ge_35,mfe_ge_50,mfe_ge_75,mfe_ge_100,mae_ge_5,mae_ge_10,mae_ge_20,mae_ge_35,mae_ge_50,mae_ge_75,mae_ge_100
LONG,1,2.0,10,15817,15695.530568375798,14460.5,5276.269945802354,23.580909780615794,16.0,23.80569956376051,16.0,0.8311310615160903,0.6664980716950117,0.4191692482771701,0.2047164443320478,0.10450780805462477,0.03850287665170386,0.018271480053107417,0.8047670228235443,0.6524625403047354,0.42163494973762405,0.22210280078396663,0.11626730732755895,0.04558386546121262,0.02010495036985522
LONG,1,2.0,20,15817,15696.032670544351,14466.75,5276.091897846848,32.60333818043877,22.0,33.45572801416198,22.5,0.8788645128659037,0.7531769614971233,0.5425175444142378,0.3230068913194664,0.19675033192135044,0.08800657520389454,0.04305494088638806,0.8583802238098249,0.7426819245116014,0.5472592779920339,0.3410254789150914,0.21502181197445785,0.10242144528039451,0.04849212872226086
LONG,1,2.0,30,15817,15695.070825693874,14461.5,5275.661177277107,38.92661376999431,26.75,41.40671429474616,27.25,0.9014983878105836,0.7925017386356452,0.6091547069608649,0.39824239742049694,0.262818486438642,0.13042928494657646,0.06840740974900424,0.8805715369539103,0.7814376936207877,0.605867105013593,0.4118353670101789,0.2851994689258393,0.15679332363912246,0.08452930391351078
LONG,1,2.0,60,15817,15696.494657646836,14461.75,5275.549352524209,54.04128469368401,38.25,56.40514952266549,37.25,0.9306442435354365,0.8514889043434279,0.7101852437251059,0.5325915154580515,0.39160397041158246,0.22912056647910475,0.1382689511285326,0.9104128469368401,0.8351773408358095,0.6935575646456345,0.5239299487892773,0.3933742176139597,0.2554846051716508,0.16317885819055447
LONG,1,2.0,120,15817,15695.1130240941,14444.5,5271.314264850144,77.74922532093846,55.75,82.00110668437361,54.5,0.9494215085035089,0.8923942593412152,0.7887083517734084,0.6558765884807486,0.5384080419801479,0.3749130682177404,0.2615540241512297,0.9314661440222546,0.8757665802617437,0.7729657962951255,0.6358980843396346,0.529556805968262,0.3883795915786812,0.28469368401087436
LONG,1,2.5,5,5916,15939.470250169034,14714.75,4949.607670789709,18.106152805949968,12.75,18.885522312373226,13.25,0.7903989181879648,0.5944895199459094,0.32876943881000675,0.1262677484787018,0.053076402974983096,0.018762677484787018,0.007606490872210953,0.7685936443542934,0.5944895199459094,0.349053414469236,0.15382014874915484,0.07183908045977011,0.02129817444219067,0.006592292089249493
LONG,1,2.5,10,5916,15939.810767410412,14712.0,4949.200283611478,25.160158891142665,17.75,25.911384381338742,18.0,0.8453346855983773,0.6935429344151454,0.4563894523326572,0.23123732251521298,0.11595672751859365,0.04597701149425287,0.023157538877620013,0.8218390804597702,0.6805273833671399,0.46179851250845166,0.25,0.13674780256930358,0.05645706558485463,0.02484787018255578
LONG,1,2.5,20,5916,15940.248520960109,14724.5,4949.211411574382,34.058612237998645,24.0,35.46682724814064,24.0,0.8896213657876944,0.7740027045300879,0.5736984448951995,0.3504056795131846,0.21264367816091953,0.09888438133874239,0.048174442190669374,0.8666328600405679,0.7542258282623394,0.5713319810682894,0.3605476673427992,0.2354631507775524,0.1169709263015551,0.055949966193373904
LONG,1,2.5,30,5916,15938.850067613252,14724.25,4949.053098559369,40.53258113590264,29.0,43.798132183908045,29.25,0.9083840432724815,0.8091615956727518,0.6374239350912779,0.42680865449628125,0.28498985801217036,0.14418526031102097,0.07471264367816093,0.8850574712643678,0.7898918187964841,0.6249154834347532,0.4354293441514537,0.3101757944557133,0.17106152805949967,0.0938133874239351
LONG,1,2.5,60,5916,15940.913919878296,14738.875,4948.367115006487,56.13662102772143,40.75,58.922836375929684,39.25,0.936105476673428,0.8644354293441514,0.7320824881676808,0.5642325895875592,0.4158215010141988,0.2471264367816092,0.14925625422582825,0.9124408384043272,0.8367139959432048,0.7033468559837728,0.5393847194050034,0.41311697092630156,0.2691007437457742,0.17308992562542258
