target_points,horizon_bars,window,baseline_probability,observations
2.0,20,14,0.9628992628992629,4070
2.0,20,15,0.9651915812196438,3706
2.0,20,16,0.9668428640076886,4162
2.0,20,17,0.9546386468477703,3902
2.0,20,18,0.9632314862765406,3862
2.0,20,19,0.9605556933763334,4031
2.0,20,20,0.9689228338161706,3797
2.0,20,21,0.9826044938390915,4139
2.0,20,22,0.9681467181467182,1036
2.0,30,1,0.9357798165137615,3815
2.0,30,2,0.9383350462487153,3892
2.0,30,3,0.9661523145843703,4018
2.0,30,4,0.9597674418604651,4300
2.0,30,5,0.9531755915317559,4015
2.0,30,6,0.9573028464769016,4286
2.0,30,7,0.9444752915047196,3602
2.0,30,8,0.9428198433420365,3830
2.0,30,9,0.9426551453260016,3819
2.0,30,10,0.9514229636898921,4076
2.0,30,11,0.9382151029748284,3496
2.0,30,12,0.9534031413612566,3820
2.0,30,13,0.9580005153311002,3881
2.0,30,14,0.97002457002457,4070
2.0,30,15,0.9713977334052887,3706
2.0,30,16,0.9728495915425276,4162
2.0,30,17,0.964633521271143,3902
2.0,30,18,0.9733298808907301,3862
2.0,30,19,0.9679980153807988,4031
2.0,30,20,0.976033710824335,3797
2.0,30,21,0.986470161874849,4139
2.0,30,22,0.972007722007722,1036
3.0,5,1,0.7583224115334207,3815
3.0,5,2,0.7646454265159301,3892
3.0,5,3,0.8680935788949726,4018
3.0,5,4,0.8688372093023256,4300
3.0,5,5,0.8600249066002491,4015
3.0,5,6,0.850443303779748,4286
3.0,5,7,0.8131593559133815,3602
3.0,5,8,0.8,3830
3.0,5,9,0.7905210788164441,3819
3.0,5,10,0.8267909715407262,4076
3.0,5,11,0.7697368421052632,3496
3.0,5,12,0.8397905759162304,3820
3.0,5,13,0.8350940479257923,3881
3.0,5,14,0.8788697788697789,4070
3.0,5,15,0.883702104695089,3706
3.0,5,16,0.8913983661701105,4162
3.0,5,17,0.8605843157355203,3902
3.0,5,18,0.8700155359917141,3862
3.0,5,19,0.883651699330191,4031
3.0,5,20,0.9033447458519884,3797
3.0,5,21,0.9354916646532979,4139
3.0,5,22,0.8793436293436293,1036
3.0,10,1,0.8256880733944955,3815
3.0,10,2,0.829393627954779,3892
3.0,10,3,0.9056744649079144,4018
3.0,10,4,0.903953488372093,4300
3.0,10,5,0.8946450809464508,4015
3.0,10,6,0.891740550629958,4286
3.0,10,7,0.861188228761799,3602
3.0,10,8,0.8548302872062663,3830
3.0,10,9,0.8478659334904425,3819
3.0,10,10,0.8731599607458292,4076
3.0,10,11,0.8320938215102975,3496
3.0,10,12,0.881675392670157,3820
3.0,10,13,0.8807008502963154,3881
3.0,10,14,0.9233415233415233,4070
3.0,10,15,0.9182406907717215,3706
3.0,10,16,0.9255165785679962,4162
3.0,10,17,0.9087647360328037,3902
3.0,10,18,0.9117037804246504,3862
3.0,10,19,0.9168940709501364,4031
3.0,10,20,0.933368448775349,3797
3.0,10,21,0.9562696303454941,4139
3.0,10,22,0.9208494208494209,1036
3.0,20,1,0.8828309305373525,3815
3.0,20,2,0.8761562178828366,3892
3.0,20,3,0.9340467894474863,4018
3.0,20,4,0.932093023255814,4300
3.0,20,5,0.9232876712328767,4015
3.0,20,6,0.9237050863275782,4286
3.0,20,7,0.8983897834536368,3602
3.0,20,8,0.8932114882506528,3830
3.0,20,9,0.8944749934537837,3819
3.0,20,10,0.9092247301275761,4076
3.0,20,11,0.881578947368421,3496
3.0,20,12,0.912041884816754,3820
3.0,20,13,0.9208966761144035,3881
3.0,20,14,0.9447174447174447,4070
3.0,20,15,0.9417161359956827,3706
3.0,20,16,0.9497837578087458,4162
3.0,20,17,0.9349051768323936,3902
3.0,20,18,0.9388917659243915,3862
3.0,20,19,0.941701810965021,4031
3.0,20,20,0.9528575190940216,3797
3.0,20,21,0.9710074897318193,4139
3.0,20,22,0.9507722007722008,1036
3.0,30,1,0.9045871559633027,3815
3.0,30,2,0.9023638232271326,3892
3.0,30,3,0.9482329517172723,4018
3.0,30,4,0.9432558139534883,4300
3.0,30,5,0.9342465753424658,4015
3.0,30,6,0.9388707419505367,4286
3.0,30,7,0.9161576901721266,3602
3.0,30,8,0.9127937336814621,3830
3.0,30,9,0.9185650693898927,3819
3.0,30,10,0.9263984298331698,4076
3.0,30,11,0.9073226544622426,3496
3.0,30,12,0.9259162303664922,3820
3.0,30,13,0.9366142746714764,3881
3.0,30,14,0.957985257985258,4070
3.0,30,15,0.9541284403669725,3706
3.0,30,16,0.9591542527630946,4162
3.0,30,17,0.9505381855458739,3902
3.0,30,18,0.955981356809943,3862
3.0,30,19,0.953113371371868,4031
3.0,30,20,0.9633921516987095,3797
3.0,30,21,0.9768059917854555,4139
3.0,30,22,0.9604247104247104,1036
5.0,5,1,0.6020969855832241,3815
5.0,5,2,0.6107399794450155,3892
5.0,5,3,0.781483325037332,4018
5.0,5,4,0.786046511627907,4300
5.0,5,5,0.7711083437110834,4015
5.0,5,6,0.7403173121791881,4286
5.0,5,7,0.7032204330927263,3602
5.0,5,8,0.6861618798955613,3830
5.0,5,9,0.6635244828489133,3819
