side,hmm_state,vol_bucket,zscore,observations,windows,wr_5_before_5_h10,wr_10_before_5_h10,wr_15_before_10_h10,wr_20_before_10_h10,wr_30_before_15_h10,wr_5_before_5_h20,wr_10_before_5_h20,wr_15_before_10_h20,wr_20_before_10_h20,wr_30_before_15_h20,wr_5_before_5_h30,wr_10_before_5_h30,wr_15_before_10_h30,wr_20_before_10_h30,wr_30_before_15_h30,wr_5_before_5_h60,wr_10_before_5_h60,wr_15_before_10_h60,wr_20_before_10_h60,wr_30_before_15_h60,wr_5_before_5_h120,wr_10_before_5_h120,wr_15_before_10_h120,wr_20_before_10_h120,wr_30_before_15_h120,mean_path_wr,median_path_wr,paths_wr_ge_50,paths_wr_ge_55,paths_wr_ge_60
SHORT,1,20-40,1.5,5476,21,0.42421475529583635,0.28634039444850257,0.3117238860482104,0.23867786705624544,0.17421475529583638,0.4384587289992695,0.3060628195763331,0.3473338203067933,0.28031409788166545,0.2414170927684441,0.4410153396639883,0.3120891161431702,0.3612125639152666,0.2960189919649379,0.2699050401753105,0.44320672023374724,0.31921110299488675,0.3776479181884587,0.31245434623813,0.30350620891161434,0.4435719503287071,0.3195763330898466,0.38422205989773556,0.32176771365960555,0.32048940832724615,0.33098612125639165,0.31921110299488675,0,0,0
LONG,1,80-100,3.0,547,20,0.35648994515539306,0.30895795246800734,0.37294332723948814,0.2943327239488117,0.23583180987202926,0.3583180987202925,0.31078610603290674,0.38939670932358317,0.3126142595978062,0.2595978062157221,0.3583180987202925,0.31078610603290674,0.3912248628884826,0.3217550274223035,0.28153564899451555,0.3583180987202925,0.31078610603290674,0.3930530164533821,0.3272394881170018,0.30347349177330896,0.3583180987202925,0.31078610603290674,0.3930530164533821,0.3272394881170018,0.31078610603290674,0.33023765996343685,0.3217550274223035,0,0,0
LONG,1,40-60,2.5,990,21,0.3878787878787879,0.2808080808080808,0.3373737373737374,0.2717171717171717,0.2202020202020202,0.3898989898989899,0.28888888888888886,0.36666666666666664,0.30707070707070705,0.26262626262626265,0.39191919191919194,0.29292929292929293,0.3696969696969697,0.31414141414141417,0.29494949494949496,0.39191919191919194,0.29494949494949496,0.3797979797979798,0.32727272727272727,0.3323232323232323,0.39191919191919194,0.29494949494949496,0.3808080808080808,0.3333333333333333,0.3434343434343434,0.3298989898989899,0.3323232323232323,0,0,0
SHORT,2,80-100,3.0,218,19,0.3761467889908257,0.2889908256880734,0.3394495412844037,0.27522935779816515,0.16972477064220184,0.38073394495412843,0.3073394495412844,0.37155963302752293,0.3256880733944954,0.23394495412844038,0.38073394495412843,0.3073394495412844,0.38073394495412843,0.3348623853211009,0.26146788990825687,0.38073394495412843,0.3119266055045872,0.3944954128440367,0.3577981651376147,0.29357798165137616,0.38073394495412843,0.3119266055045872,0.39908256880733944,0.3577981651376147,0.3165137614678899,0.3295412844036697,0.3348623853211009,0,0,0
SHORT,1,80-100,1.5,8389,21,0.3933722732149243,0.28215520324234117,0.3282870425557277,0.2503278102276791,0.2009774704970795,0.40135892239837884,0.29443318631541304,0.36380975086422696,0.29192990821313625,0.2579568482536655,0.4029085707474073,0.2984861127667183,0.37727977112885924,0.3073071879842651,0.28537370365955417,0.40386220050065563,0.30194302062224343,0.389319346763619,0.32137322684467756,0.3158898557634998,0.40386220050065563,0.3021814280605555,0.3927762546191441,0.3272142090833234,0.329002264870664,0.3289355107879366,0.32137322684467756,0,0,0
LONG,1,0-20,3.0,452,17,0.36504424778761063,0.29867256637168144,0.37168141592920356,0.2853982300884956,0.21017699115044247,0.36504424778761063,0.3030973451327434,0.3893805309734513,0.31194690265486724,0.2610619469026549,0.3672566371681416,0.3030973451327434,0.3938053097345133,0.3230088495575221,0.27654867256637167,0.3672566371681416,0.3030973451327434,0.39823008849557523,0.32964601769911506,0.2942477876106195,0.3672566371681416,0.3030973451327434,0.39823008849557523,0.32964601769911506,0.3030973451327434,0.32876106194690263,0.3230088495575221,0,0,0
LONG,1,80-100,1.5,8900,21,0.3760674157303371,0.2857303370786517,0.34662921348314607,0.2735955056179775,0.21606741573033708,0.3798876404494382,0.2947191011235955,0.3701123595505618,0.30314606741573036,0.26831460674157304,0.381123595505618,0.298314606741573,0.3798876404494382,0.31348314606741573,0.2903370786516854,0.3812359550561798,0.2995505617977528,0.3875280898876404,0.32348314606741574,0.31426966292134834,0.38134831460674157,0.2995505617977528,0.3895505617977528,0.327752808988764,0.3246067415730337,0.32825168539325844,0.32348314606741574,0,0,0
LONG,1,80-100,2.5,1492,21,0.3672922252010724,0.29892761394101874,0.3652815013404826,0.2848525469168901,0.22184986595174264,0.3679624664879357,0.30294906166219837,0.38136729222520105,0.30294906166219837,0.26541554959785524,0.3679624664879357,0.3042895442359249,0.38605898123324395,0.31032171581769435,0.2902144772117963,0.3679624664879357,0.3042895442359249,0.38873994638069703,0.3156836461126005,0.31300268096514744,0.36863270777479895,0.3042895442359249,0.38873994638069703,0.3156836461126005,0.31970509383378015,0.3281769436997318,0.3156836461126005,0,0,0
SHORT,1,20-40,2.0,2110,21,0.42417061611374407,0.2843601895734597,0.3137440758293839,0.23838862559241705,0.17488151658767773,0.43507109004739336,0.3009478672985782,0.3459715639810427,0.27535545023696684,0.24549763033175356,0.4374407582938389,0.3056872037914692,0.35971563981042654,0.2900473933649289,0.26872037914691943,0.43933649289099524,0.30995260663507107,0.3744075829383886,0.30379146919431277,0.3042654028436019,0.43981042654028435,0.30995260663507107,0.3791469194312796,0.3127962085308057,0.3222748815165877,0.32782938388625593,0.30995260663507107,0,0,0
SHORT,1,60-80,2.0,2611,21,0.41823056300268097,0.304864036767522,0.3136729222520107,0.21983914209115282,0.16009191880505552,0.4232094982765224,0.3182688625047874,0.35541937954806585,0.2711604749138261,0.22290310225967064,0.42550746840291076,0.32133282267330526,0.36384527001148986,0.28494829567215624,0.26005361930294907,0.42589046342397546,0.32401378782075835,0.3799310608962084,0.3075450019149751,0.304864036767522,0.42589046342397546,0.32401378782075835,0.38299502106472616,0.3113749521256224,0.32018383761011104,0.32680199157410955,0.32018383761011104,0,0,0
SHORT,0,40-60,3.0,179,18,0.33519553072625696,0.2569832402234637,0.36312849162011174,0.30726256983240224,0.2737430167597765,0.33519553072625696,0.26256983240223464,0.39106145251396646,0.329608938547486,0.3016759776536313,0.33519553072625696,0.2681564245810056,0.39106145251396646,0.329608938547486,0.3240223463687151,0.33519553072625696,0.2737430167597765,0.4022346368715084,0.3407821229050279,0.3240223463687151,0.33519553072625696,0.2737430167597765,0.40782122905027934,0.3463687150837989,0.3240223463687151,0.3267039106145252,0.329608938547486,0,0,0
SHORT,1,60-80,1.5,6537,21,0.43246137371883125,0.29508949059201467,0.3041150374789659,0.2114119626740095,0.14425577482025395,0.4394982407832339,0.30855132323695883,0.3510784763653052,0.2677068991892305,0.21294171638366224,0.44163989597674774,0.3139054612207435,0.3630105553005966,0.2871347713018204,0.25317423894752944,0.441792871347713,0.31681199326908366,0.381061649074499,0.3088572739788894,0.30487991433379225,0.4419458467186783,0.31696496864004897,0.3850390087195961,0.3146703380755698,0.32186018051093773,0.32639437050634845,0.3146703380755698,0,0,0
SHORT,1,20-40,3.0,273,21,0.34065934065934067,0.26373626373626374,0.3663003663003663,0.2967032967032967,0.2600732600732601,0.34065934065934067,0.27106227106227104,0.3772893772893773,0.315018315018315,0.31868131868131866,0.34065934065934067,0.27106227106227104,0.38461538461538464,0.315018315018315,0.32967032967032966,0.34065934065934067,0.27106227106227104,0.3956043956043956,0.32234432234432236,0.3443223443223443,0.34065934065934067,0.27106227106227104,0.3956043956043956,0.32967032967032966,0.34798534798534797,0.3260073260073259,0.32967032967032966,0,0,0
SHORT,0,80-100,3.0,251,15,0.3745019920318725,0.28286852589641437,0.350597609561753,0.27091633466135456,0.22709163346613545,0.38247011952191234,0.2868525896414343,0.36254980079681276,0.29880478087649404,0.26693227091633465,0.38247011952191234,0.2908366533864542,0.38247011952191234,0.30677290836653387,0.2788844621513944,0.38247011952191234,0.2948207171314741,0.3904382470119522,0.32270916334661354,0.29880478087649404,0.38247011952191234,0.2948207171314741,0.3904382470119522,0.32270916334661354,0.3107569721115538,0.325418326693227,0.3107569721115538,0,0,0
LONG,1,40-60,3.0,347,17,0.3631123919308357,0.2680115273775216,0.35446685878962536,0.276657060518732,0.25360230547550433,0.3659942363112392,0.2737752161383285,0.3746397694524496,0.30547550432276654,0.2881844380403458,0.3688760806916426,0.27953890489913547,0.37752161383285304,0.30835734870317005,0.3025936599423631,0.3688760806916426,0.2824207492795389,0.38328530259365995,0.3227665706051873,0.3227665706051873,0.3688760806916426,0.2824207492795389,0.38328530259365995,0.3227665706051873,0.3256484149855908,0.32495677233429404,0.3227665706051873,0,0,0
LONG,1,60-80,2.5,1002,21,0.3662674650698603,0.2904191616766467,0.34231536926147704,0.27045908183632733,0.21057884231536927,0.36926147704590817,0.2944111776447106,0.3722554890219561,0.30439121756487025,0.2654690618762475,0.36926147704590817,0.2944111776447106,0.37425149700598803,0.31636726546906185,0.2894211576846307,0.36926147704590817,0.2944111776447106,0.37524950099800397,0.3183632734530938,0.3203592814371258,0.36926147704590817,0.2944111776447106,0.37524950099800397,0.3193612774451098,0.3283433133732535,0.3237524950099801,0.3193612774451098,0,0,0
SHORT,1,80-100,2.0,3453,21,0.3799594555459021,0.27628149435273675,0.33565015928178393,0.2539820445988995,0.21517520996235157,0.384303504199247,0.2841007819287576,0.3651896901245294,0.2896032435563278,0.2644077613669273,0.385172313929916,0.2867072111207645,0.3764842166232262,0.3026353895163626,0.29192006950477845,0.385172313929916,0.2878656240949899,0.3831450912250217,0.31277150304083406,0.314509122502172,0.385172313929916,0.2878656240949899,0.38575152041702865,0.3165363452070663,0.32551404575731246,0.32303504199247035,0.314509122502172,0,0,0
