window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
2,long_reversion,5,0.1,0.75,-32.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,5,0.25,2.25,-20.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,5,0.5,5.75,-11.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,5,0.75,16.75,-5.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,5,0.9,52.25,-1.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,0.1,1.0,-52.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,0.25,3.25,-34.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,0.5,9.25,-19.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,0.75,35.875,-8.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,0.9,86.0,-2.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,0.1,1.5,-86.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,0.25,5.0,-56.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,0.5,20.5,-31.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,0.75,63.5,-12.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,0.9,140.0,-4.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,0.1,2.0,-111.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,0.25,7.25,-75.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,0.5,32.75,-40.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,0.75,82.5,-15.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,0.9,169.0,-5.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,0.1,3.25,-166.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,0.25,17.0,-112.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,0.5,62.0,-65.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,0.75,136.125,-24.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,0.9,262.25,-8.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,1,0.1,0.25,-10.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
