side,hmm_state,vol_bucket,zscore,observations,path_relationships,paths_wr_50,paths_wr_55,paths_wr_60,paths_positive_expectancy,best_wr,median_wr,mean_wr,best_expectancy,median_expectancy,best_tp,best_sl,best_rr,best_horizon,best_path_wr,best_path_expectancy,passes_wr_50,passes_wr_55,passes_positive_expectancy,candidate
LONG,1,80-100,2.0,3899,25,0,0,0,0,0.3977943062323673,0.3254680687355732,0.33855860477045396,-0.005129520389843711,-0.06591433700948957,15.0,10.0,1.5,120,0.3977943062323673,-0.0055142344190818315,False,False,False,False
LONG,1,80-100,2.5,1492,25,0,0,0,0,0.388739946380697,0.3156836461126005,0.3281769436997319,-0.028150134048257613,-0.08713136729222526,15.0,10.0,1.5,60,0.388739946380697,-0.028150134048257613,False,False,False,False
LONG,1,80-100,3.0,547,25,0,0,0,0,0.3930530164533821,0.3217550274223035,0.3302376599634369,-0.017367458866544783,-0.06764168190127995,15.0,10.0,1.5,60,0.3930530164533821,-0.017367458866544783,False,False,False,False
LONG,1,80-100,3.5,213,25,0,0,0,2,0.4037558685446009,0.2957746478873239,0.31399061032863845,0.00938967136150215,-0.12676056338028185,15.0,10.0,1.5,60,0.4037558685446009,0.00938967136150215,False,False,True,False
LONG,1,80-100,4.0,104,25,0,0,0,5,0.4134615384615384,0.3076923076923077,0.3173076923076923,0.03365384615384592,-0.07692307692307687,15.0,10.0,1.5,20,0.4134615384615384,0.03365384615384592,False,False,True,False
LONG,2,0-20,1.5,7797,25,0,0,0,1,0.3977170706682057,0.2975503398743106,0.30528151853276897,0.01846864178530183,-0.17929973066564087,15.0,10.0,1.5,120,0.3977170706682057,-0.005707323329485647,False,False,True,False
LONG,2,0-20,2.0,3836,25,0,0,0,1,0.3944212721584984,0.2885818561001043,0.30136600625651716,0.015901981230448392,-0.1858706986444213,15.0,10.0,1.5,120,0.3944212721584984,-0.01394681960375388,False,False,True,False
LONG,2,0-20,2.5,1584,25,0,0,0,1,0.3958333333333333,0.2840909090909091,0.29972222222222217,0.022727272727272596,-0.20643939393939403,15.0,10.0,1.5,120,0.3958333333333333,-0.01041666666666674,False,False,True,False
LONG,2,0-20,3.0,598,25,0,0,0,0,0.3762541806020067,0.2692307692307692,0.27799331103678926,-0.05936454849498318,-0.28762541806020075,15.0,10.0,1.5,120,0.3762541806020067,-0.05936454849498318,False,False,False,False
LONG,2,0-20,3.5,233,25,0,0,0,2,0.4163090128755364,0.2832618025751073,0.2856652360515021,0.040772532188841026,-0.2660944206008583,15.0,10.0,1.5,120,0.4163090128755364,0.040772532188841026,False,False,True,False
LONG,2,0-20,4.0,100,25,0,0,0,0,0.38,0.26,0.27,-0.04999999999999993,-0.28,15.0,10.0,1.5,60,0.38,-0.04999999999999993,False,False,False,False
LONG,2,20-40,1.5,5263,25,0,0,0,1,0.4007220216606498,0.3021090632718982,0.31023370701121034,0.003800114003420063,-0.17062511875356257,5.0,5.0,1.0,60,0.4007220216606498,-0.19855595667870046,False,False,True,False
LONG,2,20-40,2.0,2529,25,0,0,0,0,0.3926453143534994,0.2949782522736259,0.3052748121787267,-0.027283511269276528,-0.17160933175168047,5.0,5.0,1.0,60,0.3926453143534994,-0.21470937129300122,False,False,False,False
LONG,2,20-40,2.5,1030,25,0,0,0,1,0.3902912621359223,0.2912621359223301,0.30337864077669896,0.004854368932038722,-0.18446601941747598,15.0,10.0,1.5,120,0.3902912621359223,-0.024271844660194275,False,False,True,False
LONG,2,20-40,3.0,348,25,0,0,0,1,0.3620689655172414,0.3017241379310345,0.28701149425287353,0.051724137931034586,-0.25,15.0,10.0,1.5,120,0.3620689655172414,-0.09482758620689657,False,False,True,False
LONG,2,20-40,3.5,144,25,0,0,0,0,0.3125,0.2222222222222222,0.22888888888888886,-0.0625,-0.39583333333333337,30.0,15.0,2.0,120,0.3125,-0.0625,False,False,False,False
LONG,2,40-60,1.5,5279,25,0,0,0,1,0.3976131843152112,0.2989202500473574,0.30525478310286036,0.007008903201363825,-0.20098503504451593,5.0,5.0,1.0,120,0.3976131843152112,-0.2047736313695776,False,False,True,False
LONG,2,40-60,2.0,2572,25,0,0,0,0,0.4000777604976672,0.2982115085536547,0.30600311041990663,-0.0050544323483671105,-0.1928460342146191,5.0,5.0,1.0,60,0.4000777604976672,-0.19984447900466562,False,False,False,False
LONG,2,40-60,2.5,965,25,0,0,0,0,0.3968911917098445,0.2911917098445596,0.3047046632124352,-0.02694300518134718,-0.20103626943005204,5.0,5.0,1.0,60,0.3968911917098445,-0.20621761658031096,False,False,False,False
LONG,2,40-60,3.0,322,25,0,0,0,2,0.3819875776397515,0.3105590062111801,0.3036024844720497,0.04347826086956508,-0.236024844720497,15.0,10.0,1.5,120,0.3819875776397515,-0.045031055900621286,False,False,True,False
LONG,2,40-60,3.5,138,25,0,0,0,1,0.3695652173913043,0.2826086956521739,0.2779710144927536,0.04347826086956508,-0.18478260869565233,15.0,10.0,1.5,120,0.3695652173913043,-0.07608695652173914,False,False,True,False
LONG,2,60-80,1.5,5060,25,0,0,0,0,0.4355731225296442,0.3175889328063241,0.31836363636363635,-0.010474308300395418,-0.13162055335968376,5.0,5.0,1.0,60,0.4355731225296442,-0.1288537549407116,False,False,False,False
LONG,2,60-80,2.0,2483,25,0,0,0,1,0.4357631896898912,0.3189689891260572,0.32169150221506243,0.010873942811115422,-0.12847362062021755,5.0,5.0,1.0,60,0.4357631896898912,-0.12847362062021755,False,False,True,False
LONG,2,60-80,2.5,910,25,0,0,0,0,0.4263736263736263,0.3142857142857143,0.3187252747252747,-0.034065934065934056,-0.1472527472527474,5.0,5.0,1.0,60,0.4263736263736263,-0.1472527472527474,False,False,False,False
LONG,2,60-80,3.0,312,25,0,0,0,0,0.3878205128205128,0.3108974358974359,0.3096153846153846,-0.028846153846153966,-0.16346153846153866,15.0,10.0,1.5,120,0.3878205128205128,-0.030448717948718063,False,False,False,False
LONG,2,60-80,3.5,101,25,0,0,0,9,0.4455445544554455,0.3366336633663366,0.3374257425742574,0.18811881188118795,-0.1089108910891089,15.0,10.0,1.5,120,0.4455445544554455,0.11386138613861374,False,False,True,False
LONG,2,80-100,1.5,4658,25,0,0,0,0,0.4392443108630313,0.3085015027908974,0.30686990124516955,-0.013954486904251051,-0.13482181193645332,5.0,5.0,1.0,120,0.4392443108630313,-0.12151137827393743,False,False,False,False
LONG,2,80-100,2.0,2308,25,0,0,0,0,0.4311091854419411,0.3141247833622184,0.3081282495667244,-0.009532062391681362,-0.1464471403812826,5.0,5.0,1.0,120,0.4311091854419411,-0.1377816291161178,False,False,False,False
LONG,2,80-100,2.5,944,25,0,0,0,0,0.4279661016949153,0.3177966101694915,0.3155084745762712,-0.008474576271186418,-0.14830508474576276,5.0,5.0,1.0,120,0.4279661016949153,-0.1440677966101695,False,False,False,False
LONG,2,80-100,3.0,305,25,0,0,0,0,0.3836065573770492,0.3049180327868852,0.30701639344262294,-0.040983606557377095,-0.13442622950819683,15.0,10.0,1.5,120,0.3836065573770492,-0.040983606557377095,False,False,False,False
LONG,2,80-100,3.5,111,25,0,0,0,0,0.3603603603603603,0.2972972972972973,0.3099099099099099,-0.05405405405405406,-0.1351351351351352,15.0,10.0,1.5,20,0.3603603603603603,-0.09909909909909931,False,False,False,False
SHORT,0,0-20,1.5,13687,25,0,0,0,0,0.4653320669248191,0.314020603492365,0.32006137210491703,-0.004164535690801441,-0.10762036969387023,5.0,5.0,1.0,120,0.4653320669248191,-0.0693358661503618,False,False,False,False
SHORT,0,0-20,2.0,4503,25,0,0,0,0,0.4581390184321563,0.3097934710193205,0.3148922940262047,-0.0073284477015325145,-0.12680435265378648,5.0,5.0,1.0,120,0.4581390184321563,-0.08372196313568736,False,False,False,False
SHORT,0,0-20,2.5,1034,25,0,0,0,0,0.4381044487427466,0.2872340425531915,0.29381044487427466,-0.08607350096711797,-0.20454545454545459,5.0,5.0,1.0,120,0.4381044487427466,-0.12379110251450681,False,False,False,False
SHORT,0,0-20,3.0,222,25,0,0,0,0,0.4009009009009009,0.2702702702702703,0.2749549549549549,-0.1486486486486488,-0.24324324324324353,5.0,5.0,1.0,120,0.4009009009009009,-0.19819819819819817,False,False,False,False
SHORT,0,20-40,1.5,10677,25,0,0,0,0,0.4688582935281446,0.3113234054509693,0.31836283600262244,-0.046923293059848326,-0.1044300833567482,5.0,5.0,1.0,120,0.4688582935281446,-0.0622834129437107,False,False,False,False
SHORT,0,20-40,2.0,3371,25,0,0,0,0,0.456541085731237,0.3138534559477899,0.3227172945713438,-0.03218629486799174,-0.10115692672797394,5.0,5.0,1.0,120,0.456541085731237,-0.08691782853752605,False,False,False,False
SHORT,0,20-40,2.5,784,25,0,0,0,2,0.4630102040816326,0.3227040816326531,0.33943877551020407,0.04081632653061218,-0.07397959183673475,5.0,5.0,1.0,60,0.4630102040816326,-0.07397959183673475,False,False,True,False
SHORT,0,20-40,3.0,175,25,0,0,0,15,0.4514285714285714,0.3942857142857143,0.3862857142857143,0.21714285714285708,0.04571428571428571,5.0,5.0,1.0,60,0.4514285714285714,-0.0971428571428572,False,False,True,False
SHORT,0,40-60,1.5,10374,25,0,0,0,0,0.4439946018893387,0.3015230383651436,0.3164218237902448,-0.052438789280894516,-0.11509543088490459,5.0,5.0,1.0,120,0.4439946018893387,-0.1120107962213226,False,False,False,False
SHORT,0,40-60,2.0,3424,25,0,0,0,0,0.4433411214953271,0.3008177570093458,0.3175700934579439,-0.06688084112149528,-0.11799065420560767,5.0,5.0,1.0,60,0.4433411214953271,-0.11331775700934577,False,False,False,False
SHORT,0,40-60,2.5,814,25,0,0,0,0,0.4078624078624078,0.312039312039312,0.3219656019656019,-0.01965601965601993,-0.15233415233415248,5.0,5.0,1.0,30,0.4078624078624078,-0.1842751842751844,False,False,False,False
SHORT,0,40-60,3.0,179,25,0,0,0,4,0.4078212290502793,0.329608938547486,0.32670391061452514,0.03910614525139666,-0.09217877094972082,15.0,10.0,1.5,120,0.4078212290502793,0.019553072625698165,False,False,True,False
SHORT,0,60-80,1.5,11293,25,0,0,0,0,0.4412467900469317,0.3075356415478615,0.3217887186752856,-0.042061453998051945,-0.11750641990613664,5.0,5.0,1.0,60,0.4412467900469317,-0.11750641990613664,False,False,False,False
