side,hmm_state,vol_bucket,zscore,horizon,observations,window_count,p_5_before_5_wr,p_5_before_5_timeout,p_10_before_5_wr,p_10_before_5_timeout,p_15_before_10_wr,p_15_before_10_timeout,p_20_before_10_wr,p_20_before_10_timeout,p_30_before_15_wr,p_30_before_15_timeout
LONG,2,80-100,2.5,120,5433,21,0.39388919565617525,0.00018406037180195104,0.2967053193447451,0.0011043622308117063,0.38928768636112643,0.005153690410454629,0.3305724277563041,0.007914595987483895,0.3210012884226026,0.034235229155162895
LONG,2,80-100,3.0,10,1885,21,0.3294429708222812,0.022281167108753316,0.2403183023872679,0.051458885941644564,0.2907161803713528,0.15543766578249338,0.21962864721485412,0.19787798408488064,0.17771883289124668,0.3437665782493369
LONG,2,80-100,3.0,20,1885,21,0.3358090185676393,0.010079575596816976,0.25517241379310346,0.023342175066312996,0.3358090185676393,0.07692307692307693,0.2620689655172414,0.11140583554376658,0.2143236074270557,0.23819628647214855
LONG,2,80-100,3.0,30,1885,21,0.3374005305039788,0.005305039787798408,0.26047745358090185,0.01220159151193634,0.353315649867374,0.04350132625994695,0.2838196286472148,0.06896551724137931,0.24986737400530504,0.1687002652519894
LONG,2,80-100,3.0,60,1885,21,0.3416445623342175,0.0005305039787798408,0.2647214854111406,0.00636604774535809,0.3713527851458886,0.016976127320954906,0.30822281167108756,0.028647214854111407,0.2885941644562334,0.0896551724137931
LONG,2,80-100,3.0,120,1885,21,0.3416445623342175,0.0,0.26684350132625995,0.0010610079575596816,0.3777188328912467,0.003713527851458886,0.3209549071618037,0.007427055702917772,0.32148541114058354,0.03129973474801061
LONG,2,80-100,3.5,10,727,21,0.2764786795048143,0.013755158184319119,0.22145804676753783,0.02888583218707015,0.31636863823933975,0.08253094910591471,0.2544704264099037,0.11004126547455295,0.2324621733149931,0.1953232462173315
LONG,2,80-100,3.5,20,727,21,0.28060522696011003,0.009628610729023384,0.22833562585969738,0.01925722145804677,0.3425034387895461,0.04951856946354883,0.27097661623108665,0.07427785419532325,0.24896836313617607,0.14030261348005502
LONG,2,80-100,3.5,30,727,21,0.28198074277854196,0.0041265474552957355,0.2297111416781293,0.012379642365887207,0.35213204951856947,0.033012379642365884,0.2874828060522696,0.048143053645116916,0.265474552957359,0.10866574965612105
LONG,2,80-100,3.5,60,727,21,0.2861072902338377,0.0,0.23521320495185694,0.005502063273727648,0.3672627235213205,0.012379642365887207,0.30674002751031637,0.016506189821182942,0.2874828060522696,0.059147180192572216
LONG,2,80-100,3.5,120,727,21,0.2861072902338377,0.0,0.23658872077028886,0.001375515818431912,0.3741403026134801,0.002751031636863824,0.31636863823933975,0.002751031636863824,0.3108665749656121,0.02063273727647868
LONG,2,80-100,4.0,10,329,20,0.24012158054711247,0.00303951367781155,0.20364741641337386,0.015197568389057751,0.3161094224924012,0.04559270516717325,0.2735562310030395,0.05167173252279635,0.2765957446808511,0.12462006079027356
LONG,2,80-100,4.0,20,329,20,0.24316109422492402,0.0,0.20972644376899696,0.0060790273556231,0.3343465045592705,0.02127659574468085,0.2796352583586626,0.0364741641337386,0.2917933130699088,0.07598784194528875
LONG,2,80-100,4.0,30,329,20,0.24316109422492402,0.0,0.2127659574468085,0.00303951367781155,0.3404255319148936,0.00911854103343465,0.2887537993920973,0.0182370820668693,0.3009118541033435,0.057750759878419454
