target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,2,zscore_15,5.463122844696045,0.012689707361954029
1.0,5,2,zscore_30,6.5347490310668945,0.015178873923466611
1.0,5,2,zscore_60,8.463102340698242,0.0196580408551483
1.0,5,2,abs_zscore_5,5.010547637939453,0.011638468519943965
1.0,5,2,abs_zscore_15,7.2569427490234375,0.016856380946470406
1.0,5,2,abs_zscore_30,5.436466217041016,0.01262778951499818
1.0,5,2,abs_zscore_60,11.752836227416992,0.027299414023553997
1.0,5,2,zscore_direction_5,0.0,0.0
1.0,5,2,zscore_direction_15,0.0,0.0
1.0,5,2,zscore_direction_30,0.0,0.0
1.0,5,2,zscore_direction_60,0.0,0.0
1.0,5,2,log_zscore_5,6.703196048736572,0.015570141596002543
1.0,5,2,log_zscore_30,6.334989070892334,0.014714872745145716
1.0,5,2,log_zscore_60,6.191716194152832,0.014382079408731048
1.0,5,2,autocorrelation_30,7.97619104385376,0.01852704635917339
1.0,5,2,autocorrelation_60,6.445813179016113,0.01497229428603339
1.0,5,2,ar1_coefficient_30,7.008978366851807,0.01628041084010521
1.0,5,2,ar1_coefficient_60,6.75799560546875,0.01569742966150363
1.0,5,2,mean_reversion_speed_30,6.852720737457275,0.015917456601941892
1.0,5,2,mean_reversion_speed_60,5.814940929412842,0.013506908194996562
1.0,5,2,half_life_30,5.5965046882629395,0.012999525868763753
1.0,5,2,half_life_60,0.0,0.0
1.0,5,2,ou_residual_30,4.087169647216797,0.009493651934295407
1.0,5,2,ou_residual_60,4.88084602355957,0.011337198426328618
1.0,5,2,normalized_ou_residual_30,4.756519794464111,0.011048414243822394
1.0,5,2,normalized_ou_residual_60,1.9426026344299316,0.004512265173646909
1.0,5,3,past_return_1,6.574774265289307,0.015020389793940275
1.0,5,3,past_return_3,7.8449625968933105,0.017922196469361898
1.0,5,3,past_return_5,7.096030235290527,0.016211224267630338
1.0,5,3,past_return_10,6.514327049255371,0.014882295205418568
