target_points,horizon_bars,window,observations,mean_realized_probability,mean_model_probability,baseline_probability,probability_lift,top_decile_lift,mean_future_mfe,median_future_mfe
5.0,10,2,1638,0.7466422466422467,0.7656703048223068,0.537838931606637,0.22783137321566982,0.3585025318079972,17.76129426129426,10.5
5.0,10,3,1892,0.8324524312896406,0.7917948008197937,0.6210756875152105,0.17071911330458323,0.30524010195847373,17.990750528541227,13.25
5.0,10,4,1862,0.8297529538131042,0.9221738850743891,0.687718713547742,0.23445517152664708,0.1946342276287285,17.803974221267456,13.75
5.0,10,5,1943,0.8064848172928462,0.8344943319100789,0.7213531730891517,0.11314115882092723,0.21198016024418165,17.979670612454967,13.0
5.0,10,6,1234,0.7374392220421394,0.8166797750024201,0.738221497042627,0.0784582779597931,0.15693979327995367,13.743314424635333,10.0
5.0,10,7,1320,0.8166666666666667,0.7967525529308301,0.7381340579710145,0.05861849495981564,0.17853260869565213,19.034280303030304,13.75
5.0,10,8,1884,0.8742038216560509,0.8959866917816697,0.7465210355987055,0.14946565618296415,0.20056891149124156,26.120355626326965,19.25
5.0,10,9,1357,0.8334561532792926,0.8754203462521645,0.7634091547318169,0.11201119152034755,0.11894378644465364,22.88430361090641,15.75
5.0,10,10,1376,0.8226744186046512,0.8696929749404622,0.7695019550028844,0.10019101993757773,0.12904876963479672,19.34938226744186,15.0
5.0,10,11,1154,0.7954939341421143,0.8390037522907894,0.7738116274960241,0.06519212479476533,0.036533200090182794,16.880849220103986,13.0
5.0,10,12,926,0.796976241900648,0.8143362159685877,0.7751916606916331,0.039144555276954596,0.19255027479223785,17.091522678185743,13.0
5.0,10,13,960,0.7604166666666666,0.7905629417626188,0.7762501967780868,0.014312744984531944,0.10916646988857981,17.059635416666666,12.75
5.0,10,14,1289,0.7905352986811481,0.7529853577526897,0.7754908327921267,-0.022505475039437006,0.08497428348694303,18.45500387897595,13.25
5.0,10,15,1326,0.8401206636500754,0.8160717180490404,0.7764010137989299,0.039670704250110544,0.13337342229129567,24.699283559577676,15.75
5.0,10,16,1032,0.8963178294573644,0.8245570139251939,0.7801343230823613,0.04442269084283257,0.14294259999456183,26.212209302325583,19.5
5.0,10,17,1149,0.8746736292428199,0.9173046490282883,0.7852011494252874,0.13210349960300094,0.1452336331834082,36.65339425587467,23.75
5.0,10,18,841,0.8870392390011891,0.8630807011539956,0.7893442953290614,0.07373640582493424,0.11653805761211511,26.251189060642094,18.75
5.0,10,19,935,0.8748663101604278,0.896947808412307,0.7925469712325564,0.10440083717975068,0.1542615394057415,34.92433155080214,20.0
5.0,10,20,1189,0.9024390243902439,0.8954732250876543,0.7954417240212118,0.10003150106644243,0.13733138522248567,35.62279226240538,23.75
5.0,10,21,1061,0.9123468426013195,0.925818479870087,0.8000215998272013,0.1257968800428857,0.17194101699522857,42.14373232799246,27.0
5.0,20,1,1243,0.6202735317779565,0.547764395476017,0.6571661237785016,-0.10940172830248462,0.08683387622149841,9.249396621078038,6.75
5.0,20,2,1638,0.8095238095238095,0.8348813826475242,0.6386078510724403,0.19627353157508387,0.3126116611226816,24.982905982905983,14.5
5.0,20,3,1892,0.8773784355179705,0.8336850317159616,0.7067412995862741,0.12694373212968757,0.1985218583084628,23.203488372093023,18.25
5.0,20,4,1862,0.878625134264232,0.9329337806437888,0.7605399100149975,0.1723938706287913,0.15924618624168696,23.943340494092375,18.5
5.0,20,5,1943,0.8656716417910447,0.8719940871015628,0.7885031158590868,0.08349097124247595,0.17047124311527218,24.62403499742666,18.25
5.0,20,6,1234,0.8192868719611021,0.9136349395086545,0.8037935957576994,0.10984134375095511,0.04298059779068775,19.64404376012966,14.625
5.0,20,7,1320,0.8643939393939394,0.8486271180776935,0.8055253623188405,0.043101755758853,0.09598978919631096,25.73125,18.75
5.0,20,8,1884,0.9087048832271762,0.9325646716792872,0.8118122977346278,0.12075237394465943,0.14585965993732986,36.58718152866242,25.75
5.0,20,9,1357,0.8754605747973471,0.9148491660988146,0.8246279135074417,0.09022125259137292,0.0944897335513818,33.041820191599115,23.25
5.0,20,10,1376,0.8670058139534884,0.9041589436142944,0.8290494199089802,0.07510952370531421,0.1202259424098604,25.719476744186046,19.25
5.0,20,11,1154,0.8440207972270364,0.8821018217599578,0.8321258172822054,0.04997600447775241,0.03856383789020845,23.861351819757367,17.75
5.0,20,12,926,0.8434125269978402,0.872805174673479,0.8328829077270973,0.03992226694638168,0.15636440410085972,24.53887688984881,19.0
5.0,20,13,960,0.8125,0.8423616022841695,0.8333945531825576,0.008967049101611835,0.06243878015077575,23.748958333333334,17.25
5.0,20,14,1289,0.8308766485647789,0.8176050662381692,0.832392466403557,-0.01478740016538782,0.059080401813497274,25.49166020170675,17.75
5.0,20,15,1326,0.8921568627450981,0.8583352428665708,0.8323007603491974,0.026034482517373392,0.13762405168087777,33.78450226244344,21.5
5.0,20,16,1032,0.9282945736434108,0.8822293112040028,0.835807705903146,0.046421605300856816,0.11611537101993086,33.82897286821706,25.875
5.0,20,17,1149,0.9120974760661444,0.9432293920541868,0.839841108857336,0.10338828319685078,0.13407193462092493,51.09203655352481,33.0
5.0,20,18,841,0.9120095124851367,0.9059633549909671,0.8431870390521098,0.06277631593885735,0.0862247256537726,36.16825208085612,24.25
5.0,20,19,935,0.9144385026737968,0.9278921626468394,0.8454432057378967,0.08244895690894272,0.0907270070280608,44.01042780748663,25.75
