observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
861,439,422,0.5098722415795587,27.5,20.0,1.375,8,0.21094657375145187,0.42105263157894735,0.08881961000061134,A2,LONG,0,20-40,2.5,True,1.4399179945739677
372,190,182,0.510752688172043,25.0,17.5,1.4285714285714286,8,0.24039938556067586,0.4117647058823529,0.09898798228969008,D2,LONG,1,20-40,3.0,True,1.4388507363589542
154,84,70,0.5454545454545454,10.0,7.5,1.3333333333333333,8,0.2727272727272726,0.4285714285714286,0.11688311688311681,B1,LONG,2,60-80,3.5,True,1.4380013763116852
840,428,412,0.5095238095238095,27.5,20.0,1.375,10,0.21011904761904754,0.42105263157894735,0.08847117794486214,D1,LONG,1,20-40,2.5,True,1.4285428046080935
840,449,391,0.5345238095238095,25.0,20.0,1.25,7,0.20267857142857137,0.4444444444444444,0.09007936507936509,D1,LONG,1,20-40,2.5,True,1.4120809466637363
247,124,123,0.5020242914979757,30.0,20.0,1.5,4,0.25506072874493924,0.4,0.10202429149797565,S2,SHORT,0,20-40,3.0,True,1.4091058323292869
154,96,58,0.6233766233766234,5.0,5.0,1.0,7,0.24675324675324672,0.5,0.12337662337662336,B1,LONG,2,60-80,3.5,True,1.398021450439666
154,96,58,0.6233766233766234,5.0,5.0,1.0,10,0.24675324675324672,0.5,0.12337662337662336,B1,LONG,2,60-80,3.5,True,1.398021450439666
861,459,402,0.5331010452961672,25.0,20.0,1.25,12,0.19947735191637617,0.4444444444444444,0.08865660085172278,A2,LONG,0,20-40,2.5,True,1.3929490888415494
154,88,66,0.5714285714285714,6.0,5.0,1.2,20,0.257142857142857,0.45454545454545453,0.11688311688311687,B1,LONG,2,60-80,3.5,True,1.389515083232853
154,88,66,0.5714285714285714,9.0,7.5,1.2,9,0.257142857142857,0.45454545454545453,0.11688311688311687,B1,LONG,2,60-80,3.5,True,1.389515083232853
372,202,170,0.543010752688172,25.0,20.0,1.25,6,0.221774193548387,0.4444444444444444,0.09856630824372759,D2,LONG,1,20-40,3.0,True,1.3697372905306862
154,86,68,0.5584415584415584,5.0,4.0,1.25,5,0.25649350649350644,0.4444444444444444,0.11399711399711399,B1,LONG,2,60-80,3.5,True,1.369206131526588
154,79,75,0.512987012987013,11.0,7.5,1.4666666666666666,20,0.26536796536796536,0.4054054054054054,0.10758160758160762,B1,LONG,2,60-80,3.5,True,1.3557448054218073
154,83,71,0.538961038961039,8.0,6.0,1.3333333333333333,5,0.25757575757575757,0.4285714285714286,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.3496769301476141
154,83,71,0.538961038961039,8.0,6.0,1.3333333333333333,12,0.25757575757575757,0.4285714285714286,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.3496769301476141
154,83,71,0.538961038961039,8.0,6.0,1.3333333333333333,20,0.25757575757575757,0.4285714285714286,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.3496769301476141
154,83,71,0.538961038961039,10.0,7.5,1.3333333333333333,6,0.25757575757575757,0.4285714285714286,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.3496769301476141
154,83,71,0.538961038961039,10.0,7.5,1.3333333333333333,7,0.25757575757575757,0.4285714285714286,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.3496769301476141
5154,2645,2509,0.5131936360108653,25.0,20.0,1.25,10,0.15468568102444702,0.4444444444444444,0.0687491915664209,C1,LONG,0,40-60,2.0,True,1.3396550210045806
840,445,395,0.5297619047619048,25.0,20.0,1.25,4,0.1919642857142857,0.4444444444444444,0.08531746031746035,D1,LONG,1,20-40,2.5,True,1.3312773001312381
372,191,181,0.5134408602150538,27.5,20.0,1.375,8,0.21942204301075263,0.42105263157894735,0.0923882286361064,D2,LONG,1,20-40,3.0,True,1.3167888781636008
154,95,59,0.6168831168831169,6.0,6.0,1.0,9,0.23376623376623384,0.5,0.11688311688311692,B1,LONG,2,60-80,3.5,True,1.316785643614606
3267,1684,1583,0.5154576063666972,25.0,20.0,1.25,15,0.15977961432506882,0.4444444444444444,0.07101316192225282,A1,LONG,0,20-40,2.0,True,1.3129115480140503
