probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
8,0.9158760193723218,0.8362911988409997,42.68018833755885,2761,10.0,20
9,0.9551380534873238,0.8909815284317276,56.3650851140891,2761,10.0,20
0,0.28053436326078385,0.5318609703113686,17.18220492396814,2762,10.0,30
1,0.5930945714372347,0.6733067729083665,22.2190329590728,2761,10.0,30
2,0.703580932118935,0.7294458529518291,27.12984425932633,2761,10.0,30
3,0.7687384518580521,0.7671133647229265,30.529246649764577,2761,10.0,30
4,0.8130873194944596,0.7877580586743933,32.56501267656646,2761,10.0,30
5,0.8479561494425214,0.8040565012676566,36.51829047446577,2761,10.0,30
6,0.8780078524612336,0.8127490039840638,38.162984425932635,2761,10.0,30
7,0.9052607061982976,0.8286852589641435,43.655469032959076,2761,10.0,30
8,0.932247003257728,0.8576602680188338,52.25298804780876,2761,10.0,30
9,0.9643086655897233,0.9011227816008692,67.09869612459254,2761,10.0,30
0,0.4340990388841462,0.666545981173063,25.492306299782765,2762,10.0,60
1,0.7269456539625536,0.7732705541470482,36.745201014125314,2761,10.0,60
2,0.8050829742275171,0.8167330677290837,40.69114451285766,2761,10.0,60
3,0.8491396675589982,0.835929011227816,43.81791017747193,2761,10.0,60
4,0.8797227203392628,0.8489677653024267,47.810938065918144,2761,10.0,60
5,0.9038976633820747,0.8696124592538935,55.02254617892068,2761,10.0,60
6,0.924036377476247,0.8612821441506701,55.47519014849692,2761,10.0,60
7,0.9411572237586422,0.871061209706628,60.38527707352409,2761,10.0,60
8,0.9576961613357693,0.8913437160449112,67.5398406374502,2761,10.0,60
9,0.978080625509879,0.9148859109018471,84.31093806591815,2761,10.0,60
0,0.5525434028403126,0.8135409123823316,43.14183562635771,2762,10.0,120
1,0.8219332031821998,0.8576602680188338,59.296088373777614,2761,10.0,120
2,0.8769995259530559,0.8706990220934444,63.72229264759145,2761,10.0,120
3,0.9074414353446657,0.8873596522998913,69.44159724737413,2761,10.0,120
4,0.9284945138767551,0.893516841724013,73.77634914885911,2761,10.0,120
5,0.9445050581561099,0.8993118435349511,78.50280695400217,2761,10.0,120
6,0.9577636897067409,0.9011227816008692,84.55912712785222,2761,10.0,120
