window,probability_decile,observations,mean_probability,realized_positive_rate,mean_future_points,median_future_points
4,8,174,0.58565295,0.4942528735632184,2.353448275862069,-0.25
4,9,174,0.64773285,0.4942528735632184,-5.844827586206897,-2.125
5,0,136,0.40910935,0.4852941176470588,3.3400735294117645,0.0
5,1,135,0.4584736,0.5333333333333333,10.722222222222221,2.5
5,2,135,0.48318854,0.5037037037037037,3.174074074074074,0.75
5,3,135,0.50442344,0.4148148148148148,-1.637037037037037,-3.0
5,4,135,0.5231721,0.5851851851851851,6.718518518518518,4.5
5,5,135,0.54107535,0.4888888888888889,2.283333333333333,-1.75
5,6,135,0.55974495,0.5407407407407407,3.4592592592592593,1.75
5,7,135,0.58067155,0.5259259259259259,1.7037037037037037,1.5
5,8,135,0.6026436,0.5037037037037037,-2.4074074074074074,0.25
5,9,136,0.65135276,0.6029411764705882,10.829044117647058,6.25
6,0,137,0.40276995,0.36496350364963503,-4.211678832116788,-4.75
6,1,137,0.44859698,0.5036496350364964,1.3905109489051095,0.75
6,2,137,0.47329,0.45985401459854014,-1.6715328467153285,-0.5
6,3,137,0.4947199,0.5620437956204379,-1.4306569343065694,3.0
6,4,137,0.515346,0.5620437956204379,0.4197080291970803,3.0
6,5,136,0.5318195,0.5220588235294118,-1.7922794117647058,1.0
6,6,137,0.5472832,0.49635036496350365,-1.4397810218978102,0.0
6,7,137,0.5675409,0.5255474452554745,-0.07116788321167883,2.25
6,8,137,0.5979275,0.5182481751824818,-1.5602189781021898,1.25
6,9,137,0.68275315,0.5182481751824818,-1.6843065693430657,1.25
7,0,121,0.40300477,0.5537190082644629,-0.25206611570247933,2.0
7,1,121,0.45770213,0.5537190082644629,0.5743801652892562,1.75
7,2,120,0.4833966,0.45,-2.908333333333333,-0.5
7,3,121,0.5012384,0.5619834710743802,-0.08264462809917356,2.75
7,4,121,0.51918894,0.4628099173553719,-0.13636363636363635,-1.0
7,5,120,0.53674227,0.575,3.3041666666666667,4.125
7,6,121,0.5552714,0.4628099173553719,-1.603305785123967,-1.0
7,7,120,0.5790775,0.5083333333333333,-5.616666666666666,0.25
7,8,121,0.6057709,0.5206611570247934,0.8636363636363636,0.75
7,9,121,0.6715696,0.34710743801652894,-14.547520661157025,-6.5
8,0,131,0.39163676,0.4351145038167939,-8.217557251908397,-4.25
8,1,131,0.44762358,0.5190839694656488,-2.4217557251908395,0.75
8,2,130,0.47140834,0.5538461538461539,-2.123076923076923,2.25
8,3,131,0.48987433,0.5877862595419847,0.1316793893129771,2.25
8,4,130,0.50502545,0.45384615384615384,-5.523076923076923,-3.0
8,5,131,0.5206998,0.5038167938931297,-0.3950381679389313,0.5
8,6,130,0.5362267,0.4307692307692308,-1.2115384615384615,-3.875
8,7,131,0.55438614,0.45038167938931295,-3.818702290076336,-1.0
8,8,130,0.5788877,0.5384615384615384,0.03076923076923077,2.25
8,9,131,0.6297594,0.45038167938931295,-0.5343511450381679,-0.75
9,0,101,0.40798235,0.6831683168316832,11.777227722772277,6.25
9,1,101,0.45985004,0.5148514851485149,1.7747524752475248,0.25
9,2,101,0.48323005,0.504950495049505,0.1806930693069307,0.25
9,3,100,0.4993108,0.56,1.77,4.375
9,4,101,0.5133323,0.5148514851485149,-0.3589108910891089,0.5
9,5,101,0.5279359,0.5346534653465347,-2.5742574257425743,2.5
9,6,100,0.5449271,0.45,-5.3175,-1.25
9,7,101,0.56210333,0.48514851485148514,-2.0297029702970297,0.0
9,8,101,0.58998835,0.4752475247524752,-1.6287128712871286,-0.5
9,9,101,0.64617825,0.5247524752475248,-2.8564356435643563,2.0
10,0,90,0.39839897,0.43333333333333335,-1.6333333333333333,-1.875
10,1,90,0.44238475,0.5777777777777777,3.5055555555555555,1.25
10,2,89,0.46215197,0.4044943820224719,-5.323033707865169,-4.25
10,3,90,0.47899756,0.4777777777777778,-2.7194444444444446,-1.125
10,4,90,0.49452564,0.4444444444444444,0.025,-1.125
10,5,89,0.5101519,0.5393258426966292,-0.38764044943820225,3.25
10,6,90,0.52811426,0.4444444444444444,-2.6277777777777778,-1.375
10,7,89,0.54686695,0.550561797752809,1.3314606741573034,4.0
10,8,90,0.56937987,0.5111111111111111,3.875,0.375
10,9,90,0.62908196,0.4777777777777778,-2.661111111111111,-0.5
11,0,109,0.37118167,0.5963302752293578,2.2155963302752295,4.75
11,1,108,0.42277676,0.4166666666666667,-3.724537037037037,-2.875
11,2,109,0.4442289,0.5229357798165137,-0.8784403669724771,0.75
11,3,108,0.46294942,0.5277777777777778,2.3287037037037037,0.375
11,4,109,0.478817,0.5688073394495413,0.6926605504587156,2.5
11,5,108,0.49296638,0.4444444444444444,-3.275462962962963,-3.5
11,6,108,0.5100208,0.5277777777777778,-1.6203703703703705,1.375
11,7,109,0.53356624,0.5412844036697247,1.6307339449541285,0.75
11,8,108,0.56565017,0.5833333333333334,4.252314814814815,3.875
11,9,109,0.6410027,0.6513761467889908,3.55045871559633,6.0
12,0,121,0.37686643,0.35537190082644626,-10.683884297520661,-6.0
12,1,121,0.4323711,0.4462809917355372,-4.572314049586777,-2.25
12,2,121,0.45796746,0.5537190082644629,1.5950413223140496,2.75
12,3,120,0.4762086,0.38333333333333336,-6.21875,-7.625
12,4,121,0.48958945,0.4793388429752066,-1.390495867768595,-0.25
12,5,121,0.5064156,0.45454545454545453,-3.7871900826446283,-1.0
12,6,120,0.5246992,0.4583333333333333,-4.4375,-2.25
12,7,121,0.54357034,0.5371900826446281,4.142561983471074,3.5
12,8,121,0.5678484,0.5702479338842975,2.1611570247933884,2.75
12,9,121,0.6318277,0.6115702479338843,4.144628099173554,5.0
13,0,129,0.32687816,0.3643410852713178,-9.98062015503876,-8.75
13,1,129,0.41882125,0.4496124031007752,-9.044573643410853,-3.75
13,2,128,0.45340398,0.53125,2.564453125,2.75
13,3,129,0.4824149,0.5193798449612403,3.60077519379845,2.25
13,4,129,0.50516444,0.5193798449612403,0.8158914728682171,1.0
13,5,128,0.5233628,0.5078125,-1.689453125,0.375
13,6,129,0.5425263,0.5426356589147286,-0.7441860465116279,3.5
13,7,128,0.56597406,0.46875,-2.072265625,-2.625
13,8,129,0.5968321,0.5891472868217055,3.4651162790697674,3.0
13,9,129,0.65693533,0.5271317829457365,-1.8875968992248062,0.75
14,0,125,0.31526738,0.632,4.002,10.5
14,1,125,0.4035703,0.52,3.564,1.75
14,2,124,0.43927926,0.5,4.183467741935484,1.0
14,3,125,0.4643544,0.504,4.032,0.5
14,4,124,0.48524654,0.5403225806451613,7.419354838709677,3.5
14,5,125,0.5041589,0.504,7.664,0.25
14,6,124,0.52515525,0.5725806451612904,5.580645161290323,2.5
14,7,125,0.54885596,0.512,6.582,1.25
14,8,124,0.5783252,0.6129032258064516,8.383064516129032,8.0
14,9,125,0.64171255,0.616,-0.924,4.5
15,0,100,0.38527107,0.53,0.505,1.75
15,1,100,0.4405332,0.49,-4.4325,-0.125
15,2,100,0.46952593,0.53,-4.1275,3.0
15,3,100,0.49110264,0.52,-4.115,0.625
15,4,100,0.514982,0.56,-0.185,1.875
15,5,100,0.535395,0.54,0.2075,2.375
15,6,100,0.55543315,0.57,-1.11,3.25
15,7,100,0.5804816,0.53,6.1475,4.0
15,8,100,0.6168128,0.53,-1.21,1.625
15,9,100,0.67859125,0.59,4.9125,3.5
16,0,114,0.36970204,0.35964912280701755,-12.482456140350877,-9.5
16,1,113,0.43006164,0.5132743362831859,-2.40929203539823,0.5
16,2,113,0.4658646,0.4336283185840708,-4.537610619469026,-3.25
16,3,113,0.49259776,0.5663716814159292,3.3473451327433628,5.0
16,4,113,0.51653814,0.5575221238938053,-1.924778761061947,5.0
16,5,113,0.53950953,0.48672566371681414,-8.132743362831858,-0.5
16,6,113,0.56271726,0.48672566371681414,-0.7389380530973452,-2.25
16,7,113,0.5927135,0.39823008849557523,-10.769911504424778,-10.25
16,8,113,0.63657004,0.37168141592920356,-8.814159292035399,-14.5
16,9,113,0.7109489,0.415929203539823,-22.27433628318584,-10.0
17,0,100,0.38953975,0.51,-1.7925,0.75
17,1,100,0.44260037,0.58,4.7925,5.125
17,2,100,0.47017643,0.65,1.53,7.0
17,3,99,0.49302638,0.6060606060606061,3.4343434343434343,11.25
17,4,100,0.5111218,0.45,-8.9875,-2.125
17,5,100,0.5301386,0.58,-3.8325,5.875
17,6,99,0.5520524,0.5151515151515151,-8.002525252525253,2.5
17,7,100,0.5719232,0.63,2.505,6.375
17,8,100,0.59647864,0.57,10.27,5.125
17,9,100,0.6607635,0.52,1.2675,0.625
18,0,90,0.4024523,0.5888888888888889,1.7361111111111112,7.25
18,1,89,0.46025467,0.5730337078651685,5.075842696629214,5.75
18,2,89,0.48982564,0.6067415730337079,4.867977528089888,3.75
18,3,89,0.5152288,0.5955056179775281,6.227528089887641,4.0
18,4,89,0.53667176,0.6404494382022472,11.02247191011236,4.5
18,5,89,0.5542945,0.5842696629213483,2.598314606741573,2.75
18,6,89,0.57265985,0.5393258426966292,2.699438202247191,1.25
18,7,89,0.59364325,0.5393258426966292,19.452247191011235,3.75
18,8,89,0.6221676,0.5393258426966292,13.48314606741573,3.25
18,9,89,0.6828605,0.4943820224719101,40.23876404494382,-0.5
19,0,109,0.39294246,0.5779816513761468,6.2110091743119265,3.0
19,1,109,0.44489896,0.47706422018348627,-3.5481651376146788,-3.75
19,2,109,0.4747874,0.47706422018348627,-5.337155963302752,-2.75
19,3,109,0.5002281,0.46788990825688076,-5.56651376146789,-2.0
19,4,109,0.5230601,0.3944954128440367,-4.635321100917431,-5.0
19,5,109,0.54199475,0.44954128440366975,-0.2408256880733945,-2.0
19,6,109,0.55986154,0.46788990825688076,0.6330275229357798,-1.25
19,7,109,0.58114576,0.5229357798165137,0.7958715596330275,1.5
19,8,109,0.608685,0.48623853211009177,0.9013761467889908,-0.5
19,9,109,0.66703326,0.5688073394495413,2.610091743119266,3.0
20,0,106,0.39441678,0.5566037735849056,0.15330188679245282,7.75
20,1,106,0.44968307,0.5094339622641509,5.476415094339623,0.625
20,2,106,0.47831503,0.5188679245283019,3.4292452830188678,2.25
20,3,105,0.50007945,0.49523809523809526,1.473809523809524,0.0
20,4,106,0.52017975,0.5566037735849056,-0.6556603773584906,2.5
20,5,106,0.5388658,0.5943396226415094,10.450471698113208,8.0
20,6,105,0.560668,0.5238095238095238,0.3333333333333333,1.5
20,7,106,0.5836393,0.5,2.1957547169811322,-0.5
20,8,106,0.616807,0.5283018867924528,5.90566037735849,0.75
20,9,106,0.6909371,0.5094339622641509,13.410377358490566,1.0
21,0,115,0.3780556,0.391304347826087,-20.37391304347826,-20.5
21,1,114,0.43773732,0.4298245614035088,-7.765350877192983,-10.125
21,2,114,0.4718645,0.5526315789473685,6.730263157894737,9.375
21,3,115,0.49831647,0.40869565217391307,-17.078260869565216,-5.25
21,4,114,0.5216641,0.47368421052631576,-3.8421052631578947,-2.75
