side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
LONG,1,20-40,3.0,359,20.0,10.0,2.0,120,0.3816155988857939,0.14484679665738165,0.3333333333333333,0.04828226555246057,False,True,True,False,0.2487465181058496
SHORT,0,20-40,3.0,175,15.0,10.0,1.5,20,0.4285714285714285,0.07142857142857129,0.4,0.02857142857142847,False,True,True,False,0.24357142857142847
SHORT,0,20-40,3.0,175,30.0,15.0,2.0,60,0.3771428571428571,0.13142857142857134,0.3333333333333333,0.0438095238095238,False,True,True,False,0.24114285714285708
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,20,0.3769230769230769,0.13076923076923075,0.3333333333333333,0.0435897435897436,False,True,True,False,0.24076923076923076
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,60,0.3769230769230769,0.13076923076923075,0.3333333333333333,0.0435897435897436,False,True,True,False,0.24076923076923076
LONG,2,60-80,3.5,101,20.0,10.0,2.0,30,0.3762376237623762,0.1287128712871285,0.3333333333333333,0.04290429042904287,False,True,True,False,0.2396039603960395
LONG,1,20-40,3.0,359,20.0,10.0,2.0,60,0.3760445682451253,0.12813370473537578,0.3333333333333333,0.04271123491179196,False,True,True,False,0.23927576601671297
LONG,1,20-40,3.0,359,30.0,15.0,2.0,60,0.3760445682451253,0.12813370473537578,0.3333333333333333,0.04271123491179196,False,True,True,False,0.23927576601671297
SHORT,2,80-100,2.0,2189,15.0,10.0,1.5,120,0.4243947007766103,0.060986751941525696,0.4,0.024394700776610267,False,True,True,False,0.23720191868433066
LONG,1,20-40,3.5,118,15.0,10.0,1.5,60,0.423728813559322,0.05932203389830504,0.4,0.023728813559321993,False,True,True,False,0.23618644067796607
LONG,1,20-40,3.5,118,15.0,10.0,1.5,120,0.423728813559322,0.05932203389830504,0.4,0.023728813559321993,False,True,True,False,0.23618644067796607
LONG,1,20-40,3.0,359,15.0,10.0,1.5,30,0.4233983286908078,0.058495821727019504,0.4,0.023398328690807768,False,True,True,False,0.2356824512534819
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,120,0.4226365718024206,0.05659142950605145,0.4,0.02263657180242057,False,True,True,False,0.23452077199869137
LONG,1,20-40,3.5,118,20.0,10.0,2.0,120,0.3728813559322034,0.11864406779661019,0.3333333333333333,0.03954802259887008,False,True,True,False,0.2338983050847458
LONG,1,20-40,3.0,359,15.0,10.0,1.5,20,0.4206128133704735,0.05153203342618384,0.4,0.020612813370473493,False,True,True,False,0.2314345403899721
LONG,1,20-40,2.5,946,30.0,15.0,2.0,120,0.3710359408033826,0.11310782241014772,0.3333333333333333,0.037702607470049276,False,True,True,False,0.2307610993657504
LONG,1,20-40,3.0,359,20.0,10.0,2.0,30,0.3704735376044568,0.11142061281337035,0.3333333333333333,0.03714020427112347,False,True,True,False,0.22980501392757655
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,20,0.3692307692307692,0.10769230769230764,0.3333333333333333,0.03589743589743588,False,True,True,False,0.22769230769230764
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,30,0.3692307692307692,0.10769230769230764,0.3333333333333333,0.03589743589743588,False,True,True,False,0.22769230769230764
LONG,0,20-40,3.0,236,30.0,15.0,2.0,120,0.3686440677966102,0.10593220338983056,0.3333333333333333,0.03531073446327687,False,True,True,False,0.22669491525423732
