side,hmm_state,horizon_bars,observations,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,prob_mfe_ge_5,prob_mfe_ge_10,prob_mfe_ge_20,prob_mfe_ge_35,prob_mfe_ge_50,prob_mfe_ge_75,prob_mfe_ge_100,prob_mae_ge_5,prob_mae_ge_10,prob_mae_ge_20,prob_mae_ge_35,prob_mae_ge_50,prob_mae_ge_75,prob_mae_ge_100
LONG,1,120,240988,70.5491000842439,46.75,74.23514838131362,45.0,0.9503463200728569,0.9297226417912925,0.8634413331784155,0.7410700947765034,0.592589672514814,0.4786337908941524,0.33482165087058274,0.23178332531080387,0.9113773299915349,0.8354814347602371,0.7139235148638107,0.5755763772469998,0.4675917473069198,0.3423655949673843,0.2558094178963268
LONG,2,5,177108,14.360054317139824,7.0,14.59819714524471,7.0,0.9836868329879721,0.6104015628881813,0.38742462226438107,0.2022438286243422,0.10194909320866365,0.056073130519231205,0.022432639971091087,0.010327032093411929,0.6078946179732141,0.39446552386114686,0.21097861192041015,0.10748244009305057,0.05955123427513156,0.0241999232106963,0.011066693768773856
LONG,2,10,177108,20.438218504381606,10.0,20.93132848495799,10.0,0.9764415344716055,0.7099340515391739,0.5020044266775076,0.28820832486392484,0.1623133906994602,0.1008763014657723,0.049444406802628904,0.02581475709736432,0.7023849854326174,0.5045565417711227,0.2978013415543058,0.16965919100210042,0.10737516091876144,0.05467285498114145,0.028587076811888792
LONG,2,20,177108,29.25277525253951,14.25,30.037924687042988,14.5,0.9738613954631108,0.7917315987984732,0.6164769519163449,0.3940872236149694,0.23722248571493101,0.160551753732186,0.09227702870564854,0.056434491948415655,0.780286604783522,0.6121744924001175,0.4023703051245568,0.2485602005555932,0.1708505544639429,0.10007453079476929,0.060832938094270164
LONG,2,30,177108,36.121470840673986,17.75,37.094986617427836,18.0,0.973756136191825,0.8317749621699754,0.6787327506380287,0.4635533121033494,0.29182193915576937,0.2027237617724778,0.1246809856132981,0.08128938274950877,0.8161912505363959,0.6696253133681144,0.46723468166316595,0.30235223705309755,0.21520202362400342,0.13469182645617364,0.08776565711317388
LONG,2,60,177108,51.88070706956625,26.25,53.192809304111634,26.0,0.9753330900978759,0.8828116177699483,0.7716873320233981,0.591000971158841,0.40541364591096957,0.2947862321295481,0.1942599995482982,0.13693339657158343,0.8675949138378842,0.7533425932199562,0.5789574722768028,0.4101169907626985,0.30816789755403484,0.20821193847821667,0.14683695824016985
LONG,2,120,177108,76.25327253218884,42.0,77.45935452902643,40.0,0.9844294855776828,0.9242721954965332,0.85063915802787,0.7194931905955688,0.5592181042076021,0.4438534679404657,0.3112112383404476,0.22953790907243038,0.9062097703096416,0.8222609932922285,0.6859882105833729,0.5385414549314542,0.43398943017819636,0.3152426767847867,0.23804684147525804
SHORT,0,5,407621,11.504490132870153,7.5,11.188392997330821,7.5,1.0282522374405996,0.6317142639854179,0.400151120771501,0.16456217908302076,0.04925899303519691,0.018026549171902332,0.005338292188086483,0.0027427438723716395,0.6419443551730651,0.3969766032662694,0.14957767141535888,0.041180410234016404,0.015092451075876857,0.0052573346319252446,0.002838420984198557
SHORT,0,10,407621,16.633274045361432,10.75,16.15559842007777,10.75,1.0295671885907995,0.7230540134095153,0.5252992363003869,0.2792888492006055,0.1138165109255902,0.05117008201245765,0.0168195456073166,0.007764565613646009,0.7383255524126578,0.53088776093479,0.2657836568773444,0.09870934029404765,0.042784841801575484,0.015040932631046977,0.007327885462230847
SHORT,0,20,407621,24.246597834193636,15.25,23.46230876234029,15.5,1.033427617026003,0.7958274966206353,0.635843099349641,0.410135886031387,0.21416708167636114,0.11692969694888143,0.04850829569624725,0.023298603359493256,0.8137485556436003,0.6508276070173028,0.40728274549152277,0.1981546583713793,0.10188385779927923,0.041055294010858126,0.02045527585673947
