candidate,event_id,window,timestamp,side,zscore,tp,sl,rr,horizon,first_tp_bar,first_sl_bar,tp_hit,sl_hit,outcome,resolution,terminal_favorable,terminal_adverse
C1,67328,2,2019-12-12 11:29:00-05:00,LONG,-2.1620953,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,9.5,0.0
C1,69337,2,2019-12-18 15:59:00-05:00,LONG,-3.0481305,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.75,0.0
C1,69338,2,2019-12-18 16:00:00-05:00,LONG,-2.4936447,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.25,1.0
C1,72291,2,2019-12-31 10:45:00-05:00,LONG,-2.001694,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.25,2.25
C1,72294,2,2019-12-31 10:48:00-05:00,LONG,-2.0169833,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,2.75
C1,72296,2,2019-12-31 10:50:00-05:00,LONG,-2.2514377,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.0,0.0
C1,72775,2,2020-01-02 11:34:00-05:00,LONG,-3.7763803,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,3.0
C1,72776,2,2020-01-02 11:35:00-05:00,LONG,-3.4339666,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.0,0.0
C1,72777,2,2020-01-02 11:36:00-05:00,LONG,-2.5764322,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.5,0.0
C1,73330,2,2020-01-03 13:34:00-05:00,LONG,-2.5555425,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,20.75
C1,73331,2,2020-01-03 13:35:00-05:00,LONG,-2.828602,50.0,12.5,4.0,3,,2.0,False,True,LOSS,SL_ONLY,0.0,19.5
C1,74080,2,2020-01-07 11:34:00-05:00,LONG,-2.0936463,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.75,0.0
C1,74341,2,2020-01-07 15:55:00-05:00,LONG,-2.1448221,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.0,0.0
C1,74997,2,2020-01-09 12:21:00-05:00,LONG,-2.8104277,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.0
C1,74998,2,2020-01-09 12:22:00-05:00,LONG,-2.8414764,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.5
C1,74999,2,2020-01-09 12:23:00-05:00,LONG,-3.2051075,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.0,2.0
C1,75000,2,2020-01-09 12:24:00-05:00,LONG,-2.3922842,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.5
C1,75001,2,2020-01-09 12:25:00-05:00,LONG,-2.30535,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.0,3.75
C1,75002,2,2020-01-09 12:26:00-05:00,LONG,-2.2403018,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,75003,2,2020-01-09 12:27:00-05:00,LONG,-2.021286,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.25,0.5
C1,75382,3,2020-01-10 11:31:00-05:00,LONG,-2.8619082,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.5,0.0
C1,75418,3,2020-01-10 12:07:00-05:00,LONG,-2.7747395,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,8.25
C1,75419,3,2020-01-10 12:08:00-05:00,LONG,-2.7966151,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.75,4.75
C1,75420,3,2020-01-10 12:09:00-05:00,LONG,-2.4087682,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.5,0.0
C1,75421,3,2020-01-10 12:10:00-05:00,LONG,-2.629609,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,13.5,0.0
C1,75633,3,2020-01-10 15:42:00-05:00,LONG,-2.770866,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,12.25,0.0
C1,76131,3,2020-01-14 09:30:00-05:00,LONG,-3.4258652,50.0,12.5,4.0,3,,1.0,False,True,LOSS,SL_ONLY,0.0,13.25
C1,76459,3,2020-01-14 14:58:00-05:00,LONG,-2.2913728,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.5,0.75
C1,76462,3,2020-01-14 15:01:00-05:00,LONG,-2.0837712,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.5
C1,76661,3,2020-01-15 11:06:00-05:00,LONG,-2.4110456,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,3.0
C1,76662,3,2020-01-15 11:07:00-05:00,LONG,-2.0112484,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,7.5
C1,76663,3,2020-01-15 11:08:00-05:00,LONG,-2.0475433,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.5
C1,76713,3,2020-01-15 11:58:00-05:00,LONG,-2.858031,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.25,0.0
C1,76767,3,2020-01-15 12:52:00-05:00,LONG,-3.4812312,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.5,0.0
C1,77050,3,2020-01-16 10:20:00-05:00,LONG,-2.1435401,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.5,1.25
C1,77053,3,2020-01-16 10:23:00-05:00,LONG,-2.0855732,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.5,2.75
C1,77054,3,2020-01-16 10:24:00-05:00,LONG,-2.2350733,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,1.0
C1,78308,3,2020-01-21 13:18:00-05:00,LONG,-4.2785187,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,9.25
C1,78310,3,2020-01-21 13:20:00-05:00,LONG,-3.6287434,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.75,0.5
C1,78311,3,2020-01-21 13:21:00-05:00,LONG,-2.7179356,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.5,0.5
C1,78312,3,2020-01-21 13:22:00-05:00,LONG,-2.581728,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.5,0.0
C1,78313,3,2020-01-21 13:23:00-05:00,LONG,-2.004534,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,78617,3,2020-01-22 11:13:00-05:00,LONG,-2.0064392,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,6.75
C1,78618,3,2020-01-22 11:14:00-05:00,LONG,-2.4994874,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.25,0.0
