target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,5,4,4,174,0.9685844,0.9655172413793104,13.814655172413794
1.0,5,4,5,173,0.97302705,0.953757225433526,17.510115606936417
1.0,5,4,6,174,0.977096,0.9540229885057471,16.33189655172414
1.0,5,4,7,174,0.9809221,0.9770114942528736,17.379310344827587
1.0,5,4,8,174,0.98517317,0.9655172413793104,23.514367816091955
1.0,5,4,9,174,0.99025005,0.9482758620689655,22.714080459770116
1.0,5,5,0,136,0.9008094,0.9044117647058824,13.930147058823529
1.0,5,5,1,135,0.9339191,0.9333333333333333,10.975925925925926
1.0,5,5,2,135,0.9467405,0.9407407407407408,12.955555555555556
1.0,5,5,3,135,0.9557866,0.9629629629629629,14.27037037037037
1.0,5,5,4,135,0.961379,0.9481481481481482,17.48148148148148
1.0,5,5,5,135,0.9662424,0.9555555555555556,17.08888888888889
1.0,5,5,6,135,0.97109807,0.9703703703703703,19.82777777777778
1.0,5,5,7,135,0.97603387,0.9629629629629629,21.164814814814815
1.0,5,5,8,135,0.9811066,0.9777777777777777,20.201851851851853
1.0,5,5,9,136,0.9871844,0.9558823529411765,22.895220588235293
1.0,5,6,0,137,0.9043417,0.9124087591240876,14.60948905109489
1.0,5,6,1,137,0.9332209,0.9197080291970803,10.852189781021897
1.0,5,6,2,137,0.9434829,0.9124087591240876,15.41970802919708
1.0,5,6,3,137,0.95119137,0.9562043795620438,14.585766423357665
1.0,5,6,4,137,0.95691764,0.9635036496350365,14.341240875912408
1.0,5,6,5,136,0.961946,0.9632352941176471,15.09375
1.0,5,6,6,137,0.9668236,0.9562043795620438,14.812043795620438
1.0,5,6,7,137,0.9717112,0.948905109489051,17.302919708029197
1.0,5,6,8,137,0.9775992,0.9416058394160584,18.895985401459853
1.0,5,6,9,137,0.98564684,0.9416058394160584,21.06021897810219
1.0,5,7,0,121,0.85261536,0.859504132231405,7.714876033057851
1.0,5,7,1,121,0.9119281,0.9752066115702479,9.979338842975206
1.0,5,7,2,120,0.92998993,0.95,10.720833333333333
1.0,5,7,3,121,0.94061387,0.9504132231404959,10.28305785123967
1.0,5,7,4,121,0.9487066,0.9173553719008265,11.588842975206612
1.0,5,7,5,120,0.95454663,0.9583333333333334,12.1375
1.0,5,7,6,121,0.9594726,0.9338842975206612,12.609504132231406
1.0,5,7,7,120,0.9655815,0.9583333333333334,15.577083333333333
1.0,5,7,8,121,0.9712831,0.9421487603305785,16.27892561983471
1.0,5,7,9,121,0.98030496,0.9669421487603306,19.47107438016529
1.0,5,8,0,131,0.8746338,0.9312977099236641,8.791984732824428
1.0,5,8,1,131,0.91660696,0.9236641221374046,8.536259541984732
1.0,5,8,2,130,0.9301174,0.9307692307692308,10.636538461538462
1.0,5,8,3,131,0.9390634,0.9236641221374046,11.57442748091603
