tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.0833333333333335,2.4,58,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,59,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,60,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,61,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,62,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,63,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,64,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,65,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,66,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,67,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,68,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,69,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,70,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,71,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,72,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,73,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,74,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,75,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,76,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,77,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,78,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,79,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,80,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,81,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,82,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,83,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,84,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,85,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,86,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,87,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,88,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,89,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,90,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,91,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,92,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,93,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
