side,zscore_threshold,stop_points,target_points,horizon_bars,window,trades,wins,losses,timeouts,win_rate,total_points,mean_result_points,profit_factor,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_bars
LONG,1.5,5.0,10.0,10,4,5002,1596,3243,163,0.3190723710515794,238.0,0.04758096858859062,1.0146351212163138,17.667133331298828,13.0,18.734155654907227,12.75,2.4206317473010794
LONG,1.5,5.0,10.0,10,5,5313,1682,3489,142,0.3165819687558818,-245.0,-0.046113308519124985,0.9859945979163391,17.65062141418457,12.5,17.573545455932617,12.5,2.3506493506493507
LONG,1.5,5.0,10.0,10,6,5490,1721,3618,151,0.3134790528233151,-395.75,-0.07208561152219772,0.9781606975332487,19.24171257019043,13.25,19.137203216552734,13.125,2.330601092896175
LONG,1.5,5.0,10.0,10,7,4930,1299,2864,767,0.26348884381338744,427.75,0.08676470816135406,1.0293215430226381,11.989198684692383,8.25,11.137170791625977,7.25,4.076470588235294
LONG,1.5,5.0,10.0,10,8,5121,1646,3229,246,0.3214215973442687,935.5,0.1826791614294052,1.057672153381419,18.850566864013672,13.5,19.648212432861328,12.75,2.3792228080453035
LONG,1.5,5.0,10.0,10,9,5751,1550,4150,51,0.2695183446357155,-5138.0,-0.8934098482131958,0.7525524947023695,27.179750442504883,18.5,27.784168243408203,21.5,1.4776560598156843
LONG,1.5,5.0,10.0,10,10,5231,1621,3507,103,0.3098833874976104,-1027.5,-0.1964251548051834,0.9414696667616064,20.917415618896484,14.5,20.87349510192871,14.75,1.898298604473332
LONG,1.5,5.0,10.0,10,11,5317,1742,3433,142,0.3276283618581907,551.75,0.10377092659473419,1.0320505373221027,18.622907638549805,13.75,20.01335334777832,13.75,2.0823772804212903
LONG,1.5,5.0,10.0,10,12,4878,1499,3163,216,0.3072980729807298,-457.25,-0.09373718500137329,0.9712507269840771,16.566011428833008,12.0,17.207975387573242,11.5,2.5186551865518654
LONG,1.5,5.0,10.0,10,13,5103,1532,3261,310,0.30021555947481876,-425.75,-0.08343131840229034,0.974151146729809,15.427444458007812,11.5,15.71644115447998,11.5,2.584558103076622
LONG,1.5,5.0,10.0,10,14,5048,1622,3137,289,0.3213153724247227,916.5,0.1815570592880249,1.0578315533750848,15.675267219543457,11.25,16.325326919555664,10.5,2.719096671949287
LONG,1.5,5.0,10.0,10,15,4933,1482,3268,183,0.3004257044394891,-1131.25,-0.22932292520999908,0.9309782028401897,17.319988250732422,13.0,19.30316162109375,12.75,2.245894992904926
LONG,1.5,5.0,10.0,10,16,5114,1525,3388,201,0.29820101681658195,-1171.0,-0.22897927463054657,0.9311146079974116,22.545072555541992,15.0,23.43243980407715,15.0,2.0881892843175596
LONG,1.5,5.0,10.0,10,17,5131,1564,3458,109,0.30481387643734165,-1389.5,-0.27080491185188293,0.9198107082569866,22.76471519470215,16.0,22.623075485229492,14.5,1.9050867277333854
LONG,1.5,5.0,10.0,10,18,5490,1375,4046,69,0.25045537340619306,-6283.25,-1.1444900035858154,0.6895052195935512,34.03943634033203,21.75,35.419673919677734,23.75,1.4615664845173042
LONG,1.5,5.0,10.0,10,19,5091,1523,3480,88,0.299155372225496,-1923.75,-0.3778727054595947,0.8896251990188907,21.837753295898438,15.25,23.548860549926758,14.5,1.9630720879984287
LONG,1.5,5.0,10.0,10,20,4945,1467,3319,159,0.2966632962588473,-1467.5,-0.29676440358161926,0.9118433304298201,28.60394287109375,18.5,28.523862838745117,16.25,2.00788675429727
LONG,1.5,5.0,10.0,10,21,5433,1558,3822,53,0.2867660592674397,-3419.5,-0.6293944120407104,0.8212586900841566,30.8399600982666,20.0,30.235551834106445,20.0,1.5621203754831585
LONG,1.5,5.0,10.0,10,22,5382,1405,3969,8,0.26105536975102195,-5781.25,-1.0741825103759766,0.708727469676168,38.880062103271484,25.0,38.30537033081055,23.75,1.3333333333333333
LONG,1.5,5.0,15.0,10,1,5266,447,2816,2003,0.0848841625522218,-473.25,-0.08986897021532059,0.9679592423960326,7.957842826843262,5.5,8.342906951904297,5.5,6.201860995062666
LONG,1.5,5.0,15.0,10,2,4922,278,2107,2537,0.056481105241771634,429.75,0.08731206506490707,1.037344398340249,6.017929553985596,4.25,6.495378017425537,4.0,7.111743193823649
LONG,1.5,5.0,15.0,10,3,5211,935,3518,758,0.17942813279600844,-135.5,-0.026002686470746994,0.9923665197245187,18.674821853637695,11.0,20.664363861083984,12.25,3.5167914028017653
LONG,1.5,5.0,15.0,10,4,5002,1131,3499,372,0.22610955617752898,1573.25,0.31452420353889465,1.089628553523614,17.667133331298828,13.0,18.734155654907227,12.75,2.9814074370251897
LONG,1.5,5.0,15.0,10,5,5313,1159,3818,336,0.2181441746659138,40.25,0.007575757801532745,1.0021015807542195,17.65062141418457,12.5,17.573545455932617,12.5,2.9335591944287596
LONG,1.5,5.0,15.0,10,6,5490,1172,3947,371,0.2134790528233151,-151.75,-0.027641166001558304,0.9923307263699193,19.24171257019043,13.25,19.137203216552734,13.125,2.8726775956284154
LONG,1.5,5.0,15.0,10,7,4930,790,3014,1126,0.16024340770791076,1276.25,0.25887423753738403,1.0831555113941782,11.989198684692383,8.25,11.137170791625977,7.25,4.7296146044624745
LONG,1.5,5.0,15.0,10,8,5121,1179,3511,431,0.23022847100175747,2037.5,0.3978715240955353,1.115473441108545,18.850566864013672,13.5,19.648212432861328,12.75,2.9662175356375706
LONG,1.5,5.0,15.0,10,9,5751,1200,4467,84,0.20865936358894105,-3994.75,-0.6946183443069458,0.8212799749463136,27.179750442504883,18.5,27.784168243408203,21.5,1.7602156146757086
LONG,1.5,5.0,15.0,10,10,5231,1168,3848,215,0.22328426687057923,-696.0,-0.13305296003818512,0.9638844926445788,20.917415618896484,14.5,20.87349510192871,14.75,2.388835786656471
