side,hmm_state,zscore,volatility_regime,observations,sl_points,tp_points,horizon,wins,losses,timeouts,win_rate,loss_rate,timeout_rate,expectancy_R,profit_factor,median_win_time,median_loss_time,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,window_count
LONG,0,1.5,<20,48077,10.0,35.0,120,10465,37612,1037,0.21767165172535724,0.7823283482746428,0.02156956548869522,-0.020477567235892447,0.9738248431351696,13.0,3.0,18.072305884310584,10.5,14.412250140399776,11.75,1.2539544976152686,22
LONG,0,1.5,<20,48077,10.0,50.0,10,1750,46327,18158,0.03639994176009318,0.9636000582399068,0.37768579570272687,-0.7816003494394409,0.18887473827357695,5.0,5.0,13.894008569586289,8.75,11.207958067267093,10.75,1.239655652367564,22
LONG,0,1.5,<20,48077,10.0,50.0,20,3464,44613,11778,0.07205108471826445,0.9279489152817355,0.24498200802878714,-0.5676934916904133,0.3882276466500796,9.0,4.0,16.518012771179567,9.75,12.541969132849388,11.25,1.3170190897628902,22
LONG,0,1.5,<20,48077,10.0,50.0,30,4684,43393,8595,0.09742704411672941,0.9025729558832706,0.17877571395885766,-0.4154377352996235,0.5397183877583942,12.0,4.0,17.85452503275995,10.0,13.180788110739023,11.75,1.3545870613163873,22
LONG,0,1.5,<20,48077,10.0,50.0,60,6570,41507,4271,0.13665578135074985,0.8633442186492502,0.08883665786134742,-0.1800653118955009,0.7914327703760812,18.0,4.0,19.6084926264118,10.25,14.501299997920004,12.0,1.3521886057956423,22
LONG,0,1.5,<20,48077,10.0,50.0,120,7798,40279,1672,0.16219814048297523,0.8378018595170248,0.03477754435592903,-0.026811157102148653,0.9679982124680354,23.0,3.0,20.56530669550929,10.5,15.055629510992782,12.0,1.3659546205287296,22
LONG,0,1.5,<20,48077,10.0,75.0,10,553,47524,19299,0.011502381596189446,0.9884976184038106,0.40141855773030766,-0.9022297564323897,0.08727169430182645,5.0,5.0,14.16000374399401,8.75,11.22647523763962,10.75,1.2613045006788048,22
LONG,0,1.5,<20,48077,10.0,75.0,20,1344,46733,13673,0.027955155271751565,0.9720448447282485,0.2843979449632881,-0.7623811801901117,0.2156934072282969,11.0,5.0,17.249714000457598,9.75,12.61280341951453,11.5,1.367635205807524,22
LONG,0,1.5,<20,48077,10.0,75.0,30,1975,46102,10902,0.04107993427210516,0.9589200657278948,0.22676123718202051,-0.6508205586871061,0.3212984252310095,15.0,5.0,18.952295276327558,10.0,13.295988726418038,11.75,1.4254145115715164,22
LONG,0,1.5,<20,48077,10.0,75.0,60,3432,44645,6573,0.07138548578322275,0.9286145142167772,0.13671818125091,-0.3932233708426066,0.5765483256803673,25.0,4.0,21.53076835077064,10.25,14.747925203319674,12.0,1.4599184667633238,22
LONG,0,1.5,<20,48077,10.0,75.0,120,4958,43119,3076,0.10312623499802401,0.896873765001976,0.06398069763088379,-0.12342700251679595,0.8623808529882419,39.0,4.0,23.399988560018304,10.5,15.679202113276618,12.25,1.4924221520305543,22
LONG,0,1.5,<20,48077,10.0,100.0,10,282,47795,19558,0.005865590615055016,0.994134409384945,0.4068057491108014,-0.9354785032343949,0.059001987655612514,5.0,6.0,14.237509619984609,8.75,11.231040830334672,10.75,1.267692802035726,22
LONG,0,1.5,<20,48077,10.0,100.0,20,659,47418,14308,0.01370717806851509,0.9862928219314849,0.29760592383052187,-0.849221041246334,0.13897675988021427,11.0,5.0,17.50383239386817,9.75,12.631070990286416,11.5,1.3857757910892132,22
LONG,0,1.5,<20,48077,10.0,100.0,30,973,47104,11801,0.02023836761861181,0.9797616323813881,0.2454604072633484,-0.7773779561952701,0.20656419836956522,15.0,5.0,19.38674938120099,10.0,13.333309066705493,11.75,1.454008849881947,22
LONG,0,1.5,<20,48077,10.0,100.0,60,1891,46186,7826,0.03933273706762069,0.9606672629323794,0.16278053955113672,-0.5673398922561724,0.4094314294374919,29.0,5.0,22.43004971192046,10.25,14.846699045281527,12.25,1.5107768833671495,22
LONG,0,1.5,<20,48077,10.0,100.0,120,3162,44915,4290,0.06576949476880838,0.9342305052311917,0.08923185722902843,-0.2765355575431079,0.7039964377156852,49.0,5.0,24.99627160596543,10.5,15.955009671984525,12.5,1.5666722941482447,22
LONG,0,1.5,<20,48077,10.0,125.0,10,175,47902,19661,0.0036399941760093184,0.9963600058239906,0.4089481456829669,-0.9508600786238741,0.045666151726441485,5.0,6.0,14.274127961395262,8.75,11.232351228238034,10.75,1.270804987428654,22
LONG,0,1.5,<20,48077,10.0,125.0,20,366,47711,14589,0.0076127878195394886,0.9923872121804606,0.30345071447885685,-0.897227364436217,0.09588983672528348,10.0,5.0,17.622813403498554,9.75,12.63648938161699,11.5,1.3945972549255214,22
LONG,0,1.5,<20,48077,10.0,125.0,30,586,47491,12148,0.012188780497951203,0.9878112195020488,0.2526779957152069,-0.8354514632776587,0.15423975068960435,15.0,5.0,19.603022235164424,10.0,13.348493042411132,11.75,1.4685569504273825,22
LONG,0,1.5,<20,48077,10.0,125.0,60,1112,46965,8500,0.02312956299269921,0.9768704370073008,0.17679971712045262,-0.6877508995985606,0.29596508037900565,28.0,5.0,22.899000561599102,10.25,14.887253780393952,12.25,1.5381614970355628,22
LONG,0,1.5,<20,48077,10.0,125.0,120,2100,45977,5100,0.04367993011211182,0.9563200698878882,0.10607983027227157,-0.4103209434864905,0.5709376427344107,56.0,5.0,25.98447282484348,10.5,16.06654949352081,12.5,1.6173026346025505,22
LONG,0,1.5,<20,48077,12.5,20.0,10,12312,35765,12889,0.2560891902572956,0.7439108097427044,0.2680907710547663,-0.3341681053310314,0.5507954704319866,3.0,5.0,12.560663102939035,10.0,11.6092726251638,11.5,1.0819509118696238,22
LONG,0,1.5,<20,48077,12.5,20.0,20,15623,32454,6209,0.3249578800673919,0.6750421199326081,0.1291469933648106,-0.15510951182478105,0.7702224687249647,4.0,4.0,13.989168417330532,11.25,12.718675250119599,12.75,1.0998919417491209,22
