condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_30,-2.0:-1.5,60,5.8215487789882445e-05,0.00010549521912475,-0.000585651369164,0.0006246322984961,0.5909090909090909
zscore_30,-2.5:-2.0,1,8.80547590672078e-06,6.5271781531302e-06,-2.1701101356969117e-05,3.698979844329403e-05,0.6818181818181818
zscore_30,-2.5:-2.0,3,2.6623757050301214e-05,2.8717739343651707e-05,-3.682869907175783e-05,0.0001522766887547,0.8181818181818182
zscore_30,-2.5:-2.0,5,5.0592620505957915e-05,4.8407641611838053e-05,-7.103910167259929e-05,0.0002194695280736,0.7727272727272727
zscore_30,-2.5:-2.0,10,4.636874009189301e-05,4.5837486481557093e-05,-0.0001337371158853,0.0002959613708885,0.6363636363636364
zscore_30,-2.5:-2.0,20,7.694063864788415e-05,8.958146085282481e-05,-0.0002276771971247,0.0002935019896133,0.6818181818181818
zscore_30,-2.5:-2.0,30,5.979682508144122e-05,8.655750936921352e-05,-0.0004057947285761,0.0003792695590863,0.6363636363636364
zscore_30,-2.5:-2.0,60,8.966994343412971e-05,0.00011975013570858021,-0.0007516854606942,0.0006348948932727,0.5909090909090909
zscore_30,0:1.0,1,1.5029833488476343e-06,6.249471790630957e-07,-8.038151791288138e-06,1.06527214208245e-05,0.5454545454545454
zscore_30,0:1.0,3,6.514926244480465e-06,5.739953324494796e-06,-3.533261760604291e-05,3.0587015647918735e-05,0.6363636363636364
zscore_30,0:1.0,5,1.1348312615168465e-05,1.7470752538365028e-05,-8.232507155397114e-05,5.1453452076163e-05,0.6818181818181818
zscore_30,0:1.0,10,1.7990632184281932e-05,2.3415029580774738e-05,-6.507273208013339e-05,8.800448275964169e-05,0.5909090909090909
zscore_30,0:1.0,20,3.554377188811324e-05,4.7149673324914405e-05,-0.0001829999413215,0.0001788797336146,0.6818181818181818
zscore_30,0:1.0,30,3.698616881949768e-05,6.879601882260641e-05,-0.0002659757688767,0.0002270272655068,0.7272727272727273
zscore_30,0:1.0,60,0.00010146335813412088,0.00016686966288505,-0.0003856681839196,0.0004619888560985,0.6363636363636364
zscore_30,1.0:1.5,1,6.569252903264575e-07,2.3058759583833545e-06,-1.6652164658648525e-05,1.5501620727866263e-05,0.6363636363636364
zscore_30,1.0:1.5,3,6.297394873260267e-06,2.902871632179677e-06,-2.794476855890559e-05,4.805536439341504e-05,0.5909090909090909
zscore_30,1.0:1.5,5,1.2785863183786627e-05,6.7850247669701844e-06,-2.8885247212996448e-05,6.721045353476758e-05,0.5909090909090909
zscore_30,1.0:1.5,10,2.6575664833802217e-05,3.4739889025652236e-05,-6.875646137478975e-05,9.387462362633436e-05,0.7727272727272727
zscore_30,1.0:1.5,20,2.8236669271222378e-05,3.65205278304378e-05,-0.0001167896285283,0.00013507824003,0.6363636363636364
zscore_30,1.0:1.5,30,4.149588440510095e-05,7.901915144858221e-05,-0.0002059392370053,0.0001937768731889,0.7272727272727273
zscore_30,1.0:1.5,60,5.602633622317278e-05,9.550921097459226e-05,-0.0005477841657624,0.0004320707472355,0.5909090909090909
zscore_30,1.5:2.0,1,1.7415344793649727e-07,-8.51663358827892e-07,-2.5740442403330625e-05,3.965086431555881e-05,0.4090909090909091
zscore_30,1.5:2.0,3,-2.221843157703631e-06,-2.145382080543879e-06,-8.110132575726103e-05,4.632717758749542e-05,0.5
