window,observations,win_rate,expectancy_r,context,side,hmm_state,vol_bucket,zscore,tp,sl,horizon
13,32,0.375,0.875,A2,LONG,0,20-40,2.5,50.0,12.5,3
14,83,0.4578313253012048,1.289156626506024,A2,LONG,0,20-40,2.5,50.0,12.5,3
15,221,0.4841628959276018,1.420814479638009,A2,LONG,0,20-40,2.5,50.0,12.5,3
16,46,0.34782608695652173,0.7391304347826086,A2,LONG,0,20-40,2.5,50.0,12.5,3
17,37,0.6756756756756757,2.378378378378378,A2,LONG,0,20-40,2.5,50.0,12.5,3
18,23,0.391304347826087,0.9565217391304348,A2,LONG,0,20-40,2.5,50.0,12.5,3
19,38,0.5789473684210527,1.8947368421052633,A2,LONG,0,20-40,2.5,50.0,12.5,3
20,65,0.5692307692307692,1.846153846153846,A2,LONG,0,20-40,2.5,50.0,12.5,3
21,42,0.5,1.5,A2,LONG,0,20-40,2.5,50.0,12.5,3
22,24,0.4166666666666667,1.0833333333333335,A2,LONG,0,20-40,2.5,50.0,12.5,3
1,11,0.2727272727272727,0.2727272727272726,B1,LONG,2,60-80,3.5,11.0,3.0,9
2,17,0.29411764705882354,0.37254901960784315,B1,LONG,2,60-80,3.5,11.0,3.0,9
11,36,0.4166666666666667,0.9444444444444444,B1,LONG,2,60-80,3.5,11.0,3.0,9
18,29,0.5862068965517241,1.735632183908046,B1,LONG,2,60-80,3.5,11.0,3.0,9
21,26,0.6923076923076923,2.230769230769231,B1,LONG,2,60-80,3.5,11.0,3.0,9
22,27,0.5925925925925926,1.765432098765432,B1,LONG,2,60-80,3.5,11.0,3.0,9
1,34,0.5,1.5,C1,LONG,0,40-60,2.0,50.0,12.5,3
2,75,0.52,1.6,C1,LONG,0,40-60,2.0,50.0,12.5,3
3,107,0.5794392523364486,1.8971962616822426,C1,LONG,0,40-60,2.0,50.0,12.5,3
4,297,0.5353535353535354,1.676767676767677,C1,LONG,0,40-60,2.0,50.0,12.5,3
5,232,0.5431034482758621,1.7155172413793105,C1,LONG,0,40-60,2.0,50.0,12.5,3
6,247,0.5384615384615384,1.692307692307692,C1,LONG,0,40-60,2.0,50.0,12.5,3
7,170,0.5588235294117647,1.7941176470588236,C1,LONG,0,40-60,2.0,50.0,12.5,3
8,243,0.5267489711934157,1.6337448559670784,C1,LONG,0,40-60,2.0,50.0,12.5,3
9,173,0.47398843930635837,1.3699421965317917,C1,LONG,0,40-60,2.0,50.0,12.5,3
10,149,0.5234899328859061,1.6174496644295302,C1,LONG,0,40-60,2.0,50.0,12.5,3
11,380,0.5052631578947369,1.5263157894736843,C1,LONG,0,40-60,2.0,50.0,12.5,3
12,391,0.5012787723785166,1.506393861892583,C1,LONG,0,40-60,2.0,50.0,12.5,3
13,312,0.5384615384615384,1.692307692307692,C1,LONG,0,40-60,2.0,50.0,12.5,3
14,236,0.5084745762711864,1.542372881355932,C1,LONG,0,40-60,2.0,50.0,12.5,3
15,546,0.4816849816849817,1.4084249084249085,C1,LONG,0,40-60,2.0,50.0,12.5,3
16,201,0.4527363184079602,1.263681592039801,C1,LONG,0,40-60,2.0,50.0,12.5,3
17,310,0.4838709677419355,1.4193548387096775,C1,LONG,0,40-60,2.0,50.0,12.5,3
18,229,0.4497816593886463,1.2489082969432315,C1,LONG,0,40-60,2.0,50.0,12.5,3
19,236,0.4872881355932203,1.4364406779661016,C1,LONG,0,40-60,2.0,50.0,12.5,3
21,230,0.5391304347826087,1.6956521739130435,C1,LONG,0,40-60,2.0,50.0,12.5,3
22,351,0.4131054131054131,1.0655270655270654,C1,LONG,0,40-60,2.0,50.0,12.5,3
1,18,0.5555555555555556,1.4074074074074077,D1,LONG,1,20-40,2.5,50.0,15.0,3
3,13,0.7692307692307693,2.3333333333333335,D1,LONG,1,20-40,2.5,50.0,15.0,3
5,20,0.35,0.5166666666666667,D1,LONG,1,20-40,2.5,50.0,15.0,3
6,49,0.4489795918367347,0.9455782312925172,D1,LONG,1,20-40,2.5,50.0,15.0,3
7,42,0.6428571428571429,1.785714285714286,D1,LONG,1,20-40,2.5,50.0,15.0,3
8,28,0.39285714285714285,0.7023809523809523,D1,LONG,1,20-40,2.5,50.0,15.0,3
10,18,0.4444444444444444,0.9259259259259258,D1,LONG,1,20-40,2.5,50.0,15.0,3
11,15,0.4666666666666667,1.0222222222222221,D1,LONG,1,20-40,2.5,50.0,15.0,3
12,50,0.48,1.08,D1,LONG,1,20-40,2.5,50.0,15.0,3
13,67,0.5074626865671642,1.199004975124378,D1,LONG,1,20-40,2.5,50.0,15.0,3
14,34,0.5294117647058824,1.2941176470588238,D1,LONG,1,20-40,2.5,50.0,15.0,3
16,89,0.550561797752809,1.3857677902621723,D1,LONG,1,20-40,2.5,50.0,15.0,3
17,87,0.3793103448275862,0.6436781609195402,D1,LONG,1,20-40,2.5,50.0,15.0,3
18,52,0.5769230769230769,1.4999999999999998,D1,LONG,1,20-40,2.5,50.0,15.0,3
19,92,0.5217391304347826,1.2608695652173911,D1,LONG,1,20-40,2.5,50.0,15.0,3
20,30,0.5,1.1666666666666667,D1,LONG,1,20-40,2.5,50.0,15.0,3
21,61,0.47540983606557374,1.0601092896174862,D1,LONG,1,20-40,2.5,50.0,15.0,3
22,50,0.48,1.08,D1,LONG,1,20-40,2.5,50.0,15.0,3
5,10,0.5,1.1666666666666667,D2,LONG,1,20-40,3.0,50.0,15.0,3
6,25,0.4,0.7333333333333335,D2,LONG,1,20-40,3.0,50.0,15.0,3
7,27,0.6296296296296297,1.7283950617283952,D2,LONG,1,20-40,3.0,50.0,15.0,3
8,14,0.5714285714285714,1.476190476190476,D2,LONG,1,20-40,3.0,50.0,15.0,3
12,25,0.48,1.08,D2,LONG,1,20-40,3.0,50.0,15.0,3
13,39,0.5641025641025641,1.4444444444444444,D2,LONG,1,20-40,3.0,50.0,15.0,3
14,11,0.2727272727272727,0.18181818181818177,D2,LONG,1,20-40,3.0,50.0,15.0,3
16,41,0.5609756097560976,1.4308943089430897,D2,LONG,1,20-40,3.0,50.0,15.0,3
17,41,0.4146341463414634,0.7967479674796747,D2,LONG,1,20-40,3.0,50.0,15.0,3
18,15,0.6,1.6,D2,LONG,1,20-40,3.0,50.0,15.0,3
19,62,0.5161290322580645,1.2365591397849462,D2,LONG,1,20-40,3.0,50.0,15.0,3
21,16,0.5,1.1666666666666667,D2,LONG,1,20-40,3.0,50.0,15.0,3
22,11,0.36363636363636365,0.5757575757575758,D2,LONG,1,20-40,3.0,50.0,15.0,3
1,162,0.5802469135802469,0.4506172839506174,S1,SHORT,2,80-100,2.0,30.0,20.0,3
2,155,0.4967741935483871,0.24193548387096775,S1,SHORT,2,80-100,2.0,30.0,20.0,3
11,672,0.5461309523809523,0.3653273809523808,S1,SHORT,2,80-100,2.0,30.0,20.0,3
18,558,0.46415770609318996,0.16039426523297495,S1,SHORT,2,80-100,2.0,30.0,20.0,3
20,153,0.46405228758169936,0.16013071895424835,S1,SHORT,2,80-100,2.0,30.0,20.0,3
21,290,0.5,0.25,S1,SHORT,2,80-100,2.0,30.0,20.0,3
22,265,0.4490566037735849,0.12264150943396224,S1,SHORT,2,80-100,2.0,30.0,20.0,3
2,21,0.7142857142857143,1.5,S2,SHORT,0,20-40,3.0,50.0,20.0,3
10,12,0.5833333333333334,1.041666666666667,S2,SHORT,0,20-40,3.0,50.0,20.0,3
14,39,0.48717948717948717,0.7051282051282051,S2,SHORT,0,20-40,3.0,50.0,20.0,3
15,101,0.46534653465346537,0.6287128712871288,S2,SHORT,0,20-40,3.0,50.0,20.0,3
20,18,0.5555555555555556,0.9444444444444444,S2,SHORT,0,20-40,3.0,50.0,20.0,3
5,15,0.6,2.6,S3,SHORT,1,20-40,3.5,50.0,10.0,3
6,10,0.5,2.0,S3,SHORT,1,20-40,3.5,50.0,10.0,3
7,27,0.3333333333333333,0.9999999999999998,S3,SHORT,1,20-40,3.5,50.0,10.0,3
8,22,0.22727272727272727,0.36363636363636354,S3,SHORT,1,20-40,3.5,50.0,10.0,3
12,18,0.2222222222222222,0.33333333333333337,S3,SHORT,1,20-40,3.5,50.0,10.0,3
13,21,0.3333333333333333,0.9999999999999998,S3,SHORT,1,20-40,3.5,50.0,10.0,3
16,25,0.36,1.1599999999999997,S3,SHORT,1,20-40,3.5,50.0,10.0,3
17,23,0.21739130434782608,0.30434782608695643,S3,SHORT,1,20-40,3.5,50.0,10.0,3
19,20,0.2,0.19999999999999996,S3,SHORT,1,20-40,3.5,50.0,10.0,3
